,Topic ID,Adjusted Popularity Score,Topic Content
1,26,799.491888573509,"public, safety, crime, police, department, illinois, race, reported, crimes, criminal"
2,3,692.6309040211083,"transportation, traffic, street, parking, infrastructure, city, safe, vehicle, streets, bike"
3,21,670.0513715803453,"public, safety, fire, month, calls, police, emergency, response, discharge, incident"
4,49,623.1134836407771,"development, housing, economic, community, infrastructure, managed, medicaid, department, buildings, economy"
5,37,584.5859958062792,"financial, permits, building, permit, expenditures, guide, issued, construction, information, filter"
6,40,582.0367990528094,"finance, year, state, monthly, fiscal, payments, government, june, july, report"
7,31,572.482231194334,"politics, government, election, campaign, elections, commission, results, city, 460, finance"
8,48,560.5886778426487,"business, license, job, contracts, businesses, vendor, owned, contract, licenses, certified"
9,41,499.28640766249106,"service, requests, inspection, inspections, 311, public, violations, request, complaints, days"
10,34,496.67675135001116,"education, school, schools, students, public, governance, state, year, student, district"
11,9,491.94527989093774,"recreation, parks, jersey, park, center, neighborhoods, centers, facilities, environment, access"
12,15,485.0660504105694,"budget, finance, fund, year, operating, city, fiscal, funds, calendar, communities"
13,29,484.30966766723583,"planning, county, district, districts, boundaries, city, areas, zoning, gis, council"
14,35,467.623441639719,"infrastructure, city, public, maps, works, dallas, los, angeles, types, way"
15,30,467.40652872271306,"mateo, city, gis, land, county, parcel, map, point, survey, feature"
16,4,464.9171657111006,"information, tab, projects, concerning, may, contains, project, provided, additional, improvement"
17,2,428.6097147771072,"population, county, demographics, age, total, king, washington, montgomery, number, years"
18,36,412.971180747073,"census, indicators, survey, includes, indicator, community, demographics, bureau, u, level"
19,50,409.6307413337445,"program, employees, adult, employee, annual, names, full, abuse, nutrition, beginning"
20,25,393.1796834683193,"tax, revenue, sales, taxes, local, colorado, government, state, department, sale"
21,27,387.6170753049687,"water, environment, protection, tx, filed, waste, site, quality, environmental, monitoring"
22,42,357.7638609538919,"information, list, code, required, political, utah, public, city, years, see"
23,28,356.69758926065293,"transportation, plans, iowa, area, transit, operations, region, bus, priority, people"
24,11,346.48906540645237,"energy, environment, electricity, air, sustainable, action, climate, city, clean, facilities"
25,13,346.1356518517719,"gas, natural, food, greenhouse, environment, emissions, costs, resources, program, fuel"
26,23,345.53101218621947,"police, user, information, page, department, use, orleans, injury, may, records"
27,39,341.1162867875792,"health, san, county, care, counties, system, facilities, network, home, francisco"
28,6,337.2599139084198,"property, consumption, real, value, properties, significant, easy, usage, assessment, company"
29,17,321.4958394829578,"services, social, human, dfps, information, programs, us, definition, visit, state"
30,1,320.4225011068022,"chart, children, income, historic, home, assistance, homes, families, low, pay"
31,16,310.31515702208986,"economy, employment, labor, unemployment, insurance, credit, workforce, economic, training, federal"
32,5,274.7575211654037,"locations, bacteria, hours, culture, county, levels, contact, directory, e, contains"
33,12,266.1532798142967,"map, ""about"", shows, details, tracking, click, view, additional, weekly, information"
34,47,256.43909160373244,"care, finance, provider, child, cost, plan, day, bay, government, fee"
35,43,248.78781616876515,"state, new, michigan, york, information, check, measurements, jobs, licensing, ny"
36,0,247.4835033491019,"prevention, hospital, ny, healthy, statewide, hospitals, inpatient, healthcare, api, quality-safety-costs"
37,45,242.56568738377243,"report, performance, city, goal, resultsnola, administration, city's, management, key, topeka"
38,33,226.34729852145276,"finance, summary, dashboard, ethics, form, management, board, pension, includes, last"
39,24,224.81285465770972,"official, account, accounts, (openmichigan@michigan, special, nursing, software, gis, use, consumer"
40,8,223.51160450703998,"health, disease, 000, per, rate, rates, chronic, risk, agency, due"
41,44,218.40134056071562,"book, lead, stations, databook, station, closed, ecology, solar, power, residential"
42,22,218.12866152562165,"arts, grants, live, county, includes, library, clearance, grant, inventory, cps"
43,18,217.91816081899972,"column, update, homeless, annually, frequency, position, city, commercial, daily, salaries"
44,38,216.22455424975678,"plan, strategic, master, community, fewer, limitations, registry, cause, years, information"
45,7,214.7009794704596,"rates, calculated, rate, year, counts, average, seattle, percent, mortality, number"
46,32,197.36644345671863,"open, created, items, clear, volume, please, presented, difficult, potential, note"
47,46,195.11286492059642,"address, name, number, facility, patient, location, contains, type, g, transfer"
48,10,185.4671944989451,"measures, quality, performance, government, life, developed, fair, measurement, definitions, index"
49,14,171.85300376496787,"health, code, statistics, county, codes, zip, public, diego, harbison, crest"
50,51,171.32830155781002,"cook, high, cases, youth, case, court, enrollment, college, wa, gis/maps"
51,19,170.4263015039765,"death, maryland, database, deaths, office, department, new, cdc, metadata, citizens"
52,20,108.42156641088273,"expected, dept, observed, every, 300, pacific, physical, performed, contribution, std"
