,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9346,9515,9515,Local Severe Weather Warning Systems in Missouri,"['List', 'of', ""'Severe"", 'Weather', 'Alert', ""Systems'"", 'throughout', 'Missouri', 'provided', 'by', 'local', 'governments', 'media', 'outlets', 'and', 'other', 'sources']",Department of Public Safety,"['user_fees', 'county', 'web_site', 'notifications']","['User Fees', 'County', 'Web Site', 'Notifications']",dataset,[],Public Safety,"['public safety', 'notifications', 'alerts', 'weather']",official,2202.0,500.0,123.0,651921.0,19.3143398362,data.mo.gov,"['public', 'safety', 'notifications', 'alerts', 'weather', 'public', 'safety']","['public', 'safety', 'notifications', 'alerts', 'weather', 'public', 'safety', 'List', 'of', ""'Severe"", 'Weather', 'Alert', ""Systems'"", 'throughout', 'Missouri', 'provided', 'by', 'local', 'governments', 'media', 'outlets', 'and', 'other', 'sources']","[(3, 0.054455006810209497), (6, 0.061654630832064808), (10, 0.048534798534798487), (11, 0.048534798534798487), (23, 0.082611962903236108), (25, 0.05069101659634262), (26, 0.20005187999475152), (35, 0.15272219662521727), (40, 0.099119932617249731), (43, 0.11554319047074459), (50, 0.048534798534798487)]","[(26, 0.20005187999475152), (35, 0.15272219662521727), (43, 0.11554319047074459), (40, 0.09911993261724973), (23, 0.08261196290323611), (6, 0.06165463083206481), (3, 0.0544550068102095), (25, 0.05069101659634262), (10, 0.04853479853479849), (11, 0.04853479853479849), (50, 0.04853479853479849)]",26
9349,9518,9518,Missouri Law Enforcement Agencies,"['List', 'of', 'Active', 'law', 'enforcement', 'agencies', '(Sheriff', 'Municipal', 'University', 'Court', 'etc)']",Missouri Department of Public Safety - Peace Officer Standards and Training,"['voice_number', 'city', 'county_name', 'fax_number', 'street_address', 'ceo_title', 'zip', 'ceo_name', 'name', 'street_address_2', 'agency_type']","['Voice Number', 'City', 'County Name', 'Fax Number', 'Street Address', 'CEO Title', 'Zip', 'Contact Name', 'Agency Name', 'Street Address 2', 'Agency_Type']",dataset,[],Public Safety,"['police', 'department', 'university police', 'sheriff']",official,2168.0,132.0,38.0,567936.0,19.1153713781,data.mo.gov,"['police', 'department', 'university', 'police', 'sheriff', 'public', 'safety']","['police', 'department', 'university', 'police', 'sheriff', 'public', 'safety', 'List', 'of', 'Active', 'law', 'enforcement', 'agencies', '(Sheriff', 'Municipal', 'University', 'Court', 'etc)']","[(23, 0.11113869402148531), (26, 0.34794695466622338), (28, 0.058006912660911583), (34, 0.12070387899106003), (35, 0.05766730490267457), (42, 0.13207634038939128), (43, 0.068827435735774364), (51, 0.056623931623931562)]","[(26, 0.3479469546662234), (42, 0.13207634038939128), (34, 0.12070387899106003), (23, 0.11113869402148531), (43, 0.06882743573577436), (28, 0.05800691266091158), (35, 0.05766730490267457), (51, 0.05662393162393156)]",26
1923,1923,1923,Police Stations,"['Chicago', 'Police', 'district', 'station', 'locations', 'and', 'contact', 'information']",Chicago Police Department,"['zip', 'y_coordinate', 'longitude', 'latitude', 'city', 'location', 'address', 'district_name', 'district', 'x_coordinate', 'tty', 'website', 'state', 'fax', 'phone']","['ZIP', 'Y COORDINATE', 'LONGITUDE', 'LATITUDE', 'CITY', 'LOCATION', 'ADDRESS', 'DISTRICT NAME', 'DISTRICT', 'X COORDINATE', 'TTY', 'WEBSITE', 'STATE', 'FAX', 'PHONE']",dataset,[],Public Safety,"['gis', 'facilities']",official,8801.0,2012.0,414.0,214136.0,17.70817457,data.cityofchicago.org,"['gis', 'facilities', 'public', 'safety']","['gis', 'facilities', 'public', 'safety', 'Chicago', 'Police', 'district', 'station', 'locations', 'and', 'contact', 'information']","[(5, 0.25160256410256371), (24, 0.19250358877995183), (26, 0.28257526317050685), (29, 0.11306217369056608), (44, 0.084935897435897301)]","[(26, 0.28257526317050685), (5, 0.2516025641025637), (24, 0.19250358877995183), (29, 0.11306217369056608), (44, 0.0849358974358973)]",26
9372,9541,9541,Licensee Excise Tax Reported,"['Excise', 'Tax', 'data', 'reported', 'by', 'number', 'of', 'gallons', 'per', 'product', 'type', 'Dataset', 'consists', 'of', 'the', 'last', '6', 'reporting', 'months']",MO Department of Public Safety - Division of Alcohol and Tobacco Control,"['licensenum', 'gallonsnum', 'licenseenametxt', 'licensecodetxt', 'statetxt', 'taxperioddate', 'taxgroupkey']","['LicenseNum', 'Gallons', 'BusinessName', 'LicenseType', 'State', 'ReportingPeriod', 'Category']",dataset,[],Regulatory,['missouri excise tax gallons'],official,816.0,229.0,46.0,212040.0,17.693983724,data.mo.gov,"['missouri', 'excise', 'tax', 'gallons', 'regulatory']","['missouri', 'excise', 'tax', 'gallons', 'regulatory', 'Excise', 'Tax', 'data', 'reported', 'by', 'number', 'of', 'gallons', 'per', 'product', 'type', 'Dataset', 'consists', 'of', 'the', 'last', '6', 'reporting', 'months']","[(0, 0.11663886213052342), (10, 0.056623931623931562), (25, 0.12997001019582774), (26, 0.21377228964302367), (30, 0.11217948717948706), (33, 0.12282617726915264), (40, 0.14435676332557432), (47, 0.056623931623931562)]","[(26, 0.21377228964302367), (40, 0.14435676332557432), (25, 0.12997001019582774), (33, 0.12282617726915264), (0, 0.11663886213052342), (30, 0.11217948717948706), (10, 0.05662393162393156), (47, 0.05662393162393156)]",26
7209,7378,7378,"Adult Jail Booking August 1, 2016 to July 31, 2017 as of August 6, 2017","['The', 'Jail', 'Bookings', 'Open', 'Data', 'dataset', 'is', 'provided', 'by', 'the', 'King', 'County', 'Department', 'of', 'Adult', 'and', 'Juvenile', 'Detention', 'The', 'dataset', 'contains', 'adult', 'jail', 'bookings', 'which', 'have', 'occurred', 'within', 'the', 'last', 'twelve', 'months;', 'specific', 'dates', 'are', 'indicated', 'on', 'the', 'web', 'site', 'The', 'data', 'provided', 'is', 'a', 'snapshot', 'and', 'is', 'current', 'as', 'of', 'the', 'date', 'and', 'time', 'it', 'was', 'extracted', 'from', 'the', 'jail', 'management', 'systems', 'Every', 'effort', 'has', 'been', 'made', 'to', 'ensure', 'the', 'accuracy', 'of', 'data', 'listed', 'at', 'the', 'time', 'of', 'extraction', 'Updates', 'corrections', 'and', 'additions', 'may', 'have', 'occurred', 'since', 'the', 'extraction', 'date', 'and', 'time', 'This', 'dataset', 'provides', 'information', 'associated', 'with', 'the', 'booking', 'of', 'an', 'individual', 'into', 'a', 'King', 'County', 'jail', 'facility', 'and', 'not', 'with', 'any', 'court', 'cause', 'case', 'or', 'criminal', 'filing', 'pursuant', 'to', 'the', 'booking', 'event', 'This', 'information', 'does', 'not', 'reflect', 'the', 'criminal', 'history', 'or', 'criminal', 'status', 'of', 'any', 'inmate', 'currently', 'or', 'previously', 'in', 'custody', 'Current', 'information', 'about', 'a', 'specific', 'booking', 'event', 'can', 'be', 'obtained', 'by', 'calling', 'the', 'Department', 'of', 'Adult', 'and', 'Juvenile', 'Detention', 'at', '(206)', '296', '1234', 'or', 'by', 'visiting', 'our', 'Jail', 'Inmate', 'Lookup', 'Service', '(JILS)', 'http', '//ingress', 'kingcounty', 'gov/inmatelookup/']",King County Department of Adult and Juvenile Detention,"['release_date_time', 'court_case_cause_number', 'release_reason', 'rcw_ordinance_number', 'court', 'charge', 'current_facility', 'book_of_arrest_number', 'last_name', 'first_name', 'middle_name', 'jrsr', 'booking_date_time']","['Release Date Time', 'Court Case / Cause Number', 'Release Reason', 'RCW / Ordinance Number', 'Court', 'Charge', 'Current Facility', 'Book of Arrest Number', 'Last Name', 'First Name', 'Middle Name', 'JrSr', 'Booking Date Time']",dataset,"['public safety', 'infrastructure']",Jail,"['jail inmate', 'dajd']",official,55344.0,30380.0,6735.0,204777.0,17.6437012044,data.kingcounty.gov,"['jail', 'inmate', 'dajd', 'public', 'safety', 'infrastructure', 'jail']","['jail', 'inmate', 'dajd', 'public', 'safety', 'infrastructure', 'jail', 'The', 'Jail', 'Bookings', 'Open', 'Data', 'dataset', 'is', 'provided', 'by', 'the', 'King', 'County', 'Department', 'of', 'Adult', 'and', 'Juvenile', 'Detention', 'The', 'dataset', 'contains', 'adult', 'jail', 'bookings', 'which', 'have', 'occurred', 'within', 'the', 'last', 'twelve', 'months;', 'specific', 'dates', 'are', 'indicated', 'on', 'the', 'web', 'site', 'The', 'data', 'provided', 'is', 'a', 'snapshot', 'and', 'is', 'current', 'as', 'of', 'the', 'date', 'and', 'time', 'it', 'was', 'extracted', 'from', 'the', 'jail', 'management', 'systems', 'Every', 'effort', 'has', 'been', 'made', 'to', 'ensure', 'the', 'accuracy', 'of', 'data', 'listed', 'at', 'the', 'time', 'of', 'extraction', 'Updates', 'corrections', 'and', 'additions', 'may', 'have', 'occurred', 'since', 'the', 'extraction', 'date', 'and', 'time', 'This', 'dataset', 'provides', 'information', 'associated', 'with', 'the', 'booking', 'of', 'an', 'individual', 'into', 'a', 'King', 'County', 'jail', 'facility', 'and', 'not', 'with', 'any', 'court', 'cause', 'case', 'or', 'criminal', 'filing', 'pursuant', 'to', 'the', 'booking', 'event', 'This', 'information', 'does', 'not', 'reflect', 'the', 'criminal', 'history', 'or', 'criminal', 'status', 'of', 'any', 'inmate', 'currently', 'or', 'previously', 'in', 'custody', 'Current', 'information', 'about', 'a', 'specific', 'booking', 'event', 'can', 'be', 'obtained', 'by', 'calling', 'the', 'Department', 'of', 'Adult', 'and', 'Juvenile', 'Detention', 'at', '(206)', '296', '1234', 'or', 'by', 'visiting', 'our', 'Jail', 'Inmate', 'Lookup', 'Service', '(JILS)', 'http', '//ingress', 'kingcounty', 'gov/inmatelookup/']","[(1, 0.010809649907232363), (2, 0.10411183909500134), (4, 0.20111182848119177), (19, 0.021009283448130807), (20, 0.025692194042392376), (23, 0.064392403624802932), (26, 0.21876486587052943), (27, 0.058925579156333431), (29, 0.03945906648117041), (32, 0.01099033899429289), (33, 0.029742764670974014), (38, 0.05987110433843474), (41, 0.011735049667274683), (46, 0.020819534023769865), (48, 0.012287640004546562), (49, 0.023421784149254374), (50, 0.033145650929217597), (51, 0.039701890938865128)]","[(26, 0.21876486587052943), (4, 0.20111182848119177), (2, 0.10411183909500134), (23, 0.06439240362480293), (38, 0.05987110433843474), (27, 0.05892557915633343), (51, 0.03970189093886513), (29, 0.03945906648117041), (50, 0.0331456509292176), (33, 0.029742764670974014), (20, 0.025692194042392376), (49, 0.023421784149254374), (19, 0.021009283448130807), (46, 0.020819534023769865), (48, 0.012287640004546562), (41, 0.011735049667274683), (32, 0.01099033899429289), (1, 0.010809649907232363)]",26
9374,9543,9543,Missouri Keg Tag,"['List', 'of', 'keg', 'tags', 'assigned', 'to', 'distributors']",,"['first_name', 'last_name', 'phone', 'building_number', 'city', 'street', 'dba_name', 'licensee_name', 'kegnum', 'state', 'zipcode']","['First Name', 'Last Name', 'Phone', 'Building Number', 'City', 'Street', 'DBA Name', 'Licensee Name', 'KegNum', 'State', 'Zipcode']",dataset,[],Public Safety,"['beer', 'alcohol', 'liquor']",official,625.0,31.0,2.0,203438.0,17.6342367501,data.mo.gov,"['beer', 'alcohol', 'liquor', 'public', 'safety']","['beer', 'alcohol', 'liquor', 'public', 'safety', 'List', 'of', 'keg', 'tags', 'assigned', 'to', 'distributors']","[(0, 0.092657342657342587), (18, 0.092657342657342559), (21, 0.11896801692052802), (26, 0.24408408511916854), (29, 0.092657342657342559), (35, 0.096738107750512808), (43, 0.18356643356643337)]","[(26, 0.24408408511916854), (43, 0.18356643356643337), (21, 0.11896801692052802), (35, 0.09673810775051281), (0, 0.09265734265734259), (18, 0.09265734265734256), (29, 0.09265734265734256)]",26
18617,18786,18786,"Jail Bookings - May 29, 2015 to current","['This', 'data', 'set', 'includes', 'daily', 'Miami', 'Dade', 'Corrections', 'jail', 'bookings', 'from', 'May', '29', '2015', 'to', 'current']",Miami-Dade County Corrections,"['charge3', 'chargecode2', 'charge1', 'dob', 'bookdate', 'charge2', 'location_1', 'defendant', 'chargecode3', 'chargecode1']","['Charge3', 'ChargeCode2', 'Charge1', 'DOB', 'BookDate', 'Charge2', 'Location 1', 'Defendant', 'ChargeCode3', 'ChargeCode1']",dataset,['public safety'],Corrections,"['jail', 'inmate', 'crime', 'corrections']",official,12806.0,10075.0,2144.0,143270.0,17.1283870925,opendata.miamidade.gov,"['jail', 'inmate', 'crime', 'corrections', 'public', 'safety', 'corrections']","['jail', 'inmate', 'crime', 'corrections', 'public', 'safety', 'corrections', 'This', 'data', 'set', 'includes', 'daily', 'Miami', 'Dade', 'Corrections', 'jail', 'bookings', 'from', 'May', '29', '2015', 'to', 'current']","[(18, 0.094829301217360315), (19, 0.17424815574047137), (22, 0.15799227229411031), (26, 0.40730745091939119), (29, 0.11540914461499041)]","[(26, 0.4073074509193912), (19, 0.17424815574047137), (22, 0.1579922722941103), (29, 0.11540914461499041), (18, 0.09482930121736032)]",26
18311,18480,18480,Fire And Rescue Formal Classroom Training Courses: 2012 - 2014,"['All', 'sessions', 'of', 'training', 'courses', 'conducted', 'at', 'the', 'Public', 'Safety', 'Training', 'Center', 'by', 'HCDFRS', 'or', 'affiliate', 'agencies', 'This', 'data', 'does', 'not', 'include', 'frequent', 'shift', 'based', 'and', 'station', 'based', 'trainings', 'of', 'field', 'personnel']",Department of Fire & Rescue Services,"['session_hours', 'session_end', 'session_provider', 'participants', 'session_start', 'course_title']","['Session_Hours', 'Session_End', 'Session_Provider', 'Participants', 'Session_Start', 'Course_Title']",dataset,['environment'],Public Safety,"['ems', 'fire', 'training']",official,137.0,2.0,2.0,94120.0,16.5222290283,opendata.howardcountymd.gov,"['ems', 'fire', 'training', 'environment', 'public', 'safety']","['ems', 'fire', 'training', 'environment', 'public', 'safety', 'All', 'sessions', 'of', 'training', 'courses', 'conducted', 'at', 'the', 'Public', 'Safety', 'Training', 'Center', 'by', 'HCDFRS', 'or', 'affiliate', 'agencies', 'This', 'data', 'does', 'not', 'include', 'frequent', 'shift', 'based', 'and', 'station', 'based', 'trainings', 'of', 'field', 'personnel']","[(7, 0.037749287749287715), (9, 0.10753187481171676), (12, 0.037749287749287715), (15, 0.051617753555919327), (16, 0.12311094349880093), (21, 0.14106806178950096), (23, 0.090420217472712408), (26, 0.22492370984845053), (28, 0.037749287749287715), (40, 0.037749287749287715), (44, 0.081128008823468101)]","[(26, 0.22492370984845053), (21, 0.14106806178950096), (16, 0.12311094349880093), (9, 0.10753187481171676), (23, 0.09042021747271241), (44, 0.0811280088234681), (15, 0.05161775355591933), (7, 0.037749287749287715), (12, 0.037749287749287715), (28, 0.037749287749287715), (40, 0.037749287749287715)]",26
13378,13547,13547,Map of Police Department Incidents,"['Incidents', 'are', 'derived', 'from', 'SFPD', 'Crime', 'Incident', 'Reporting', 'system', 'Updated', 'on', 'a', 'daily', 'basis;data', 'available', 'from', '1', 'Jan', '2003', 'up', 'until', 'two', 'weeks', 'from', 'current', 'date']",City and County of San Francisco,"['descript', 'location', 'y', 'resolution', 'dayofweek', 'time', 'category', 'pddistrict', 'x', 'address', 'date', 'incidntnum']","['Descript', 'Location', 'Y', 'Resolution', 'DayOfWeek', 'Time', 'Category', 'PdDistrict', 'X', 'Address', 'Date', 'IncidntNum']",map,['public safety'],Public Safety,"['police', 'sfpd']",official,10433.0,1367.0,224.0,80506.0,16.2968266091,data.sfgov.org,"['police', 'sfpd', 'public', 'safety', 'public', 'safety']","['police', 'sfpd', 'public', 'safety', 'public', 'safety', 'Incidents', 'are', 'derived', 'from', 'SFPD', 'Crime', 'Incident', 'Reporting', 'system', 'Updated', 'on', 'a', 'daily', 'basis;data', 'available', 'from', '1', 'Jan', '2003', 'up', 'until', 'two', 'weeks', 'from', 'current', 'date']","[(12, 0.17474916387959849), (20, 0.044314381270902967), (21, 0.32553026574012783), (26, 0.34107453699355678), (27, 0.075033993252936831)]","[(26, 0.3410745369935568), (21, 0.32553026574012783), (12, 0.1747491638795985), (27, 0.07503399325293683), (20, 0.04431438127090297)]",26
13379,13548,13548,Police Department Incidents,"['***INCIDENT', 'New', 'data', 'has', 'not', 'been', 'loading', 'since', 'July', '6th', '2017', 'we', 'are', 'investigating', 'the', 'issue', 'and', 'identifying', 'a', 'solution', 'to', 'resume', 'timely', 'data', 'updates', 'this', 'notice', 'will', 'remain', 'up', 'until', 'we', 'have', 'a', 'solution', 'posted', 'July', '31', '2017***', '***As', 'of', 'July', '19', '2015', 'the', 'PD', 'District', 'boundaries', 'have', 'been', 'updated', 'through', 'a', 'redistricting', 'process', 'These', 'new', 'boundaries', 'are', 'not', 'reflected', 'in', 'the', 'dataset', 'yet', 'so', 'you', 'cannot', 'compare', 'data', 'from', 'July', '19', '2015', 'onward', 'to', 'official', 'reports', 'from', 'PD', 'with', 'the', 'Police', 'District', 'column', 'We', 'are', 'working', 'on', 'an', 'update', 'to', 'the', 'dataset', 'to', 'reflect', 'the', 'updated', 'boundaries', 'starting', 'with', 'data', 'entered', 'July', '19', 'onward', '***', 'Incidents', 'derived', 'from', 'SFPD', 'Crime', 'Incident', 'Reporting', 'system', 'Updated', 'daily', 'showing', 'data', 'from', '1/1/2003', 'up', 'until', 'two', 'weeks', 'ago', 'from', 'current', 'date', 'Please', 'note', 'San', 'Francisco', 'police', 'have', 'implemented', 'a', 'new', 'system', 'for', 'tracking', 'crime', 'The', 'dataset', 'included', 'here', 'is', 'still', 'coming', 'from', 'the', 'old', 'system', 'which', 'is', 'in', 'the', 'process', 'of', 'being', 'retired', '(a', 'multi', 'year', 'process)', 'Data', 'included', 'here', 'is', 'no', 'longer', 'the', 'official', 'SFPD', 'data']",City and County of San Francisco,"['dayofweek', 'incidntnum', 'time', 'pddistrict', 'date', 'category', 'address', 'x', 'descript', 'location', 'resolution', 'pdid', 'y']","['DayOfWeek', 'IncidntNum', 'Time', 'PdDistrict', 'Date', 'Category', 'Address', 'X', 'Descript', 'Location', 'Resolution', 'PdId', 'Y']",dataset,['public safety'],Public Safety,"['crime', 'sfpd', 'police department']",official,34728.0,3307.0,725.0,77426.0,16.2405491239,data.sfgov.org,"['crime', 'sfpd', 'police', 'department', 'public', 'safety', 'public', 'safety']","['crime', 'sfpd', 'police', 'department', 'public', 'safety', 'public', 'safety', '***INCIDENT', 'New', 'data', 'has', 'not', 'been', 'loading', 'since', 'July', '6th', '2017', 'we', 'are', 'investigating', 'the', 'issue', 'and', 'identifying', 'a', 'solution', 'to', 'resume', 'timely', 'data', 'updates', 'this', 'notice', 'will', 'remain', 'up', 'until', 'we', 'have', 'a', 'solution', 'posted', 'July', '31', '2017***', '***As', 'of', 'July', '19', '2015', 'the', 'PD', 'District', 'boundaries', 'have', 'been', 'updated', 'through', 'a', 'redistricting', 'process', 'These', 'new', 'boundaries', 'are', 'not', 'reflected', 'in', 'the', 'dataset', 'yet', 'so', 'you', 'cannot', 'compare', 'data', 'from', 'July', '19', '2015', 'onward', 'to', 'official', 'reports', 'from', 'PD', 'with', 'the', 'Police', 'District', 'column', 'We', 'are', 'working', 'on', 'an', 'update', 'to', 'the', 'dataset', 'to', 'reflect', 'the', 'updated', 'boundaries', 'starting', 'with', 'data', 'entered', 'July', '19', 'onward', '***', 'Incidents', 'derived', 'from', 'SFPD', 'Crime', 'Incident', 'Reporting', 'system', 'Updated', 'daily', 'showing', 'data', 'from', '1/1/2003', 'up', 'until', 'two', 'weeks', 'ago', 'from', 'current', 'date', 'Please', 'note', 'San', 'Francisco', 'police', 'have', 'implemented', 'a', 'new', 'system', 'for', 'tracking', 'crime', 'The', 'dataset', 'included', 'here', 'is', 'still', 'coming', 'from', 'the', 'old', 'system', 'which', 'is', 'in', 'the', 'process', 'of', 'being', 'retired', '(a', 'multi', 'year', 'process)', 'Data', 'included', 'here', 'is', 'no', 'longer', 'the', 'official', 'SFPD', 'data']","[(0, 0.010766976351835681), (1, 0.018840690301746628), (4, 0.099586715079512389), (6, 0.011983373039618559), (12, 0.078901608773913764), (14, 0.010892697937694672), (15, 0.021625845628228817), (16, 0.014286340444619615), (18, 0.033912513155724966), (22, 0.01961373844055667), (23, 0.082551471844127269), (24, 0.035971063993050577), (25, 0.04382084801889994), (26, 0.13416516626156785), (27, 0.069181929682499296), (29, 0.056332715935683432), (30, 0.029071979391469594), (32, 0.027594198245368826), (38, 0.027547929632378683), (39, 0.014019536361722961), (40, 0.071314067969092662), (41, 0.028855347504109837), (43, 0.032011605715403672), (45, 0.010171182277935965), (46, 0.011839559307981752)]","[(26, 0.13416516626156785), (4, 0.09958671507951239), (23, 0.08255147184412727), (12, 0.07890160877391376), (40, 0.07131406796909266), (27, 0.0691819296824993), (29, 0.05633271593568343), (25, 0.04382084801889994), (24, 0.03597106399305058), (18, 0.033912513155724966), (43, 0.03201160571540367), (30, 0.029071979391469594), (41, 0.028855347504109837), (32, 0.027594198245368826), (38, 0.027547929632378683), (15, 0.021625845628228817), (22, 0.01961373844055667), (1, 0.018840690301746628), (16, 0.014286340444619615), (39, 0.014019536361722961), (6, 0.011983373039618559), (46, 0.011839559307981752), (14, 0.010892697937694672), (0, 0.010766976351835681), (45, 0.010171182277935965)]",26
