,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
18296,18465,18465,Howard County Police Department Call For Service - 2014-2016,"['Calls', 'for', 'Service', 'by', 'computer', 'aided', 'dispatch', '(CAD)', 'event', 'type', 'date', 'time', 'location', 'statistical', 'reporting', 'area', '(SRA)', 'and', 'beat']",,"['date_reported', 'location', 'time_reported', 'beat', 'statistical_reporting_area', 'computer_aided_dispatch_event_type']","['Date_Reported', 'Location', 'Time_Reported', 'Beat', 'Statistical_Reporting_Area', 'Computer_Aided_Dispatch_Event_Type']",dataset,[],Public Safety,"['dispatch', 'calls', 'beat', 'sra', 'cad']",official,220.0,55.0,4.0,3670586.0,21.8075793665,opendata.howardcountymd.gov,"['dispatch', 'calls', 'beat', 'sra', 'cad', 'public', 'safety']","['dispatch', 'calls', 'beat', 'sra', 'cad', 'public', 'safety', 'Calls', 'for', 'Service', 'by', 'computer', 'aided', 'dispatch', '(CAD)', 'event', 'type', 'date', 'time', 'location', 'statistical', 'reporting', 'area', '(SRA)', 'and', 'beat']","[(5, 0.23936603796971234), (21, 0.38247669791428424), (24, 0.1250211515696357), (26, 0.11912586618827946), (30, 0.051921856946632504), (32, 0.045229415052480626)]","[(21, 0.38247669791428424), (5, 0.23936603796971234), (24, 0.1250211515696357), (26, 0.11912586618827946), (30, 0.051921856946632504), (32, 0.045229415052480626)]",21
18298,18467,18467,Fire And Rescue Apparatus Responses: 2012 - 2014,"['One', 'record', 'for', 'each', 'emergency', 'response', 'by', 'a', 'Fire', 'Department', 'unit', 'including', 'dispatch', 'and', 'response', 'times', 'action', 'taken', 'and', 'counts', 'of', 'personnel', 'which', 'responded', 'This', 'is', 'an', 'expansion', 'of', 'data', 'available', 'in', 'the', 'Howard', 'County', 'Fire', 'And', 'Rescue', 'Incidents', 'data', 'set', 'Further', 'detail', 'is', 'available', 'in', 'the', 'Howard', 'County', 'Fire', 'and', 'Rescue', 'Personnel', 'Responses', 'data', 'set']",Department of Fire and Rescue Services,"['incident_id', 'dispatch_time', 'canceled_enroute', 'action_taken_code', 'action_taken', 'first_arriving_unit', 'apparartus_type', 'apparatus_type_code', 'apparatus_id', 'responded_from_quarters', 'number_of_people', 'arrival_time', 'enroute_scene_time']","['Incident_ID', 'Dispatch_Time', 'Canceled_Enroute', 'Action_Taken_Code', 'Action_Taken', 'First_Arriving_Unit', 'Apparartus_Type', 'Apparatus_Type_Code', 'Apparatus_ID', 'Responded_From_Quarters', 'Number_Of_People', 'Arrival_Time', 'Enroute_Scene_Time']",dataset,['public safety'],Public Safety,"['apparatus', 'ems', 'fire', 'rescue']",official,155.0,6.0,0.0,1872011.0,20.8361582523,opendata.howardcountymd.gov,"['apparatus', 'ems', 'fire', 'rescue', 'public', 'safety', 'public', 'safety']","['apparatus', 'ems', 'fire', 'rescue', 'public', 'safety', 'public', 'safety', 'One', 'record', 'for', 'each', 'emergency', 'response', 'by', 'a', 'Fire', 'Department', 'unit', 'including', 'dispatch', 'and', 'response', 'times', 'action', 'taken', 'and', 'counts', 'of', 'personnel', 'which', 'responded', 'This', 'is', 'an', 'expansion', 'of', 'data', 'available', 'in', 'the', 'Howard', 'County', 'Fire', 'And', 'Rescue', 'Incidents', 'data', 'set', 'Further', 'detail', 'is', 'available', 'in', 'the', 'Howard', 'County', 'Fire', 'and', 'Rescue', 'Personnel', 'Responses', 'data', 'set']","[(0, 0.024652598627135352), (2, 0.073588975187774672), (4, 0.057575827548473589), (7, 0.024267399267399303), (8, 0.048091510994806783), (11, 0.021086825507981709), (21, 0.67203894249492946), (38, 0.034230616146817987), (50, 0.02477865953603783)]","[(21, 0.6720389424949295), (2, 0.07358897518777467), (4, 0.05757582754847359), (8, 0.04809151099480678), (38, 0.03423061614681799), (50, 0.02477865953603783), (0, 0.024652598627135352), (7, 0.024267399267399303), (11, 0.02108682550798171)]",21
18299,18468,18468,Fire & Rescue Incidents: 2012 - Present,"['One', 'record', 'for', 'each', 'emergency', 'on', 'which', 'the', 'Fire', 'Department', 'sent', 'apparatus', 'and', 'personnel', 'More', 'detail', 'is', 'available', 'in', 'the', 'Apparatus', 'Response', 'and', 'Personnel', 'Response', 'data', 'sets']",,"['citizen_injuries', 'fire_service_injuries', 'citizen_fatalities', 'property_use_code', 'state', 'zip', 'city', 'number_ambulances', 'property_use', 'incident_type_code', 'incident_number', 'incident_type', 'date_time', 'action_taken', 'number_other_personnel', 'number_fire_personnel', 'first_due_station', 'number_engines', 'action_taken_code', 'number_medical_personnel', 'number_other', 'fire_service_fatalities', 'emergency_medical_service_provided']","['Citizen_Injuries', 'Fire_Service_Injuries', 'Citizen_Fatalities', 'Property_Use_Code', 'State', 'Zip', 'City', 'Number_Ambulances', 'Property_Use', 'Incident_Type_Code', 'Incident_Number', 'Incident_Type', 'Date_Time', 'Action_Taken', 'Number_Other_Personnel', 'Number_Fire_Personnel', 'FIrst_Due_Station', 'Number_Engines', 'Action_Taken_Code', 'Number_Medical_Personnel', 'Number_Other', 'Fire_Service_Fatalities', 'Emergency_Medical_Service_Provided']",dataset,[],Public Safety,"['ems', 'fire']",official,185.0,14.0,0.0,1855295.0,20.8232179468,opendata.howardcountymd.gov,"['ems', 'fire', 'public', 'safety']","['ems', 'fire', 'public', 'safety', 'One', 'record', 'for', 'each', 'emergency', 'on', 'which', 'the', 'Fire', 'Department', 'sent', 'apparatus', 'and', 'personnel', 'More', 'detail', 'is', 'available', 'in', 'the', 'Apparatus', 'Response', 'and', 'Personnel', 'Response', 'data', 'sets']","[(4, 0.097787828727044945), (21, 0.54555951349663345), (26, 0.075390668671372577), (38, 0.11739931147701713), (46, 0.065741837497796884), (50, 0.053890070899364748)]","[(21, 0.5455595134966335), (38, 0.11739931147701713), (4, 0.09778782872704495), (26, 0.07539066867137258), (46, 0.06574183749779688), (50, 0.05389007089936475)]",21
18300,18469,18469,Fire & Rescue Personnel Responses: 2012 - 2014,"['One', 'record', 'for', 'each', 'emergency', 'response', 'by', 'a', 'Fire', 'Department', 'member', 'including', 'rank', 'and', 'career', '/', 'volunteer', '/', 'contingent', 'status', 'of', 'personnel', 'which', 'responded', 'This', 'is', 'an', 'expansion', 'of', 'data', 'available', 'in', 'the', 'Howard', 'County', 'Fire', 'And', 'Rescue', 'Incidents', 'data', 'set', 'Further', 'detail', 'is', 'available', 'in', 'the', 'Howard', 'County', 'Fire', 'and', 'Rescue', 'Personnel', 'Responses', 'data', 'set']",Department of Fire and Rescue Services,"['incident_id', 'apparatus_id', 'rank', 'incidentdate', 'status']","['Incident_ID', 'Apparatus_ID', 'Rank', 'incidentdate', 'Status']",dataset,[],Public Safety,"['ems', 'fire', 'personnel', 'rescue']",official,130.0,4.0,1.0,1843477.0,20.8139987688,opendata.howardcountymd.gov,"['ems', 'fire', 'personnel', 'rescue', 'public', 'safety']","['ems', 'fire', 'personnel', 'rescue', 'public', 'safety', 'One', 'record', 'for', 'each', 'emergency', 'response', 'by', 'a', 'Fire', 'Department', 'member', 'including', 'rank', 'and', 'career', '/', 'volunteer', '/', 'contingent', 'status', 'of', 'personnel', 'which', 'responded', 'This', 'is', 'an', 'expansion', 'of', 'data', 'available', 'in', 'the', 'Howard', 'County', 'Fire', 'And', 'Rescue', 'Incidents', 'data', 'set', 'Further', 'detail', 'is', 'available', 'in', 'the', 'Howard', 'County', 'Fire', 'and', 'Rescue', 'Personnel', 'Responses', 'data', 'set']","[(0, 0.025327867199021838), (2, 0.082477589404546414), (4, 0.1028485167291123), (8, 0.049263002010271707), (11, 0.026890718882508696), (15, 0.029476663368702982), (20, 0.025846919057451789), (21, 0.51486482269590994), (27, 0.062760905892344926), (38, 0.034012440873339142), (50, 0.026999784656022742)]","[(21, 0.5148648226959099), (4, 0.1028485167291123), (2, 0.08247758940454641), (27, 0.06276090589234493), (8, 0.04926300201027171), (38, 0.03401244087333914), (15, 0.02947666336870298), (50, 0.026999784656022742), (11, 0.026890718882508696), (20, 0.02584691905745179), (0, 0.025327867199021838)]",21
18301,18470,18470,Fire Dispatches: 2012 - 2014,"['Emergency', 'incidents', 'created', 'by', ""HCPD's"", '911', 'Dispatch', 'Center', 'and', 'classified', 'as', 'Fire', 'Rescue', 'or', 'Emergency', 'Medical', 'Service', '(EMS)', 'calls', 'Not', 'all', 'of', 'these', 'incidents', 'are', 'created', 'as', 'cases', 'and', 'thus', 'not', 'all', 'of', 'these', 'incidents', 'have', 'a', 'matching', 'record', 'in', 'the', 'Howard', 'County', 'Fire', 'Rescue', 'Incidents', 'table']",Department of Fire & Rescue Services,"['incident_date', 'id', 'type_english', 'type_code', 'station', 'location', 'sub_type_code', 'sub_type_english']","['Incident_Date', 'ID', 'Type_English', 'Type_Code', 'Station', 'Location', 'Sub_Type_Code', 'Sub_Type_English']",dataset,"['public safety', 'health']",Public Safety,"['911', 'dispatch', 'ems', 'fire', 'rescue']",official,160.0,19.0,0.0,1720909.0,20.7147402187,opendata.howardcountymd.gov,"['911', 'dispatch', 'ems', 'fire', 'rescue', 'public', 'safety', 'health', 'public', 'safety']","['911', 'dispatch', 'ems', 'fire', 'rescue', 'public', 'safety', 'health', 'public', 'safety', 'Emergency', 'incidents', 'created', 'by', ""HCPD's"", '911', 'Dispatch', 'Center', 'and', 'classified', 'as', 'Fire', 'Rescue', 'or', 'Emergency', 'Medical', 'Service', '(EMS)', 'calls', 'Not', 'all', 'of', 'these', 'incidents', 'are', 'created', 'as', 'cases', 'and', 'thus', 'not', 'all', 'of', 'these', 'incidents', 'have', 'a', 'matching', 'record', 'in', 'the', 'Howard', 'County', 'Fire', 'Rescue', 'Incidents', 'table']","[(2, 0.056053498545754948), (4, 0.059763690607705061), (5, 0.058844215266110472), (8, 0.02613754828464156), (9, 0.040284503770866439), (21, 0.5598869234076721), (25, 0.026915964063902582), (32, 0.051775147928994146), (41, 0.036385239219913525), (50, 0.063243209732842864)]","[(21, 0.5598869234076721), (50, 0.06324320973284286), (4, 0.05976369060770506), (5, 0.05884421526611047), (2, 0.05605349854575495), (32, 0.051775147928994146), (9, 0.04028450377086644), (41, 0.036385239219913525), (25, 0.02691596406390258), (8, 0.02613754828464156)]",21
21540,21709,21709,Dallas Police Active Calls,"['Disclaimer', 'The', 'calls', 'listed', 'here', 'are', 'only', 'those', 'where', 'the', 'element', 'assigned', 'to', 'the', 'call', 'has', 'arrived', 'and', 'is', 'currently', 'working', 'the', 'call', 'It', 'does', 'not', 'include', 'any', 'calls', 'for', 'service', 'whether', 'currently', 'being', 'worked', 'or', 'not', 'that', 'are', 'not', 'releasable', 'due', 'to', 'privacy', 'laws']",Dallas Police Department,"['reporting_area', 'unit_number', 'status', 'priority', 'division', 'beat', 'nature_of_call', 'block', 'location', 'date_time', 'incident_number']","['Reporting Area', 'Responding Elements Number', 'Status', 'Priority', 'Division', 'Beat', 'Nature of Call', 'Block', 'Location', 'Date/Time', 'Incident Number']",dataset,['public safety'],Public Safety,"['police', 'public safety', 'active calls']",official,,57998.0,14007.0,524458.0,19.0004704678,www.dallasopendata.com,"['police', 'public', 'safety', 'active', 'calls', 'public', 'safety', 'public', 'safety']","['police', 'public', 'safety', 'active', 'calls', 'public', 'safety', 'public', 'safety', 'Disclaimer', 'The', 'calls', 'listed', 'here', 'are', 'only', 'those', 'where', 'the', 'element', 'assigned', 'to', 'the', 'call', 'has', 'arrived', 'and', 'is', 'currently', 'working', 'the', 'call', 'It', 'does', 'not', 'include', 'any', 'calls', 'for', 'service', 'whether', 'currently', 'being', 'worked', 'or', 'not', 'that', 'are', 'not', 'releasable', 'due', 'to', 'privacy', 'laws']","[(20, 0.039912521710976763), (21, 0.5165220139692146), (22, 0.038863548798579881), (26, 0.099107431173482807), (31, 0.033974358974358937), (42, 0.20797726772021588), (50, 0.034796703807016549)]","[(21, 0.5165220139692146), (42, 0.20797726772021588), (26, 0.09910743117348281), (20, 0.03991252171097676), (22, 0.03886354879857988), (50, 0.03479670380701655), (31, 0.03397435897435894)]",21
13207,13376,13376,Seattle Police Department 911 Incident Response,"['This', 'dataset', 'is', 'all', 'the', 'Police', 'responses', 'to', '9', '1', '1', 'calls', 'within', 'the', 'city', 'Police', 'response', 'data', 'shows', 'all', 'officers', 'dispatched', 'To', 'protect', 'the', 'security', 'of', 'a', 'scene', 'the', 'safety', 'of', 'officers', 'and', 'the', 'public', 'and', 'sensitive', 'ongoing', 'investigation', 'these', 'events', 'are', 'added', 'to', 'the', 'data', 'seattle', 'gov', 'only', 'after', 'the', 'incident', 'is', 'considered', 'safe', 'to', 'close', 'out', 'Data', 'is', 'refreshed', 'on', 'a', '4', 'hour', 'interval']","City of Seattle, Department of Information Technology, Seattle Police Department","['census_tract', 'district_sector', 'event_clearance_group', 'latitude', 'initial_type_group', 'cad_event_number', 'initial_type_subgroup', 'initial_type_description', 'event_clearance_subgroup', 'event_clearance_description', 'longitude', 'at_scene_time', 'incident_location', 'hundred_block_location', 'event_clearance_date', 'cad_cdw_id', 'event_clearance_code', 'general_offense_number', 'zone_beat']","['Census Tract', 'District/Sector', 'Event Clearance Group', 'Latitude', 'Initial Type Group', 'CAD Event Number', 'Initial Type Subgroup', 'Initial Type Description', 'Event Clearance SubGroup', 'Event Clearance Description', 'Longitude', 'At Scene Time', 'Incident Location', 'Hundred Block Location', 'Event Clearance Date', 'CAD CDW ID', 'Event Clearance Code', 'General Offense Number', 'Zone/Beat']",dataset,['public safety'],Public Safety,"['crime', 'census911incidents', 'incident response', '911', 'police']",official,,4155.0,838.0,127040.0,16.9549346482,data.seattle.gov,"['crime', 'census911incidents', 'incident', 'response', '911', 'police', 'public', 'safety', 'public', 'safety']","['crime', 'census911incidents', 'incident', 'response', '911', 'police', 'public', 'safety', 'public', 'safety', 'This', 'dataset', 'is', 'all', 'the', 'Police', 'responses', 'to', '9', '1', '1', 'calls', 'within', 'the', 'city', 'Police', 'response', 'data', 'shows', 'all', 'officers', 'dispatched', 'To', 'protect', 'the', 'security', 'of', 'a', 'scene', 'the', 'safety', 'of', 'officers', 'and', 'the', 'public', 'and', 'sensitive', 'ongoing', 'investigation', 'these', 'events', 'are', 'added', 'to', 'the', 'data', 'seattle', 'gov', 'only', 'after', 'the', 'incident', 'is', 'considered', 'safe', 'to', 'close', 'out', 'Data', 'is', 'refreshed', 'on', 'a', '4', 'hour', 'interval']","[(3, 0.049659311412162149), (5, 0.025480769230769265), (8, 0.030004224538468509), (9, 0.029104721890917052), (21, 0.4216338022309104), (23, 0.097115661708339449), (26, 0.16332885117414078), (32, 0.041955287417238973), (36, 0.02719266066085373), (42, 0.09433240204389351)]","[(21, 0.4216338022309104), (26, 0.16332885117414078), (23, 0.09711566170833945), (42, 0.09433240204389351), (3, 0.04965931141216215), (32, 0.04195528741723897), (8, 0.03000422453846851), (9, 0.029104721890917052), (36, 0.02719266066085373), (5, 0.025480769230769265)]",21
18307,18476,18476,Fire And Rescue Mutual Aid To Other Counties: 2012 - 2014,"['One', 'record', 'for', 'each', 'incident', 'on', 'which', 'Howard', 'County', 'Fire', 'was', 'called', 'to', 'assist', 'another', 'county']",Department of Fire & Rescue Services,"['dispatch_type', 'incident_id', 'county', 'incident_date']","['Dispatch_Type', 'Incident_ID', 'County', 'Incident_Date']",dataset,[],Public Safety,"['ems', 'fire', 'mutual aid']",official,137.0,3.0,0.0,122892.0,16.9070432164,opendata.howardcountymd.gov,"['ems', 'fire', 'mutual', 'aid', 'public', 'safety']","['ems', 'fire', 'mutual', 'aid', 'public', 'safety', 'One', 'record', 'for', 'each', 'incident', 'on', 'which', 'Howard', 'County', 'Fire', 'was', 'called', 'to', 'assist', 'another', 'county']","[(2, 0.10291667469400452), (8, 0.059978758914762953), (13, 0.068661850765169494), (15, 0.059954751131221638), (21, 0.50355832318007709), (46, 0.094069912807975942), (50, 0.059954751131221638)]","[(21, 0.5035583231800771), (2, 0.10291667469400452), (46, 0.09406991280797594), (13, 0.0686618507651695), (8, 0.05997875891476295), (15, 0.05995475113122164), (50, 0.05995475113122164)]",21
18309,18478,18478,Stormwater Management Inspections: January 2015 - Present,"['This', 'is', 'a', 'month', 'by', 'month', 'list', 'of', 'all', 'stormwater', 'management', 'inspections', 'performed', 'or', 'overseen', 'by', 'the', 'Stormwater', 'Management', 'Division', 'in', 'the', 'Bureau', 'of', 'Environmental', 'Services', 'The', 'list', 'includes', 'Inspection', 'Year', 'and', 'Month', 'which', 'is', 'the', 'year', 'and', 'month', 'in', 'which', 'inspection', 'field', 'work', 'additional', 'investigation', 'and', 'reporting', 'was', 'completed', 'Inspection', 'Cycle', 'and', 'Sequence', 'Number', 'which', 'are', 'scheduling', 'and', 'identification', 'codes', 'used', 'by', 'the', 'Stormwater', 'Management', 'Division', 'Facility', 'Type', 'which', 'is', 'the', 'design', 'of', 'the', 'facility', 'according', 'to', 'the', 'Maryland', 'Stormwater', 'Design', 'Manual', 'Facility', 'Location', 'which', 'is', 'the', 'physical', 'location', 'of', 'the', 'facility']",Department of Public Works,"['facility_location', 'facility_type', 'sequence_number', 'inspection_cycle', 'inspection_month', 'inspection_year']","['Facility_Location', 'Facility_Type', 'Sequence_Number', 'Inspection_Cycle', 'Inspection_Month', 'Inspection_Year']",dataset,[],Utilities and Public Works,['stormwater management inspection'],official,183.0,26.0,10.0,104673.0,16.6755436098,opendata.howardcountymd.gov,"['stormwater', 'management', 'inspection', 'utilities', 'and', 'public', 'works']","['stormwater', 'management', 'inspection', 'utilities', 'and', 'public', 'works', 'This', 'is', 'a', 'month', 'by', 'month', 'list', 'of', 'all', 'stormwater', 'management', 'inspections', 'performed', 'or', 'overseen', 'by', 'the', 'Stormwater', 'Management', 'Division', 'in', 'the', 'Bureau', 'of', 'Environmental', 'Services', 'The', 'list', 'includes', 'Inspection', 'Year', 'and', 'Month', 'which', 'is', 'the', 'year', 'and', 'month', 'in', 'which', 'inspection', 'field', 'work', 'additional', 'investigation', 'and', 'reporting', 'was', 'completed', 'Inspection', 'Cycle', 'and', 'Sequence', 'Number', 'which', 'are', 'scheduling', 'and', 'identification', 'codes', 'used', 'by', 'the', 'Stormwater', 'Management', 'Division', 'Facility', 'Type', 'which', 'is', 'the', 'design', 'of', 'the', 'facility', 'according', 'to', 'the', 'Maryland', 'Stormwater', 'Design', 'Manual', 'Facility', 'Location', 'which', 'is', 'the', 'physical', 'location', 'of', 'the', 'facility']","[(1, 0.018883247338160016), (4, 0.049325742763048096), (10, 0.02478441878832344), (14, 0.028173240065547313), (19, 0.017501090242916611), (20, 0.039320429089536826), (21, 0.15334161112065212), (28, 0.025224889258479717), (31, 0.017099660923328007), (33, 0.077545495465835224), (34, 0.03066508286890364), (35, 0.057409376453681035), (36, 0.026858750708898066), (41, 0.12838304018076913), (42, 0.069143163472145802), (46, 0.12480229972131376), (47, 0.10032051282051285)]","[(21, 0.15334161112065212), (41, 0.12838304018076913), (46, 0.12480229972131376), (47, 0.10032051282051285), (33, 0.07754549546583522), (42, 0.0691431634721458), (35, 0.057409376453681035), (4, 0.049325742763048096), (20, 0.039320429089536826), (34, 0.03066508286890364), (14, 0.028173240065547313), (36, 0.026858750708898066), (28, 0.025224889258479717), (10, 0.02478441878832344), (1, 0.018883247338160016), (19, 0.01750109024291661), (31, 0.017099660923328007)]",21
9600,9769,9769,Leaf Collection Posting Log,"['This', 'dataset', 'contains', 'leaf', 'collection', 'dates', 'for', 'area', 'and', 'subarea', 'where', 'leaf', 'collection', 'service', 'is', 'provided', 'by', 'Montgomery', 'County', 'Department', 'of', 'Transportation', 'Update', 'Frequency', 'Daily', '(September', 'through', 'December)', 'Monthly', 'update', '(January', 'through', 'August)', 'on', 'the', 'first', 'day', 'of', 'each', 'month']",,"['area', 'date_sign_posted_round_2', 'sub_area', 'collection_sequence', 'date_on_sign_round_2', 'date_area_started_round_1', 'date_area_started_round_2', 'date_area_ended_round_1', 'date_sign_posted_round_1', 'date_area_ended_round_2', 'date_on_sign_round_1']","['Area', 'Date Sign Posted (Round 2)', 'Sub Area', 'Collection Sequence', 'Planned Start (Round 2)', 'Date Area Started (Round 1)', 'Date Area Started (Round 2)', 'Date Area Ended (Round 1)', 'Date Sign Posted (Round 1)', 'Date Area Ended (Round 2)', 'Planned Start (Round 1)']",dataset,"['demographics', 'transportation']",Environment,"['department of transportation', 'schedule', 'log', 'leaf collection']",official,1147.0,39.0,11.0,104412.0,16.6719418211,data.montgomerycountymd.gov,"['department', 'of', 'transportation', 'schedule', 'log', 'leaf', 'collection', 'demographics', 'transportation', 'environment']","['department', 'of', 'transportation', 'schedule', 'log', 'leaf', 'collection', 'demographics', 'transportation', 'environment', 'This', 'dataset', 'contains', 'leaf', 'collection', 'dates', 'for', 'area', 'and', 'subarea', 'where', 'leaf', 'collection', 'service', 'is', 'provided', 'by', 'Montgomery', 'County', 'Department', 'of', 'Transportation', 'Update', 'Frequency', 'Daily', '(September', 'through', 'December)', 'Monthly', 'update', '(January', 'through', 'August)', 'on', 'the', 'first', 'day', 'of', 'each', 'month']","[(2, 0.085733438664518213), (3, 0.11415324314712294), (6, 0.030440779669406448), (9, 0.088705822778055138), (12, 0.13034106799587553), (17, 0.11783588591938818), (18, 0.099403295722063717), (21, 0.18275288166433862), (33, 0.044635068567614643), (40, 0.028033201954979003), (41, 0.056063604514928748)]","[(21, 0.18275288166433862), (12, 0.13034106799587553), (17, 0.11783588591938818), (3, 0.11415324314712294), (18, 0.09940329572206372), (9, 0.08870582277805514), (2, 0.08573343866451821), (41, 0.05606360451492875), (33, 0.04463506856761464), (6, 0.030440779669406448), (40, 0.028033201954979003)]",21
