,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9356,9525,9525,Open Meetings,"['Schedule', 'of', 'Missouri', 'Open', 'Meetings']",,"['meeting_body_name', 'committee', 'begin_date_time', 'is_all_day', 'has_end', 'end_date_time', 'building_name', 'room', 'address', 'address2', 'city', 'state', 'zip', 'webcast_url', 'webcast_plugin', 'is_video_conf', 'is_conf_call', 'conf_call_number', 'conf_call_id', 'conf_call_password', 'contact_first_name', 'contact_last_name', 'phone', 'email', 'notes', 'materials_url', 'archived_url', 'publication_date', 'amendments', 'amendment_date', 'latlng']","['Meeting Body Name', 'Committee', 'Begin Date Time', 'Is All Day', 'Has End', 'End Date Time', 'Building Name', 'Room', 'Address', 'Address2', 'City', 'State', 'Zip', 'Webcast URL', 'Webcast Plugin', 'Is Video Conf', 'Is Conf Call', 'Conf Call Number', 'Conf Call ID', 'Conf Call Password', 'Contact First Name', 'Contact Last Name', 'Phone', 'Email', 'Notes', 'Materials URL', 'Archived URL', 'Publication Date', 'Amendments', 'Amendment Date', 'LatLng']",dataset,[],Government Administration,['open meetings'],official,1376.0,0.0,0.0,509480.0,18.9586688196,data.mo.gov,"['open', 'meetings', 'government', 'administration']","['open', 'meetings', 'government', 'administration', 'Schedule', 'of', 'Missouri', 'Open', 'Meetings']","[(3, 0.33547008547008539), (10, 0.22435897435897431), (32, 0.22435897435897431), (45, 0.11324786324786322)]","[(3, 0.3354700854700854), (10, 0.2243589743589743), (32, 0.2243589743589743), (45, 0.11324786324786322)]",3
9357,9526,9526,Open Meetings Calendar,"['Schedule', 'of', 'Missouri', 'Open', 'Meetings']",,"['meeting_body_name', 'committee', 'begin_date_time', 'is_all_day', 'has_end', 'end_date_time', 'building_name', 'room', 'address', 'address2', 'city', 'state', 'zip', 'webcast_url', 'webcast_plugin', 'is_video_conf', 'is_conf_call', 'conf_call_number', 'conf_call_id', 'conf_call_password', 'contact_first_name', 'contact_last_name', 'phone', 'email', 'notes', 'materials_url', 'archived_url', 'publication_date', 'amendments', 'amendment_date', 'latlng']","['Meeting Body Name', 'Committee', 'Begin Date Time', 'Is All Day', 'Has End', 'End Date Time', 'Building Name', 'Room', 'Address', 'Address2', 'City', 'State', 'Zip', 'Webcast URL', 'Webcast Plugin', 'Is Video Conf', 'Is Conf Call', 'Conf Call Number', 'Conf Call ID', 'Conf Call Password', 'Contact First Name', 'Contact Last Name', 'Phone', 'Email', 'Notes', 'Materials URL', 'Archived URL', 'Publication Date', 'Amendments', 'Amendment Date', 'LatLng']",calendar,[],Government Administration,['open meetings'],official,852.0,27.0,6.0,509295.0,18.9581448608,data.mo.gov,"['open', 'meetings', 'government', 'administration']","['open', 'meetings', 'government', 'administration', 'Schedule', 'of', 'Missouri', 'Open', 'Meetings']","[(3, 0.33547008547008539), (10, 0.22435897435897431), (32, 0.22435897435897431), (45, 0.11324786324786322)]","[(3, 0.3354700854700854), (10, 0.2243589743589743), (32, 0.2243589743589743), (45, 0.11324786324786322)]",3
9358,9527,9527,Open Meetings Map,"['Schedule', 'of', 'Missouri', 'Open', 'Meetings']",,"['meeting_body_name', 'committee', 'begin_date_time', 'is_all_day', 'has_end', 'end_date_time', 'building_name', 'room', 'address', 'address2', 'city', 'state', 'zip', 'webcast_url', 'webcast_plugin', 'is_video_conf', 'is_conf_call', 'conf_call_number', 'conf_call_id', 'conf_call_password', 'contact_first_name', 'contact_last_name', 'phone', 'email', 'notes', 'materials_url', 'archived_url', 'publication_date', 'amendments', 'amendment_date', 'latlng']","['Meeting Body Name', 'Committee', 'Begin Date Time', 'Is All Day', 'Has End', 'End Date Time', 'Building Name', 'Room', 'Address', 'Address2', 'City', 'State', 'Zip', 'Webcast URL', 'Webcast Plugin', 'Is Video Conf', 'Is Conf Call', 'Conf Call Number', 'Conf Call ID', 'Conf Call Password', 'Contact First Name', 'Contact Last Name', 'Phone', 'Email', 'Notes', 'Materials URL', 'Archived URL', 'Publication Date', 'Amendments', 'Amendment Date', 'LatLng']",map,[],Government Administration,['open meetings'],official,191.0,1.0,1.0,506918.0,18.9513957135,data.mo.gov,"['open', 'meetings', 'government', 'administration']","['open', 'meetings', 'government', 'administration', 'Schedule', 'of', 'Missouri', 'Open', 'Meetings']","[(3, 0.33547008547008539), (10, 0.22435897435897431), (32, 0.22435897435897431), (45, 0.11324786324786322)]","[(3, 0.3354700854700854), (10, 0.2243589743589743), (32, 0.2243589743589743), (45, 0.11324786324786322)]",3
3380,3380,3380,Tacoma Power Outage Map,"['Current', 'Tacoma', 'Power', 'electrical', 'service', 'outages', 'The', 'data', 'is', 'auto', 'updated', 'every', '15', 'minutes', 'at', '00', '15', '30', '45', 'of', 'each', 'hour', 'Please', 'refresh', 'to', 'see', 'new', 'data']",Tacoma Power,"['location_1', 'creation_datetime', 'lat', 'city_nam', 'status', 'etr_datetime', 'location_id', 'lon', 'cust_out', 'outage_cause']","['Location_1', 'Outage Start', 'Lat', 'City Name', 'Status', 'Estimated Restoration', 'Location_Id', 'Lon', 'Customers Out', 'Cause']",map,[],Infrastructure and Transportation,"['outage', 'restoration', 'power']",official,16180.0,15561.0,2486.0,431356.0,18.7185228425,data.cityoftacoma.org,"['outage', 'restoration', 'power', 'infrastructure', 'and', 'transportation']","['outage', 'restoration', 'power', 'infrastructure', 'and', 'transportation', 'Current', 'Tacoma', 'Power', 'electrical', 'service', 'outages', 'The', 'data', 'is', 'auto', 'updated', 'every', '15', 'minutes', 'at', '00', '15', '30', '45', 'of', 'each', 'hour', 'Please', 'refresh', 'to', 'see', 'new', 'data']","[(3, 0.27115427269849529), (20, 0.087951823909742127), (33, 0.13253314920113918), (37, 0.047856446027243364), (41, 0.047662983334938659), (42, 0.057595093935739715), (43, 0.043183293829764074), (44, 0.22814685314685301), (51, 0.046328671328671286)]","[(3, 0.2711542726984953), (44, 0.228146853146853), (33, 0.13253314920113918), (20, 0.08795182390974213), (42, 0.057595093935739715), (37, 0.047856446027243364), (41, 0.04766298333493866), (51, 0.046328671328671286), (43, 0.043183293829764074)]",3
9599,9768,9768,Parking Garage Space Availability,"['This', 'dataset', 'includes', 'parking', 'spaces', 'availability', 'for', 'Montgomery', 'County', 'Public', 'Parking', 'Facilities', 'This', 'dataset', 'only', 'includes', 'facilities', 'that', 'are', 'equipped', 'with', 'vehicle', 'counting', 'systems', 'Update', 'frequency', 'Every', 'few', 'minutes']",,"['facilitynumber', 'asofdatetime', 'total_spaces', 'space_count']","['Facility Number        ', 'Last Update', 'Total Spaces', 'Space Count']",dataset,['transportation'],Transportation,"['parking', 'public facility', 'space available', 'cehicle counting', 'garage']",official,,9110.0,2173.0,374563.0,18.5148527207,data.montgomerycountymd.gov,"['parking', 'public', 'facility', 'space', 'available', 'cehicle', 'counting', 'garage', 'transportation', 'transportation']","['parking', 'public', 'facility', 'space', 'available', 'cehicle', 'counting', 'garage', 'transportation', 'transportation', 'This', 'dataset', 'includes', 'parking', 'spaces', 'availability', 'for', 'Montgomery', 'County', 'Public', 'Parking', 'Facilities', 'This', 'dataset', 'only', 'includes', 'facilities', 'that', 'are', 'equipped', 'with', 'vehicle', 'counting', 'systems', 'Update', 'frequency', 'Every', 'few', 'minutes']","[(2, 0.039918098582070488), (3, 0.30613375969806911), (5, 0.081913767155956552), (9, 0.066050056595415241), (12, 0.03397435897435893), (18, 0.070208381846092779), (20, 0.067307692307692221), (26, 0.053865405112662329), (28, 0.083254947873528856), (39, 0.17045045493107541)]","[(3, 0.3061337596980691), (39, 0.1704504549310754), (28, 0.08325494787352886), (5, 0.08191376715595655), (18, 0.07020838184609278), (20, 0.06730769230769222), (9, 0.06605005659541524), (26, 0.05386540511266233), (2, 0.03991809858207049), (12, 0.03397435897435893)]",3
2977,2977,2977,For Hire Vehicles (FHV) - Active and Inactive Vehicles,"['TLC', 'authorized', 'For', 'Hire', 'vehicles', 'that', 'are', 'active', 'or', 'inactive', 'This', 'list', 'is', 'accurate', 'to', 'the', 'date', 'and', 'time', 'represented', 'in', 'the', 'Last', 'Date', 'Updated', 'and', 'Last', 'Time', 'Updated', 'fields', 'For', 'inquiries', 'about', 'the', 'contents', 'of', 'this', 'dataset', 'please', 'email', 'licensinginquiries@tlc', 'nyc', 'gov']",Taxi and Limousine Commission (TLC),"['expiration_date', 'base_number', 'last_time_updated', 'certification_date', 'vehicle_license_number', 'last_date_updated', 'order_date', 'license_type', 'name', 'reason', 'base_address', 'active', 'hack_up_date', 'vehicle_year', 'permit_license_number', 'dmv_license_plate_number', 'vehicle_vin_number', 'wheelchair_accessible', 'website', 'base_telephone_number', 'veh', 'base_type', 'base_name']","['Expiration Date', 'Base Number', 'Last Time Updated', 'Certification Date', 'Vehicle License Number', 'Last Date Updated', 'Order Date', 'License Type', 'Name', 'Reason', 'Base Address', 'Active', 'Hack Up Date', 'Vehicle Year', 'Permit License Number', 'DMV License Plate Number', 'Vehicle VIN Number', 'Wheelchair Accessible', 'Website', 'Base Telephone Number', 'VEH', 'Base Type', 'Base Name']",dataset,[],Transportation,"['drivers', 'inactive', 'active', 'taxi', 'for-hire-vehicles', 'for-hire', 'for hire', 'fhv']",official,54523.0,30461.0,7491.0,373138.0,18.5093536311,data.cityofnewyork.us,"['drivers', 'inactive', 'active', 'taxi', 'for-hire-vehicles', 'for-hire', 'for', 'hire', 'fhv', 'transportation']","['drivers', 'inactive', 'active', 'taxi', 'for-hire-vehicles', 'for-hire', 'for', 'hire', 'fhv', 'transportation', 'TLC', 'authorized', 'For', 'Hire', 'vehicles', 'that', 'are', 'active', 'or', 'inactive', 'This', 'list', 'is', 'accurate', 'to', 'the', 'date', 'and', 'time', 'represented', 'in', 'the', 'Last', 'Date', 'Updated', 'and', 'Last', 'Time', 'Updated', 'fields', 'For', 'inquiries', 'about', 'the', 'contents', 'of', 'this', 'dataset', 'please', 'email', 'licensinginquiries@tlc', 'nyc', 'gov']","[(2, 0.12320011290577304), (3, 0.22747103388808979), (12, 0.064986379754911186), (13, 0.061252363626912797), (20, 0.032060893324673316), (27, 0.063516286975174516), (35, 0.029977375565610833), (42, 0.1599516736209787), (44, 0.092280328902769132), (48, 0.12154789532650856)]","[(3, 0.22747103388808979), (42, 0.1599516736209787), (2, 0.12320011290577304), (48, 0.12154789532650856), (44, 0.09228032890276913), (12, 0.06498637975491119), (27, 0.06351628697517452), (13, 0.0612523636269128), (20, 0.032060893324673316), (35, 0.029977375565610833)]",3
2978,2978,2978,For Hire Vehicles (FHV) - Active Drivers,"['NYC', 'TLC', 'Licensed', 'FHV', 'drivers', 'that', 'are', 'currently', 'active', 'and', 'in', 'good', 'standing', 'This', 'list', 'is', 'accurate', 'to', 'the', 'date', 'and', 'time', 'represented', 'in', 'the', 'Last', 'Date', 'Updated', 'and', 'Last', 'Time', 'Updated', 'fields', 'For', 'inquiries', 'about', 'the', 'contents', 'of', 'this', 'dataset', 'please', 'email', 'licensinginquiries@tlc', 'nyc', 'gov']",Taxi and Limousine Commission (TLC),"['license_number', 'last_time_updated', 'last_date_updated', 'name', 'type', 'expiration_date', 'wheelchair_accessible_trained']","['License Number', 'Last Time Updated', 'Last Date Updated', 'Name', 'Type', 'Expiration Date', 'Wheelchair Accessible Trained']",dataset,[],Transportation,"['for-hire-vehicles', 'drivers', 'for-hire', 'for hire', 'active', 'taxi', 'fhv']",official,47046.0,16912.0,4654.0,346025.0,18.4005209188,data.cityofnewyork.us,"['for-hire-vehicles', 'drivers', 'for-hire', 'for', 'hire', 'active', 'taxi', 'fhv', 'transportation']","['for-hire-vehicles', 'drivers', 'for-hire', 'for', 'hire', 'active', 'taxi', 'fhv', 'transportation', 'NYC', 'TLC', 'Licensed', 'FHV', 'drivers', 'that', 'are', 'currently', 'active', 'and', 'in', 'good', 'standing', 'This', 'list', 'is', 'accurate', 'to', 'the', 'date', 'and', 'time', 'represented', 'in', 'the', 'Last', 'Date', 'Updated', 'and', 'Last', 'Time', 'Updated', 'fields', 'For', 'inquiries', 'about', 'the', 'contents', 'of', 'this', 'dataset', 'please', 'email', 'licensinginquiries@tlc', 'nyc', 'gov']","[(2, 0.15053539479846248), (3, 0.23234236118024976), (10, 0.029162373750868283), (13, 0.057568436108633873), (20, 0.061685643800496653), (27, 0.070924184257842846), (35, 0.028311965811965798), (42, 0.21289782336272417), (44, 0.056387959359292521), (48, 0.077747960133565802)]","[(3, 0.23234236118024976), (42, 0.21289782336272417), (2, 0.15053539479846248), (48, 0.0777479601335658), (27, 0.07092418425784285), (20, 0.06168564380049665), (13, 0.05756843610863387), (44, 0.05638795935929252), (10, 0.029162373750868283), (35, 0.028311965811965798)]",3
2979,2979,2979,Medallion Drivers - Active,"['This', 'list', 'contains', 'the', 'most', 'recently', 'published', 'active', 'medallion', 'drivers', 'list', 'This', 'is', 'a', 'list', 'of', 'licensees', 'who', 'are', 'currently', 'authorized', 'to', 'operate', 'NYC', 'TLC', 'licensed', 'Taxicabs', 'The', 'old', 'data', 'set', 'is', 'no', 'longer', 'being', 'updated', 'but', 'can', 'be', 'accessed', 'from', 'the', 'link', 'given', 'below', 'to', 'access', 'data', 'from', '03/07/2013', 'through', '01/04/2014', 'https', '//data', 'cityofnewyork', 'us/Transportation/Medallion', 'Drivers', 'Active/n776', 'dsqy', 'A', 'new', 'Change', 'Log', 'containing', 'changes', 'in', 'status', 'from', '10/28/2013', 'onwards', 'can', 'be', 'found', 'at', 'https', '//data', 'cityofnewyork', 'us/Transportation/TLC', 'MEDALLION', 'ACTIVE', 'Historical', 'Data/sjfe', 'fppp', 'This', 'list', 'is', 'accurate', 'to', 'the', 'date', 'and', 'time', 'represented', 'in', 'the', 'Last', 'Date', 'Updated', 'and', 'Last', 'Time', 'Updated', 'fields', 'For', 'inquiries', 'about', 'the', 'contents', 'of', 'this', 'dataset', 'please', 'email', 'licensinginquiries@tlc', 'nyc', 'gov']",Taxi and Limousine Commission (TLC),"['type', 'last_updated_time', 'last_updated_date', 'expiration_date', 'name', 'license_number']","['Type', 'Last Time Updated', 'Last Date Updated', 'Expiration Date', 'Name', 'License Number']",dataset,"['transportation', 'economy']",Transportation,"['taxi', 'driver', 'taxi license', 'medallion', 'taxi driver', 'limousine', 'tlc', 'taxicab']",official,127225.0,3285.0,711.0,175748.0,17.4231569549,data.cityofnewyork.us,"['taxi', 'driver', 'taxi', 'license', 'medallion', 'taxi', 'driver', 'limousine', 'tlc', 'taxicab', 'transportation', 'economy', 'transportation']","['taxi', 'driver', 'taxi', 'license', 'medallion', 'taxi', 'driver', 'limousine', 'tlc', 'taxicab', 'transportation', 'economy', 'transportation', 'This', 'list', 'contains', 'the', 'most', 'recently', 'published', 'active', 'medallion', 'drivers', 'list', 'This', 'is', 'a', 'list', 'of', 'licensees', 'who', 'are', 'currently', 'authorized', 'to', 'operate', 'NYC', 'TLC', 'licensed', 'Taxicabs', 'The', 'old', 'data', 'set', 'is', 'no', 'longer', 'being', 'updated', 'but', 'can', 'be', 'accessed', 'from', 'the', 'link', 'given', 'below', 'to', 'access', 'data', 'from', '03/07/2013', 'through', '01/04/2014', 'https', '//data', 'cityofnewyork', 'us/Transportation/Medallion', 'Drivers', 'Active/n776', 'dsqy', 'A', 'new', 'Change', 'Log', 'containing', 'changes', 'in', 'status', 'from', '10/28/2013', 'onwards', 'can', 'be', 'found', 'at', 'https', '//data', 'cityofnewyork', 'us/Transportation/TLC', 'MEDALLION', 'ACTIVE', 'Historical', 'Data/sjfe', 'fppp', 'This', 'list', 'is', 'accurate', 'to', 'the', 'date', 'and', 'time', 'represented', 'in', 'the', 'Last', 'Date', 'Updated', 'and', 'Last', 'Time', 'Updated', 'fields', 'For', 'inquiries', 'about', 'the', 'contents', 'of', 'this', 'dataset', 'please', 'email', 'licensinginquiries@tlc', 'nyc', 'gov']","[(2, 0.1537061137901965), (3, 0.17606011684856257), (4, 0.043453376373404219), (8, 0.014040523287297765), (13, 0.035521592562906414), (18, 0.039084782298943258), (19, 0.018387600374703248), (20, 0.013229163731402257), (22, 0.036615351354339215), (23, 0.020482189895007216), (27, 0.047795552369156932), (32, 0.060650838664665155), (35, 0.07038671522389052), (38, 0.01533210592603829), (42, 0.076934600529346031), (44, 0.02510010249043864), (48, 0.084355203782630228), (51, 0.060690993573994809)]","[(3, 0.17606011684856257), (2, 0.1537061137901965), (48, 0.08435520378263023), (42, 0.07693460052934603), (35, 0.07038671522389052), (51, 0.06069099357399481), (32, 0.060650838664665155), (27, 0.04779555236915693), (4, 0.04345337637340422), (18, 0.03908478229894326), (22, 0.036615351354339215), (13, 0.035521592562906414), (44, 0.02510010249043864), (23, 0.020482189895007216), (19, 0.018387600374703248), (38, 0.01533210592603829), (8, 0.014040523287297765), (20, 0.013229163731402257)]",3
1928,1928,1928,Chicago Street Names,"['List', 'of', 'all', 'Chicago', 'streets', 'with', 'suffixes', 'and', 'minimum', 'and', 'maximum', 'address', 'numbers']",City of Chicago,"['suffix_direction', 'min_address', 'suffix', 'street', 'max_address', 'direction', 'full_street_name']","['Suffix Direction', 'Min Address', 'Suffix', 'Street ', 'Max Address', 'Direction', 'Full Street Name']",dataset,[],Transportation,"['gis', 'streets']",official,5926.0,1636.0,465.0,158602.0,17.2750605345,data.cityofchicago.org,"['gis', 'streets', 'transportation']","['gis', 'streets', 'transportation', 'List', 'of', 'all', 'Chicago', 'streets', 'with', 'suffixes', 'and', 'minimum', 'and', 'maximum', 'address', 'numbers']","[(3, 0.2516025641025641), (22, 0.084935897435209073), (24, 0.16705622907794179), (35, 0.084935897435897426), (46, 0.086148899126980968), (47, 0.2516025641025641)]","[(3, 0.2516025641025641), (47, 0.2516025641025641), (24, 0.1670562290779418), (46, 0.08614889912698097), (35, 0.08493589743589743), (22, 0.08493589743520907)]",3
2981,2981,2981,Subway Entrances,"['Map', 'of', 'NYC', 'Subway', 'Entrances']",Metropolitan Transportation Authority (MTA),[],[],map,"['transportation', 'infrastructure']",Transportation,"['transportation', 'station', 'map', 'jobs and economic mobility', 'location', 'train', 'cartography', 'subway', 'travel', 'entrance', 'mta', 'metropolitan transportation authority', 'basemap', 'transit']",official,95672.0,3537.0,1268.0,124285.0,16.9233042699,data.cityofnewyork.us,"['transportation', 'station', 'map', 'jobs', 'and', 'economic', 'mobility', 'location', 'train', 'cartography', 'subway', 'travel', 'entrance', 'mta', 'metropolitan', 'transportation', 'authority', 'basemap', 'transit', 'transportation', 'infrastructure', 'transportation']","['transportation', 'station', 'map', 'jobs', 'and', 'economic', 'mobility', 'location', 'train', 'cartography', 'subway', 'travel', 'entrance', 'mta', 'metropolitan', 'transportation', 'authority', 'basemap', 'transit', 'transportation', 'infrastructure', 'transportation', 'Map', 'of', 'NYC', 'Subway', 'Entrances']","[(0, 0.03920118343195262), (3, 0.21155439034383947), (7, 0.03920118343195262), (9, 0.045044243316765653), (12, 0.11663778378320713), (16, 0.077662721893491035), (17, 0.077662721893491035), (28, 0.14107420031089501), (30, 0.049351200978490932), (32, 0.043170388047945402), (39, 0.03920118343195262), (43, 0.052191461857908898), (44, 0.03920118343195262)]","[(3, 0.21155439034383947), (28, 0.14107420031089501), (12, 0.11663778378320713), (16, 0.07766272189349104), (17, 0.07766272189349104), (43, 0.0521914618579089), (30, 0.04935120097849093), (9, 0.04504424331676565), (32, 0.0431703880479454), (0, 0.03920118343195262), (7, 0.03920118343195262), (39, 0.03920118343195262), (44, 0.03920118343195262)]",3
