,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
2975,2975,2975,DOB Job Application Filings,"['A', 'list', 'of', 'job', 'applications', 'filed', 'for', 'a', 'particular', 'day', 'and', 'associated', 'data', 'Prior', 'weekly', 'and', 'monthly', 'reports', 'are', 'archived', 'at', 'DOB', 'and', 'are', 'not', 'available', 'on', 'NYC', 'Open', 'Data']",Department of Buildings (DOB),"['lot', 'horizontal_enlrgmt', 'paid', 'owner_s_business_name', 'job_description', 'city_', 'fire_suppression', 'job_status_descrp', 'street_name', 'applicant_s_first_name', 'non_profit', 'fee_status', 'community___board', 'fire_alarm', 'fuel_storage', 'existing_dwelling_units', 'curb_cut', 'adult_estab', 'landmarked', 'pc_filed', 'zoning_dist3', 'existing_zoning_sqft', 'proposed_dwelling_units', 'fully_permitted', 'vertical_enlrgmt', 'owner_shouse_street_name', 'existing_occupancy', 'cluster', 'fully_paid', 'block', 'bin__', 'little_e', 'sprinkler', 'other', 'loft_board', 'professional_cert', 'plumbing', 'owner_s_house_number', 'applicant_s_last_name', 'applicant_license__', 'mechanical', 'other_description', 'job_type', 'state', 'efiling_filed', 'equipment', 'fuel_burning', 'owner_s_first_name', 'special_district_2', 'site_fill', 'house__', 'boiler', 'existing_height', 'proposed_occupancy', 'applicant_professional_title', 'owner_type', 'proposed_height', 'pre__filing_date', 'dobrundate', 'standpipe', 'existingno_of_stories', 'assigned', 'owner_s_last_name', 'special_district_1', 'zip', 'proposed_no_of_stories', 'street_frontage', 'enlargement_sq_footage', 'zoning_dist2', 'total_est__fee', 'proposed_zoning_sqft', 'approved', 'initial_cost', 'job_status', 'city_owned', 'building_type', 'latest_action_date', 'job__', 'borough', 'doc__', 'owner_sphone__', 'zoning_dist1']","['Lot', 'Horizontal Enlrgmt', 'Paid', ""Owner's Business Name"", 'Job Description', 'City ', 'Fire Suppression', 'Job Status Descrp', 'Street Name', ""Applicant's First Name"", 'Non-Profit', 'Fee Status', 'Community - Board', 'Fire Alarm', 'Fuel Storage', 'Existing Dwelling Units', 'Curb Cut', 'Adult Estab', 'Landmarked', 'PC Filed', 'Zoning Dist3', 'Existing Zoning Sqft', 'Proposed Dwelling Units', 'Fully Permitted', 'Vertical Enlrgmt', ""Owner'sHouse Street Name"", 'Existing Occupancy', 'Cluster', 'Fully Paid', 'Block', 'Bin #', 'Little e', 'Sprinkler', 'Other', 'Loft Board', 'Professional Cert', 'Plumbing', ""Owner's House Number"", ""Applicant's Last Name"", 'Applicant License #', 'Mechanical', 'Other Description', 'Job Type', 'State', 'eFiling Filed', 'Equipment', 'Fuel Burning', ""Owner's First Name"", 'Special District 2', 'Site Fill', 'House #', 'Boiler', 'Existing Height', 'Proposed Occupancy', 'Applicant Professional Title', 'Owner Type', 'Proposed Height', 'Pre- Filing Date', 'DOBRunDate', 'Standpipe', 'ExistingNo. of Stories', 'Assigned', ""Owner's Last Name"", 'Special District 1', 'Zip', 'Proposed No. of Stories', 'Street Frontage', 'Enlargement SQ Footage', 'Zoning Dist2', 'Total Est. Fee', 'Proposed Zoning Sqft', 'Approved', 'Initial Cost', 'Job Status', 'City Owned', 'Building Type', 'Latest Action Date', 'Job #', 'Borough', 'Doc #', ""Owner'sPhone #"", 'Zoning Dist1']",dataset,"['finance', 'economy', 'environment']",Housing & Development,"['buildings', 'dob', 'job']",official,11565.0,3872.0,905.0,1365295.0,20.3807823347,data.cityofnewyork.us,"['buildings', 'dob', 'job', 'finance', 'economy', 'environment', 'housing', '&', 'development']","['buildings', 'dob', 'job', 'finance', 'economy', 'environment', 'housing', '&', 'development', 'A', 'list', 'of', 'job', 'applications', 'filed', 'for', 'a', 'particular', 'day', 'and', 'associated', 'data', 'Prior', 'weekly', 'and', 'monthly', 'reports', 'are', 'archived', 'at', 'DOB', 'and', 'are', 'not', 'available', 'on', 'NYC', 'Open', 'Data']","[(12, 0.040769230769230752), (18, 0.1006200935054487), (27, 0.1469815115756343), (32, 0.11866573515833491), (35, 0.04574389598015708), (40, 0.072142901167085924), (43, 0.047590969007388337), (47, 0.091107045956416652), (48, 0.090303496985588247), (49, 0.2137674275870225)]","[(49, 0.2137674275870225), (27, 0.1469815115756343), (32, 0.11866573515833491), (18, 0.1006200935054487), (47, 0.09110704595641665), (48, 0.09030349698558825), (40, 0.07214290116708592), (43, 0.04759096900738834), (35, 0.04574389598015708), (12, 0.04076923076923075)]",49
9365,9534,9534,County Building Codes for Missouri,[],DED,"['residential_code', 'county', 'energy_building_code', 'population', 'commercial_code', 'fips']","['Residential Code', 'County', 'Energy Building Code', 'Population', 'Commercial Code', 'FIPS']",dataset,[],Economic Development,"['economic development', 'building codes']",official,1942.0,197.0,35.0,333482.0,18.3472536933,data.mo.gov,"['economic', 'development', 'building', 'codes', 'economic', 'development']","['economic', 'development', 'building', 'codes', 'economic', 'development']","[(14, 0.14560439560439564), (37, 0.14560439560439564), (49, 0.57417582417582436)]","[(49, 0.5741758241758244), (14, 0.14560439560439564), (37, 0.14560439560439564)]",49
9366,9535,9535,City Building Codes for Missouri,[],DED,"['jurisdiction', '_2010', 'county', 'city_fips', 'energy_building_code', 'residential_code', 'county_fips', 'commercial_code', 'population_jurisdiction']","['Jurisdiction', '2010', 'County', 'City FIPS', 'Energy Building Code', 'Residential Code', 'County FIPS', 'Commercial Code', 'Population Jurisdiction']",dataset,[],Economic Development,"['economic development', 'fips', 'building codes']",official,733.0,24.0,7.0,331797.0,18.3399456645,data.mo.gov,"['economic', 'development', 'fips', 'building', 'codes', 'economic', 'development']","['economic', 'development', 'fips', 'building', 'codes', 'economic', 'development']","[(14, 0.2524038461538462), (37, 0.12740384615384617), (49, 0.50240384615384626)]","[(49, 0.5024038461538463), (14, 0.2524038461538462), (37, 0.12740384615384617)]",49
18303,18472,18472,Presubmission Community Meetings,"['Presubmission', 'Community', 'Meetings']",Department of Planning and Zoning,"['meeting_location_zip', 'meeting_date', 'proposed_units', 'taxmap_parcel', 'meeting_location_place', 'meeting_location_address', 'proposed_acres', 'coordinates', 'project_name', 'sign_code', 'sign_year', 'zoning', 'date_received', 'meeting_location_city', 'meeting_time', 'locationdescription']","['Meeting_Location_Zip', 'Meeting_Date', 'Proposed_Units', 'TaxMap_Parcel', 'Meeting_Location_Place', 'Meeting_Location_Address', 'Proposed_Acres', 'Coordinates', 'Project_Name', 'Sign_Code', 'Sign_Year', 'Zoning', 'Date_Received', 'Meeting_Location_City', 'Meeting_Time', 'locationDescription']",dataset,[],Planning and Zoning,"['units', 'acres', 'community', 'presubmission', 'name']",official,472.0,10.0,0.0,152278.0,17.2163574755,opendata.howardcountymd.gov,"['units', 'acres', 'community', 'presubmission', 'name', 'planning', 'and', 'zoning']","['units', 'acres', 'community', 'presubmission', 'name', 'planning', 'and', 'zoning', 'Presubmission', 'Community', 'Meetings']","[(3, 0.11634715810769493), (17, 0.096349221164996293), (29, 0.16824900373578), (46, 0.075896741521482583), (48, 0.1835664335664336), (49, 0.27917186148403228)]","[(49, 0.2791718614840323), (48, 0.1835664335664336), (29, 0.16824900373578), (3, 0.11634715810769493), (17, 0.0963492211649963), (46, 0.07589674152148258)]",49
2982,2982,2982,DOB Permit Issuance,"['A', 'list', 'of', 'permits', 'issued', 'for', 'a', 'particular', 'day', 'and', 'associated', 'data', 'Prior', 'weekly', 'and', 'monthly', 'reports', 'are', 'archived', 'at', 'DOB', 'and', 'are', 'not', 'available', 'on', 'NYC', 'Open', 'Data']",Department of Buildings (DOB),"['residential', 'state', 'city', 'owner_s_house_street_name', 'owner_s_house__', 'owner_s_last_name', 'zip_code', 'bldg_type', 'special_district_1', 'special_district_2', 'work_type', 'permit_status', 'filing_status', 'block', 'self_cert', 'job_type', 'job_doc___', 'job__', 'street_name', 'borough', 'lot', 'permit_type', 'permit_sequence__', 'permit_subtype', 'oil_gas', 'site_fill', 'filing_date', 'permittee_s_business_name', 'permittee_s_phone__', 'permittee_s_license_type', 'permittee_s_license__', 'act_as_superintendent', 'permittee_s_other_title', 'hic_license', 'site_safety_mgr_s_first_name', 'community_board', 'site_safety_mgr_s_last_name', 'site_safety_mgr_business_name', 'superintendent_first___last_name', 'superintendent_business_name', 'owner_s_business_type', 'non_profit', 'owner_s_business_name', 'bin__', 'house__', 'owner_s_first_name', 'dobrundate', 'owner_s_phone__', 'owner_s_zip_code', 'issuance_date', 'expiration_date', 'job_start_date', 'permittee_s_first_name', 'permittee_s_last_name']","['Residential', 'Owner’s House State', 'Owner’s House City', ""Owner's House Street Name"", ""Owner's House #"", ""Owner's Last Name"", 'Zip Code', 'Bldg Type', 'Special District 1', 'Special District 2', 'Work Type', 'Permit Status', 'Filing Status', 'Block', 'Self_Cert', 'Job Type', 'Job doc. #', 'Job #', 'Street Name', 'BOROUGH', 'Lot', 'Permit Type', 'Permit Sequence #', 'Permit Subtype', 'Oil Gas', 'Site Fill', 'Filing Date', ""Permittee's Business Name"", ""Permittee's Phone #"", ""Permittee's License Type"", ""Permittee's License #"", 'Act as Superintendent', ""Permittee's Other Title"", 'HIC License', ""Site Safety Mgr's First Name"", 'Community Board', ""Site Safety Mgr's Last Name"", 'Site Safety Mgr Business Name', 'Superintendent First & Last Name', 'Superintendent Business Name', ""Owner's Business Type"", 'Non-Profit', ""Owner's Business Name"", 'Bin #', 'House #', ""Owner's First Name"", 'DOBRunDate', ""Owner's Phone #"", 'Owner’s House Zip Code', 'Issuance Date', 'Expiration Date', 'Job Start Date', ""Permittee's First Name"", ""Permittee's Last Name""]",dataset,"['economy', 'demographics', 'public safety']",Housing & Development,"['buildings', 'dob', 'permit']",official,44327.0,2267.0,542.0,88021.0,16.425576532,data.cityofnewyork.us,"['buildings', 'dob', 'permit', 'economy', 'demographics', 'public', 'safety', 'housing', '&', 'development']","['buildings', 'dob', 'permit', 'economy', 'demographics', 'public', 'safety', 'housing', '&', 'development', 'A', 'list', 'of', 'permits', 'issued', 'for', 'a', 'particular', 'day', 'and', 'associated', 'data', 'Prior', 'weekly', 'and', 'monthly', 'reports', 'are', 'archived', 'at', 'DOB', 'and', 'are', 'not', 'available', 'on', 'NYC', 'Open', 'Data']","[(12, 0.040769230769230752), (18, 0.12708751034881194), (26, 0.084910613429830001), (32, 0.14245782985398997), (35, 0.047799569390486595), (37, 0.1786165717269729), (43, 0.086794888384381888), (47, 0.043135469088429565), (49, 0.21535139393094302)]","[(49, 0.21535139393094302), (37, 0.1786165717269729), (32, 0.14245782985398997), (18, 0.12708751034881194), (43, 0.08679488838438189), (26, 0.08491061342983), (35, 0.047799569390486595), (47, 0.043135469088429565), (12, 0.04076923076923075)]",49
11016,11185,11185,"Capital Projects, NYS Thruway Authority Capital Programs: Beginning 2005","['This', 'is', 'a', 'listing', 'of', 'all', 'NYSTA’s', 'capital', 'projects', 'along', 'with', 'a', 'status', 'beginning', 'with', 'the', '2005', '2011', 'Capital', 'Programs']",New York State Thruway Authority,"['source', 'id', 'completion_date', 'estimated_completion_date', 'program_year', 'letting_date', 'estimated_letting_date', 'low_bid_amount', 'approved_construction_amount', 'contractor', 'status', 'latitude', 'construction_amount', 'contract_no', 'location_1', 'longitude', 'division', 'description']","['SOURCE', 'ID', 'COMPLETION DATE', 'ESTIMATED COMPLETION DATE', 'PROGRAM YEAR', 'LETTING DATE', 'ESTIMATED LETTING DATE', 'LOW BID AMOUNT', 'APPROVED CONSTRUCTION AMOUNT', 'CONTRACTOR', 'STATUS', 'Latitude', 'CONSTRUCTION AMOUNT', 'CONTRACT NO.', 'Location 1', 'Longitude', 'DIVISION', 'DESCRIPTION']",dataset,"['infrastructure', 'housing & development']",Transportation,"['bridge', 'canal', 'construction', 'pavement', 'roadway', 'thruway']",official,787.0,26.0,8.0,55303.0,15.7550962103,data.ny.gov,"['bridge', 'canal', 'construction', 'pavement', 'roadway', 'thruway', 'infrastructure', 'housing', '&', 'development', 'transportation']","['bridge', 'canal', 'construction', 'pavement', 'roadway', 'thruway', 'infrastructure', 'housing', '&', 'development', 'transportation', 'This', 'is', 'a', 'listing', 'of', 'all', 'NYSTA’s', 'capital', 'projects', 'along', 'with', 'a', 'status', 'beginning', 'with', 'the', '2005', '2011', 'Capital', 'Programs']","[(3, 0.20980523554967767), (4, 0.20400594757286097), (22, 0.098201711111503234), (28, 0.067331875194683255), (35, 0.11391910204490958), (49, 0.2125053592955945), (51, 0.050961538461538371)]","[(49, 0.2125053592955945), (3, 0.20980523554967767), (4, 0.20400594757286097), (35, 0.11391910204490958), (22, 0.09820171111150323), (28, 0.06733187519468325), (51, 0.05096153846153837)]",49
4052,4052,4052,Business Assistance - Heat Map,"['Department', 'of', 'Economic', 'and', 'Community', 'Development', 'listing', 'of', 'active', 'direct', 'financial', 'assistance', 'to', 'businesses', 'from', 'Fiscal', 'Year', '1993', 'through', '9/30/16', 'This', 'list', 'also', 'includes', 'out', 'of', 'business', 'projects', 'and', 'inactive', '(repaid/contract', 'no', 'longer', 'active)', 'projects', 'from', 'the', 'last', 'five', 'years']",Department of Economic and Community Development,"['job_obligation_status', 'job_penalty_if_applicable', 'contract_requirement_target_date', 'actual_jobs_at_time_of_review', 'contract_requirement_jobs_to_be_retained', 'contract_requirement_jobs_to_be_created', 'count', 'funding_source', 'per_application_part_time_jobs_to_be_created', 'status', 'per_application_full_time_jobs_to_be_created', 'per_application_part_time_ct_jobs_at_application', 'forgiveness_credit_if_applicable', 'industry', 'zip_code', 'per_application_full_time_ct_jobs_at_application', 'statutory_reference', 'location_1', 'county_1', 'state', 'address', 'municipality', 'fiscal_year', 'company', 'total_project_cost', 'amount_leveraged', 'loan_amount', 'total_assistance', 'contract_execution_date', 'grant_amount', 'naics_code', 'minority_or_women_owned']","['Job Obligation Status', 'Job Penalty(if applicable)', 'Contract Requirement: Target Date', 'Actual Jobs at Time of Review', 'Contract Requirement:Jobs to be Retained', 'Contract Requirement: Jobs to be Created', 'Count', 'Funding Source', 'Per Application: Part Time Jobs to be Created', 'Status', 'Per Application: Full Time Jobs to be Created', 'Per Application:  Part Time CT Jobs at Application', 'Forgiveness Credit(if applicable)', 'Industry', 'Zip Code', 'Per Application: Full Time CT Jobs at Application', 'Statutory Reference', 'Location 1', 'County 1', 'State', 'Address', 'Municipality', 'Fiscal Year', 'Company', 'Total Project Cost', 'Amount Leveraged', 'Loan Amount', 'Total Assistance ', 'Contract Execution Date', 'Grant Amount', 'NAICS Code', 'Minority or Women Owned']",map,"['economy', 'finance', 'social services']",Business,"['loan', 'grant', 'business assistance', 'department of economic and community development', 'decd', 'executive order 38']",official,125.0,2658.0,560.0,54148.0,15.7246470746,data.ct.gov,"['loan', 'grant', 'business', 'assistance', 'department', 'of', 'economic', 'and', 'community', 'development', 'decd', 'executive', 'order', '38', 'economy', 'finance', 'social', 'services', 'business']","['loan', 'grant', 'business', 'assistance', 'department', 'of', 'economic', 'and', 'community', 'development', 'decd', 'executive', 'order', '38', 'economy', 'finance', 'social', 'services', 'business', 'Department', 'of', 'Economic', 'and', 'Community', 'Development', 'listing', 'of', 'active', 'direct', 'financial', 'assistance', 'to', 'businesses', 'from', 'Fiscal', 'Year', '1993', 'through', '9/30/16', 'This', 'list', 'also', 'includes', 'out', 'of', 'business', 'projects', 'and', 'inactive', '(repaid/contract', 'no', 'longer', 'active)', 'projects', 'from', 'the', 'last', 'five', 'years']","[(4, 0.081612399507057135), (12, 0.024105053977575945), (17, 0.02458482292292705), (21, 0.12418938343402743), (22, 0.04023899608252867), (33, 0.042459134989204533), (35, 0.024494544412634513), (37, 0.026180552508868495), (39, 0.017954849278033511), (40, 0.06652873577156769), (42, 0.091507353502029931), (48, 0.17326746376705018), (49, 0.24543484938137852)]","[(49, 0.24543484938137852), (48, 0.17326746376705018), (21, 0.12418938343402743), (42, 0.09150735350202993), (4, 0.08161239950705713), (40, 0.06652873577156769), (33, 0.04245913498920453), (22, 0.04023899608252867), (37, 0.026180552508868495), (17, 0.02458482292292705), (35, 0.024494544412634513), (12, 0.024105053977575945), (39, 0.01795484927803351)]",49
18320,18489,18489,Commercial Site Development Plans,"['Commercial', 'Site', 'Development', 'Plans']",Department of Planning and Zoning,"['square_feet_1', 'use_type_1', 'use_type_3', 'file_name', 'location_description', 'square_feet_2', 'square_feet_3', 'file_number', 'coordinates', 'decision_date', 'use_type_2', 'location_acres', 'planning_area']","['Square_Feet_1', 'Use_Type_1', 'Use_Type_3', 'File_Name', 'Location_Description', 'Square_Feet_2', 'Square_Feet_3', 'File_Number', 'Coordinates', 'Decision_Date', 'Use_Type_2', 'Location_Acres', 'Planning_Area']",dataset,[],Planning and Zoning,"['location', 'acres', 'unit type', 'units']",official,262.0,8.0,0.0,44678.0,15.4473092755,opendata.howardcountymd.gov,"['location', 'acres', 'unit', 'type', 'units', 'planning', 'and', 'zoning']","['location', 'acres', 'unit', 'type', 'units', 'planning', 'and', 'zoning', 'Commercial', 'Site', 'Development', 'Plans']","[(14, 0.063467262122088156), (17, 0.084935897435897426), (28, 0.17330290033544102), (29, 0.15796407552646863), (46, 0.16401148991887865), (49, 0.28260042594327739)]","[(49, 0.2826004259432774), (28, 0.17330290033544102), (46, 0.16401148991887865), (29, 0.15796407552646863), (17, 0.08493589743589743), (14, 0.06346726212208816)]",49
11058,11227,11227,Jobs By Industry:  Beginning 2012,"['This', 'data', 'shows', 'jobs', 'by', 'industry', 'beginning', 'in', '2012', 'created', 'from', 'a', 'dataset', 'of', 'economic', 'profiles', 'of', 'the', '10', 'Empire', 'State', 'Development', '(ESD)', 'economic', 'development', 'regions', 'Refer', 'to', 'the', 'About', 'section', 'for', 'the', 'data', 'dictionary', 'and', 'other', 'information']",Empire State Development,"['industry', 'jobs', 'year', 'region', 'naics_code']","['Industry', 'Jobs', 'Year', 'Region', 'NAICS Code']",dataset,['housing & development'],Economic Development,['job trends'],official,1156.0,35.0,8.0,44656.0,15.4465987156,data.ny.gov,"['job', 'trends', 'housing', '&', 'development', 'economic', 'development']","['job', 'trends', 'housing', '&', 'development', 'economic', 'development', 'This', 'data', 'shows', 'jobs', 'by', 'industry', 'beginning', 'in', '2012', 'created', 'from', 'a', 'dataset', 'of', 'economic', 'profiles', 'of', 'the', '10', 'Empire', 'State', 'Development', '(ESD)', 'economic', 'development', 'regions', 'Refer', 'to', 'the', 'About', 'section', 'for', 'the', 'data', 'dictionary', 'and', 'other', 'information']","[(4, 0.05104270665870965), (5, 0.042724674597851182), (11, 0.040769230769230745), (12, 0.085304217894407591), (25, 0.044010466414300245), (29, 0.043295403981255642), (32, 0.040599011108800077), (33, 0.040769230769230745), (43, 0.13897975338983992), (48, 0.041195706179117456), (49, 0.39977113669879466)]","[(49, 0.39977113669879466), (43, 0.13897975338983992), (12, 0.08530421789440759), (4, 0.05104270665870965), (25, 0.044010466414300245), (29, 0.04329540398125564), (5, 0.04272467459785118), (48, 0.041195706179117456), (11, 0.040769230769230745), (33, 0.040769230769230745), (32, 0.04059901110880008)]",49
11059,11228,11228,Broadband Availability By Municipality,"['New', 'York', 'State', 'has', 'just', 'completed', 'a', 'broadband', 'mapping', 'program', 'as', 'part', 'of', 'the', 'national', 'broadband', 'mapping', 'program', 'funded', 'by', 'the', 'National', 'Telecommunications', 'and', 'Information', 'Administration', 'in', 'the', 'US', 'Department', 'of', 'Commerce', 'Information', 'about', 'the', 'availability', 'of', 'high', 'speed', 'Internet', 'services', 'commonly', 'called', 'Broadband', 'was', 'collected', 'from', 'broadband', 'provider', 'companies', 'regarding', 'the', 'technology', 'type', 'and', 'speed', 'of', 'services', 'offered', 'The', 'data', 'was', 'updated', 'every', 'six', 'months', 'for', 'five', 'years', 'and', 'is', 'shown', 'on', 'the', 'NYS', 'Broadband', 'Map', 'at', 'www', 'broadbandmap', 'ny', 'gov', 'as', 'well', 'as', 'the', 'National', 'Broadband', 'Map', 'at', 'www', 'broadbandmap', 'gov', 'The', 'data', 'on', 'the', 'map', 'depicts', 'broadband', 'availability', 'at', 'the', 'Census', 'Block', 'level', 'This', 'table', 'summarizes', 'the', 'information', 'for', 'each', 'municipality', '(town', 'city', 'village', 'Indian', 'Reservation)', 'in', 'New', 'York', 'State']",Office of Information Technology Services,"['hse_units_wireline_1', '_2010_muni_population', 'hse_units_wireline_2', 'fiber_providers', 'municipality_name', 'hse_units_dsl_1', 'hse_units_wireless_2', 'satellite_providers', 'wireless_providers', 'hse_units_wireless_1', 'hse_units_dsl_2', 'gnis_id', 'wireline_providers', 'muni_area_sq_mi', 'hse_units_fiber_1', 'of_dsl_providers', 'cable_providers', 'hse_units_cable_2', 'municipality_type', 'hse_units_cable_1', 'redc_region', '_2010_muni_housing_units', 'county', 'hse_units_fiber_2']","['# Hse Units Wireline', '2010 Muni Population', '% Hse Units Wireline', '# Fiber Providers', 'Municipality Name', '# Hse Units DSL', '% Hse Units Wireless', '# Satellite Providers', '# Wireless Providers', '# Hse Units Wireless', '% Hse Units DSL', 'GNIS ID', '# Wireline Providers', 'Muni Area (sq mi)', '# Hse Units Fiber', '# of DSL Providers', '# Cable Providers', '% Hse Units Cable', 'Municipality Type', '# Hse Units Cable', 'REDC Region', '2010 Muni Housing Units', 'County', '% Hse Units Fiber']",dataset,"['infrastructure', 'health', 'demographics']",Economic Development,"['broadband', 'cable', 'dsl', 'fcc', 'fiber', 'internet', 'ntia', 'satellite', 'speed', 'wireless']",official,1423.0,31.0,7.0,44589.0,15.4444325792,data.ny.gov,"['broadband', 'cable', 'dsl', 'fcc', 'fiber', 'internet', 'ntia', 'satellite', 'speed', 'wireless', 'infrastructure', 'health', 'demographics', 'economic', 'development']","['broadband', 'cable', 'dsl', 'fcc', 'fiber', 'internet', 'ntia', 'satellite', 'speed', 'wireless', 'infrastructure', 'health', 'demographics', 'economic', 'development', 'New', 'York', 'State', 'has', 'just', 'completed', 'a', 'broadband', 'mapping', 'program', 'as', 'part', 'of', 'the', 'national', 'broadband', 'mapping', 'program', 'funded', 'by', 'the', 'National', 'Telecommunications', 'and', 'Information', 'Administration', 'in', 'the', 'US', 'Department', 'of', 'Commerce', 'Information', 'about', 'the', 'availability', 'of', 'high', 'speed', 'Internet', 'services', 'commonly', 'called', 'Broadband', 'was', 'collected', 'from', 'broadband', 'provider', 'companies', 'regarding', 'the', 'technology', 'type', 'and', 'speed', 'of', 'services', 'offered', 'The', 'data', 'was', 'updated', 'every', 'six', 'months', 'for', 'five', 'years', 'and', 'is', 'shown', 'on', 'the', 'NYS', 'Broadband', 'Map', 'at', 'www', 'broadbandmap', 'ny', 'gov', 'as', 'well', 'as', 'the', 'National', 'Broadband', 'Map', 'at', 'www', 'broadbandmap', 'gov', 'The', 'data', 'on', 'the', 'map', 'depicts', 'broadband', 'availability', 'at', 'the', 'Census', 'Block', 'level', 'This', 'table', 'summarizes', 'the', 'information', 'for', 'each', 'municipality', '(town', 'city', 'village', 'Indian', 'Reservation)', 'in', 'New', 'York', 'State']","[(1, 0.049039775259031908), (2, 0.020522783043751238), (5, 0.015496953424220626), (7, 0.011865136376938874), (9, 0.011983493877701753), (10, 0.017069063403356542), (12, 0.024523865472138806), (13, 0.016597928479721469), (14, 0.017943996898044347), (16, 0.011702299944456252), (20, 0.015147361277800494), (23, 0.047881080120812582), (26, 0.014070047944403658), (28, 0.015397316326820272), (30, 0.066384840209974261), (33, 0.10776947164541634), (36, 0.057569168091944171), (38, 0.028720585081311673), (39, 0.045535329772766524), (43, 0.10753490041292758), (44, 0.022996708620928667), (45, 0.077022357152154636), (47, 0.013111385381600671), (49, 0.15839678993973585), (51, 0.02001152921313128)]","[(49, 0.15839678993973585), (33, 0.10776947164541634), (43, 0.10753490041292758), (45, 0.07702235715215464), (30, 0.06638484020997426), (36, 0.05756916809194417), (1, 0.04903977525903191), (23, 0.04788108012081258), (39, 0.045535329772766524), (38, 0.028720585081311673), (12, 0.024523865472138806), (44, 0.022996708620928667), (2, 0.020522783043751238), (51, 0.02001152921313128), (14, 0.017943996898044347), (10, 0.01706906340335654), (13, 0.01659792847972147), (5, 0.015496953424220626), (28, 0.015397316326820272), (20, 0.015147361277800494), (26, 0.014070047944403658), (47, 0.013111385381600671), (9, 0.011983493877701753), (7, 0.011865136376938874), (16, 0.011702299944456252)]",49
