,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9352,9521,9521,Missouri Active Alcohol License Data,"['Current', 'license', 'information', 'of', 'businesses', 'involved', 'in', 'the', 'manufacture', 'shipping', 'and/or', 'sale', 'of', 'alcohol', 'in', 'the', 'State', 'of', 'Missouri']",,"['subdist', 'dbaname', 'street_number', 'street', 'city', 'state', 'zipcode', 'phone_number', 'primary_license', 'secondary_license', 'primary_type', 'secondary_type', 'county', 'district', 'latlng', 'licensee']","['SUBDIST', 'DBANAME', 'STREET NUMBER', 'STREET', 'CITY', 'STATE', 'ZIPCODE', 'PHONE NUMBER', 'PRIMARY LICENSE', 'SECONDARY LICENSE', 'PRIMARY TYPE', 'SECONDARY TYPE', 'COUNTY', 'DISTRICT', 'LATLNG', 'LICENSEE']",dataset,['economy'],Regulatory,"['license', 'wine', 'alcohol and tobacco control', 'atc', 'missouri', 'manufacturer', 'alcohol', 'shipping', 'beer']",official,2717.0,107.0,16.0,535602.0,19.0308045159,data.mo.gov,"['license', 'wine', 'alcohol', 'and', 'tobacco', 'control', 'atc', 'missouri', 'manufacturer', 'alcohol', 'shipping', 'beer', 'economy', 'regulatory']","['license', 'wine', 'alcohol', 'and', 'tobacco', 'control', 'atc', 'missouri', 'manufacturer', 'alcohol', 'shipping', 'beer', 'economy', 'regulatory', 'Current', 'license', 'information', 'of', 'businesses', 'involved', 'in', 'the', 'manufacture', 'shipping', 'and/or', 'sale', 'of', 'alcohol', 'in', 'the', 'State', 'of', 'Missouri']","[(10, 0.098683849910579061), (20, 0.039201183431952648), (21, 0.043567514907932793), (23, 0.044418787021811554), (24, 0.045864446631122664), (25, 0.044350575081704709), (26, 0.14067571559064213), (27, 0.044766514267204703), (35, 0.040441791126185941), (42, 0.085652705643185473), (43, 0.1429967671604932), (47, 0.039374770054847665), (48, 0.16115922532618307)]","[(48, 0.16115922532618307), (43, 0.1429967671604932), (26, 0.14067571559064213), (10, 0.09868384991057906), (42, 0.08565270564318547), (24, 0.045864446631122664), (27, 0.0447665142672047), (23, 0.044418787021811554), (25, 0.04435057508170471), (21, 0.04356751490793279), (35, 0.04044179112618594), (47, 0.039374770054847665), (20, 0.03920118343195265)]",48
9355,9524,9524,Missouri Alcohol Licenses Out of Business,"['List', 'of', 'alcohol', 'licenses', 'of', 'businesses', 'who', 'have', 'gone', 'out', 'of', 'business']",Missouri Division of Alcohol and Tobacco Control,"['district', 'license_current_status', 'status_effective_date', 'sub_district', 'license_number', 'licensee_name', 'dba_name', 'latlng', 'zip_code', 'business_type', 'state', 'city', 'street_name', 'street_number', 'county_number', 'license_type']","['District', 'License Current Status', 'Status Effective Date', 'Sub District', 'License Number', 'Licensee Name', 'DBA Name', 'latlng', 'Zip Code', 'Business Type', 'State', 'City', 'Street Name', 'Street Number', 'County Number', 'License Type']",dataset,[],Regulatory,"['out of business', 'missouri', 'liquor', 'alcohol', 'license']",official,,348.0,86.0,510707.0,18.9621391328,data.mo.gov,"['out', 'of', 'business', 'missouri', 'liquor', 'alcohol', 'license', 'regulatory']","['out', 'of', 'business', 'missouri', 'liquor', 'alcohol', 'license', 'regulatory', 'List', 'of', 'alcohol', 'licenses', 'of', 'businesses', 'who', 'have', 'gone', 'out', 'of', 'business']","[(10, 0.078402366863905323), (12, 0.078402366863905323), (26, 0.15532544378698224), (35, 0.078402366863905323), (43, 0.078402366863905323), (47, 0.078402366863905323), (48, 0.38609467455621299)]","[(48, 0.386094674556213), (26, 0.15532544378698224), (10, 0.07840236686390532), (12, 0.07840236686390532), (35, 0.07840236686390532), (43, 0.07840236686390532), (47, 0.07840236686390532)]",48
9359,9528,9528,Missouri Alcohol Temporary License Expirations,"['List', 'of', 'temporary', 'alcohol', 'license', 'expiration', 'dates']",Missouri Division of Alcohol and Tobacco Control,"['license_type', 'latlng', 'licensee_name', 'license_number', 'mailing_address_line_2', 'mailing_address', 'zip_code', 'state', 'city', 'street_name', 'street_number', 'county', 'sub_district', 'district', 'expiration_date', 'license_current_status', 'business_type', 'dba_name']","['License Type', 'latlng', 'Licensee Name', 'License Number', 'Mailing Address Line 2', 'Mailing Address', 'Zip Code', 'State', 'City', 'Street Name', 'Street Number', 'County', 'Sub District', 'District', 'Expiration Date', 'License Current Status', 'Business Type', 'DBA Name']",dataset,[],Regulatory,"['license', 'alcohol', 'missouri', 'liquor', 'expire', 'temporary']",official,,135.0,28.0,503227.0,18.9408526716,data.mo.gov,"['license', 'alcohol', 'missouri', 'liquor', 'expire', 'temporary', 'regulatory']","['license', 'alcohol', 'missouri', 'liquor', 'expire', 'temporary', 'regulatory', 'List', 'of', 'temporary', 'alcohol', 'license', 'expiration', 'dates']","[(10, 0.072802197802197779), (20, 0.14423076923076922), (22, 0.072802197802197779), (26, 0.14423076923076919), (35, 0.072802197802197779), (43, 0.072802197802197779), (47, 0.072802197802197779), (48, 0.28708791208791201)]","[(48, 0.287087912087912), (20, 0.14423076923076922), (26, 0.1442307692307692), (10, 0.07280219780219778), (22, 0.07280219780219778), (35, 0.07280219780219778), (43, 0.07280219780219778), (47, 0.07280219780219778)]",48
18302,18471,18471,Rental Licenses,"['Active', 'Rental', 'Licenses']","Department of Inspections, Licenses & Permits","['expiration_date', 'zip', 'city', 'type_of_residence', 'license_number']","['EXPIRATION_DATE', 'ZIP', 'CITY', 'TYPE_OF_RESIDENCE', 'LICENSE_NUMBER']",dataset,['finance'],Licenses and Permits,"['license', 'housing', 'rental', 'rental license', 'rental housing license']",official,248.0,48.0,3.0,213268.0,17.7023147505,opendata.howardcountymd.gov,"['license', 'housing', 'rental', 'rental', 'license', 'rental', 'housing', 'license', 'finance', 'licenses', 'and', 'permits']","['license', 'housing', 'rental', 'rental', 'license', 'rental', 'housing', 'license', 'finance', 'licenses', 'and', 'permits', 'Active', 'Rental', 'Licenses']","[(1, 0.26794871794871794), (37, 0.067948717948717943), (40, 0.067948717948717943), (48, 0.4012820512820513), (49, 0.13461538461538461)]","[(48, 0.4012820512820513), (1, 0.26794871794871794), (49, 0.1346153846153846), (37, 0.06794871794871794), (40, 0.06794871794871794)]",48
7208,7377,7377,King County cities that issue their own pet licenses,"['The', 'following', 'cities', 'issue', 'their', 'own', 'pet', 'licenses', 'Please', 'contact', 'them', 'directly', 'for', 'pet', 'license', 'information', 'if', 'you', 'live', 'within', 'their', 'city', 'limits']",King County,"['phone_number', 'city']","['Phone Number', 'City']",dataset,[],Pets,['pet pets animal license tag tags'],official,1596.0,10.0,7.0,210782.0,17.6853989903,data.kingcounty.gov,"['pet', 'pets', 'animal', 'license', 'tag', 'tags', 'pets']","['pet', 'pets', 'animal', 'license', 'tag', 'tags', 'pets', 'The', 'following', 'cities', 'issue', 'their', 'own', 'pet', 'licenses', 'Please', 'contact', 'them', 'directly', 'for', 'pet', 'license', 'information', 'if', 'you', 'live', 'within', 'their', 'city', 'limits']","[(17, 0.052276141813910201), (18, 0.21253646051169364), (22, 0.089720995480894961), (32, 0.15401566937880237), (36, 0.044995773035287068), (43, 0.15480562390492658), (48, 0.25402391781428346)]","[(48, 0.25402391781428346), (18, 0.21253646051169364), (43, 0.15480562390492658), (32, 0.15401566937880237), (22, 0.08972099548089496), (17, 0.0522761418139102), (36, 0.04499577303528707)]",48
18305,18474,18474,"Vendors Receiving Payments of $30,000 or More: FY 2010 - FY 2016","['This', 'dataset', 'includes', 'all', 'vendors', 'who', 'received', 'one', 'or', 'more', 'payments', 'of', '$30', '000', 'or', 'more', 'from', 'Howard', 'County', 'via', 'the', 'payment', 'methods', 'of', 'Purchase', 'Orders', 'or', 'Parked', 'Documents', 'during', 'the', 'course', 'of', 'a', 'fiscal', 'year', 'Includes', 'data', 'from', 'FY10', 'through', 'FY16', 'and', 'will', 'be', 'updated', 'annually']",County Administration,"['county_department', 'amount', 'fiscal_year', 'description', 'vendor_name']","['County Department', ' Amount ', 'Fiscal Year', 'Description', 'Vendor Name']",dataset,['finance'],Money and Finance,"['formal bid threshold', 'parked documents', 'payments', 'purchase orders', 'purchasing', 'vendors']",official,200.0,34.0,0.0,143166.0,17.1273394641,opendata.howardcountymd.gov,"['formal', 'bid', 'threshold', 'parked', 'documents', 'payments', 'purchase', 'orders', 'purchasing', 'vendors', 'finance', 'money', 'and', 'finance']","['formal', 'bid', 'threshold', 'parked', 'documents', 'payments', 'purchase', 'orders', 'purchasing', 'vendors', 'finance', 'money', 'and', 'finance', 'This', 'dataset', 'includes', 'all', 'vendors', 'who', 'received', 'one', 'or', 'more', 'payments', 'of', '$30', '000', 'or', 'more', 'from', 'Howard', 'County', 'via', 'the', 'payment', 'methods', 'of', 'Purchase', 'Orders', 'or', 'Parked', 'Documents', 'during', 'the', 'course', 'of', 'a', 'fiscal', 'year', 'Includes', 'data', 'from', 'FY10', 'through', 'FY16', 'and', 'will', 'be', 'updated', 'annually']","[(3, 0.066203794602616758), (5, 0.086344937406366964), (8, 0.047874044480861487), (15, 0.038244313118834854), (18, 0.053749435846528776), (25, 0.03283103098309062), (27, 0.053220544441947445), (34, 0.02839840820231675), (37, 0.1084888171227438), (38, 0.026821862348178127), (40, 0.1580099029096943), (41, 0.036653613661371279), (48, 0.24342245277018532)]","[(48, 0.24342245277018532), (40, 0.1580099029096943), (37, 0.1084888171227438), (5, 0.08634493740636696), (3, 0.06620379460261676), (18, 0.053749435846528776), (27, 0.053220544441947445), (8, 0.04787404448086149), (15, 0.038244313118834854), (41, 0.03665361366137128), (25, 0.03283103098309062), (34, 0.02839840820231675), (38, 0.026821862348178127)]",48
16684,16853,16853,Radon Test Results By Town: Beginning 1987,"['The', 'DOH', 'Radon', 'Program', 'contracts', 'with', 'a', 'radon', 'testing', 'laboratory', 'to', 'provide', 'short', 'term', 'charcoal', 'radon', 'test', 'kits', 'radon', 'test', 'kit', 'analysis', 'and', 'results', 'to', 'residents', 'The', 'contract', 'laboratory', 'provides', 'the', 'radon', 'test', 'results', 'to', 'the', 'individual', 'home', 'owner', 'and', 'the', 'DOH', 'Radon', 'Program', 'All', 'testing', 'data', 'is', 'entered', 'into', 'our', 'database', 'From', 'this', 'database', 'we', 'are', 'able', 'to', 'create', 'radon', 'prevalence', 'maps', 'design', 'special', 'outreach', 'activities', 'and', 'campaigns', 'and', 'track', 'the', 'location', 'in', 'the', 'home', 'where', 'the', 'detector', 'was', 'placed']",New York State Department of Health,"['geo_mean', '_4_and_20pci_l', 'of_homes_tested', 'town_village_city', 'test_location_in_home', '_20pci_l', 'county', '_4_0_pci_l', 'highest_pci_l', 'geo_s_d', 'average_radon_pci_l']","['GEO Mean', '>=4 and < 20pCi/L', '# of Homes Tested', 'Town/Village/City', 'Test Location in Home', '>=20pCi/L', 'County', '< 4.0 pCi/L', 'Highest (pCi/L)', 'GEO S.D.', 'Average Radon (pCi/L)']",dataset,['health'],Health,"['environmental health', 'public health', 'oph', 'radon', 'town', 'test kit']",official,1648.0,457.0,132.0,119847.0,16.8708463082,health.data.ny.gov,"['environmental', 'health', 'public', 'health', 'oph', 'radon', 'town', 'test', 'kit', 'health', 'health']","['environmental', 'health', 'public', 'health', 'oph', 'radon', 'town', 'test', 'kit', 'health', 'health', 'The', 'DOH', 'Radon', 'Program', 'contracts', 'with', 'a', 'radon', 'testing', 'laboratory', 'to', 'provide', 'short', 'term', 'charcoal', 'radon', 'test', 'kits', 'radon', 'test', 'kit', 'analysis', 'and', 'results', 'to', 'residents', 'The', 'contract', 'laboratory', 'provides', 'the', 'radon', 'test', 'results', 'to', 'the', 'individual', 'home', 'owner', 'and', 'the', 'DOH', 'Radon', 'Program', 'All', 'testing', 'data', 'is', 'entered', 'into', 'our', 'database', 'From', 'this', 'database', 'we', 'are', 'able', 'to', 'create', 'radon', 'prevalence', 'maps', 'design', 'special', 'outreach', 'activities', 'and', 'campaigns', 'and', 'track', 'the', 'location', 'in', 'the', 'home', 'where', 'the', 'detector', 'was', 'placed']","[(0, 0.051664742711508359), (2, 0.063797313797313793), (4, 0.034806806303353324), (8, 0.016303805046321413), (10, 0.043182049235018088), (15, 0.016594083921481182), (16, 0.019432058646594565), (17, 0.042274038108321338), (27, 0.072496714512125596), (29, 0.020680493044122623), (32, 0.025623843123183287), (34, 0.032415180418497343), (35, 0.035117374974386079), (36, 0.039146095494775143), (37, 0.070566268202807758), (39, 0.10914133093096658), (41, 0.041931028780184385), (44, 0.038559280714473995), (48, 0.1824706724459518), (49, 0.034028809820603571)]","[(48, 0.1824706724459518), (39, 0.10914133093096658), (27, 0.0724967145121256), (37, 0.07056626820280776), (2, 0.06379731379731379), (0, 0.05166474271150836), (10, 0.04318204923501809), (17, 0.04227403810832134), (41, 0.041931028780184385), (36, 0.03914609549477514), (44, 0.038559280714473995), (35, 0.03511737497438608), (4, 0.034806806303353324), (49, 0.03402880982060357), (34, 0.03241518041849734), (32, 0.025623843123183287), (29, 0.020680493044122623), (16, 0.019432058646594565), (15, 0.016594083921481182), (8, 0.016303805046321413)]",48
16686,16855,16855,Radon Test Results By County: Beginning 1987,"['The', 'DOH', 'Radon', 'Program', 'contracts', 'with', 'a', 'radon', 'testing', 'laboratory', 'to', 'provide', 'short', 'term', 'charcoal', 'radon', 'test', 'kits', 'radon', 'test', 'kit', 'analysis', 'and', 'results', 'to', 'residents', 'The', 'contract', 'laboratory', 'provides', 'the', 'radon', 'test', 'results', 'to', 'the', 'individual', 'home', 'owner', 'and', 'the', 'DOH', 'Radon', 'Program', 'All', 'testing', 'data', 'is', 'entered', 'into', 'our', 'database', 'From', 'this', 'database', 'we', 'are', 'able', 'to', 'create', 'radon', 'prevalence', 'maps', 'design', 'special', 'outreach', 'activities', 'and', 'campaigns', 'and', 'track', 'the', 'location', 'in', 'the', 'home', 'where', 'the', 'detector', 'was', 'placed']",New York State Department of Health,"['location_1', 'of_homes_tested', 'average_radon_pci_l', 'geo_mean', 'geo_s_d', 'county', 'highest_pci_l', 'number_of_radon_tests_4_pci_l', 'number_of_radon_tests_4_20_pci_l', 'number_of_radon_tests_20_pci_l', 'test_location_in_home']","['Location 1', '# of Homes Tested', 'Average Radon pCi/L', 'Geo Mean', 'Geo S.D.', 'County', 'Highest (pCi/L)', 'Number of Radon Tests <4 pCi/L', 'Number of Radon Tests ≥4 & <20 pCi/L', 'Number of Radon Tests >=20 pCi/L', 'Test Location in Home']",dataset,['health'],Health,"['environmental health', 'public health', 'oph', 'radon', 'test kit', 'county']",official,4732.0,292.0,85.0,113692.0,16.7947839057,health.data.ny.gov,"['environmental', 'health', 'public', 'health', 'oph', 'radon', 'test', 'kit', 'county', 'health', 'health']","['environmental', 'health', 'public', 'health', 'oph', 'radon', 'test', 'kit', 'county', 'health', 'health', 'The', 'DOH', 'Radon', 'Program', 'contracts', 'with', 'a', 'radon', 'testing', 'laboratory', 'to', 'provide', 'short', 'term', 'charcoal', 'radon', 'test', 'kits', 'radon', 'test', 'kit', 'analysis', 'and', 'results', 'to', 'residents', 'The', 'contract', 'laboratory', 'provides', 'the', 'radon', 'test', 'results', 'to', 'the', 'individual', 'home', 'owner', 'and', 'the', 'DOH', 'Radon', 'Program', 'All', 'testing', 'data', 'is', 'entered', 'into', 'our', 'database', 'From', 'this', 'database', 'we', 'are', 'able', 'to', 'create', 'radon', 'prevalence', 'maps', 'design', 'special', 'outreach', 'activities', 'and', 'campaigns', 'and', 'track', 'the', 'location', 'in', 'the', 'home', 'where', 'the', 'detector', 'was', 'placed']","[(0, 0.05206552876113614), (2, 0.070320140636227255), (4, 0.038081313887262096), (8, 0.016178761548488799), (10, 0.043226550345220792), (15, 0.016677972194257051), (16, 0.019655762926620478), (17, 0.043173302246820998), (18, 0.014794031269368695), (27, 0.067276636318032032), (29, 0.021906957510342308), (32, 0.023152914339519833), (34, 0.034719725695068947), (35, 0.034872521284397523), (36, 0.038559452790600524), (37, 0.07059138190168178), (39, 0.12615851518589749), (41, 0.033802237260239447), (44, 0.039522320578879173), (48, 0.1854959635519291)]","[(48, 0.1854959635519291), (39, 0.1261585151858975), (37, 0.07059138190168178), (2, 0.07032014063622725), (27, 0.06727663631803203), (0, 0.05206552876113614), (10, 0.04322655034522079), (17, 0.043173302246821), (44, 0.03952232057887917), (36, 0.038559452790600524), (4, 0.038081313887262096), (35, 0.03487252128439752), (34, 0.03471972569506895), (41, 0.03380223726023945), (32, 0.023152914339519833), (29, 0.021906957510342308), (16, 0.01965576292662048), (15, 0.01667797219425705), (8, 0.0161787615484888), (18, 0.014794031269368695)]",48
11634,11803,11803,Active Trademark Registrations,"['(Updated', '8/1/2017)', '(Must', 'use', 'i', 'e', 'for', 'images', ')', 'List', 'of', 'trademark', 'registrations', 'that', 'are', 'active', 'on', 'the', 'record', 'of', 'the', 'Secretary', 'of', 'State', 'Corporation', 'Division', 'as', 'of', 'the', 'end', 'of', 'the', 'previous', 'month']",,"['zip', 'address1', 'correspondent_name', 'state', 'registration_date', 'registration_number', 'address2', 'image_link', 'city', 'trademark_description']","['Zip', 'Address1', 'Correspondent Name', 'State', 'Registration Date', 'Registration Number', 'Address2', 'Image Link', 'City', 'Trademark Description']",dataset,['economy'],Business,"['trademark', 'registration', 'service mark']",official,6178.0,1600.0,451.0,85744.0,16.3877649262,data.oregon.gov,"['trademark', 'registration', 'service', 'mark', 'economy', 'business']","['trademark', 'registration', 'service', 'mark', 'economy', 'business', '(Updated', '8/1/2017)', '(Must', 'use', 'i', 'e', 'for', 'images', ')', 'List', 'of', 'trademark', 'registrations', 'that', 'are', 'active', 'on', 'the', 'record', 'of', 'the', 'Secretary', 'of', 'State', 'Corporation', 'Division', 'as', 'of', 'the', 'end', 'of', 'the', 'previous', 'month']","[(0, 0.039882022101262619), (2, 0.16984347431721594), (3, 0.040773285974932585), (11, 0.039201183431952634), (21, 0.1582166677761003), (24, 0.052286167781790238), (31, 0.11372990925958439), (35, 0.039201183431952634), (43, 0.078875271377629355), (48, 0.23692574579018214)]","[(48, 0.23692574579018214), (2, 0.16984347431721594), (21, 0.1582166677761003), (31, 0.11372990925958439), (43, 0.07887527137762936), (24, 0.05228616778179024), (3, 0.040773285974932585), (0, 0.03988202210126262), (11, 0.039201183431952634), (35, 0.039201183431952634)]",48
15835,16004,16004,Procurement - Awarded Contracts & Amendments,"['Click', 'on', 'the', 'link', 'to', 'see', 'or', 'download', 'a', 'PDF', 'of', 'the', 'contract', 'This', 'dataset', 'contains', 'new', 'contracts', 'and', 'amendments', 'Amendments', 'may', 'be', 'contract', 'extensions', 'renewals', 'increases', 'decreases', 'scope', 'changes', 'or', 'any', 'combination', 'of', 'these', 'Amendment', 'data', 'is', 'included', 'starting', 'with', 'Fiscal', 'Year', '2015', '(December', '2014)']",Office of the Chief Procurement Officer,"['link', 'lead_department', 'start_date', 'end_date', 'category', 'amount', 'vendor_name', 'vendor_number', 'contract_number', 'description', 'system_release']","['Link', 'Lead Department', 'Start Date', 'End Date', 'Category', 'Amount', 'Vendor Name', 'Vendor Number', 'Contract Number', 'Description', 'System Release']",dataset,"['politics', 'finance']",Finance & Administration,"['rfi', 'transparency', 'award', 'rfp', 'bid', 'contract', 'purchase', 'procurement']",official,8682.0,1624.0,390.0,73403.0,16.1635710615,datacatalog.cookcountyil.gov,"['rfi', 'transparency', 'award', 'rfp', 'bid', 'contract', 'purchase', 'procurement', 'politics', 'finance', 'finance', '&', 'administration']","['rfi', 'transparency', 'award', 'rfp', 'bid', 'contract', 'purchase', 'procurement', 'politics', 'finance', 'finance', '&', 'administration', 'Click', 'on', 'the', 'link', 'to', 'see', 'or', 'download', 'a', 'PDF', 'of', 'the', 'contract', 'This', 'dataset', 'contains', 'new', 'contracts', 'and', 'amendments', 'Amendments', 'may', 'be', 'contract', 'extensions', 'renewals', 'increases', 'decreases', 'scope', 'changes', 'or', 'any', 'combination', 'of', 'these', 'Amendment', 'data', 'is', 'included', 'starting', 'with', 'Fiscal', 'Year', '2015', '(December', '2014)']","[(4, 0.081682969294939123), (8, 0.026548546036635309), (12, 0.097464552869759177), (15, 0.068415969022664724), (18, 0.027496891064304002), (22, 0.027399116573242645), (24, 0.020435342589666842), (30, 0.096140850561633365), (31, 0.027639200062041677), (35, 0.026903124626369426), (40, 0.13606453332453253), (43, 0.049513024330321481), (48, 0.26984421352722587), (51, 0.026182435347432687)]","[(48, 0.2698442135272259), (40, 0.13606453332453253), (12, 0.09746455286975918), (30, 0.09614085056163336), (4, 0.08168296929493912), (15, 0.06841596902266472), (43, 0.04951302433032148), (31, 0.027639200062041677), (18, 0.027496891064304002), (22, 0.027399116573242645), (35, 0.026903124626369426), (8, 0.02654854603663531), (51, 0.026182435347432687), (24, 0.020435342589666842)]",48
