,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
10946,11115,11115,Lottery Cash 4 Life Winning Numbers: Beginning 2014,"['Go', 'to', 'http', '//on', 'ny', 'gov/1xRIvPz', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Cash', '4', 'Life', 'results', 'and', 'payouts']",New York State Gaming Commission,"['draw_date', 'winning_numbers', 'cash_ball']","['Draw Date', 'Winning Numbers', 'Cash Ball']",dataset,[],Government & Finance,"['cash 4 life', 'results', 'winning', 'new york lottery']",official,25492.0,133052.0,36477.0,4908371.0,22.2268131627,data.ny.gov,"['cash', '4', 'life', 'results', 'winning', 'new', 'york', 'lottery', 'government', '&', 'finance']","['cash', '4', 'life', 'results', 'winning', 'new', 'york', 'lottery', 'government', '&', 'finance', 'Go', 'to', 'http', '//on', 'ny', 'gov/1xRIvPz', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Cash', '4', 'Life', 'results', 'and', 'payouts']","[(1, 0.087792642140468183), (10, 0.10140236535369099), (18, 0.087792642140468183), (24, 0.044314381270902987), (28, 0.044314381270902987), (31, 0.22592832515916603), (33, 0.062152912407856802), (43, 0.21787731637764038), (50, 0.092471856621377871)]","[(31, 0.22592832515916603), (43, 0.21787731637764038), (10, 0.10140236535369099), (50, 0.09247185662137787), (1, 0.08779264214046818), (18, 0.08779264214046818), (33, 0.0621529124078568), (24, 0.04431438127090299), (28, 0.04431438127090299)]",31
10947,11116,11116,Lottery Daily Numbers/Win-4 Winning Numbers: Beginning 1980,"['Go', 'to', 'http', '//on', 'ny', 'gov/1Cx6zvs', 'or', 'http', '//on', 'ny', 'gov/1KYjE6X', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Daily', 'Numbers/Win', '4', 'results', 'and', 'payouts']",New York State Gaming Commission,"['midday_win_4', 'midday_win_4_sum', 'midday_daily', 'midday_daily_sum', 'evening_daily', 'draw_date', 'evening_win_4', 'evening_win_4_sum', 'evening_daily_sum']","['Midday Win 4 #', 'Midday Win 4 Sum', 'Midday Daily #', 'Midday Daily Sum', 'Evening Daily #', 'Draw Date', 'Evening Win 4 #', 'Evening Win 4 Sum', 'Evening Daily Sum']",dataset,[],Government & Finance,"['win-4', 'numbers', 'winning', 'results', 'new york lottery']",official,9945.0,4561.0,1063.0,873452.0,19.7363705491,data.ny.gov,"['win-4', 'numbers', 'winning', 'results', 'new', 'york', 'lottery', 'government', '&', 'finance']","['win-4', 'numbers', 'winning', 'results', 'new', 'york', 'lottery', 'government', '&', 'finance', 'Go', 'to', 'http', '//on', 'ny', 'gov/1Cx6zvs', 'or', 'http', '//on', 'ny', 'gov/1KYjE6X', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Daily', 'Numbers/Win', '4', 'results', 'and', 'payouts']","[(16, 0.049891369174257676), (18, 0.19304733727810638), (22, 0.039201183431952634), (24, 0.039201183431952634), (28, 0.039201183431952634), (31, 0.25307069974533269), (33, 0.051782475857286653), (43, 0.23127523902663175), (50, 0.071524594894715576)]","[(31, 0.2530706997453327), (43, 0.23127523902663175), (18, 0.19304733727810638), (50, 0.07152459489471558), (33, 0.05178247585728665), (16, 0.049891369174257676), (22, 0.039201183431952634), (24, 0.039201183431952634), (28, 0.039201183431952634)]",31
10948,11117,11117,Lottery Mega Millions Winning Numbers: Beginning 2002,"['Go', 'to', 'http', '//on', 'ny', 'gov/1J8tPSN', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Mega', 'Millions', 'results', 'and', 'payouts']",New York State Gaming Commission,"['multiplier', 'winning_numbers', 'mega_ball', 'draw_date']","['Multiplier', 'Winning Numbers', 'Mega Ball', 'Draw Date']",dataset,[],Government & Finance,"['results', 'winning', 'new york lottery', 'mega millions']",official,46902.0,1367.0,475.0,338380.0,18.3682890382,data.ny.gov,"['results', 'winning', 'new', 'york', 'lottery', 'mega', 'millions', 'government', '&', 'finance']","['results', 'winning', 'new', 'york', 'lottery', 'mega', 'millions', 'government', '&', 'finance', 'Go', 'to', 'http', '//on', 'ny', 'gov/1J8tPSN', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Mega', 'Millions', 'results', 'and', 'payouts']","[(18, 0.044314381270902987), (24, 0.044314381270902987), (28, 0.044314381270902987), (31, 0.35578352742855085), (33, 0.048226657405777758), (40, 0.11865973820608039), (43, 0.21799144127141287), (50, 0.089606194216605872)]","[(31, 0.35578352742855085), (43, 0.21799144127141287), (40, 0.11865973820608039), (50, 0.08960619421660587), (33, 0.04822665740577776), (18, 0.04431438127090299), (24, 0.04431438127090299), (28, 0.04431438127090299)]",31
10949,11118,11118,Lottery Take 5 Winning Numbers,"['Go', 'to', 'http', '//on', 'ny', 'gov/1DYGlWJ', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Take', '5', 'results', 'and', 'payouts']",New York State Gaming Commission,"['winning_numbers', 'draw_date', 'bonus']","['Winning Numbers', 'Draw Date', 'Bonus #']",dataset,[],Government & Finance,"['new york lottery', 'results', 'winning', 'take 5']",official,7174.0,4886.0,1429.0,282792.0,18.1093868839,data.ny.gov,"['new', 'york', 'lottery', 'results', 'winning', 'take', '5', 'government', '&', 'finance']","['new', 'york', 'lottery', 'results', 'winning', 'take', '5', 'government', '&', 'finance', 'Go', 'to', 'http', '//on', 'ny', 'gov/1DYGlWJ', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Take', '5', 'results', 'and', 'payouts']","[(16, 0.061945252236358543), (18, 0.048534798534798508), (24, 0.048534798534798494), (28, 0.14377289377289371), (31, 0.26258984176048822), (33, 0.066630450431739638), (43, 0.23863800980514585), (50, 0.089060914630736232)]","[(31, 0.2625898417604882), (43, 0.23863800980514585), (28, 0.1437728937728937), (50, 0.08906091463073623), (33, 0.06663045043173964), (16, 0.06194525223635854), (18, 0.04853479853479851), (24, 0.048534798534798494)]",31
7212,7381,7381,2010 General - Election Results by precinct (complete eCanvass dataset),"['November', '2010', 'election;', 'final/official', 'results', 'by', 'precinct']",King County Elections,"['precinct', 'candidate', 'congressional_district', 'sumofcount', 'party', 'county_council_district', 'legislative_district', 'race']","['Precinct', 'Candidate', 'Congressional District', 'SumOfCount', 'Party', 'County Council District', 'Legislative District', 'Race']",dataset,"['politics', 'economy', 'demographics']",Election results,"['ecanvass', 'precinct', 'results', 'elections', 'general', '2010 general', '2010']",official,1720.0,21643.0,5465.0,150662.0,17.2009656361,data.kingcounty.gov,"['ecanvass', 'precinct', 'results', 'elections', 'general', '2010', 'general', '2010', 'politics', 'economy', 'demographics', 'election', 'results']","['ecanvass', 'precinct', 'results', 'elections', 'general', '2010', 'general', '2010', 'politics', 'economy', 'demographics', 'election', 'results', 'November', '2010', 'election;', 'final/official', 'results', 'by', 'precinct']","[(31, 0.82466063348416219), (51, 0.11877828054298629)]","[(31, 0.8246606334841622), (51, 0.1187782805429863)]",31
7213,7382,7382,2010 Primary - Election Results by precinct (complete eCanvass dataset),"['August', '2010', 'primary', 'election;', 'final/official', 'results', 'by', 'precinct']",King County Elections,"['race', 'precinct', 'legislative_district', 'county_council', 'candidate', 'count', 'congressional']","['RACE', 'PRECINCT', 'LEGISLATIVE DISTRICT', 'COUNTY COUNCIL', 'Candidate', 'COUNT', 'CONGRESSIONAL']",dataset,"['politics', 'economy', 'demographics']",Election results,"['ecanvass', 'precinct', 'results', 'elections', 'primary', '2010 primary', '2010']",official,1542.0,21342.0,5453.0,144550.0,17.1412190638,data.kingcounty.gov,"['ecanvass', 'precinct', 'results', 'elections', 'primary', '2010', 'primary', '2010', 'politics', 'economy', 'demographics', 'election', 'results']","['ecanvass', 'precinct', 'results', 'elections', 'primary', '2010', 'primary', '2010', 'politics', 'economy', 'demographics', 'election', 'results', 'August', '2010', 'primary', 'election;', 'final/official', 'results', 'by', 'precinct']","[(31, 0.83440170940170866), (51, 0.11217948717948711)]","[(31, 0.8344017094017087), (51, 0.11217948717948711)]",31
7214,7383,7383,2012 General - Election Results by precinct (complete eCanvass dataset),"['November', '2012', 'general', 'election;', 'final/official', 'results', 'by', 'precinct']",King County Elections,"['countergroup', 'race', 'countertype', 'cg', 'precinct', 'sumofcount', 'cc', 'party', 'leg']","['CounterGroup', 'Race', 'CounterType', 'CG', 'Precinct', 'SumOfCount', 'CC', 'Party', 'LEG']",dataset,"['politics', 'economy', 'demographics']",Election results,"['ecanvass', 'precinct', 'results', 'elections', 'general', '2012 general', '2012']",official,1930.0,20205.0,5406.0,142577.0,17.1213918634,data.kingcounty.gov,"['ecanvass', 'precinct', 'results', 'elections', 'general', '2012', 'general', '2012', 'politics', 'economy', 'demographics', 'election', 'results']","['ecanvass', 'precinct', 'results', 'elections', 'general', '2012', 'general', '2012', 'politics', 'economy', 'demographics', 'election', 'results', 'November', '2012', 'general', 'election;', 'final/official', 'results', 'by', 'precinct']","[(31, 0.83440170940170866), (51, 0.11217948717948709)]","[(31, 0.8344017094017087), (51, 0.11217948717948709)]",31
7215,7384,7384,2009 General - Election Results by precinct (complete eCanvass dataset),"['November', '2009', 'general', 'election;', 'final/official', 'results', 'by', 'precinct']",King County Elections,"['cg', 'leg', 'race', 'cc', 'count', 'countertype', 'precinct']","['CG', 'LEG', 'Race', 'CC', 'Count', 'CounterType', 'Precinct']",dataset,"['politics', 'economy', 'demographics']",Election results,"['ecanvass', 'precinct', 'results', 'elections', 'general', '2009 general', '2009']",official,1238.0,21452.0,5467.0,142544.0,17.1210579097,data.kingcounty.gov,"['ecanvass', 'precinct', 'results', 'elections', 'general', '2009', 'general', '2009', 'politics', 'economy', 'demographics', 'election', 'results']","['ecanvass', 'precinct', 'results', 'elections', 'general', '2009', 'general', '2009', 'politics', 'economy', 'demographics', 'election', 'results', 'November', '2009', 'general', 'election;', 'final/official', 'results', 'by', 'precinct']","[(31, 0.83440170940170866), (51, 0.11217948717948711)]","[(31, 0.8344017094017087), (51, 0.11217948717948711)]",31
7216,7385,7385,2012 Primary - Election Results by precinct (complete eCanvass dataset),"['August', '2012', 'primary', 'election;', 'final/official', 'results', 'by', 'precinct']",King County Elections,"['countergroup', 'countertype', 'party', 'count', 'precinct', 'race', 'cc', 'leg', 'cg']","['CounterGroup', 'CounterType', 'Party', 'Count', 'Precinct', 'Race', 'CC', 'LEG', 'CG']",dataset,"['politics', 'economy', 'demographics']",Election results,"['ecanvass', 'precinct', 'results', 'elections', 'primary', '2012 primary', '2012']",official,1169.0,20663.0,5401.0,141506.0,17.1105138958,data.kingcounty.gov,"['ecanvass', 'precinct', 'results', 'elections', 'primary', '2012', 'primary', '2012', 'politics', 'economy', 'demographics', 'election', 'results']","['ecanvass', 'precinct', 'results', 'elections', 'primary', '2012', 'primary', '2012', 'politics', 'economy', 'demographics', 'election', 'results', 'August', '2012', 'primary', 'election;', 'final/official', 'results', 'by', 'precinct']","[(31, 0.83440170940170877), (51, 0.11217948717948709)]","[(31, 0.8344017094017088), (51, 0.11217948717948709)]",31
7217,7386,7386,2011 General - Election Results by precinct (complete eCanvass dataset),"['November', '2011', 'general', 'election;', 'final/official', 'results', 'by', 'precinct']",King County Elections,"['leg', 'cc', 'precinct', 'race', 'sumofcount', 'party', 'countertype', 'cg', 'countergroup']","['LEG', 'CC', 'Precinct', 'Race', 'SumOfCount', 'Party', 'CounterType', 'CG', 'CounterGroup']",dataset,"['politics', 'economy', 'demographics']",Election results,"['ecanvass', 'precinct', 'results', 'elections', 'general', '2011 general', '2011']",official,1141.0,22258.0,5397.0,140181.0,17.0969415871,data.kingcounty.gov,"['ecanvass', 'precinct', 'results', 'elections', 'general', '2011', 'general', '2011', 'politics', 'economy', 'demographics', 'election', 'results']","['ecanvass', 'precinct', 'results', 'elections', 'general', '2011', 'general', '2011', 'politics', 'economy', 'demographics', 'election', 'results', 'November', '2011', 'general', 'election;', 'final/official', 'results', 'by', 'precinct']","[(31, 0.83440170940170866), (51, 0.11217948717948711)]","[(31, 0.8344017094017087), (51, 0.11217948717948711)]",31
