,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
18308,18477,18477,Recreation & Parks Program Totals: Winter 2015_Summer 2015,"['Data', 'encompasses', 'the', 'total', 'number', 'of', 'participants', 'enrolled', 'in', 'Howard', 'County', 'Recreation', 'Parks', 'Programs', '(I', 'e', 'Sports', 'Fitness', 'Nature', 'Environment', 'Camps', 'etc', ')']",Recreation & Parks,"['non_resident_enrollment', 'resident_enrollment', 'program_end_date', 'program_start_date', 'season_year', 'program_number_program_name']","['Non_Resident_Enrollment', 'Resident_Enrollment', 'Program_End_Date', 'Program_Start_Date', 'Season_Year ', 'Program_Number_Program_Name']",dataset,"['recreation', 'environment', 'infrastructure']",Recreation and Parks,[],official,143.0,2.0,0.0,115852.0,16.8219358775,opendata.howardcountymd.gov,"['recreation', 'environment', 'infrastructure', 'recreation', 'and', 'parks']","['recreation', 'environment', 'infrastructure', 'recreation', 'and', 'parks', 'Data', 'encompasses', 'the', 'total', 'number', 'of', 'participants', 'enrolled', 'in', 'Howard', 'County', 'Recreation', 'Parks', 'Programs', '(I', 'e', 'Sports', 'Fitness', 'Nature', 'Environment', 'Camps', 'etc', ')']","[(0, 0.04683823781512645), (2, 0.084548843329810469), (3, 0.053773084605262408), (5, 0.041553023991661719), (8, 0.040774299434891158), (9, 0.31435770305467736), (17, 0.047899600041486474), (22, 0.085556681681916949), (26, 0.045529341359407831), (38, 0.043299656520301537), (51, 0.16433106662699501)]","[(9, 0.31435770305467736), (51, 0.164331066626995), (22, 0.08555668168191695), (2, 0.08454884332981047), (3, 0.05377308460526241), (17, 0.047899600041486474), (0, 0.04683823781512645), (26, 0.04552934135940783), (38, 0.04329965652030154), (5, 0.04155302399166172), (8, 0.04077429943489116)]",9
10959,11128,11128,Fish Stocking Lists (Actual): Beginning 2011,"['Each', 'year', 'DEC', 'releases', 'approximately', '900', '000', 'pounds', 'of', 'fish', 'into', 'more', 'than', '1', '200', 'public', 'streams', 'rivers', 'lakes', 'and', 'ponds', 'across', 'the', 'state', 'These', 'fish', 'are', 'stocked', 'for', 'two', 'main', 'purposes', 'to', 'enhance', 'recreational', 'fishing', 'and', 'to', 'restore', 'native', 'species', 'to', 'waters', 'they', 'formerly', 'occupied', 'The', 'DEC', 'runs', '12', 'fish', 'hatcheries', 'each', 'specializing', 'in', 'raising', 'one', 'or', 'more', 'species', 'of', 'fish', 'including', 'brook', 'trout', 'brown', 'trout', 'rainbow', 'trout', 'lake', 'trout', 'steelhead', 'chinook', 'salmon', 'coho', 'salmon', 'landlocked', 'salmon', 'walleye', 'muskellunge', 'and', 'tiger', 'muskellunge', 'All', 'hatcheries', 'are', 'open', 'to', 'the', 'public', 'from', 'spring', 'through', 'fall', 'and', 'several', 'are', 'open', 'year', 'round', 'The', 'Fish', 'Stocking', 'Lists', 'are', 'updated', 'approximately', 'mid', 'May', 'the', 'year', 'following', 'the', 'actual', 'stocking', 'The', 'number', 'of', 'stocked', 'fish', 'is', 'an', 'estimate', 'not', 'an', 'actual', 'count']",,"['town', 'number', 'species', 'size_inches', 'waterbody', 'year', 'county', 'month']","['Town', ' Number ', 'Species', 'Size (Inches)', 'Waterbody', 'Year', 'County', 'Month']",datalens,['environment'],Recreation,[],official,2.0,8021.0,1934.0,94342.0,16.5256278572,data.ny.gov,"['environment', 'recreation']","['environment', 'recreation', 'Each', 'year', 'DEC', 'releases', 'approximately', '900', '000', 'pounds', 'of', 'fish', 'into', 'more', 'than', '1', '200', 'public', 'streams', 'rivers', 'lakes', 'and', 'ponds', 'across', 'the', 'state', 'These', 'fish', 'are', 'stocked', 'for', 'two', 'main', 'purposes', 'to', 'enhance', 'recreational', 'fishing', 'and', 'to', 'restore', 'native', 'species', 'to', 'waters', 'they', 'formerly', 'occupied', 'The', 'DEC', 'runs', '12', 'fish', 'hatcheries', 'each', 'specializing', 'in', 'raising', 'one', 'or', 'more', 'species', 'of', 'fish', 'including', 'brook', 'trout', 'brown', 'trout', 'rainbow', 'trout', 'lake', 'trout', 'steelhead', 'chinook', 'salmon', 'coho', 'salmon', 'landlocked', 'salmon', 'walleye', 'muskellunge', 'and', 'tiger', 'muskellunge', 'All', 'hatcheries', 'are', 'open', 'to', 'the', 'public', 'from', 'spring', 'through', 'fall', 'and', 'several', 'are', 'open', 'year', 'round', 'The', 'Fish', 'Stocking', 'Lists', 'are', 'updated', 'approximately', 'mid', 'May', 'the', 'year', 'following', 'the', 'actual', 'stocking', 'The', 'number', 'of', 'stocked', 'fish', 'is', 'an', 'estimate', 'not', 'an', 'actual', 'count']","[(2, 0.0254209434456899), (6, 0.012226984881097096), (8, 0.041016447118547725), (9, 0.21575876643363517), (10, 0.010743761718769335), (12, 0.012353463158126781), (13, 0.095395832474334655), (15, 0.054302269209276402), (17, 0.01254399557665483), (18, 0.021683159883389206), (21, 0.022282588561931573), (22, 0.025587171655788367), (25, 0.013497407481945124), (26, 0.036855610880166444), (27, 0.041492414105527418), (30, 0.037690477978791569), (31, 0.01158216783216783), (32, 0.027652280000551463), (35, 0.056640408290073531), (37, 0.025984191010558551), (39, 0.012391395870359166), (43, 0.12550631972260104), (45, 0.011614569718062023), (46, 0.029254328578632006), (49, 0.014622694762972985)]","[(9, 0.21575876643363517), (43, 0.12550631972260104), (13, 0.09539583247433465), (35, 0.05664040829007353), (15, 0.0543022692092764), (27, 0.04149241410552742), (8, 0.041016447118547725), (30, 0.03769047797879157), (26, 0.036855610880166444), (46, 0.029254328578632006), (32, 0.027652280000551463), (37, 0.02598419101055855), (22, 0.025587171655788367), (2, 0.0254209434456899), (21, 0.022282588561931573), (18, 0.021683159883389206), (49, 0.014622694762972985), (25, 0.013497407481945124), (17, 0.01254399557665483), (39, 0.012391395870359166), (12, 0.012353463158126781), (6, 0.012226984881097096), (45, 0.011614569718062023), (31, 0.01158216783216783), (10, 0.010743761718769335)]",9
9383,9552,9552,Privacy Test,"['Cooling', 'Centers', 'Sites', 'in', 'Missouri']",Missouri Department of Health & Senior Services,"['facility', 'county', 'location', 'phone', 'city', 'address', 'hours_of_operation', 'zipcode']","['FACILITY', 'COUNTY', 'Location', 'PHONE', 'CITY', 'ADDRESS', 'HOURS OF OPERATION', 'ZIPCODE']",map,[],Health,"['heat', 'cooling centers']",official,130.0,11.0,1.0,83717.0,16.353250226,data.mo.gov,"['heat', 'cooling', 'centers', 'health']","['heat', 'cooling', 'centers', 'health', 'Cooling', 'Centers', 'Sites', 'in', 'Missouri']","[(1, 0.11324786324786283), (2, 0.11324786324786283), (8, 0.11324786324786283), (9, 0.44658119658119499), (10, 0.11324786324786283)]","[(9, 0.446581196581195), (1, 0.11324786324786283), (2, 0.11324786324786283), (8, 0.11324786324786283), (10, 0.11324786324786283)]",9
9396,9565,9565,Missouri Cooling Centers Sites,"['Cooling', 'Centers', 'Sites', 'in', 'Missouri']",Missouri Department of Health & Senior Services,"['phone', 'facility', 'address', 'city', 'hours_of_operation', 'zipcode', 'county', 'location']","['PHONE', 'FACILITY', 'ADDRESS', 'CITY', 'HOURS OF OPERATION', 'ZIPCODE', 'COUNTY', 'Location']",dataset,[],Health,"['heat', 'cooling centers']",official,2288.0,6.0,0.0,80575.0,16.2980625677,data.mo.gov,"['heat', 'cooling', 'centers', 'health']","['heat', 'cooling', 'centers', 'health', 'Cooling', 'Centers', 'Sites', 'in', 'Missouri']","[(1, 0.11324786324786283), (2, 0.11324786324786283), (8, 0.11324786324786283), (9, 0.44658119658119499), (10, 0.11324786324786283)]","[(9, 0.446581196581195), (1, 0.11324786324786283), (2, 0.11324786324786283), (8, 0.11324786324786283), (10, 0.11324786324786283)]",9
9397,9566,9566,Missouri Cooling Centers Map,"['Cooling', 'Centers', 'Sites', 'in', 'Missouri']",Missouri Department of Health & Senior Services,"['location', 'address', 'county', 'phone', 'zipcode', 'hours_of_operation', 'facility', 'city']","['Location', 'ADDRESS', 'COUNTY', 'PHONE', 'ZIPCODE', 'HOURS OF OPERATION', 'FACILITY', 'CITY']",map,[],Health,"['heat', 'cooling centers']",official,119.0,15.0,0.0,80399.0,16.294907881,data.mo.gov,"['heat', 'cooling', 'centers', 'health']","['heat', 'cooling', 'centers', 'health', 'Cooling', 'Centers', 'Sites', 'in', 'Missouri']","[(1, 0.11324786324786283), (2, 0.11324786324786283), (8, 0.11324786324786283), (9, 0.44658119658119499), (10, 0.11324786324786283)]","[(9, 0.446581196581195), (1, 0.11324786324786283), (2, 0.11324786324786283), (8, 0.11324786324786283), (10, 0.11324786324786283)]",9
11064,11233,11233,State Park Annual Attendance Figures by Facility:  Beginning 2003,"['This', 'data', 'set', 'contains', 'the', 'annual', 'attendance', 'figures', 'for', 'facilities', 'operated', 'by', 'the', 'New', 'York', 'State', 'Office', 'for', 'Parks', 'Recreation', 'and', 'Historic', 'Preservation', '(OPRHP)', 'The', 'data', 'is', 'organized', 'by', 'OPRHP', 'region', 'and', 'county']","New York State Office for Parks, Recreation and Historic Preservation (OPRHP)","['county', 'oprhp_region', 'attendance', 'facility', 'year']","['County', 'OPRHP Region', 'Attendance', 'Facility', 'Year']",dataset,"['recreation', 'economy']",Recreation,"['recreational facilities', 'historic sites', 'state parks']",official,1076.0,113.0,20.0,43990.0,15.4249207764,data.ny.gov,"['recreational', 'facilities', 'historic', 'sites', 'state', 'parks', 'recreation', 'economy', 'recreation']","['recreational', 'facilities', 'historic', 'sites', 'state', 'parks', 'recreation', 'economy', 'recreation', 'This', 'data', 'set', 'contains', 'the', 'annual', 'attendance', 'figures', 'for', 'facilities', 'operated', 'by', 'the', 'New', 'York', 'State', 'Office', 'for', 'Parks', 'Recreation', 'and', 'Historic', 'Preservation', '(OPRHP)', 'The', 'data', 'is', 'organized', 'by', 'OPRHP', 'region', 'and', 'county']","[(1, 0.16308119515609154), (3, 0.048286897353626158), (9, 0.32781323342888685), (12, 0.033974358974358937), (22, 0.13813034518682046), (28, 0.034716426808456526), (30, 0.048908218722966669), (43, 0.13397435897435883), (51, 0.043550862830330508)]","[(9, 0.32781323342888685), (1, 0.16308119515609154), (22, 0.13813034518682046), (43, 0.13397435897435883), (30, 0.04890821872296667), (3, 0.04828689735362616), (51, 0.04355086283033051), (28, 0.034716426808456526), (12, 0.03397435897435894)]",9
11077,11246,11246,Annual Attendance at State Park Facilities Chart: Beginning 2003,"['This', 'chart', 'shows', 'the', 'total', 'annual', 'attendance', 'at', 'all', 'State', 'Park', 'facilities', 'It', 'is', 'based', 'on', 'the', 'following', 'data', 'set', 'https', '//data', 'ny', 'gov/d/8f3n', 'xj78', 'which', 'contains', 'the', 'annual', 'attendance', 'figures', 'for', 'facilities', 'operated', 'by', 'the', 'New', 'York', 'State', 'Office', 'for', 'Parks', 'Recreation', 'and', 'Historic', 'Preservation', '(OPRHP)', 'The', 'data', 'is', 'organized', 'by', 'OPRHP', 'region', 'and', 'county']","New York State Office for Parks, Recreation and Historic Preservation (OPRHP)","['year', 'attendance']","['Year', 'Attendance']",chart,"['recreation', 'economy']",Recreation,"['recreational facilities', 'historic sites', 'state parks']",official,90.0,43.0,4.0,41055.0,15.3253054551,data.ny.gov,"['recreational', 'facilities', 'historic', 'sites', 'state', 'parks', 'recreation', 'economy', 'recreation']","['recreational', 'facilities', 'historic', 'sites', 'state', 'parks', 'recreation', 'economy', 'recreation', 'This', 'chart', 'shows', 'the', 'total', 'annual', 'attendance', 'at', 'all', 'State', 'Park', 'facilities', 'It', 'is', 'based', 'on', 'the', 'following', 'data', 'set', 'https', '//data', 'ny', 'gov/d/8f3n', 'xj78', 'which', 'contains', 'the', 'annual', 'attendance', 'figures', 'for', 'facilities', 'operated', 'by', 'the', 'New', 'York', 'State', 'Office', 'for', 'Parks', 'Recreation', 'and', 'Historic', 'Preservation', '(OPRHP)', 'The', 'data', 'is', 'organized', 'by', 'OPRHP', 'region', 'and', 'county']","[(1, 0.11882631310338457), (3, 0.030355883931428945), (9, 0.27786889834954492), (12, 0.03924042963864225), (22, 0.075346036033672154), (26, 0.084551399867704061), (28, 0.025484974640424346), (30, 0.034927652774821592), (40, 0.11037112124554119), (43, 0.12548459562394645), (51, 0.059206379942946905)]","[(9, 0.2778688983495449), (43, 0.12548459562394645), (1, 0.11882631310338457), (40, 0.11037112124554119), (26, 0.08455139986770406), (22, 0.07534603603367215), (51, 0.059206379942946905), (12, 0.03924042963864225), (30, 0.03492765277482159), (3, 0.030355883931428945), (28, 0.025484974640424346)]",9
18323,18492,18492,Recreation & Parks Combined Recreational Licensed Childcare Totals: From Winter 2015_Summer 2015,"['Data', 'encompasses', 'the', 'total', 'number', 'of', 'participants', 'enrolled', 'in', 'Howard', 'County', 'Recreation', 'Parks', 'Recreational', 'Licensed', 'Childcare', 'Programs']",Recreation & Parks,"['season_year', 'program_end_date', 'resident_enrollments', 'non_resident_enrollments', 'program_start_date', 'proram_number_program_name']","['Season_Year', 'Program_End_Date', 'Resident_Enrollments', 'Non_Resident_Enrollments', 'Program_Start_Date', 'Proram_Number_Program_Name']",dataset,"['environment', 'recreation', 'finance']",Recreation and Parks,[],official,136.0,15.0,0.0,38384.0,15.2282550276,opendata.howardcountymd.gov,"['environment', 'recreation', 'finance', 'recreation', 'and', 'parks']","['environment', 'recreation', 'finance', 'recreation', 'and', 'parks', 'Data', 'encompasses', 'the', 'total', 'number', 'of', 'participants', 'enrolled', 'in', 'Howard', 'County', 'Recreation', 'Parks', 'Recreational', 'Licensed', 'Childcare', 'Programs']","[(0, 0.056136175513505339), (2, 0.14813033505876), (3, 0.056002497988477964), (8, 0.05365024820319781), (9, 0.36552691628537692), (17, 0.059153043681707332), (47, 0.15890688259109284), (51, 0.057959487722414542)]","[(9, 0.3655269162853769), (47, 0.15890688259109284), (2, 0.14813033505876), (17, 0.05915304368170733), (51, 0.05795948772241454), (0, 0.05613617551350534), (3, 0.056002497988477964), (8, 0.05365024820319781)]",9
11644,11813,11813,ReservationCalendar,[],Oregon Department of Forestry,"['campground', 'last_name', 'organization_if_applicable', 'approved_arrival_date_time', 'approved_departure_date_time', 'approved']","['Campground', 'Last Name', 'Organization (if applicable)', 'Check-in Date/Time', 'Check-out Date/Time', 'Approved']",calendar,[],Recreation,"['campground', 'camp']",official,75.0,6037.0,903.0,34237.0,15.0633108093,data.oregon.gov,"['campground', 'camp', 'recreation']","['campground', 'camp', 'recreation']","[(9, 0.25480769230769246), (26, 0.25480769230769246), (38, 0.25480769230769246)]","[(9, 0.25480769230769246), (26, 0.25480769230769246), (38, 0.25480769230769246)]",9
11101,11270,11270,SPDES Multi-Sector General Permit (MSGP) Permitted Facilities Map: Beginning 2012,"['The', 'SPDES', 'Multi', 'Sector', 'General', 'Permit', '(MSGP)', 'which', 'is', 'administered', 'by', 'the', 'Department', 'of', 'Environmental', 'Conservation', '(the', 'Department)', 'regulates', 'stormwater', 'discharges', 'associated', 'with', 'industrial', 'activity', 'from', 'a', 'point', 'source', 'The', 'MSGP', 'covers', 'thirty', 'one', 'different', 'industrial', 'sectors', 'which', 'include', 'activities', 'such', 'as', 'mining', 'land', 'transportation', 'and', 'scrap', 'recycling', 'The', 'dataset', 'displays', 'information', 'on', 'facilities', 'that', 'have', 'active', 'MSGP', 'coverage', 'in', 'New', 'York', 'State', 'Information', 'included', 'in', 'the', 'data', 'set', 'include', 'the', 'facility’s', 'name', 'address', 'contact', 'information', 'industrial', 'sector(s)', 'discharging', 'waterbody', 'and', 'location', 'of', 'the', 'facility’s', 'Stormwater', 'Pollution', 'Prevention', 'Plan', 'For', 'more', 'information', 'please', 'go', 'http', '//www', 'dec', 'ny', 'gov/chemical/62803', 'html']",New York State Department of Environmental Conservation,"['city', 'location_1', 'latitude', 'longitude', 'last_name', 'swppp_address', 'update', 'location', 'facility', 'first_name', 'waterbody', 'sector', 'waivers', 'zip', 'state', 'npdes_id']","['City', 'Location 1', 'Latitude', 'Longitude', 'Facility Contact Last Name', 'SWPPP Address', 'Update', 'Location', 'Facility', 'Facility Contact First Name', 'Waterbody', 'Sector', 'Waivers', 'Zip', 'State', 'NPDES ID']",map,"['environment', 'transportation', 'economy']",Energy & Environment,"['msgp', 'permitted facilities', 'spdes']",official,181.0,46.0,16.0,28477.0,14.7975602094,data.ny.gov,"['msgp', 'permitted', 'facilities', 'spdes', 'environment', 'transportation', 'economy', 'energy', '&', 'environment']","['msgp', 'permitted', 'facilities', 'spdes', 'environment', 'transportation', 'economy', 'energy', '&', 'environment', 'The', 'SPDES', 'Multi', 'Sector', 'General', 'Permit', '(MSGP)', 'which', 'is', 'administered', 'by', 'the', 'Department', 'of', 'Environmental', 'Conservation', '(the', 'Department)', 'regulates', 'stormwater', 'discharges', 'associated', 'with', 'industrial', 'activity', 'from', 'a', 'point', 'source', 'The', 'MSGP', 'covers', 'thirty', 'one', 'different', 'industrial', 'sectors', 'which', 'include', 'activities', 'such', 'as', 'mining', 'land', 'transportation', 'and', 'scrap', 'recycling', 'The', 'dataset', 'displays', 'information', 'on', 'facilities', 'that', 'have', 'active', 'MSGP', 'coverage', 'in', 'New', 'York', 'State', 'Information', 'included', 'in', 'the', 'data', 'set', 'include', 'the', 'facility’s', 'name', 'address', 'contact', 'information', 'industrial', 'sector(s)', 'discharging', 'waterbody', 'and', 'location', 'of', 'the', 'facility’s', 'Stormwater', 'Pollution', 'Prevention', 'Plan', 'For', 'more', 'information', 'please', 'go', 'http', '//www', 'dec', 'ny', 'gov/chemical/62803', 'html']","[(3, 0.067355122525649319), (4, 0.072301481186530306), (8, 0.015758864248131044), (9, 0.13086543898480682), (10, 0.014869177297477353), (11, 0.086030869403472002), (13, 0.035960638217967071), (15, 0.015609518506736289), (16, 0.085516444237283273), (21, 0.017932171149861918), (22, 0.018508716596609083), (27, 0.066308609469489577), (30, 0.04131326151698185), (31, 0.018264498641625243), (32, 0.063462661401347098), (37, 0.03287290399319992), (43, 0.06079257792866527), (45, 0.026524367853253971), (46, 0.078429571516330746), (47, 0.04343355897349753)]","[(9, 0.13086543898480682), (11, 0.086030869403472), (16, 0.08551644423728327), (46, 0.07842957151633075), (4, 0.0723014811865303), (3, 0.06735512252564932), (27, 0.06630860946948958), (32, 0.0634626614013471), (43, 0.06079257792866527), (47, 0.04343355897349753), (30, 0.04131326151698185), (13, 0.03596063821796707), (37, 0.03287290399319992), (45, 0.02652436785325397), (22, 0.018508716596609083), (31, 0.018264498641625243), (21, 0.017932171149861918), (8, 0.015758864248131044), (15, 0.01560951850673629), (10, 0.014869177297477353)]",9
