,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9350,9519,9519,Missouri Alcohol Licenses Not Renewed for the New License Year,"['List', 'of', 'Missouri', 'alcohol', 'licenses', 'not', 'yet', 'renewed', 'for', 'the', 'next', 'license', 'year', 'License', 'year', 'begins', 'July', '1', 'This', 'dataset', 'is', 'generated', 'nightly', 'during', 'the', 'months', 'of', 'April', 'through', 'July', 'for', 'the', 'license', 'renewal', 'period', 'This', 'dataset', 'will', 'be', 'empty', 'the', 'rest', 'of', 'the', 'year']",Missouri Division of Alcohol and Tobacco Control,"['license_number', 'licensee_name', 'dba_name', 'last_name', 'zip_code', 'renewal_date', 'city', 'state', 'business_phone', 'first_name', 'license_type', 'district', 'sub_district', 'county', 'street_number', 'street_name', 'latlng']","['License Number', 'Licensee Name', 'DBA Name', 'Last Name', 'Zip Code', 'Renewal Date', 'City', 'State', 'Business Phone', 'First Name', 'License Type', 'District', 'Sub District', 'County', 'Street Number', 'Street Name', 'latlng']",dataset,[],Regulatory,"['liquor', 'renew', 'missouri', 'licenses', 'alcohol']",official,,637.0,70.0,560808.0,19.0971499767,data.mo.gov,"['liquor', 'renew', 'missouri', 'licenses', 'alcohol', 'regulatory']","['liquor', 'renew', 'missouri', 'licenses', 'alcohol', 'regulatory', 'List', 'of', 'Missouri', 'alcohol', 'licenses', 'not', 'yet', 'renewed', 'for', 'the', 'next', 'license', 'year', 'License', 'year', 'begins', 'July', '1', 'This', 'dataset', 'is', 'generated', 'nightly', 'during', 'the', 'months', 'of', 'April', 'through', 'July', 'for', 'the', 'license', 'renewal', 'period', 'This', 'dataset', 'will', 'be', 'empty', 'the', 'rest', 'of', 'the', 'year']","[(2, 0.037246521576603714), (7, 0.041235170596711203), (10, 0.06513647642679897), (21, 0.034570277858036395), (26, 0.10814212653394946), (27, 0.033864440713640281), (28, 0.032878411910669959), (35, 0.032878411910669959), (36, 0.037769933040763981), (40, 0.21369519599648409), (41, 0.034859540895622355), (43, 0.032878411910669966), (46, 0.032878411910669959), (47, 0.032878411910669959), (48, 0.20613540321002435)]","[(40, 0.2136951959964841), (48, 0.20613540321002435), (26, 0.10814212653394946), (10, 0.06513647642679897), (7, 0.0412351705967112), (36, 0.03776993304076398), (2, 0.037246521576603714), (41, 0.034859540895622355), (21, 0.034570277858036395), (27, 0.03386444071364028), (43, 0.032878411910669966), (28, 0.03287841191066996), (35, 0.03287841191066996), (46, 0.03287841191066996), (47, 0.03287841191066996)]",40
9384,9553,9553,"ARRA Grant Expenditures As Of COB July 31, 2012","['Data', 'that', 'shows', 'how', 'every', 'dollar', 'received', 'by', 'the', 'State', 'of', 'Missouri', 'under', 'the', 'American', 'Reinvestment', 'and', 'Recovery', 'Act', 'of', '2009', 'has', 'been', 'spent', 'including', 'the', 'name', 'of', 'the', 'state', 'agency', 'that', 'made', 'the', 'expenditure', 'category', 'of', 'expenditure', 'and', 'the', 'names', 'of', 'vendors', 'receiving', 'payments']",Office of Administration,"['vendor_name', 'program_name', 'agency_name', 'payments_total']","['Vendor Name', 'Program Name', ' Agency Name', 'Payments Total']",dataset,"['economy', 'finance']",Government Administration,[],official,595.0,2.0,2.0,83129.0,16.3430815911,data.mo.gov,"['economy', 'finance', 'government', 'administration']","['economy', 'finance', 'government', 'administration', 'Data', 'that', 'shows', 'how', 'every', 'dollar', 'received', 'by', 'the', 'State', 'of', 'Missouri', 'under', 'the', 'American', 'Reinvestment', 'and', 'Recovery', 'Act', 'of', '2009', 'has', 'been', 'spent', 'including', 'the', 'name', 'of', 'the', 'state', 'agency', 'that', 'made', 'the', 'expenditure', 'category', 'of', 'expenditure', 'and', 'the', 'names', 'of', 'vendors', 'receiving', 'payments']","[(10, 0.039766635103059084), (16, 0.10747594655452959), (21, 0.089256782322671133), (27, 0.037227436398519907), (39, 0.04255104840135332), (40, 0.38316581492133778), (46, 0.064985499068334118), (48, 0.042165227471537614), (50, 0.16387264272568997)]","[(40, 0.3831658149213378), (50, 0.16387264272568997), (16, 0.10747594655452959), (21, 0.08925678232267113), (46, 0.06498549906833412), (39, 0.04255104840135332), (48, 0.042165227471537614), (10, 0.039766635103059084), (27, 0.03722743639851991)]",40
9385,9554,9554,"ARRA Grant Revenues As Of COB July 31, 2012","['Data', 'that', 'shows', 'every', 'dollar', 'received', 'by', 'the', 'State', 'of', 'Missouri', 'to', 'date', 'under', 'the', 'American', 'Reinvestment', 'and', 'Recovery', 'Act', 'of', '2009', 'including', 'the', 'receiving', 'state', 'agency', 'and', 'the', 'federal', 'funding', 'source', 'or', 'program']",Office of Administration,"['amount_received', 'agency_name', 'program_name']","['Amount Received', ' Agency Name', 'Program Name']",dataset,"['finance', 'economy']",Government Administration,[],official,583.0,0.0,0.0,82785.0,16.3370991927,data.mo.gov,"['finance', 'economy', 'government', 'administration']","['finance', 'economy', 'government', 'administration', 'Data', 'that', 'shows', 'every', 'dollar', 'received', 'by', 'the', 'State', 'of', 'Missouri', 'to', 'date', 'under', 'the', 'American', 'Reinvestment', 'and', 'Recovery', 'Act', 'of', '2009', 'including', 'the', 'receiving', 'state', 'agency', 'and', 'the', 'federal', 'funding', 'source', 'or', 'program']","[(10, 0.049725475092271654), (16, 0.22653385633631878), (21, 0.17293704569774648), (27, 0.045366328117547185), (39, 0.053500527781295312), (40, 0.23449962359101884), (50, 0.18137945107610853)]","[(40, 0.23449962359101884), (16, 0.22653385633631878), (50, 0.18137945107610853), (21, 0.17293704569774648), (39, 0.05350052778129531), (10, 0.049725475092271654), (27, 0.045366328117547185)]",40
18319,18488,18488,Capital Project Expenditures and Budgets: FY 2015,"['A', 'listing', 'of', 'all', 'capital', 'projects', 'active', 'in', 'Fiscal', 'Year', '2015', 'This', 'list', 'includes', 'multi', 'year', 'data', 'and', 'was', 'extracted', 'in', 'March', '2015', 'The', 'fiscal', 'year', 'of', 'each', 'project', 'represents', 'the', 'year', 'it', 'was', 'first', 'funded', 'in', 'the', 'Capital', 'Budget', 'The', 'financial', 'figures', 'represent', 'all', 'funds', 'spent', 'and', 'encumbered', '(reserved)', 'and', 'budgeted', 'for', 'each', 'capital', 'project', '**Note', 'the', 'budgeted', 'amounts', 'for', 'School', 'Projects', 'differ', 'slightly', 'from', 'those', 'in', 'the', 'Capital', 'Budget', 'as', 'funding', 'received', 'from', 'the', 'State', 'Aid', 'for', 'Public', 'Schools', 'program', 'and', 'various', 'developer', 'contributions', 'totaling', '$185', '335', '000', 'is', 'not', 'included']",Department of Public Works,"['count', 'category', 'spent_encumbered', 'fiscal_year', 'capital_project_no', 'budget', 'project_title']","['Count', 'Category', 'Spent/Encumbered', 'Fiscal_Year', 'Capital_Project_No', 'Budget', 'Project_Title']",dataset,"['finance', 'infrastructure', 'housing & development']",Money and Finance,"['bridges', 'budget', 'capital', 'drainage', 'education', 'fire', 'highway', 'infrastructure', 'library', 'park', 'police', 'projects', 'public safety', 'road', 'school', 'sewer', 'sidewalk', 'spending', 'traffic', 'transportation', 'water']",official,349.0,9.0,1.0,56269.0,15.7800783429,opendata.howardcountymd.gov,"['bridges', 'budget', 'capital', 'drainage', 'education', 'fire', 'highway', 'infrastructure', 'library', 'park', 'police', 'projects', 'public', 'safety', 'road', 'school', 'sewer', 'sidewalk', 'spending', 'traffic', 'transportation', 'water', 'finance', 'infrastructure', 'housing', '&', 'development', 'money', 'and', 'finance']","['bridges', 'budget', 'capital', 'drainage', 'education', 'fire', 'highway', 'infrastructure', 'library', 'park', 'police', 'projects', 'public', 'safety', 'road', 'school', 'sewer', 'sidewalk', 'spending', 'traffic', 'transportation', 'water', 'finance', 'infrastructure', 'housing', '&', 'development', 'money', 'and', 'finance', 'A', 'listing', 'of', 'all', 'capital', 'projects', 'active', 'in', 'Fiscal', 'Year', '2015', 'This', 'list', 'includes', 'multi', 'year', 'data', 'and', 'was', 'extracted', 'in', 'March', '2015', 'The', 'fiscal', 'year', 'of', 'each', 'project', 'represents', 'the', 'year', 'it', 'was', 'first', 'funded', 'in', 'the', 'Capital', 'Budget', 'The', 'financial', 'figures', 'represent', 'all', 'funds', 'spent', 'and', 'encumbered', '(reserved)', 'and', 'budgeted', 'for', 'each', 'capital', 'project', '**Note', 'the', 'budgeted', 'amounts', 'for', 'School', 'Projects', 'differ', 'slightly', 'from', 'those', 'in', 'the', 'Capital', 'Budget', 'as', 'funding', 'received', 'from', 'the', 'State', 'Aid', 'for', 'Public', 'Schools', 'program', 'and', 'various', 'developer', 'contributions', 'totaling', '$185', '335', '000', 'is', 'not', 'included']","[(1, 0.035689707611616751), (3, 0.069264669096581258), (4, 0.13822967712477841), (6, 0.024896588465024395), (9, 0.013154874031864397), (12, 0.013856839541835248), (15, 0.1258285864360604), (18, 0.024038461538461536), (21, 0.045633950149113513), (25, 0.013551293383986222), (26, 0.043350427580459955), (27, 0.014161752407636983), (31, 0.013012583528846084), (33, 0.021091195222396518), (34, 0.070696027015850996), (35, 0.023046117488390267), (37, 0.031398605401773028), (40, 0.19267501230500184), (49, 0.033532455670399516), (50, 0.045565168673915371)]","[(40, 0.19267501230500184), (4, 0.1382296771247784), (15, 0.1258285864360604), (34, 0.070696027015851), (3, 0.06926466909658126), (21, 0.04563395014911351), (50, 0.04556516867391537), (26, 0.043350427580459955), (1, 0.03568970761161675), (49, 0.033532455670399516), (37, 0.03139860540177303), (6, 0.024896588465024395), (18, 0.024038461538461536), (35, 0.023046117488390267), (33, 0.021091195222396518), (27, 0.014161752407636983), (12, 0.013856839541835248), (25, 0.013551293383986222), (9, 0.013154874031864397), (31, 0.013012583528846084)]",40
8682,8851,8851,Maryland Funding FY12 Payments Data,"['This', 'dataset', 'contains', 'summary', 'information', 'on', 'payments', 'made', 'to', 'vendors', 'that', 'received', '$25', '000', 'or', 'more', 'in', 'fiscal', 'year', '2012', 'The', 'data', 'is', 'also', 'published', 'and', 'searchable', 'online', 'on', 'the', 'www', 'spending', 'dbm', 'maryland', 'gov', 'website']",Maryland Department of Information Technology and Maryland Department of Budget and Management,"['vendor_name', 'vendor_zip', 'year', 'agency_name', 'amount']","['Vendor Name', 'Vendor Zip', 'Year', 'Agency Name', 'Amount']",dataset,['finance'],Budget,"['payments', 'vendor', 'budget', 'spending']",official,1450.0,15.0,2.0,48443.0,15.5640303722,data.maryland.gov,"['payments', 'vendor', 'budget', 'spending', 'finance', 'budget']","['payments', 'vendor', 'budget', 'spending', 'finance', 'budget', 'This', 'dataset', 'contains', 'summary', 'information', 'on', 'payments', 'made', 'to', 'vendors', 'that', 'received', '$25', '000', 'or', 'more', 'in', 'fiscal', 'year', '2012', 'The', 'data', 'is', 'also', 'published', 'and', 'searchable', 'online', 'on', 'the', 'www', 'spending', 'dbm', 'maryland', 'gov', 'website']","[(4, 0.086073345887250421), (14, 0.039812218255240374), (15, 0.089331717218681592), (16, 0.040331368480706467), (19, 0.041463143024925188), (24, 0.03920118343195262), (33, 0.074067249549947298), (37, 0.048656976071990862), (40, 0.33350840134694093), (42, 0.091214489614082433), (48, 0.086014463331298668)]","[(40, 0.33350840134694093), (42, 0.09121448961408243), (15, 0.08933171721868159), (4, 0.08607334588725042), (48, 0.08601446333129867), (33, 0.0740672495499473), (37, 0.04865697607199086), (19, 0.04146314302492519), (16, 0.04033136848070647), (14, 0.039812218255240374), (24, 0.03920118343195262)]",40
7852,8021,8021,LA County Employee Salaries,"['Provides', 'compensation', 'paid', 'to', 'employees', 'in', 'the', 'form', 'of', 'earnings', 'and', 'fringe', 'benefits']",,"['employee_first_name', 'total_compensation', 'employee_name', 'retirement_surcharge', 'pension_contributions', 'total_earnings', 'med_den_vis', 'deferred_contributons', 'ltd_life_med_tax', 'other_benefits', 'total_benefits', 'employee_last_name', 'year', 'employee_mi', 'other_earnings', 'leave_time_payouts', 'base_earnings', 'overtime', 'position_title', 'department']","['Employee First Name', 'Total Compensation', 'Employee Name', 'Retirement Surcharge', 'Pension Contributions', ' Total Earnings', 'Medical, Dental, Vision', 'Deferred Contributions', 'LTD Life & Medical Tax', 'Other Benefits', 'Total Benefits', 'Employee Last Name', 'Year', 'Middle Initial', 'Other Earnings', 'Leave Time Payouts', 'Base Earnings', 'Overtime Earnings', 'Position Title', 'Department']",dataset,['finance'],Operations,[],official,1241.0,3581.0,930.0,44882.0,15.4538814891,data.lacounty.gov,"['finance', 'operations']","['finance', 'operations', 'Provides', 'compensation', 'paid', 'to', 'employees', 'in', 'the', 'form', 'of', 'earnings', 'and', 'fringe', 'benefits']","[(16, 0.11420573412754911), (28, 0.10966931725640465), (33, 0.10655301352525075), (35, 0.092657342657342628), (40, 0.32327840807919955), (49, 0.097281453832166687), (50, 0.077683401850757505)]","[(40, 0.32327840807919955), (16, 0.11420573412754911), (28, 0.10966931725640465), (33, 0.10655301352525075), (49, 0.09728145383216669), (35, 0.09265734265734263), (50, 0.0776834018507575)]",40
1413,1413,1413,City-Parish Employee Annual Salaries,"['City', 'Parish', ""employees'"", 'annual', 'salaries', 'and', 'other', 'payroll', 'related', 'information', 'Information', 'is', 'calculated', 'after', 'the', 'last', 'payroll', 'is', 'run', 'for', 'the', 'year', 'specified']",City of Baton Rouge - Human Resources,"['base_hourly_rate', 'end_date', 'longevity_percentage', 'overtime_hourly_rate', 'year', 'employee_num', 'total_overtime_hours', 'gross_pay', 'total_overtime_pay', 'division_name', 'division_num', 'job_code_description', 'department_name', 'hire_date', 'scheduled_hours', 'base_pay', 'payroll_status', 'total_hourly_rate', 'last_name', 'job_code', 'middle_init', 'first_name', 'department_num']","['BASE HOURLY RATE', 'EMPLOYMENT END DATE', 'LONGEVITY PERCENTAGE', 'OVERTIME HOURLY RATE', 'YEAR', 'EMPLOYEE NUM', 'TOTAL OVERTIME HOURS', 'GROSS PAY', 'TOTAL OVERTIME PAY', 'DIVISION NAME', 'DIVISION NUM', 'JOB TITLE', 'DEPARTMENT NAME', 'CURRENT HIRE DATE', 'SCHEDULED HOURS', 'TOTAL BASE PAY', 'EMPLOYMENT STATUS', 'TOTAL HOURLY RATE', 'LAST NAME', 'JOB CODE', 'MIDDLE INIT', 'FIRST NAME', 'DEPARTMENT NUM']",dataset,"['transportation', 'finance']",Government,"['longevity', 'department', 'employee', 'salary']",official,3663.0,865.0,191.0,44370.0,15.4373294474,data.brla.gov,"['longevity', 'department', 'employee', 'salary', 'transportation', 'finance', 'government']","['longevity', 'department', 'employee', 'salary', 'transportation', 'finance', 'government', 'City', 'Parish', ""employees'"", 'annual', 'salaries', 'and', 'other', 'payroll', 'related', 'information', 'Information', 'is', 'calculated', 'after', 'the', 'last', 'payroll', 'is', 'run', 'for', 'the', 'year', 'specified']","[(3, 0.077225873936888664), (7, 0.050100733639912035), (22, 0.045138138912214083), (27, 0.058087261042636409), (33, 0.044744867321735965), (40, 0.43510635892661648), (50, 0.25197134815979544)]","[(40, 0.4351063589266165), (50, 0.25197134815979544), (3, 0.07722587393688866), (27, 0.05808726104263641), (7, 0.050100733639912035), (22, 0.04513813891221408), (33, 0.044744867321735965)]",40
9413,9582,9582,Finance Entities,"['List', 'of', 'Missouri', 'Finance', 'Entities']","Missouri Department of Insurance, Financial Institutions & Professional (DIFP)","['county', 'type', 'approval', 'branch_number', 'letter_issued', 'expiration', 'contact', 'agent', 'dba', 'ceo', 'assets', 'license', 'phone', 'zipcode', 'address', 'address2', 'city', 'state', 'description', 'name', 'contact_email']","['County', 'Type', 'Approval', 'Branch Number', 'Letter Issued', 'Expiration', 'Contact', 'Agent', 'DBA', 'CEO', 'Assets', 'License', 'Phone', 'ZIPCode', 'Address', 'Address2', 'City', 'State', 'Description', 'NAME', 'Contact Email']",dataset,[],Regulatory,"['finance entities', 'finance']",official,5191.0,6.0,2.0,40339.0,15.2999234635,data.mo.gov,"['finance', 'entities', 'finance', 'regulatory']","['finance', 'entities', 'finance', 'regulatory', 'List', 'of', 'Missouri', 'Finance', 'Entities']","[(10, 0.11324786324786323), (35, 0.11324786324786323), (40, 0.29916340687020315), (42, 0.22435897435897434), (47, 0.14955454184774558)]","[(40, 0.29916340687020315), (42, 0.22435897435897434), (47, 0.14955454184774558), (10, 0.11324786324786323), (35, 0.11324786324786323)]",40
1799,1799,1799,Employee Earnings Report 2014,"['All', 'City', 'of', 'Boston', 'employees', 'earnings', 'calendar', 'year', '2014']",Administration & Finance,"['total_earnings', 'zip', 'quinn', 'name', 'overtime', 'other', 'detail', 'injured', 'regular', 'retro', 'title', 'department_name']","['TOTAL EARNINGS', 'ZIP', 'QUINN', 'NAME', 'OVERTIME', 'OTHER', 'DETAIL', 'INJURED', 'REGULAR', 'RETRO', 'TITLE', 'DEPARTMENT NAME']",dataset,['finance'],Finance,"['finance', 'payroll', 'employees']",official,1538.0,160.0,37.0,36557.0,15.1578995257,data.cityofboston.gov,"['finance', 'payroll', 'employees', 'finance', 'finance']","['finance', 'payroll', 'employees', 'finance', 'finance', 'All', 'City', 'of', 'Boston', 'employees', 'earnings', 'calendar', 'year', '2014']","[(4, 0.093229568445957298), (40, 0.64784910270404661), (50, 0.18039568782435458)]","[(40, 0.6478491027040466), (50, 0.18039568782435458), (4, 0.0932295684459573)]",40
625,625,625,Annualized Homeless in State,"['The', 'number', 'of', 'homeless', 'in', 'Utah', 'per', 'year']",Utah Homeless Management Information System,"['number_of_homeless', 'year']","['NUMBER OF HOMELESS', 'YEAR ']",chart,[],,"['homeless', 'state homelessness', 'utah']",official,555.0,10.0,0.0,26922.0,14.7165515564,dashboard.slco.org,"['homeless', 'state', 'homelessness', 'utah']","['homeless', 'state', 'homelessness', 'utah', 'The', 'number', 'of', 'homeless', 'in', 'Utah', 'per', 'year']","[(7, 0.1206645785743042), (18, 0.20192307692307684), (40, 0.28144362150935792), (42, 0.2029480991795696), (49, 0.10263600842907578)]","[(40, 0.2814436215093579), (42, 0.2029480991795696), (18, 0.20192307692307684), (7, 0.1206645785743042), (49, 0.10263600842907578)]",40
