,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
1939,1939,1939,"Census Data - Selected socioeconomic indicators in Chicago, 2008 – 2012","['This', 'dataset', 'contains', 'a', 'selection', 'of', 'six', 'socioeconomic', 'indicators', 'of', 'public', 'health', 'significance', 'and', 'a', '“hardship', 'index', '”', 'by', 'Chicago', 'community', 'area', 'for', 'the', 'years', '2008', '–', '2012', 'The', 'indicators', 'are', 'the', 'percent', 'of', 'occupied', 'housing', 'units', 'with', 'more', 'than', 'one', 'person', 'per', 'room', '(i', 'e', 'crowded', 'housing);', 'the', 'percent', 'of', 'households', 'living', 'below', 'the', 'federal', 'poverty', 'level;', 'the', 'percent', 'of', 'persons', 'in', 'the', 'labor', 'force', 'over', 'the', 'age', 'of', '16', 'years', 'that', 'are', 'unemployed;', 'the', 'percent', 'of', 'persons', 'over', 'the', 'age', 'of', '25', 'years', 'without', 'a', 'high', 'school', 'diploma;', 'the', 'percent', 'of', 'the', 'population', 'under', '18', 'or', 'over', '64', 'years', 'of', 'age', '(i', 'e', 'dependency);', 'and', 'per', 'capita', 'income', 'Indicators', 'for', 'Chicago', 'as', 'a', 'whole', 'are', 'provided', 'in', 'the', 'final', 'row', 'of', 'the', 'table', 'See', 'the', 'full', 'dataset', 'description', 'for', 'more', 'information', 'at', 'https', '//data', 'cityofchicago', 'org/api/views/fwb8', '6aw5/files/A5KBlegGR2nWI1jgP6pjJl32CTPwPbkl9KU3FxlZk', 'A?download=true', 'filename=P', '\\EPI\\OEPHI\\MATERIALS\\REFERENCES\\ECONOMIC_INDICATORS\\Dataset_Description_socioeconomic_indicators_2012_FOR_PORTAL_ONLY', 'pdf']",U.S. Census Bureau,"['percent_aged_16_unemployed', 'percent_aged_25_without_high_school_diploma', 'community_area_name', 'percent_aged_under_18_or_over_64', 'per_capita_income_', 'hardship_index', 'ca', 'percent_of_housing_crowded', 'percent_households_below_poverty']","['PERCENT AGED 16+ UNEMPLOYED', 'PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA', 'COMMUNITY AREA NAME', 'PERCENT AGED UNDER 18 OR OVER 64', 'PER CAPITA INCOME ', 'HARDSHIP INDEX', 'Community Area Number', 'PERCENT OF HOUSING CROWDED', 'PERCENT HOUSEHOLDS BELOW POVERTY']",dataset,"['demographics', 'economy']",Health & Human Services,"['unemployment', 'poverty', 'education', 'income']",official,9295.0,575.0,100.0,55351.0,15.7563478255,data.cityofchicago.org,"['unemployment', 'poverty', 'education', 'income', 'demographics', 'economy', 'health', '&', 'human', 'services']","['unemployment', 'poverty', 'education', 'income', 'demographics', 'economy', 'health', '&', 'human', 'services', 'This', 'dataset', 'contains', 'a', 'selection', 'of', 'six', 'socioeconomic', 'indicators', 'of', 'public', 'health', 'significance', 'and', 'a', '“hardship', 'index', '”', 'by', 'Chicago', 'community', 'area', 'for', 'the', 'years', '2008', '–', '2012', 'The', 'indicators', 'are', 'the', 'percent', 'of', 'occupied', 'housing', 'units', 'with', 'more', 'than', 'one', 'person', 'per', 'room', '(i', 'e', 'crowded', 'housing);', 'the', 'percent', 'of', 'households', 'living', 'below', 'the', 'federal', 'poverty', 'level;', 'the', 'percent', 'of', 'persons', 'in', 'the', 'labor', 'force', 'over', 'the', 'age', 'of', '16', 'years', 'that', 'are', 'unemployed;', 'the', 'percent', 'of', 'persons', 'over', 'the', 'age', 'of', '25', 'years', 'without', 'a', 'high', 'school', 'diploma;', 'the', 'percent', 'of', 'the', 'population', 'under', '18', 'or', 'over', '64', 'years', 'of', 'age', '(i', 'e', 'dependency);', 'and', 'per', 'capita', 'income', 'Indicators', 'for', 'Chicago', 'as', 'a', 'whole', 'are', 'provided', 'in', 'the', 'final', 'row', 'of', 'the', 'table', 'See', 'the', 'full', 'dataset', 'description', 'for', 'more', 'information', 'at', 'https', '//data', 'cityofchicago', 'org/api/views/fwb8', '6aw5/files/A5KBlegGR2nWI1jgP6pjJl32CTPwPbkl9KU3FxlZk', 'A?download=true', 'filename=P', '\\EPI\\OEPHI\\MATERIALS\\REFERENCES\\ECONOMIC_INDICATORS\\Dataset_Description_socioeconomic_indicators_2012_FOR_PORTAL_ONLY', 'pdf']","[(2, 0.092830749173673704), (4, 0.085860225099037443), (5, 0.025287781505319136), (7, 0.035938864951349292), (8, 0.034165842822042637), (16, 0.060646244255559999), (17, 0.012335334839804054), (26, 0.051101789994510448), (30, 0.19436337569464554), (34, 0.031190252831969145), (36, 0.12866308936701754), (38, 0.15839658378225899), (39, 0.026375642745378378), (47, 0.011715296198054812), (49, 0.014752904042260489), (51, 0.028418463015420271)]","[(30, 0.19436337569464554), (38, 0.158396583782259), (36, 0.12866308936701754), (2, 0.0928307491736737), (4, 0.08586022509903744), (16, 0.06064624425556), (26, 0.05110178999451045), (7, 0.03593886495134929), (8, 0.03416584282204264), (34, 0.031190252831969145), (51, 0.02841846301542027), (39, 0.02637564274537838), (5, 0.025287781505319136), (49, 0.01475290404226049), (17, 0.012335334839804054), (47, 0.011715296198054812)]",30
4802,4802,4802,Parcel Map,"['Parcel', 'shapefile', 'with', 'property', 'information', 'including', 'ownership', 'and', 'tax', 'valuation', 'information', 'For', 'a', 'point', 'based', 'file', 'with', 'the', 'same', 'information', 'visit', 'this', 'page', 'https', '//data', 'detroitmi', 'gov/Property', 'Parcels/Parcel', 'Points', 'Ownership/eijm', '6nr4']",City of Detroit Assessment Division,[],[],map,['infrastructure'],Property & Parcels,"['shapefiles', 'shp', 'parcel map', 'assessment']",official,3661.0,2922.0,667.0,49757.0,15.6026408777,data.detroitmi.gov,"['shapefiles', 'shp', 'parcel', 'map', 'assessment', 'infrastructure', 'property', '&', 'parcels']","['shapefiles', 'shp', 'parcel', 'map', 'assessment', 'infrastructure', 'property', '&', 'parcels', 'Parcel', 'shapefile', 'with', 'property', 'information', 'including', 'ownership', 'and', 'tax', 'valuation', 'information', 'For', 'a', 'point', 'based', 'file', 'with', 'the', 'same', 'information', 'visit', 'this', 'page', 'https', '//data', 'detroitmi', 'gov/Property', 'Parcels/Parcel', 'Points', 'Ownership/eijm', '6nr4']","[(6, 0.17637579375283266), (12, 0.068428823027057564), (17, 0.077698289528717254), (24, 0.036475976838173788), (25, 0.052526944858176217), (27, 0.045910226297546687), (29, 0.077694063895627927), (30, 0.21230300700560628), (40, 0.11713927821350173), (46, 0.065806712175023999), (48, 0.043358833125683949)]","[(30, 0.21230300700560628), (6, 0.17637579375283266), (40, 0.11713927821350173), (17, 0.07769828952871725), (29, 0.07769406389562793), (12, 0.06842882302705756), (46, 0.065806712175024), (25, 0.05252694485817622), (27, 0.04591022629754669), (48, 0.04335883312568395), (24, 0.03647597683817379)]",30
11074,11243,11243,Statewide Digital Orthoimagery,"['Statewide', 'orthoimagery', 'coverage', 'in', 'various', 'resolutions', 'All', 'counties', 'are', 'covered', 'by', 'multiple', 'years', 'of', 'imagery', 'with', 'the', 'collection', 'starting', 'in', '2000', 'Ground', 'resolutions', 'range', 'from', '6', 'inches', 'to', '24', 'inches', 'The', 'imagery', 'may', 'be', 'viewed', 'within', 'the', 'web', 'app', 'downloaded', 'or', 'viewed', 'via', 'web', 'services']",Office of Information Technology Services,[],[],href,[],Public Safety,"['aerial imagery', 'gis', 'orthoimagery', 'photos']",official,366.0,14.0,3.0,41728.0,15.3487627276,data.ny.gov,"['aerial', 'imagery', 'gis', 'orthoimagery', 'photos', 'public', 'safety']","['aerial', 'imagery', 'gis', 'orthoimagery', 'photos', 'public', 'safety', 'Statewide', 'orthoimagery', 'coverage', 'in', 'various', 'resolutions', 'All', 'counties', 'are', 'covered', 'by', 'multiple', 'years', 'of', 'imagery', 'with', 'the', 'collection', 'starting', 'in', '2000', 'Ground', 'resolutions', 'range', 'from', '6', 'inches', 'to', '24', 'inches', 'The', 'imagery', 'may', 'be', 'viewed', 'within', 'the', 'web', 'app', 'downloaded', 'or', 'viewed', 'via', 'web', 'services']","[(0, 0.02913596831117574), (3, 0.03623940019134634), (12, 0.062253720016347582), (24, 0.18124741974421019), (26, 0.085171291250412243), (30, 0.26925159526911646), (37, 0.1164989323116587), (38, 0.094988076038460462), (39, 0.047325290105936023), (40, 0.026911763532393287), (49, 0.029074833827233963)]","[(30, 0.26925159526911646), (24, 0.1812474197442102), (37, 0.1164989323116587), (38, 0.09498807603846046), (26, 0.08517129125041224), (12, 0.06225372001634758), (39, 0.04732529010593602), (3, 0.03623940019134634), (0, 0.02913596831117574), (49, 0.029074833827233963), (40, 0.026911763532393287)]",30
611,611,611,Number of Seniors Served,"['Average', 'number', 'of', 'monthly', 'unduplicated', 'seniors', 'served', 'by', 'Salt', 'Lake', 'County', 'Aging', 'Adult', 'Services']",Salt Lake County Aging & Adult Services,"['seniors_served', 'month_year2']","['SENIORS SERVED', 'DATE']",dataset,[],,"['services', 'seniors']",official,626.0,12.0,2.0,27427.0,14.7433618069,dashboard.slco.org,"['services', 'seniors']","['services', 'seniors', 'Average', 'number', 'of', 'monthly', 'unduplicated', 'seniors', 'served', 'by', 'Salt', 'Lake', 'County', 'Aging', 'Adult', 'Services']","[(0, 0.067948717948717874), (1, 0.10062408329041735), (7, 0.10440050661167924), (30, 0.35578689821734344), (39, 0.24431671700876426), (40, 0.067948717948717874)]","[(30, 0.35578689821734344), (39, 0.24431671700876426), (7, 0.10440050661167924), (1, 0.10062408329041735), (0, 0.06794871794871787), (40, 0.06794871794871787)]",30
1250,1250,1250,Baltimore City Line,"['Line', 'feature', 'showing', 'the', 'political', 'boundary', 'of', 'Baltimore', 'City', 'Last', 'Updated', '2008']",MOIT - GIS,[],[],map,[],Geographic,"['map', 'border', 'shape']",official,1060.0,532.0,81.0,15944.0,13.9608164771,data.baltimorecity.gov,"['map', 'border', 'shape', 'geographic']","['map', 'border', 'shape', 'geographic', 'Line', 'feature', 'showing', 'the', 'political', 'boundary', 'of', 'Baltimore', 'City', 'Last', 'Updated', '2008']","[(10, 0.14423076923076908), (19, 0.14423076923076908), (27, 0.072802197802197724), (30, 0.41946518137091787), (42, 0.15471064280490573)]","[(30, 0.4194651813709179), (42, 0.15471064280490573), (10, 0.14423076923076908), (19, 0.14423076923076908), (27, 0.07280219780219772)]",30
881,881,881,Single Member Council Districts,"['The', 'data', 'used', 'to', 'create', 'this', 'map', 'was', 'externally', 'created', 'by', 'a', 'vendor', 'on', 'behalf', 'of', 'the', 'Independent', 'Citizens', 'Redistricting', 'Commission', 'This', 'map', 'is', 'for', 'informational', 'purposes', 'and', 'may', 'not', 'have', 'been', 'prepared', 'for', 'or', 'be', 'suitable', 'for', 'legal', 'engineering', 'or', 'surveying', 'purposes', 'It', 'does', 'not', 'represent', 'an', 'on', 'the', 'ground', 'survey', 'and', 'represents', 'only', 'the', 'approximate', 'relative', 'location', 'of', 'property', 'boundaries', 'This', 'map', 'has', 'been', 'published', 'by', 'the', 'Communications', 'and', 'Technology', 'Management', 'Department', 'for', 'the', 'sole', 'purpose', 'of', 'geographic', 'reference', 'No', 'warranty', 'is', 'made', 'by', 'the', 'City', 'of', 'Austin', 'regarding', 'specific', 'accuracy', 'or', 'completeness']",Office of the City Clerk,[],[],map,[],Government,"['10-one', '10-1', 'council districts', 'single member districts']",official,1001.0,423.0,122.0,14153.0,13.788922204,data.austintexas.gov,"['10-one', '10-1', 'council', 'districts', 'single', 'member', 'districts', 'government']","['10-one', '10-1', 'council', 'districts', 'single', 'member', 'districts', 'government', 'The', 'data', 'used', 'to', 'create', 'this', 'map', 'was', 'externally', 'created', 'by', 'a', 'vendor', 'on', 'behalf', 'of', 'the', 'Independent', 'Citizens', 'Redistricting', 'Commission', 'This', 'map', 'is', 'for', 'informational', 'purposes', 'and', 'may', 'not', 'have', 'been', 'prepared', 'for', 'or', 'be', 'suitable', 'for', 'legal', 'engineering', 'or', 'surveying', 'purposes', 'It', 'does', 'not', 'represent', 'an', 'on', 'the', 'ground', 'survey', 'and', 'represents', 'only', 'the', 'approximate', 'relative', 'location', 'of', 'property', 'boundaries', 'This', 'map', 'has', 'been', 'published', 'by', 'the', 'Communications', 'and', 'Technology', 'Management', 'Department', 'for', 'the', 'sole', 'purpose', 'of', 'geographic', 'reference', 'No', 'warranty', 'is', 'made', 'by', 'the', 'City', 'of', 'Austin', 'regarding', 'specific', 'accuracy', 'or', 'completeness']","[(4, 0.17218604230487275), (19, 0.019328379891777072), (20, 0.018227431729520682), (25, 0.021517954438699329), (29, 0.13186529706875097), (30, 0.58305402619115709), (45, 0.018987357212261538), (48, 0.01998870684447265)]","[(30, 0.5830540261911571), (4, 0.17218604230487275), (29, 0.13186529706875097), (25, 0.02151795443869933), (48, 0.01998870684447265), (19, 0.019328379891777072), (45, 0.018987357212261538), (20, 0.018227431729520682)]",30
885,885,885,City of Austin Jurisdictional Boundaries,"['This', 'layer', 'represents', 'the', 'jurisdiction', 'and', 'regulatory', 'boundaries', 'of', 'the', 'City', 'of', 'Austin']",Communications and Technology Management,[],[],map,[],Government,"['city', 'limits', 'etj', 'jurisdictions']",official,1595.0,501.0,103.0,11372.0,13.4733252419,data.austintexas.gov,"['city', 'limits', 'etj', 'jurisdictions', 'government']","['city', 'limits', 'etj', 'jurisdictions', 'government', 'This', 'layer', 'represents', 'the', 'jurisdiction', 'and', 'regulatory', 'boundaries', 'of', 'the', 'City', 'of', 'Austin']","[(26, 0.16959326085134394), (30, 0.50934143560569867), (36, 0.082378519065785735), (47, 0.16768086731740733)]","[(30, 0.5093414356056987), (26, 0.16959326085134394), (47, 0.16768086731740733), (36, 0.08237851906578574)]",30
3042,3042,3042,Landcover Raster Data (2010),"['High', 'resolution', 'land', 'cover', 'data', 'set', 'for', 'New', 'York', 'City', 'This', 'is', 'the', '3ft', 'version', 'of', 'the', 'high', 'resolution', 'land', 'cover', 'dataset', 'for', 'New', 'York', 'City', 'Seven', 'land', 'cover', 'classes', 'were', 'mapped', '(1)', 'tree', 'canopy', '(2)', 'grass/shrub', '(3)', 'bare', 'earth', '(4)', 'water', '(5)', 'buildings', '(6)', 'roads', 'and', '(7)', 'other', 'paved', 'surfaces', 'The', 'minimum', 'mapping', 'unit', 'for', 'the', 'delineation', 'of', 'features', 'was', 'set', 'at', '3', 'square', 'feet', 'The', 'primary', 'sources', 'used', 'to', 'derive', 'this', 'land', 'cover', 'layer', 'were', 'the', '2010', 'LiDAR', 'and', 'the', '2008', '4', 'band', 'orthoimagery', 'Ancillary', 'data', 'sources', 'included', 'GIS', 'data', '(city', 'boundary', 'building', 'footprints', 'water', 'parking', 'lots', 'roads', 'railroads', 'railroad', 'structures', 'ballfields)', 'provided', 'by', 'New', 'York', 'City', '(all', 'ancillary', 'datasets', 'except', 'railroads);', 'UVM', 'Spatial', 'Analysis', 'Laboratory', 'manually', 'created', 'railroad', 'polygons', 'from', 'manual', 'interpretation', 'of', '2008', '4', 'band', 'orthoimagery', 'The', 'tree', 'canopy', 'class', 'was', 'considered', 'current', 'as', 'of', '2010;', 'the', 'remaining', 'land', 'cover', 'classes', 'were', 'considered', 'current', 'as', 'of', '2008', 'Object', 'Based', 'Image', 'Analysis', '(OBIA)', 'techniques', 'were', 'employed', 'to', 'extract', 'land', 'cover', 'information', 'using', 'the', 'best', 'available', 'remotely', 'sensed', 'and', 'vector', 'GIS', 'datasets', 'OBIA', 'systems', 'work', 'by', 'grouping', 'pixels', 'into', 'meaningful', 'objects', 'based', 'on', 'their', 'spectral', 'and', 'spatial', 'properties', 'while', 'taking', 'into', 'account', 'boundaries', 'imposed', 'by', 'existing', 'vector', 'datasets', 'Within', 'the', 'OBIA', 'environment', 'a', 'rule', 'based', 'expert', 'system', 'was', 'designed', 'to', 'effectively', 'mimic', 'the', 'process', 'of', 'manual', 'image', 'analysis', 'by', 'incorporating', 'the', 'elements', 'of', 'image', 'interpretation', '(color/tone', 'texture', 'pattern', 'location', 'size', 'and', 'shape)', 'into', 'the', 'classification', 'process', 'A', 'series', 'of', 'morphological', 'procedures', 'were', 'employed', 'to', 'insure', 'that', 'the', 'end', 'product', 'is', 'both', 'accurate', 'and', 'cartographically', 'pleasing', 'More', 'than', '35', '000', 'corrections', 'were', 'made', 'to', 'the', 'classification', 'Overall', 'accuracy', 'was', '96%', 'This', 'dataset', 'was', 'developed', 'as', 'part', 'of', 'the', 'Urban', 'Tree', 'Canopy', '(UTC)', 'Assessment', 'for', 'New', 'York', 'City', 'As', 'such', 'it', 'represents', 'a', ""'top"", ""down'"", 'mapping', 'perspective', 'in', 'which', 'tree', 'canopy', 'over', 'hanging', 'other', 'features', 'is', 'assigned', 'to', 'the', 'tree', 'canopy', 'class', 'At', 'the', 'time', 'of', 'its', 'creation', 'this', 'dataset', 'represents', 'the', 'most', 'detailed', 'and', 'accurate', 'land', 'cover', 'dataset', 'for', 'the', 'area', 'This', 'project', 'was', 'funded', 'by', 'National', 'Urban', 'and', 'Community', 'Forestry', 'Advisory', 'Council', '(NUCFAC)', 'and', 'the', 'National', 'Science', 'Fundation', '(NSF)', 'although', 'it', 'is', 'not', 'specifically', 'endorsed', 'by', 'either', 'agency', 'The', 'methods', 'used', 'were', 'developed', 'by', 'the', 'University', 'of', 'Vermont', 'Spatial', 'Analysis', 'Laboratory', 'in', 'collaboration', 'with', 'the', 'New', 'York', 'City', 'Urban', 'Field', 'Station', 'with', 'funding', 'from', 'the', 'USDA', 'Forest', 'Service']",Department of Parks and Recreation (DPR),[],[],file,"['environment', 'transportation']",Environment,"['tree', 'healthy living', 'landcover', 'paved', 'raster', 'roads', 'bigapps', 'big apps', 'buildings', 'canopy', '#cleanweb', 'dpr', '#education', 'water', '#environment', 'grass']",official,4377.0,82.0,18.0,8677.0,13.0831468708,data.cityofnewyork.us,"['tree', 'healthy', 'living', 'landcover', 'paved', 'raster', 'roads', 'bigapps', 'big', 'apps', 'buildings', 'canopy', '#cleanweb', 'dpr', '#education', 'water', '#environment', 'grass', 'environment', 'transportation', 'environment']","['tree', 'healthy', 'living', 'landcover', 'paved', 'raster', 'roads', 'bigapps', 'big', 'apps', 'buildings', 'canopy', '#cleanweb', 'dpr', '#education', 'water', '#environment', 'grass', 'environment', 'transportation', 'environment', 'High', 'resolution', 'land', 'cover', 'data', 'set', 'for', 'New', 'York', 'City', 'This', 'is', 'the', '3ft', 'version', 'of', 'the', 'high', 'resolution', 'land', 'cover', 'dataset', 'for', 'New', 'York', 'City', 'Seven', 'land', 'cover', 'classes', 'were', 'mapped', '(1)', 'tree', 'canopy', '(2)', 'grass/shrub', '(3)', 'bare', 'earth', '(4)', 'water', '(5)', 'buildings', '(6)', 'roads', 'and', '(7)', 'other', 'paved', 'surfaces', 'The', 'minimum', 'mapping', 'unit', 'for', 'the', 'delineation', 'of', 'features', 'was', 'set', 'at', '3', 'square', 'feet', 'The', 'primary', 'sources', 'used', 'to', 'derive', 'this', 'land', 'cover', 'layer', 'were', 'the', '2010', 'LiDAR', 'and', 'the', '2008', '4', 'band', 'orthoimagery', 'Ancillary', 'data', 'sources', 'included', 'GIS', 'data', '(city', 'boundary', 'building', 'footprints', 'water', 'parking', 'lots', 'roads', 'railroads', 'railroad', 'structures', 'ballfields)', 'provided', 'by', 'New', 'York', 'City', '(all', 'ancillary', 'datasets', 'except', 'railroads);', 'UVM', 'Spatial', 'Analysis', 'Laboratory', 'manually', 'created', 'railroad', 'polygons', 'from', 'manual', 'interpretation', 'of', '2008', '4', 'band', 'orthoimagery', 'The', 'tree', 'canopy', 'class', 'was', 'considered', 'current', 'as', 'of', '2010;', 'the', 'remaining', 'land', 'cover', 'classes', 'were', 'considered', 'current', 'as', 'of', '2008', 'Object', 'Based', 'Image', 'Analysis', '(OBIA)', 'techniques', 'were', 'employed', 'to', 'extract', 'land', 'cover', 'information', 'using', 'the', 'best', 'available', 'remotely', 'sensed', 'and', 'vector', 'GIS', 'datasets', 'OBIA', 'systems', 'work', 'by', 'grouping', 'pixels', 'into', 'meaningful', 'objects', 'based', 'on', 'their', 'spectral', 'and', 'spatial', 'properties', 'while', 'taking', 'into', 'account', 'boundaries', 'imposed', 'by', 'existing', 'vector', 'datasets', 'Within', 'the', 'OBIA', 'environment', 'a', 'rule', 'based', 'expert', 'system', 'was', 'designed', 'to', 'effectively', 'mimic', 'the', 'process', 'of', 'manual', 'image', 'analysis', 'by', 'incorporating', 'the', 'elements', 'of', 'image', 'interpretation', '(color/tone', 'texture', 'pattern', 'location', 'size', 'and', 'shape)', 'into', 'the', 'classification', 'process', 'A', 'series', 'of', 'morphological', 'procedures', 'were', 'employed', 'to', 'insure', 'that', 'the', 'end', 'product', 'is', 'both', 'accurate', 'and', 'cartographically', 'pleasing', 'More', 'than', '35', '000', 'corrections', 'were', 'made', 'to', 'the', 'classification', 'Overall', 'accuracy', 'was', '96%', 'This', 'dataset', 'was', 'developed', 'as', 'part', 'of', 'the', 'Urban', 'Tree', 'Canopy', '(UTC)', 'Assessment', 'for', 'New', 'York', 'City', 'As', 'such', 'it', 'represents', 'a', ""'top"", ""down'"", 'mapping', 'perspective', 'in', 'which', 'tree', 'canopy', 'over', 'hanging', 'other', 'features', 'is', 'assigned', 'to', 'the', 'tree', 'canopy', 'class', 'At', 'the', 'time', 'of', 'its', 'creation', 'this', 'dataset', 'represents', 'the', 'most', 'detailed', 'and', 'accurate', 'land', 'cover', 'dataset', 'for', 'the', 'area', 'This', 'project', 'was', 'funded', 'by', 'National', 'Urban', 'and', 'Community', 'Forestry', 'Advisory', 'Council', '(NUCFAC)', 'and', 'the', 'National', 'Science', 'Fundation', '(NSF)', 'although', 'it', 'is', 'not', 'specifically', 'endorsed', 'by', 'either', 'agency', 'The', 'methods', 'used', 'were', 'developed', 'by', 'the', 'University', 'of', 'Vermont', 'Spatial', 'Analysis', 'Laboratory', 'in', 'collaboration', 'with', 'the', 'New', 'York', 'City', 'Urban', 'Field', 'Station', 'with', 'funding', 'from', 'the', 'USDA', 'Forest', 'Service']","[(0, 0.015718243261504682), (2, 0.011823773500885586), (3, 0.033693430010387986), (4, 0.043661471462128391), (8, 0.1695646281307176), (10, 0.036968486704035387), (12, 0.012020125122043238), (15, 0.018490595727844294), (16, 0.010569310146141727), (18, 0.072141008082456312), (19, 0.021763788030952164), (24, 0.011836902642088408), (27, 0.045989073303447557), (30, 0.21019126391543472), (34, 0.018566355704832307), (35, 0.025908012672108176), (38, 0.018409057420309134), (42, 0.047819336694543489), (43, 0.036269289006589912), (46, 0.011006047954114247), (47, 0.025505171849553396)]","[(30, 0.21019126391543472), (8, 0.1695646281307176), (18, 0.07214100808245631), (42, 0.04781933669454349), (27, 0.04598907330344756), (4, 0.04366147146212839), (10, 0.03696848670403539), (43, 0.03626928900658991), (3, 0.033693430010387986), (35, 0.025908012672108176), (47, 0.025505171849553396), (19, 0.021763788030952164), (34, 0.018566355704832307), (15, 0.018490595727844294), (38, 0.018409057420309134), (0, 0.015718243261504682), (12, 0.012020125122043238), (24, 0.011836902642088408), (2, 0.011823773500885586), (46, 0.011006047954114247), (16, 0.010569310146141727)]",30
3046,3046,3046,Primary Land Use Tax Lot Output (PLUTO),"['Extensive', 'land', 'use', 'and', 'geographic', 'data', 'at', 'the', 'tax', 'lot', 'level', 'in', 'comma–separated', 'values', '(CSV)', 'file', 'format', 'The', 'PLUTO', 'files', 'contain', 'more', 'than', 'seventy', 'fields', 'derived', 'from', 'data', 'maintained', 'by', 'city', 'agencies']",Department of City Planning (DCP),[],[],href,[],City Government,"['property', 'dcp', 'land use', 'zoning', 'pluto', 'city planning']",official,2178.0,145.0,33.0,8328.0,13.0239275772,data.cityofnewyork.us,"['property', 'dcp', 'land', 'use', 'zoning', 'pluto', 'city', 'planning', 'city', 'government']","['property', 'dcp', 'land', 'use', 'zoning', 'pluto', 'city', 'planning', 'city', 'government', 'Extensive', 'land', 'use', 'and', 'geographic', 'data', 'at', 'the', 'tax', 'lot', 'level', 'in', 'comma–separated', 'values', '(CSV)', 'file', 'format', 'The', 'PLUTO', 'files', 'contain', 'more', 'than', 'seventy', 'fields', 'derived', 'from', 'data', 'maintained', 'by', 'city', 'agencies']","[(6, 0.066928826011028675), (12, 0.031850961538461522), (21, 0.087665936233828873), (25, 0.036417071973241733), (27, 0.033848910482042069), (29, 0.17128152256063972), (30, 0.23293815052512526), (32, 0.094350961538461509), (36, 0.032279813011768001), (42, 0.055724937402519714), (45, 0.13207348564595947)]","[(30, 0.23293815052512526), (29, 0.17128152256063972), (45, 0.13207348564595947), (32, 0.09435096153846151), (21, 0.08766593623382887), (6, 0.06692882601102867), (42, 0.055724937402519714), (25, 0.03641707197324173), (27, 0.03384891048204207), (36, 0.032279813011768), (12, 0.03185096153846152)]",30
3051,3051,3051,Parks Properties,"['This', 'data', 'identifies', 'City', 'property', 'under', 'the', 'jurisdiction', 'of', 'NYC', 'Parks', 'which', 'may', 'be', 'managed', 'partially', 'or', 'solely', 'by', 'the', 'Agency', 'This', 'data', 'has', 'been', 'produced', 'in', 'whole', 'or', 'part', 'using', 'secondary', 'data', 'Data', 'accuracy', 'is', 'limited', 'by', 'the', 'scale', 'and', 'accuracy', 'of', 'the', 'original', 'sources', 'Site', 'specific', 'conditions', 'should', 'be', 'field', 'verified', 'For', 'legal', 'accuracy', 'refer', 'to', 'the', 'maps', 'that', 'established', 'parks', 'and', 'acquisition', 'maps']",Department of Parks and Recreation (DPR),[],[],map,"['recreation', 'economy', 'finance']",City Government,"['parks', 'parks properties', 'dpr']",official,3446.0,204.0,54.0,7896.0,12.947088975,data.cityofnewyork.us,"['parks', 'parks', 'properties', 'dpr', 'recreation', 'economy', 'finance', 'city', 'government']","['parks', 'parks', 'properties', 'dpr', 'recreation', 'economy', 'finance', 'city', 'government', 'This', 'data', 'identifies', 'City', 'property', 'under', 'the', 'jurisdiction', 'of', 'NYC', 'Parks', 'which', 'may', 'be', 'managed', 'partially', 'or', 'solely', 'by', 'the', 'Agency', 'This', 'data', 'has', 'been', 'produced', 'in', 'whole', 'or', 'part', 'using', 'secondary', 'data', 'Data', 'accuracy', 'is', 'limited', 'by', 'the', 'scale', 'and', 'accuracy', 'of', 'the', 'original', 'sources', 'Site', 'specific', 'conditions', 'should', 'be', 'field', 'verified', 'For', 'legal', 'accuracy', 'refer', 'to', 'the', 'maps', 'that', 'established', 'parks', 'and', 'acquisition', 'maps']","[(6, 0.041741916210701772), (9, 0.1571554557913232), (22, 0.052555780097469959), (23, 0.09045422114259126), (30, 0.32957520283802821), (34, 0.022649572649572659), (35, 0.057167113191132782), (38, 0.02563677051565031), (39, 0.022649572649572656), (40, 0.097858341559515297), (43, 0.058346961218887383), (51, 0.027115075041537724)]","[(30, 0.3295752028380282), (9, 0.1571554557913232), (40, 0.0978583415595153), (23, 0.09045422114259126), (43, 0.05834696121888738), (35, 0.05716711319113278), (22, 0.05255578009746996), (6, 0.04174191621070177), (51, 0.027115075041537724), (38, 0.02563677051565031), (34, 0.02264957264957266), (39, 0.022649572649572656)]",30
