,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
2976,2976,2976,New Driver Application Status,"['THIS', 'DATASET', 'IS', 'UPDATED', 'SEVERAL', 'TIMES', 'PER', 'DAY', 'TLC', 'Driver', 'application', 'status', 'check', 'for', 'applicants', 'who', 'had', 'applied', 'for', 'a', 'new', 'TLC', 'driver’s', 'license', 'For', 'more', 'information', 'and', 'to', 'upload', 'missing', 'requirements', 'visit', 'www', 'nyc', 'gov/tlcup', 'For', 'historical/archived', 'data', 'of', 'past', 'application', 'statuses', 'please', 'see', 'https', '//data', 'cityofnewyork', 'us/Transportation/Historical', 'Driver', 'Application', 'Status/p32s', 'yqxq']",Taxi and Limousine Commission (TLC),"['lastupdate', 'medical_clearance_form', 'fru_interview_scheduled', 'driver_exam', 'defensive_driving', 'app_no', 'type', 'drug_test', 'status', 'other_requirements', 'wav_course', 'app_date']","['Last Updated', 'Medical Clearance Form', 'FRU Interview Scheduled', 'Driver Exam', 'Defensive Driving', 'App No', 'Type', 'Drug Test', 'Status', 'Other Requirements', 'WAV Course', 'App Date']",dataset,"['transportation', 'environment']",Transportation,"['fru', 'medallion', 'fhv', 'new application', 'wav', 'fingerprint', 'hack number', 'drug test', 'green', 'wheelchair accessible vehicle', 'defensive driver', 'driver exam', 'shl', 'medical clearance', 'dmv', 'street hail livery', 'for-hire', 'exam', 'results', 'limousine', 'status', 'driver', 'exam fee', 'taxi', 'tlc']",official,5309.0,57086.0,9936.0,1247188.0,20.2502486782,data.cityofnewyork.us,"['fru', 'medallion', 'fhv', 'new', 'application', 'wav', 'fingerprint', 'hack', 'number', 'drug', 'test', 'green', 'wheelchair', 'accessible', 'vehicle', 'defensive', 'driver', 'driver', 'exam', 'shl', 'medical', 'clearance', 'dmv', 'street', 'hail', 'livery', 'for-hire', 'exam', 'results', 'limousine', 'status', 'driver', 'exam', 'fee', 'taxi', 'tlc', 'transportation', 'environment', 'transportation']","['fru', 'medallion', 'fhv', 'new', 'application', 'wav', 'fingerprint', 'hack', 'number', 'drug', 'test', 'green', 'wheelchair', 'accessible', 'vehicle', 'defensive', 'driver', 'driver', 'exam', 'shl', 'medical', 'clearance', 'dmv', 'street', 'hail', 'livery', 'for-hire', 'exam', 'results', 'limousine', 'status', 'driver', 'exam', 'fee', 'taxi', 'tlc', 'transportation', 'environment', 'transportation', 'THIS', 'DATASET', 'IS', 'UPDATED', 'SEVERAL', 'TIMES', 'PER', 'DAY', 'TLC', 'Driver', 'application', 'status', 'check', 'for', 'applicants', 'who', 'had', 'applied', 'for', 'a', 'new', 'TLC', 'driver’s', 'license', 'For', 'more', 'information', 'and', 'to', 'upload', 'missing', 'requirements', 'visit', 'www', 'nyc', 'gov/tlcup', 'For', 'historical/archived', 'data', 'of', 'past', 'application', 'statuses', 'please', 'see', 'https', '//data', 'cityofnewyork', 'us/Transportation/Historical', 'Driver', 'Application', 'Status/p32s', 'yqxq']","[(2, 0.34417139080029124), (3, 0.10568710875990604), (8, 0.027113841604987275), (12, 0.019424972340729988), (13, 0.017927912302399835), (18, 0.032974507673404992), (20, 0.014064384761583674), (22, 0.12819398769732834), (27, 0.047664370902074954), (32, 0.039028942536748851), (36, 0.014811141012225009), (37, 0.04568749523993456), (42, 0.036411840188905226), (43, 0.043100065415205301), (45, 0.016738715683903966), (47, 0.026912502293802446), (48, 0.016074993624791568), (50, 0.015293878443828816)]","[(2, 0.34417139080029124), (22, 0.12819398769732834), (3, 0.10568710875990604), (27, 0.047664370902074954), (37, 0.04568749523993456), (43, 0.0431000654152053), (32, 0.03902894253674885), (42, 0.036411840188905226), (18, 0.03297450767340499), (8, 0.027113841604987275), (47, 0.026912502293802446), (12, 0.019424972340729988), (13, 0.017927912302399835), (45, 0.016738715683903966), (48, 0.01607499362479157), (50, 0.015293878443828816), (36, 0.014811141012225009), (20, 0.014064384761583674)]",2
15446,15615,15615,Health Care Provider Credential Data,"['The', 'Washington', 'State', 'Department', 'of', 'Health', 'presents', 'this', 'information', 'as', 'a', 'service', 'to', 'the', 'public', 'True', 'and', 'correct', 'copies', 'of', 'legal', 'disciplinary', 'actions', 'taken', 'after', 'July', '1998', 'are', 'available', 'on', 'our', 'Provider', 'Credential', 'Search', 'site', 'These', 'records', 'are', 'considered', 'certified', 'by', 'the', 'Department', 'of', 'Health', 'This', 'includes', 'information', 'on', 'health', 'care', 'providers', 'Please', 'contact', 'our', 'Customer', 'Service', 'Center', 'at', '360', '236', '4700', 'for', 'information', 'about', 'actions', 'before', 'July', '1998', 'The', 'information', 'on', 'this', 'site', 'comes', 'directly', 'from', 'our', 'database', 'and', 'is', 'updated', 'daily', 'at', '10', '00', 'a', 'm', 'This', 'data', 'is', 'a', 'primary', 'source', 'for', 'verification', 'of', 'credentials', 'and', 'is', 'extracted', 'from', 'the', 'primary', 'database', 'at', '2', '00', 'a', 'm', 'daily', 'News', 'releases', 'about', 'disciplinary', 'actions', 'taken', 'against', 'Washington', 'State', 'healthcare', 'providers', 'agencies', 'or', 'facilities', 'are', 'on', 'the', ""agency's"", 'Newsroom', 'webpage', 'Disclaimer', 'The', 'absence', 'of', 'information', 'in', 'the', 'Provider', 'Credential', 'Search', 'system', ""doesn't"", 'imply', 'any', 'recommendation', 'endorsement', 'or', 'guarantee', 'of', 'competence', 'of', 'any', 'healthcare', 'professional', 'The', 'presence', 'of', 'information', 'in', 'this', 'system', ""doesn't"", 'imply', 'a', 'provider', ""isn't"", 'competent', 'or', 'qualified', 'to', 'practice', 'The', 'reader', 'is', 'encouraged', 'to', 'carefully', 'evaluate', 'any', 'information', 'found', 'in', 'this', 'data', 'set']",Washington State Department of Health,"['actiontaken', 'credentialtype', 'status', 'ceduedate', 'expirationdate', 'birthyear', 'firstissuedate', 'lastissuedate', 'credentialnumber', 'firstname', 'lastname', 'middlename']","['ActionTaken', 'CredentialType', 'Status', 'CEDueDate', 'ExpirationDate', 'BirthYear', 'FirstIssueDate', 'LastIssueDate', 'CredentialNumber', 'FirstName', 'LastName', 'MiddleName']",dataset,"['public safety', 'economy', 'health']",Health,"['health', 'washington', 'public', 'credential', 'provider', 'care', 'state', 'department']",official,10201.0,32271.0,7070.0,260587.0,17.9914111242,data.wa.gov,"['health', 'washington', 'public', 'credential', 'provider', 'care', 'state', 'department', 'public', 'safety', 'economy', 'health', 'health']","['health', 'washington', 'public', 'credential', 'provider', 'care', 'state', 'department', 'public', 'safety', 'economy', 'health', 'health', 'The', 'Washington', 'State', 'Department', 'of', 'Health', 'presents', 'this', 'information', 'as', 'a', 'service', 'to', 'the', 'public', 'True', 'and', 'correct', 'copies', 'of', 'legal', 'disciplinary', 'actions', 'taken', 'after', 'July', '1998', 'are', 'available', 'on', 'our', 'Provider', 'Credential', 'Search', 'site', 'These', 'records', 'are', 'considered', 'certified', 'by', 'the', 'Department', 'of', 'Health', 'This', 'includes', 'information', 'on', 'health', 'care', 'providers', 'Please', 'contact', 'our', 'Customer', 'Service', 'Center', 'at', '360', '236', '4700', 'for', 'information', 'about', 'actions', 'before', 'July', '1998', 'The', 'information', 'on', 'this', 'site', 'comes', 'directly', 'from', 'our', 'database', 'and', 'is', 'updated', 'daily', 'at', '10', '00', 'a', 'm', 'This', 'data', 'is', 'a', 'primary', 'source', 'for', 'verification', 'of', 'credentials', 'and', 'is', 'extracted', 'from', 'the', 'primary', 'database', 'at', '2', '00', 'a', 'm', 'daily', 'News', 'releases', 'about', 'disciplinary', 'actions', 'taken', 'against', 'Washington', 'State', 'healthcare', 'providers', 'agencies', 'or', 'facilities', 'are', 'on', 'the', ""agency's"", 'Newsroom', 'webpage', 'Disclaimer', 'The', 'absence', 'of', 'information', 'in', 'the', 'Provider', 'Credential', 'Search', 'system', ""doesn't"", 'imply', 'any', 'recommendation', 'endorsement', 'or', 'guarantee', 'of', 'competence', 'of', 'any', 'healthcare', 'professional', 'The', 'presence', 'of', 'information', 'in', 'this', 'system', ""doesn't"", 'imply', 'a', 'provider', ""isn't"", 'competent', 'or', 'qualified', 'to', 'practice', 'The', 'reader', 'is', 'encouraged', 'to', 'carefully', 'evaluate', 'any', 'information', 'found', 'in', 'this', 'data', 'set']","[(0, 0.02516125917173696), (2, 0.15937805454536927), (4, 0.084923656392522945), (6, 0.01813986278550939), (7, 0.017003065375417081), (10, 0.019883953053049214), (12, 0.01978364413976148), (15, 0.010211249431566019), (16, 0.021662161290312093), (22, 0.010011783203587902), (23, 0.054177252457756959), (26, 0.043661227236683538), (27, 0.097058989651513689), (33, 0.022626426668381924), (39, 0.076170899184701685), (40, 0.065552828742718519), (41, 0.048431147933040743), (42, 0.048652539003584488), (47, 0.061343606012577351), (48, 0.048636686911316868), (51, 0.033775048480930818)]","[(2, 0.15937805454536927), (27, 0.09705898965151369), (4, 0.08492365639252294), (39, 0.07617089918470168), (40, 0.06555282874271852), (47, 0.06134360601257735), (23, 0.05417725245775696), (42, 0.04865253900358449), (48, 0.04863668691131687), (41, 0.04843114793304074), (26, 0.04366122723668354), (51, 0.03377504848093082), (0, 0.02516125917173696), (33, 0.022626426668381924), (16, 0.021662161290312093), (10, 0.019883953053049214), (12, 0.01978364413976148), (6, 0.01813986278550939), (7, 0.01700306537541708), (15, 0.01021124943156602), (22, 0.010011783203587902)]",2
9386,9555,9555,Missouri Zipcode Data,"['This', 'dataset', 'comes', 'from', 'the', 'census', 'data']",,"['awater', 'the_geom', 'classfp', 'aland', 'zcta5ce', 'centroid', 'intptlat', 'intptlon', 'mtfcc', 'funcstat']","['AWATER', 'the_geom', 'CLASSFP', 'ALAND', 'ZCTA5CE', 'centroid', 'INTPTLAT', 'INTPTLON', 'MTFCC', 'FUNCSTAT']",dataset,[],Geography,[],official,700.0,8.0,5.0,82666.0,16.3350239116,data.mo.gov,['geography'],"['geography', 'This', 'dataset', 'comes', 'from', 'the', 'census', 'data']","[(2, 0.25480769230769251), (7, 0.25480769230769251), (36, 0.25480769230769251)]","[(2, 0.2548076923076925), (7, 0.2548076923076925), (36, 0.2548076923076925)]",2
4050,4050,4050,Correctional Facility Daily Population Count By Facility,"['CT', 'Department', 'of', 'Correction', 'Facility', 'Population', 'Count', 'by', 'Date', 'By', 'Status', 'Filter', 'by', 'Facility']",Department of Corrections,"['date', 'facility_name', 'accused_other_status_count', 'sentenced_status_count', 'total_facility_population_count']","['Date', 'Facility Name', 'Accused/Other Status Count', 'Sentenced Status Count', 'Total Facility Population Count']",dataset,"['demographics', 'social services', 'finance']",Public Safety,"['correction', 'usodcensus', 'count', 'population', 'facility']",official,666.0,106.0,19.0,73844.0,16.1722126198,data.ct.gov,"['correction', 'usodcensus', 'count', 'population', 'facility', 'demographics', 'social', 'services', 'finance', 'public', 'safety']","['correction', 'usodcensus', 'count', 'population', 'facility', 'demographics', 'social', 'services', 'finance', 'public', 'safety', 'CT', 'Department', 'of', 'Correction', 'Facility', 'Population', 'Count', 'by', 'Date', 'By', 'Status', 'Filter', 'by', 'Facility']","[(2, 0.27410637701678925), (17, 0.047526817122609179), (26, 0.10257601873491758), (37, 0.11837599738836338), (39, 0.053215706454205022), (40, 0.095630688376538861), (46, 0.16861158317298297), (50, 0.10149527327205467)]","[(2, 0.27410637701678925), (46, 0.16861158317298297), (37, 0.11837599738836338), (26, 0.10257601873491758), (50, 0.10149527327205467), (40, 0.09563068837653886), (39, 0.05321570645420502), (17, 0.04752681712260918)]",2
16693,16862,16862,Medicaid Inpatient Prevention Quality Indicators (PQI) for Adult Discharges by Patient County: Beginning 2011,"['The', 'datasets', 'contain', 'number', 'of', 'Medicaid', 'PQI', 'hospitalizations', '(numerator)', 'county', 'Medicaid', 'population', '(denominator)', 'observed', 'rate', 'expected', 'number', 'of', 'hospitalizations', 'and', 'rate', 'and', 'risk', 'adjusted', 'rate', 'for', 'Agency', 'for', 'Healthcare', 'Research', 'and', 'Quality', 'Prevention', 'Quality', 'Indicators', '–', 'Adult', '(AHRQ', 'PQI)', 'for', 'Medicaid', 'enrollees', 'beginning', 'in', '2011']",New York State Department of Health,"['risk_adjusted_rate_per_100_000_people', 'county', 'difference_in_hospitalizations', 'expected_rate_per_100_000_people', 'expected_pqi_hospitalizations', 'discharge_year', 'dual_status', 'observed_rate_per_100_000_people', 'county_medicaid_population', 'medicaid_pqi_hospitalizations', 'pqi_name', 'pqi_number']","['Risk Adjusted Rate per 100,000 people', ' County', 'Difference in Hospitalizations', 'Expected Rate per 100,000 people', 'Expected PQI Hospitalizations', 'Discharge Year', 'Dual Status', 'Observed Rate per 100,000 people', 'County Medicaid Population', 'Medicaid PQI Hospitalizations', 'PQI Name', 'PQI Number']",dataset,"['demographics', 'health']",Health,"['strategic initiatives', 'quality-safety-costs', 'dsrip', 'efficiency', 'prevention quality indicator', 'pqi', 'medicaid']",official,1284.0,89.0,39.0,73004.0,16.1557076549,health.data.ny.gov,"['strategic', 'initiatives', 'quality-safety-costs', 'dsrip', 'efficiency', 'prevention', 'quality', 'indicator', 'pqi', 'medicaid', 'demographics', 'health', 'health']","['strategic', 'initiatives', 'quality-safety-costs', 'dsrip', 'efficiency', 'prevention', 'quality', 'indicator', 'pqi', 'medicaid', 'demographics', 'health', 'health', 'The', 'datasets', 'contain', 'number', 'of', 'Medicaid', 'PQI', 'hospitalizations', '(numerator)', 'county', 'Medicaid', 'population', '(denominator)', 'observed', 'rate', 'expected', 'number', 'of', 'hospitalizations', 'and', 'rate', 'and', 'risk', 'adjusted', 'rate', 'for', 'Agency', 'for', 'Healthcare', 'Research', 'and', 'Quality', 'Prevention', 'Quality', 'Indicators', '–', 'Adult', '(AHRQ', 'PQI)', 'for', 'Medicaid', 'enrollees', 'beginning', 'in', '2011']","[(0, 0.12185684370694165), (2, 0.15021739449127272), (8, 0.14636649306638067), (10, 0.10911371237458208), (11, 0.022332958274661561), (14, 0.045734994474934898), (19, 0.052003237682442201), (20, 0.045171751519611725), (30, 0.044856822171941486), (36, 0.04536036055339121), (38, 0.065426049669535455), (49, 0.096172488403917636), (50, 0.039082545784300961)]","[(2, 0.15021739449127272), (8, 0.14636649306638067), (0, 0.12185684370694165), (10, 0.10911371237458208), (49, 0.09617248840391764), (38, 0.06542604966953545), (19, 0.0520032376824422), (14, 0.0457349944749349), (36, 0.04536036055339121), (20, 0.045171751519611725), (30, 0.044856822171941486), (50, 0.03908254578430096), (11, 0.02233295827466156)]",2
5644,5813,5813,IDPH Home Health Agencies Directory,"['Current', 'as', 'of', 'April', '2017']",Division of Health Care Facilities and Programs,"['city', 'phone_', 'license_expiration_date', 'zip', 'license_', 'county', 'address', 'home_health_agency']","['City', 'Phone #', 'License Expiration Date', 'Zip', 'License #', 'County', 'Address', 'Home Health Agency']",dataset,[],Public Health,"['agency', 'health', 'home']",official,8389.0,1229.0,315.0,68173.0,16.0569340129,data.illinois.gov,"['agency', 'health', 'home', 'public', 'health']","['agency', 'health', 'home', 'public', 'health', 'Current', 'as', 'of', 'April', '2017']","[(1, 0.1274038461538462), (2, 0.37740384615384631), (8, 0.1274038461538462), (26, 0.1274038461538462), (31, 0.12740384615384623)]","[(2, 0.3774038461538463), (31, 0.12740384615384623), (1, 0.1274038461538462), (8, 0.1274038461538462), (26, 0.1274038461538462)]",2
16700,16869,16869,Nursing Home Profile,"['The', 'Nursing', 'Home', 'Profile', 'dataset', 'supports', 'the', 'New', 'York', 'State', 'Department', 'of', 'Health', 'Nursing', 'Home', 'Profile', 'public', 'website', 'The', 'dataset', 'includes', 'facility', 'demographic', 'information', 'inspection', 'results', 'and', 'complaint', 'summary', 'and', 'state', 'enforcement', 'fine', 'data']",New York State Department of Health,[],[],file,"['demographics', 'finance', 'health']",Health,"['facilities and services', 'nursing homes', 'inspection', 'enforcement', 'complaint']",official,2821.0,122.0,35.0,65564.0,16.0006382584,health.data.ny.gov,"['facilities', 'and', 'services', 'nursing', 'homes', 'inspection', 'enforcement', 'complaint', 'demographics', 'finance', 'health', 'health']","['facilities', 'and', 'services', 'nursing', 'homes', 'inspection', 'enforcement', 'complaint', 'demographics', 'finance', 'health', 'health', 'The', 'Nursing', 'Home', 'Profile', 'dataset', 'supports', 'the', 'New', 'York', 'State', 'Department', 'of', 'Health', 'Nursing', 'Home', 'Profile', 'public', 'website', 'The', 'dataset', 'includes', 'facility', 'demographic', 'information', 'inspection', 'results', 'and', 'complaint', 'summary', 'and', 'state', 'enforcement', 'fine', 'data']","[(2, 0.16210666642716354), (11, 0.030979691658355065), (24, 0.11375186924671235), (26, 0.082785135558923889), (33, 0.069746594709150747), (39, 0.1539534953082701), (41, 0.15881434619308102), (43, 0.12928185773988471), (50, 0.076231070809186618)]","[(2, 0.16210666642716354), (41, 0.15881434619308102), (39, 0.1539534953082701), (43, 0.1292818577398847), (24, 0.11375186924671235), (26, 0.08278513555892389), (50, 0.07623107080918662), (33, 0.06974659470915075), (11, 0.030979691658355065)]",2
10999,11168,11168,State of New York Mortgage Agency (SONYMA) Loans Purchased: Beginning 2004,"['Financial', 'and', 'Geographic', 'Information', 'on', 'SONYMA', 'Loans', 'purchased', 'since', '2004']",New York State Homes & Community Renewal,"['original_ltv', 'purchase_year', 'original_term', 'loan_purchase_date', 'county', 'fips_code', 'original_loan_amount', 'loan_type', 'sonyma_dpal_ccal_amount', 'of_units', 'property_type', 'bond_series', 'housing_type', 'household_size']","['Original Loan To Value', 'Purchase Year', 'Original Term', 'Loan Purchase Date ', 'County', 'FIPS Code', 'Original Loan Amount', 'Loan Type ', 'SONYMA DPAL/CCAL Amount', 'Number of Units', 'Property Type', 'Bond Series', 'Housing Type', 'Household Size ']",dataset,"['transportation', 'finance']",Economic Development,"['assistance', 'buying', 'first-time', 'home', 'homebuyer', 'homeowner', 'homeownership', 'lmi', 'loans', 'mortgage', 'rent', 'rental assistance', 'sonyma']",official,699.0,31.0,9.0,56944.0,15.7972815526,data.ny.gov,"['assistance', 'buying', 'first-time', 'home', 'homebuyer', 'homeowner', 'homeownership', 'lmi', 'loans', 'mortgage', 'rent', 'rental', 'assistance', 'sonyma', 'transportation', 'finance', 'economic', 'development']","['assistance', 'buying', 'first-time', 'home', 'homebuyer', 'homeowner', 'homeownership', 'lmi', 'loans', 'mortgage', 'rent', 'rental', 'assistance', 'sonyma', 'transportation', 'finance', 'economic', 'development', 'Financial', 'and', 'Geographic', 'Information', 'on', 'SONYMA', 'Loans', 'purchased', 'since', '2004']","[(0, 0.028183632237428112), (1, 0.11349992287025476), (2, 0.15458579881656787), (3, 0.039926222556417236), (4, 0.058830740993578809), (11, 0.03920118343195262), (12, 0.055650759044135092), (13, 0.086042044052406841), (22, 0.11612426035502946), (30, 0.03920118343195262), (37, 0.061020060750025439), (40, 0.060139439774292064), (49, 0.11874859783980417)]","[(2, 0.15458579881656787), (49, 0.11874859783980417), (22, 0.11612426035502946), (1, 0.11349992287025476), (13, 0.08604204405240684), (37, 0.06102006075002544), (40, 0.060139439774292064), (4, 0.05883074099357881), (12, 0.05565075904413509), (3, 0.039926222556417236), (11, 0.03920118343195262), (30, 0.03920118343195262), (0, 0.028183632237428112)]",2
16718,16887,16887,Medicaid Program Enrollment by Month:  Beginning 2009,"['This', 'dataset', 'aggregates', 'and', 'displays', 'the', 'number', 'of', 'New', 'York', 'State', 'Medicaid', 'enrollees', 'by', 'eligibility', 'year', 'and', 'month', 'within', 'each', 'NYS', 'Economic', 'Region', 'health', 'insurance', 'plan', 'information', 'and', 'enrollee', 'demographics']",New York State Department of Health,"['agegrp', 'eligibility_year', 'eligible_month', 'mmc_ffs', 'gender', 'race_desc', 'dual', 'plan_type', 'recipients', 'economic_region', 'plan_name', 'aidcat']","['Age Group', 'Eligibility Year', 'Eligibility Month', 'Managed Care vs. Fee For Service', 'Gender', 'Race', 'Dual Eligible', 'Plan Type', 'Number of Recipients', 'Economic Region', 'Plan Name', 'Aid Category']",dataset,['health'],Health,"['costs', 'safety', 'quality', 'strategic initiatives', 'community health and chronic disease', 'dsrip', 'enrollment', 'medicaid']",official,8322.0,126.0,34.0,56735.0,15.7919768209,health.data.ny.gov,"['costs', 'safety', 'quality', 'strategic', 'initiatives', 'community', 'health', 'and', 'chronic', 'disease', 'dsrip', 'enrollment', 'medicaid', 'health', 'health']","['costs', 'safety', 'quality', 'strategic', 'initiatives', 'community', 'health', 'and', 'chronic', 'disease', 'dsrip', 'enrollment', 'medicaid', 'health', 'health', 'This', 'dataset', 'aggregates', 'and', 'displays', 'the', 'number', 'of', 'New', 'York', 'State', 'Medicaid', 'enrollees', 'by', 'eligibility', 'year', 'and', 'month', 'within', 'each', 'NYS', 'Economic', 'Region', 'health', 'insurance', 'plan', 'information', 'and', 'enrollee', 'demographics']","[(0, 0.044971780472412154), (1, 0.031654391389610022), (2, 0.20183275219136243), (8, 0.075940263414698395), (10, 0.028768327277565658), (13, 0.032343220981316499), (21, 0.097509201444947374), (28, 0.032206010749570975), (29, 0.043791486218596715), (38, 0.058272864371248755), (39, 0.02918150610586917), (43, 0.12932295677903055), (49, 0.13538093128752024), (51, 0.038525162017104951)]","[(2, 0.20183275219136243), (49, 0.13538093128752024), (43, 0.12932295677903055), (21, 0.09750920144494737), (8, 0.0759402634146984), (38, 0.058272864371248755), (0, 0.044971780472412154), (29, 0.043791486218596715), (51, 0.03852516201710495), (13, 0.0323432209813165), (28, 0.032206010749570975), (1, 0.03165439138961002), (39, 0.02918150610586917), (10, 0.028768327277565658)]",2
16721,16890,16890,Child Health Plus Program Enrollment: Beginning 2009,"['This', 'dataset', 'contains', 'the', 'aggregate', 'number', 'of', 'Child', 'Health', 'Plus', 'Beneficiaries', 'by', 'eligibility', 'year', 'and', 'month', 'within', 'each', 'economic', 'region', 'health', 'plan', 'gender', 'age', 'group', 'and', 'race/ethnicity', 'Child', 'Health', 'Plus', 'is', 'a', 'government', 'insurance', 'program', 'for', 'eligible', 'children', 'through', 'the', 'month', 'in', 'which', 'they', 'turn', 'nineteen', 'whose', 'income', 'and', 'resources', 'fall', 'within', 'program', 'guidelines']",New York State Department of Health,"['eligibility_year', 'gender', 'eligibility_month', 'number_of_enrollees', 'economic_region', 'race', 'age_group', 'plan_name']","['Eligibility Year', 'Gender', 'Eligibility Month', 'Number of Enrollees', 'Economic Region', 'Race', 'Age Group', 'Plan Name']",dataset,['health'],Health,"['community health and chronic disease', 'chp. chip', 'enrollment', 'child health plus']",official,1339.0,145.0,38.0,55928.0,15.771308915,health.data.ny.gov,"['community', 'health', 'and', 'chronic', 'disease', 'chp.', 'chip', 'enrollment', 'child', 'health', 'plus', 'health', 'health']","['community', 'health', 'and', 'chronic', 'disease', 'chp.', 'chip', 'enrollment', 'child', 'health', 'plus', 'health', 'health', 'This', 'dataset', 'contains', 'the', 'aggregate', 'number', 'of', 'Child', 'Health', 'Plus', 'Beneficiaries', 'by', 'eligibility', 'year', 'and', 'month', 'within', 'each', 'economic', 'region', 'health', 'plan', 'gender', 'age', 'group', 'and', 'race/ethnicity', 'Child', 'Health', 'Plus', 'is', 'a', 'government', 'insurance', 'program', 'for', 'eligible', 'children', 'through', 'the', 'month', 'in', 'which', 'they', 'turn', 'nineteen', 'whose', 'income', 'and', 'resources', 'fall', 'within', 'program', 'guidelines']","[(1, 0.15436474990480939), (2, 0.24448403544504629), (4, 0.07547669997464837), (8, 0.061086369692828241), (13, 0.092821135740911595), (28, 0.042765994486426914), (30, 0.028234783870427011), (34, 0.024586572482707805), (39, 0.021801758285334087), (47, 0.11844253858579479), (48, 0.032280400179312538), (49, 0.060047326735591586), (51, 0.028607634616161941)]","[(2, 0.2444840354450463), (1, 0.1543647499048094), (47, 0.11844253858579479), (13, 0.0928211357409116), (4, 0.07547669997464837), (8, 0.06108636969282824), (49, 0.060047326735591586), (28, 0.042765994486426914), (48, 0.03228040017931254), (51, 0.02860763461616194), (30, 0.02823478387042701), (34, 0.024586572482707805), (39, 0.021801758285334087)]",2
