,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
1914,1914,1914,"Current Employee Names, Salaries, and Position Titles","['This', 'dataset', 'is', 'a', 'listing', 'of', 'all', 'current', 'City', 'of', 'Chicago', 'employees', 'complete', 'with', 'full', 'names', 'departments', 'positions', 'employment', 'status', '(part', 'time', 'or', 'full', 'time)', 'frequency', 'of', 'hourly', 'employee', '–where', 'applicable—and', 'annual', 'salaries', 'or', 'hourly', 'rate', 'For', 'hourly', 'employees', 'the', 'City', 'is', 'providing', 'the', 'hourly', 'rate', 'and', 'frequency', 'of', 'hourly', 'employees', '(40', '35', '20', 'and', '10)', 'to', 'allow', 'dataset', 'users', 'to', 'estimate', 'annual', 'wages', 'for', 'hourly', 'employees', 'Please', 'note', 'that', 'annual', 'wages', 'will', 'vary', 'by', 'employee', 'depending', 'on', 'number', 'of', 'hours', 'worked', 'and', 'seasonal', 'status', 'For', 'information', 'on', 'the', 'positions', 'and', 'related', 'salaries', 'detailed', 'in', 'the', 'annual', 'budgets', 'see', 'https', '//www', 'cityofchicago', 'org/city/en/depts/obm', 'html']",City of Chicago,"['annual_salary', 'salary_or_hourly', 'typical_hours', 'hourly_rate', 'job_titles', 'name', 'department', 'full_or_part_time']","['Annual Salary', 'Salary or Hourly', 'Typical Hours', 'Hourly Rate', 'Job Titles', 'Name', 'Department', 'Full or Part-Time']",dataset,"['finance', 'demographics', 'economy']",Administration & Finance,['personnel'],official,62756.0,21214.0,4798.0,920619.0,19.8122462592,data.cityofchicago.org,"['personnel', 'finance', 'demographics', 'economy', 'administration', '&', 'finance']","['personnel', 'finance', 'demographics', 'economy', 'administration', '&', 'finance', 'This', 'dataset', 'is', 'a', 'listing', 'of', 'all', 'current', 'City', 'of', 'Chicago', 'employees', 'complete', 'with', 'full', 'names', 'departments', 'positions', 'employment', 'status', '(part', 'time', 'or', 'full', 'time)', 'frequency', 'of', 'hourly', 'employee', '–where', 'applicable—and', 'annual', 'salaries', 'or', 'hourly', 'rate', 'For', 'hourly', 'employees', 'the', 'City', 'is', 'providing', 'the', 'hourly', 'rate', 'and', 'frequency', 'of', 'hourly', 'employees', '(40', '35', '20', 'and', '10)', 'to', 'allow', 'dataset', 'users', 'to', 'estimate', 'annual', 'wages', 'for', 'hourly', 'employees', 'Please', 'note', 'that', 'annual', 'wages', 'will', 'vary', 'by', 'employee', 'depending', 'on', 'number', 'of', 'hours', 'worked', 'and', 'seasonal', 'status', 'For', 'information', 'on', 'the', 'positions', 'and', 'related', 'salaries', 'detailed', 'in', 'the', 'annual', 'budgets', 'see', 'https', '//www', 'cityofchicago', 'org/city/en/depts/obm', 'html']","[(7, 0.030879608371179486), (16, 0.046182366815424064), (23, 0.026247393113110976), (42, 0.06112402045083612), (50, 0.82301319244603033)]","[(50, 0.8230131924460303), (42, 0.06112402045083612), (16, 0.046182366815424064), (7, 0.030879608371179486), (23, 0.026247393113110976)]",50
10070,10239,10239,General Government Employees Titles and Base Annual Salaries,"['This', 'dataset', 'contains', 'the', 'general', 'government', ""employees'"", 'titles', 'and', 'base', 'annual', 'salaries']",Metro Human Resources,"['department', 'name', 'annual', 'employment_status', 'title']","['Department', 'Name', 'Annual', 'Employment Status', 'Title']",dataset,[],General Government,"['salaries', 'salary', 'title', 'employee']",official,5534.0,6584.0,1265.0,74708.0,16.1889944308,data.nashville.gov,"['salaries', 'salary', 'title', 'employee', 'general', 'government']","['salaries', 'salary', 'title', 'employee', 'general', 'government', 'This', 'dataset', 'contains', 'the', 'general', 'government', ""employees'"", 'titles', 'and', 'base', 'annual', 'salaries']","[(4, 0.1362942535861551), (31, 0.19058789235445711), (32, 0.068910127790344111), (40, 0.14317440018393146), (50, 0.40077691582870151)]","[(50, 0.4007769158287015), (31, 0.1905878923544571), (40, 0.14317440018393146), (4, 0.1362942535861551), (32, 0.06891012779034411)]",50
16695,16864,16864,Baby Names: Beginning 2007,"['New', 'York', 'State', 'Baby', 'Names', 'are', 'aggregated', 'and', 'displayed', 'by', 'the', 'year', 'county', 'or', 'borough', 'where', 'the', 'mother', 'resided', 'as', 'stated', 'on', 'a', 'New', 'York', 'State', 'or', 'New', 'York', 'City', '(NYC)', 'birth', 'certificate', 'The', 'frequency', 'of', 'the', 'Baby', 'Name', 'is', 'listed', 'if', 'there', 'are', '5', 'or', 'more', 'of', 'the', 'same', 'baby', 'name', 'in', 'a', 'county', 'outside', 'of', 'NYC', 'or', '10', 'or', 'more', 'of', 'the', 'same', 'baby', 'name', 'in', 'a', 'NYC', 'borough']",New York State Department of Health,"['county', 'sex', 'first_name', 'year', 'count']","['County', 'Sex', 'First Name', 'Year', 'Count']",dataset,['public safety'],Health,"['births-deaths-other facts', 'consumer resources', 'names', 'baby']",official,14794.0,136.0,19.0,70844.0,16.1123784158,health.data.ny.gov,"['births-deaths-other', 'facts', 'consumer', 'resources', 'names', 'baby', 'public', 'safety', 'health']","['births-deaths-other', 'facts', 'consumer', 'resources', 'names', 'baby', 'public', 'safety', 'health', 'New', 'York', 'State', 'Baby', 'Names', 'are', 'aggregated', 'and', 'displayed', 'by', 'the', 'year', 'county', 'or', 'borough', 'where', 'the', 'mother', 'resided', 'as', 'stated', 'on', 'a', 'New', 'York', 'State', 'or', 'New', 'York', 'City', '(NYC)', 'birth', 'certificate', 'The', 'frequency', 'of', 'the', 'Baby', 'Name', 'is', 'listed', 'if', 'there', 'are', '5', 'or', 'more', 'of', 'the', 'same', 'baby', 'name', 'in', 'a', 'county', 'outside', 'of', 'NYC', 'or', '10', 'or', 'more', 'of', 'the', 'same', 'baby', 'name', 'in', 'a', 'NYC', 'borough']","[(1, 0.023646077032337967), (2, 0.14861669307786871), (4, 0.085995000933517335), (19, 0.023893132337782529), (24, 0.09937924149523647), (26, 0.044870373624892823), (41, 0.026761453260498985), (43, 0.22407380425192525), (45, 0.059048737186839249), (50, 0.24576676885038234)]","[(50, 0.24576676885038234), (43, 0.22407380425192525), (2, 0.1486166930778687), (24, 0.09937924149523647), (4, 0.08599500093351733), (45, 0.05904873718683925), (26, 0.04487037362489282), (41, 0.026761453260498985), (19, 0.02389313233778253), (1, 0.023646077032337967)]",50
7851,8020,8020,Total Employees by Department,"['Counts', 'are', 'based', 'on', 'Full', 'Time', 'Permanent', 'Employees', 'as', 'of', '06/30/2017']",County of Los Angeles Department of Human Resources,"['employee_count', 'department_name']","['EMPLOYEE COUNT', 'DEPARTMENT NAME']",chart,[],Operations,[],official,146.0,2450.0,536.0,69737.0,16.0896573695,data.lacounty.gov,['operations'],"['operations', 'Counts', 'are', 'based', 'on', 'Full', 'Time', 'Permanent', 'Employees', 'as', 'of', '06/30/2017']","[(7, 0.12798360732992209), (17, 0.11324786324786326), (28, 0.12967752652396602), (50, 0.52652690033414618)]","[(50, 0.5265269003341462), (28, 0.12967752652396602), (7, 0.1279836073299221), (17, 0.11324786324786326)]",50
15836,16005,16005,Comptroller - Annual Salaries - 2014 - August 28,"['Annual', 'salaries', 'paid', 'to', 'employees', 'by', 'the', 'Cook', 'County', 'Comptroller', 'as', 'of', 'August', '28', '2014', 'For', '2015', 'data', 'see', 'https', '//datacatalog', 'cookcountyil', 'gov/d/9tzu', 'm4zi']",Cook County Office of the Comptroller,"['annual_salary', 'grade', 'original_hire_date', 'bureau', 'start_date', 'job_code', 'employee_status', 'department_number', 'step', 'department_name', 'name', 'title']","['Annual Salary', 'Grade', 'Original Hire Date', 'Bureau', 'Start Date', 'Job Code', 'Employee Status', 'Department Number', 'Step', 'Department Name', 'Name', 'Title']",dataset,[],Finance & Administration,['salary'],official,3000.0,332.0,69.0,56756.0,15.7925107146,datacatalog.cookcountyil.gov,"['salary', 'finance', '&', 'administration']","['salary', 'finance', '&', 'administration', 'Annual', 'salaries', 'paid', 'to', 'employees', 'by', 'the', 'Cook', 'County', 'Comptroller', 'as', 'of', 'August', '28', '2014', 'For', '2015', 'data', 'see', 'https', '//datacatalog', 'cookcountyil', 'gov/d/9tzu', 'm4zi']","[(12, 0.067588357512637101), (14, 0.13137089312423275), (40, 0.10585010290894631), (50, 0.58098832934058597), (51, 0.061034896299118409)]","[(50, 0.580988329340586), (14, 0.13137089312423275), (40, 0.10585010290894631), (12, 0.0675883575126371), (51, 0.06103489629911841)]",50
16725,16894,16894,Baby Names: Trending by Name: Beginning 2007,"['The', 'column', 'chart', 'shows', 'counts', 'of', 'baby', 'first', 'names', 'by', 'year', 'over', 'time', 'This', 'chart', 'can', 'be', 'filtered', 'by', 'year', 'gender', 'name', 'by', 'changing', 'these', 'options', 'under', 'the', 'Filter', 'tab', 'The', 'default', 'filter', 'settings', 'only', 'show', 'names', 'with', 'greater', 'than', '919', 'occurrences', 'For', 'more', 'information', 'go', 'to', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']",New York State Department of Health,"['year', 'first_name', 'sex', 'count']","['Year', 'First Name', 'Sex', 'Count']",chart,"['finance', 'infrastructure', 'housing & development']",Health,"['births-deaths-other facts', 'consumer resources', 'names', 'baby']",official,176.0,14.0,1.0,55566.0,15.7619407325,health.data.ny.gov,"['births-deaths-other', 'facts', 'consumer', 'resources', 'names', 'baby', 'finance', 'infrastructure', 'housing', '&', 'development', 'health']","['births-deaths-other', 'facts', 'consumer', 'resources', 'names', 'baby', 'finance', 'infrastructure', 'housing', '&', 'development', 'health', 'The', 'column', 'chart', 'shows', 'counts', 'of', 'baby', 'first', 'names', 'by', 'year', 'over', 'time', 'This', 'chart', 'can', 'be', 'filtered', 'by', 'year', 'gender', 'name', 'by', 'changing', 'these', 'options', 'under', 'the', 'Filter', 'tab', 'The', 'default', 'filter', 'settings', 'only', 'show', 'names', 'with', 'greater', 'than', '919', 'occurrences', 'For', 'more', 'information', 'go', 'to', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']","[(0, 0.045546085166934223), (1, 0.045539328200408187), (2, 0.053306233958205516), (4, 0.15931662220075357), (7, 0.078809633240926269), (9, 0.024170011997783396), (12, 0.084515081285711877), (16, 0.021745345309725186), (18, 0.021327478949072373), (19, 0.022561621669725015), (24, 0.031238465052781536), (33, 0.031325227520747942), (35, 0.041663200676643822), (37, 0.045097737841537068), (41, 0.02162029299237879), (48, 0.03670753319836588), (49, 0.044527107660379893), (50, 0.17763919401983497)]","[(50, 0.17763919401983497), (4, 0.15931662220075357), (12, 0.08451508128571188), (7, 0.07880963324092627), (2, 0.053306233958205516), (0, 0.04554608516693422), (1, 0.04553932820040819), (37, 0.04509773784153707), (49, 0.04452710766037989), (35, 0.04166320067664382), (48, 0.03670753319836588), (33, 0.03132522752074794), (24, 0.031238465052781536), (9, 0.024170011997783396), (19, 0.022561621669725015), (16, 0.021745345309725186), (41, 0.02162029299237879), (18, 0.021327478949072373)]",50
1235,1235,1235,Baltimore City Employee Salaries FY2015,"['This', 'database', 'captures', 'gross', 'salary', 'from', 'July', '1', '2014', 'through', 'June', '30', '2015', 'and', 'includes', 'only', 'those', 'employees', 'who', 'were', 'employed', 'on', 'June', '30', '2015']",Mayor's Office,"['annualsalary', 'agency', 'agencyid', 'grosspay', 'jobtitle', 'name', 'hiredate']","['AnnualSalary', 'Agency', 'AgencyID', 'GrossPay', 'JobTitle', 'name', 'HireDate']",dataset,['finance'],City Government,"['employees', 'salaries']",official,1790.0,850.0,210.0,50997.0,15.6381530492,data.baltimorecity.gov,"['employees', 'salaries', 'finance', 'city', 'government']","['employees', 'salaries', 'finance', 'city', 'government', 'This', 'database', 'captures', 'gross', 'salary', 'from', 'July', '1', '2014', 'through', 'June', '30', '2015', 'and', 'includes', 'only', 'those', 'employees', 'who', 'were', 'employed', 'on', 'June', '30', '2015']","[(16, 0.065875720923435965), (19, 0.065599487905373122), (22, 0.22428725303536984), (40, 0.17304356377351882), (50, 0.41470358974691723)]","[(50, 0.41470358974691723), (22, 0.22428725303536984), (40, 0.17304356377351882), (16, 0.06587572092343597), (19, 0.06559948790537312)]",50
15837,16006,16006,Comptroller - Annual Salaries - 2015 - November 24,"['Annual', 'salaries', 'paid', 'to', 'employees', 'by', 'the', 'Cook', 'County', 'Comptroller', 'as', 'of', 'November', '24', '2015', 'This', 'dataset', 'does', 'not', 'include', 'salaries', 'for', 'Cook', 'County', 'Forest', 'Preserves', 'This', 'is', 'the', 'newest', 'salaries', 'dataset', 'For', '2014', 'see', 'https', '//datacatalog', 'cookcountyil', 'gov/d/hdna', '35se']",Cook County Office of the Comptroller,"['step', 'start_date', 'bureau', 'department_name', 'original_hire_date', 'employee_status', 'annual_salary', 'department_number', 'name', 'title', 'job_code', 'grade']","['Step', 'Start Date', 'Bureau', 'Department Name', 'Original Hire Date', 'Employee Status', 'Annual Salary', 'Department Number', 'Name', 'Title', 'Job Code', 'Grade']",dataset,"['economy', 'finance']",Finance & Administration,['salary'],official,2582.0,4062.0,772.0,46363.0,15.5007174181,datacatalog.cookcountyil.gov,"['salary', 'economy', 'finance', 'finance', '&', 'administration']","['salary', 'economy', 'finance', 'finance', '&', 'administration', 'Annual', 'salaries', 'paid', 'to', 'employees', 'by', 'the', 'Cook', 'County', 'Comptroller', 'as', 'of', 'November', '24', '2015', 'This', 'dataset', 'does', 'not', 'include', 'salaries', 'for', 'Cook', 'County', 'Forest', 'Preserves', 'This', 'is', 'the', 'newest', 'salaries', 'dataset', 'For', '2014', 'see', 'https', '//datacatalog', 'cookcountyil', 'gov/d/hdna', '35se']","[(14, 0.10602430675926865), (24, 0.042794468029569384), (30, 0.051143146742268157), (31, 0.047076330096640841), (40, 0.20909652575621898), (47, 0.040110140045938596), (50, 0.39546369055609704), (51, 0.076952360674966927)]","[(50, 0.39546369055609704), (40, 0.20909652575621898), (14, 0.10602430675926865), (51, 0.07695236067496693), (30, 0.05114314674226816), (31, 0.04707633009664084), (24, 0.042794468029569384), (47, 0.040110140045938596)]",50
8684,8853,8853,Reported Sewer Overflows,"['Reported', 'sewer', 'overflows', 'from', 'January', '2005', 'through', 'December', '22', '2016', 'Although', 'MDE', 'requires', 'that', 'all', 'public', 'sewer', 'system', 'owners', 'or', 'operators', 'report', 'overflows', 'to', 'us', 'there', 'may', 'be', 'incidents', 'that', 'were', 'not', 'reported', 'Note', 'that', 'overflow', 'amounts', 'provided', 'by', 'the', 'person', 'reporting', 'the', 'overflow', 'may', 'be', 'estimated', 'using', 'best', 'professional', 'judgment', 'or', 'they', 'may', 'be', 'actual', 'readings', 'from', 'flow', 'measurement', 'devices', 'when', 'available', 'Penalty', 'information', 'started', 'during', '2013']",Maryland Department of the Environment,"['date_discovered', 'overflow_type', 'municipality_facility', 'npdes', 'penalty_comments', 'watershed', 'quantity_in_gallons_estimated', 'longitude', 'latitude', 'penalty_collected', 'notes', 'county', 'receiving_waters', 'cause', 'net_in_gallons_estimated', 'collection_system', 'zip_code', 'location', 'minutes', 'hours', 'days', 'time_discovered']","['Date Discovered', 'Overflow Type', 'Municipality/Facility', 'NPDES #', 'Penalty Comments', 'Watershed', 'Quantity in Gallons (Estimated)', 'Longitude', 'Latitude', 'Penalty Collected', 'Notes', 'County', 'Receiving waters', 'Cause', 'Net in Gallons (Estimated)', 'Collection-System', 'Zip Code', 'Location', 'Duration - Minutes', 'Duration - Hours', 'Duration - Days', 'Time Discovered']",dataset,['infrastructure'],Energy and Environment,"['water', 'mde', 'water quality', 'cso', 'sso', 'sewer overflow']",official,1191.0,14.0,5.0,45766.0,15.4820201068,data.maryland.gov,"['water', 'mde', 'water', 'quality', 'cso', 'sso', 'sewer', 'overflow', 'infrastructure', 'energy', 'and', 'environment']","['water', 'mde', 'water', 'quality', 'cso', 'sso', 'sewer', 'overflow', 'infrastructure', 'energy', 'and', 'environment', 'Reported', 'sewer', 'overflows', 'from', 'January', '2005', 'through', 'December', '22', '2016', 'Although', 'MDE', 'requires', 'that', 'all', 'public', 'sewer', 'system', 'owners', 'or', 'operators', 'report', 'overflows', 'to', 'us', 'there', 'may', 'be', 'incidents', 'that', 'were', 'not', 'reported', 'Note', 'that', 'overflow', 'amounts', 'provided', 'by', 'the', 'person', 'reporting', 'the', 'overflow', 'may', 'be', 'estimated', 'using', 'best', 'professional', 'judgment', 'or', 'they', 'may', 'be', 'actual', 'readings', 'from', 'flow', 'measurement', 'devices', 'when', 'available', 'Penalty', 'information', 'started', 'during', '2013']","[(4, 0.15344770878972402), (5, 0.049700692422149216), (8, 0.020928168221368865), (10, 0.06348331155314331), (11, 0.023591472051445371), (17, 0.020127156926892643), (26, 0.085489221184615938), (27, 0.15166256352829083), (29, 0.020337794772176159), (37, 0.020535989551173951), (39, 0.026098927816865385), (40, 0.021276043177718688), (42, 0.11205760648981306), (47, 0.018874643874643885), (50, 0.19921206146334114)]","[(50, 0.19921206146334114), (4, 0.15344770878972402), (27, 0.15166256352829083), (42, 0.11205760648981306), (26, 0.08548922118461594), (10, 0.06348331155314331), (5, 0.049700692422149216), (39, 0.026098927816865385), (11, 0.02359147205144537), (40, 0.02127604317771869), (8, 0.020928168221368865), (37, 0.02053598955117395), (29, 0.02033779477217616), (17, 0.020127156926892643), (47, 0.018874643874643885)]",50
9603,9772,9772,Employee Salaries - 2014,"['Annual', 'salary', 'information', 'including', 'gross', 'pay', 'and', 'overtime', 'pay', 'for', 'all', 'active', 'permanent', 'employees', 'of', 'Montgomery', 'County', 'MD', 'paid', 'in', 'calendar', 'year', '2014', 'This', 'information', 'will', 'be', 'published', 'annually', 'by', 'the', 'end', 'of', 'January', 'each', 'year']",,"['assignment_category', 'division', 'department_name', 'gender', 'date_first_hired', 'dept', '_2014_overtime_pay', '_2014_gross_pay_received', 'full_name', 'position_title', 'underfilled_job_title', 'current_annual_salary']","['Assignment Category', 'Division', 'Department Name', 'Gender', 'Date First Hired', 'Department', '2014 Overtime Pay', '2014 Gross Pay Received', 'Full Name', 'Position Title', 'Underfilled Job Title', 'Current Annual Salary']",dataset,"['economy', 'finance', 'demographics']",Human Resources,"['salary and gender.', 'gross pay', 'overtime', 'employee salaries', 'annual', '2014']",official,3271.0,347.0,61.0,42837.0,15.3866035054,data.montgomerycountymd.gov,"['salary', 'and', 'gender.', 'gross', 'pay', 'overtime', 'employee', 'salaries', 'annual', '2014', 'economy', 'finance', 'demographics', 'human', 'resources']","['salary', 'and', 'gender.', 'gross', 'pay', 'overtime', 'employee', 'salaries', 'annual', '2014', 'economy', 'finance', 'demographics', 'human', 'resources', 'Annual', 'salary', 'information', 'including', 'gross', 'pay', 'and', 'overtime', 'pay', 'for', 'all', 'active', 'permanent', 'employees', 'of', 'Montgomery', 'County', 'MD', 'paid', 'in', 'calendar', 'year', '2014', 'This', 'information', 'will', 'be', 'published', 'annually', 'by', 'the', 'end', 'of', 'January', 'each', 'year']","[(1, 0.100861446481531), (2, 0.087100295132837957), (4, 0.10259989714401133), (12, 0.029920629269709304), (21, 0.065371901284668812), (40, 0.16435638999255653), (41, 0.035629843513000178), (48, 0.1199492268409369), (50, 0.2718610979914749)]","[(50, 0.2718610979914749), (40, 0.16435638999255653), (48, 0.1199492268409369), (4, 0.10259989714401133), (1, 0.100861446481531), (2, 0.08710029513283796), (21, 0.06537190128466881), (41, 0.03562984351300018), (12, 0.029920629269709304)]",50
