,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
7481,7650,7650,Immigration Workshops Event Calendar,"['Immigration', 'Workshops', 'around', 'the', 'City', 'of', 'Los', 'Angeles']",,"['language', 'organization', 'contact', 'end_time', 'site_name', 'location', 'free', 'notes', 'start_time', 'date_of_event']","['Language', 'Organization', 'Contact', 'End Time', 'Site Name', 'Location', 'Free', 'Notes', 'Start Time', 'Date of event']",calendar,"['infrastructure', 'demographics']",A Well Run City,"['dapa', 'daca', 'citizenship', 'license', 'drivers', 'ab60', 'workshops', 'immigration', 'driver']",official,496.0,1027.0,218.0,80819.0,16.3024247311,data.lacity.org,"['dapa', 'daca', 'citizenship', 'license', 'drivers', 'ab60', 'workshops', 'immigration', 'driver', 'infrastructure', 'demographics', 'a', 'well', 'run', 'city']","['dapa', 'daca', 'citizenship', 'license', 'drivers', 'ab60', 'workshops', 'immigration', 'driver', 'infrastructure', 'demographics', 'a', 'well', 'run', 'city', 'Immigration', 'Workshops', 'around', 'the', 'City', 'of', 'Los', 'Angeles']","[(2, 0.092296185305842021), (4, 0.051466077913670083), (6, 0.051486391846827004), (11, 0.053761430492501081), (12, 0.047797937765878873), (22, 0.048534798534798515), (35, 0.36352905049778994), (42, 0.050006123543669782), (46, 0.048749890938878861), (48, 0.050612284656409122), (50, 0.10421404095794677)]","[(35, 0.36352905049778994), (50, 0.10421404095794677), (2, 0.09229618530584202), (11, 0.05376143049250108), (6, 0.051486391846827004), (4, 0.05146607791367008), (48, 0.05061228465640912), (42, 0.05000612354366978), (46, 0.04874989093887886), (22, 0.048534798534798515), (12, 0.04779793776587887)]",35
18315,18484,18484,Asset Values Of Developer Built Road Infrastructure: FY 1980 - FY 2015,"['Used', 'to', 'track', 'asset', 'information', 'on', 'developer', 'built', 'public', 'infrastructure', 'including', 'roads', 'and', 'associated', 'drainage', 'and', 'sidewalks', 'Database', 'pulls', 'information', 'from', 'the', 'Master', 'Road', 'Book', 'Index', 'and', 'the', 'DPZ', 'Database']",Department of Public Works,"['acceptance_date', 'land_and_land_improvement_value', 'concrete_curb_and_gutter_value', 'paving_top_value', 'plan_number_capital_project_number', 'paving_sub_base_value', 'project', 'year', 'drainage_value', 'utility_relocation_value', 'stormwater_value', 'sidewalks_and_walkways_value', 'bituminous_curb_value', 'miscellaneous_value', 'guardrails_and_barricades_value']","['Acceptance_Date', 'Land_and_Land_Improvement_Value', 'Concrete_Curb_and_Gutter_Value', 'Paving_Top_Value', 'Plan_Number/Capital_Project_Number', 'Paving_Sub-base_Value', 'Project', 'Year', 'Drainage_Value', 'Utility_Relocation_Value', 'Stormwater_Value', 'Sidewalks_and_Walkways_Value', 'Bituminous_Curb_Value', 'Miscellaneous_Value', 'Guardrails_and_Barricades_Value']",dataset,"['transportation', 'infrastructure']",Utilities and Public Works,"['asset', 'developer', 'drainage', 'infrastructure', 'master road book index', 'road', 'sidewalks']",official,138.0,2.0,2.0,69595.0,16.0867167697,opendata.howardcountymd.gov,"['asset', 'developer', 'drainage', 'infrastructure', 'master', 'road', 'book', 'index', 'road', 'sidewalks', 'transportation', 'infrastructure', 'utilities', 'and', 'public', 'works']","['asset', 'developer', 'drainage', 'infrastructure', 'master', 'road', 'book', 'index', 'road', 'sidewalks', 'transportation', 'infrastructure', 'utilities', 'and', 'public', 'works', 'Used', 'to', 'track', 'asset', 'information', 'on', 'developer', 'built', 'public', 'infrastructure', 'including', 'roads', 'and', 'associated', 'drainage', 'and', 'sidewalks', 'Database', 'pulls', 'information', 'from', 'the', 'Master', 'Road', 'Book', 'Index', 'and', 'the', 'DPZ', 'Database']","[(2, 0.02775049310921272), (3, 0.18390897216646285), (10, 0.059908332762389493), (13, 0.029135855995331077), (19, 0.045644966443478187), (22, 0.069198501897287615), (31, 0.027088380909601702), (32, 0.039046429678598844), (35, 0.24911939384273718), (38, 0.063801370678646288), (40, 0.070724212019824623), (44, 0.061798596569304108), (47, 0.053137651821862357)]","[(35, 0.24911939384273718), (3, 0.18390897216646285), (40, 0.07072421201982462), (22, 0.06919850189728761), (38, 0.06380137067864629), (44, 0.06179859656930411), (10, 0.05990833276238949), (47, 0.05313765182186236), (19, 0.04564496644347819), (32, 0.039046429678598844), (13, 0.029135855995331077), (2, 0.02775049310921272), (31, 0.0270883809096017)]",35
11018,11187,11187,Automobiles Annual Imports and Exports Through Port Authority of NY NJ Maritime Terminals: Beginning 2000,"['This', 'dataset', 'represents', 'the', 'total', 'number', 'of', 'Automobiles', 'Imported', 'and', 'Exported', 'annually', 'through', 'maritime', 'terminals', 'located', 'within', 'Port', 'Authority', 'property', 'in', 'the', 'Port', 'of', 'New', 'York', 'and', 'New', 'Jersey', 'in', 'vehicle', 'units', 'beginning', '2000']",The Port Authority of New York & New Jersey,"['volume', 'year', 'type']","['Automobile Volume', 'Year', 'Type']",dataset,"['environment', 'housing & development']",Transportation,"['automobiles', 'maritime', 'port', 'port authority', 'povs']",official,1082.0,13.0,7.0,55286.0,15.7546526694,data.ny.gov,"['automobiles', 'maritime', 'port', 'port', 'authority', 'povs', 'environment', 'housing', '&', 'development', 'transportation']","['automobiles', 'maritime', 'port', 'port', 'authority', 'povs', 'environment', 'housing', '&', 'development', 'transportation', 'This', 'dataset', 'represents', 'the', 'total', 'number', 'of', 'Automobiles', 'Imported', 'and', 'Exported', 'annually', 'through', 'maritime', 'terminals', 'located', 'within', 'Port', 'Authority', 'property', 'in', 'the', 'Port', 'of', 'New', 'York', 'and', 'New', 'Jersey', 'in', 'vehicle', 'units', 'beginning', '2000']","[(3, 0.080011243125519743), (6, 0.02985028859878066), (9, 0.13929111367459632), (14, 0.03088578088578087), (30, 0.041589413512981427), (35, 0.21265676955001511), (36, 0.038914929012831993), (40, 0.055606837440990049), (42, 0.05099074185472928), (43, 0.078381621045768526), (48, 0.11161958088681649), (49, 0.10689165710116572)]","[(35, 0.2126567695500151), (9, 0.13929111367459632), (48, 0.11161958088681649), (49, 0.10689165710116572), (3, 0.08001124312551974), (43, 0.07838162104576853), (40, 0.05560683744099005), (42, 0.05099074185472928), (30, 0.04158941351298143), (36, 0.03891492901283199), (14, 0.03088578088578087), (6, 0.02985028859878066)]",35
11023,11192,11192,Automobiles Annual Imports and Exports Through Port Authority of NY NJ Maritime Terminals Bar Chart: Beginning 2000,"['This', 'dataset', 'represents', 'the', 'total', 'number', 'of', 'Automobiles', 'Imported', 'and', 'Exported', 'annually', 'through', 'maritime', 'terminals', 'located', 'within', 'Port', 'Authority', 'property', 'in', 'the', 'Port', 'of', 'New', 'York', 'and', 'New', 'Jersey', 'in', 'vehicle', 'units', 'beginning', '2000']",The Port Authority of New York & New Jersey,"['type', 'volume', 'year']","['Type', 'Automobile Volume', 'Year']",chart,"['environment', 'housing & development']",Transportation,"['automobiles', 'maritime', 'port', 'port authority', 'povs']",official,73.0,26.0,10.0,55080.0,15.7492671315,data.ny.gov,"['automobiles', 'maritime', 'port', 'port', 'authority', 'povs', 'environment', 'housing', '&', 'development', 'transportation']","['automobiles', 'maritime', 'port', 'port', 'authority', 'povs', 'environment', 'housing', '&', 'development', 'transportation', 'This', 'dataset', 'represents', 'the', 'total', 'number', 'of', 'Automobiles', 'Imported', 'and', 'Exported', 'annually', 'through', 'maritime', 'terminals', 'located', 'within', 'Port', 'Authority', 'property', 'in', 'the', 'Port', 'of', 'New', 'York', 'and', 'New', 'Jersey', 'in', 'vehicle', 'units', 'beginning', '2000']","[(2, 0.054105730377823742), (3, 0.069859933799368099), (6, 0.029871997685948466), (9, 0.1381663174529737), (14, 0.030885780885780863), (30, 0.040569464559811724), (35, 0.24453376194325535), (36, 0.037830071375600891), (42, 0.050289894743259574), (43, 0.076145470670201207), (48, 0.10126109788122314), (49, 0.10317045531472926)]","[(35, 0.24453376194325535), (9, 0.1381663174529737), (49, 0.10317045531472926), (48, 0.10126109788122314), (43, 0.0761454706702012), (3, 0.0698599337993681), (2, 0.05410573037782374), (42, 0.050289894743259574), (30, 0.040569464559811724), (36, 0.03783007137560089), (14, 0.030885780885780863), (6, 0.029871997685948466)]",35
7492,7661,7661,Immigration Workshops,"['Immigration', 'Workshops', 'around', 'the', 'City', 'of', 'Los', 'Angeles']",,"['end_time', 'contact', 'free', 'language', 'notes', 'date_of_event', 'organization', 'site_name', 'location', 'start_time']","['End Time', 'Contact', 'Free', 'Language', 'Notes', 'Date of event', 'Organization', 'Site Name', 'Location', 'Start Time']",dataset,['infrastructure'],A Well Run City,"['drivers', 'driver', 'immigration', 'workshops', 'ab60', 'daca', 'dapa', 'citizenship', 'license']",official,889.0,96.0,60.0,27404.0,14.7421515142,data.lacity.org,"['drivers', 'driver', 'immigration', 'workshops', 'ab60', 'daca', 'dapa', 'citizenship', 'license', 'infrastructure', 'a', 'well', 'run', 'city']","['drivers', 'driver', 'immigration', 'workshops', 'ab60', 'daca', 'dapa', 'citizenship', 'license', 'infrastructure', 'a', 'well', 'run', 'city', 'Immigration', 'Workshops', 'around', 'the', 'City', 'of', 'Los', 'Angeles']","[(2, 0.050961538461538433), (4, 0.054029649823411414), (6, 0.054062977628379187), (11, 0.053861849969524436), (12, 0.050200767340496839), (22, 0.050961538461538433), (35, 0.38205741222008532), (42, 0.052508221552205352), (46, 0.051187410466781144), (48, 0.052854303595499183), (50, 0.10789125355746278)]","[(35, 0.3820574122200853), (50, 0.10789125355746278), (6, 0.05406297762837919), (4, 0.054029649823411414), (11, 0.053861849969524436), (48, 0.05285430359549918), (42, 0.05250822155220535), (46, 0.051187410466781144), (2, 0.05096153846153843), (22, 0.05096153846153843), (12, 0.05020076734049684)]",35
7495,7664,7664,Map1 DACA / DAPA Workshops,"['DACA', 'and', 'DAPA', 'Workshops', 'around', 'the', 'City', 'of', 'Los', 'Angeles']",,"['location', 'start_time', 'end_time', 'site_name', 'notes', 'contact', 'language', 'free', 'organization', 'date_of_event']","['Location', 'Start Time', 'End Time', 'Site Name', 'Notes', 'Contact', 'Language', 'Free', 'Organization', 'Date of event']",map,['infrastructure'],A Well Run City,['daca dapa immigration workshops'],official,192.0,78.0,59.0,26368.0,14.68655524,data.lacity.org,"['daca', 'dapa', 'immigration', 'workshops', 'infrastructure', 'a', 'well', 'run', 'city']","['daca', 'dapa', 'immigration', 'workshops', 'infrastructure', 'a', 'well', 'run', 'city', 'DACA', 'and', 'DAPA', 'Workshops', 'around', 'the', 'City', 'of', 'Los', 'Angeles']","[(4, 0.067686036333944308), (6, 0.13839080014963304), (12, 0.063071508305960533), (35, 0.41306583717362344), (42, 0.13216197357166487), (46, 0.064036319648772183), (50, 0.067500986354862819)]","[(35, 0.41306583717362344), (6, 0.13839080014963304), (42, 0.13216197357166487), (4, 0.06768603633394431), (50, 0.06750098635486282), (46, 0.06403631964877218), (12, 0.06307150830596053)]",35
7496,7665,7665,Map2 DACA / DAPA Workshops,"['DACA', 'and', 'DAPA', 'Workshops', 'around', 'the', 'City', 'of', 'Los', 'Angeles']",,"['notes', 'language', 'end_time', 'start_time', 'location', 'site_name', 'organization', 'date_of_event', 'contact', 'free']","['Notes', 'Language', 'End Time', 'Start Time', 'Location', 'Site Name', 'Organization', 'Date of event', 'Contact', 'Free']",map,['infrastructure'],A Well Run City,['daca dapa immigration workshops'],official,186.0,66.0,61.0,25989.0,14.6656690134,data.lacity.org,"['daca', 'dapa', 'immigration', 'workshops', 'infrastructure', 'a', 'well', 'run', 'city']","['daca', 'dapa', 'immigration', 'workshops', 'infrastructure', 'a', 'well', 'run', 'city', 'DACA', 'and', 'DAPA', 'Workshops', 'around', 'the', 'City', 'of', 'Los', 'Angeles']","[(4, 0.067686981406941529), (6, 0.13838268148141222), (12, 0.06306898356065764), (35, 0.41308053225002739), (42, 0.13215926194945213), (46, 0.064036206751108965), (50, 0.067498814138861316)]","[(35, 0.4130805322500274), (6, 0.13838268148141222), (42, 0.13215926194945213), (4, 0.06768698140694153), (50, 0.06749881413886132), (46, 0.06403620675110896), (12, 0.06306898356065764)]",35
4803,4803,4803,Detroit Demolitions,"['This', 'dataset', 'is', 'the', 'result', 'of', 'a', 'collaborative', 'effort', 'between', 'the', 'City', 'of', 'Detroit', 'the', 'Detroit', 'Land', 'Bank', 'Authority', 'and', 'the', 'Detroit', 'Building', 'Authority', 'It', 'includes', 'demolitions', 'done', 'by', 'the', 'City', 'of', 'Detroit', 'or', 'the', 'Detroit', 'Land', 'Bank', 'Authority', 'since', 'January', '1', '2014', 'Projects', 'listed', 'in', 'this', 'dataset', 'are', 'ones', 'that', 'have', 'a', 'known', 'a', ')', 'Price', 'b', ')', 'Demolition', 'Date', 'and', 'c', ')', 'Demolition', 'Contractor', 'Demolition', 'Date', 'Indicates', 'the', 'day', 'that', 'the', 'demolition', 'of', 'the', 'structure', 'was', 'started', 'Note', 'on', 'Accuracy', 'The', 'City', 'of', 'Detroit', 'and', 'its', 'partners', 'will', 'continually', 'review', 'and', 'update', 'the', 'data', 'presented', 'through', 'this', 'portal', 'If', 'you', 'see', 'any', 'error', 'with', 'this', 'data', 'help', 'us', 'by', 'using', 'this', 'online', 'form', 'to', 'report', 'it', 'https', '//app', 'smartsheet', 'com/b/form?EQBCT=33270427b815436498ff8f6a4c061f4b', 'Note', 'on', 'Properties', 'Not', 'Included', 'in', 'this', 'Data', 'Set', 'Currently', 'just', 'a', 'small', 'fraction', 'of', 'all', 'demolitions', 'conducted', 'during', 'this', 'time', 'frame', 'are', 'not', 'included', 'in', 'this', 'data', 'set', 'primarily', 'because', 'they', 'were', 'done', 'on', 'an', 'emergency', 'basis', 'and', 'the', 'accounting', 'has', 'not', 'been', 'finalized', 'or', 'they', 'are', 'among', 'the', 'earliest', 'demolitions', 'that', 'took', 'place', 'during', 'this', 'time', 'frame', 'at', 'a', 'time', 'when', 'record', 'keeping', 'was', 'more', 'paper', 'based', 'As', 'this', 'information', 'is', 'collected', 'and', 'verified', 'it', 'will', 'be', 'added', 'to', 'this', 'dataset']",Detroit Land Bank Authority; Detroit Building Authority,"['contractor_name', 'commercial', 'council_district', 'location', 'longitude', 'address', 'neighborhood', 'parcel_id', 'price', 'demolition_date', 'latitude']","['Contractor Name', 'Commercial Building', 'Council_District', 'Location', 'Longitude', 'Address', 'Neighborhood', 'Parcel ID', 'Price', 'Demolition Date', 'Latitude']",dataset,['finance'],Government,"['demolition', 'detroit', 'demolitions']",official,1079.0,755.0,139.0,14201.0,13.7938064915,data.detroitmi.gov,"['demolition', 'detroit', 'demolitions', 'finance', 'government']","['demolition', 'detroit', 'demolitions', 'finance', 'government', 'This', 'dataset', 'is', 'the', 'result', 'of', 'a', 'collaborative', 'effort', 'between', 'the', 'City', 'of', 'Detroit', 'the', 'Detroit', 'Land', 'Bank', 'Authority', 'and', 'the', 'Detroit', 'Building', 'Authority', 'It', 'includes', 'demolitions', 'done', 'by', 'the', 'City', 'of', 'Detroit', 'or', 'the', 'Detroit', 'Land', 'Bank', 'Authority', 'since', 'January', '1', '2014', 'Projects', 'listed', 'in', 'this', 'dataset', 'are', 'ones', 'that', 'have', 'a', 'known', 'a', ')', 'Price', 'b', ')', 'Demolition', 'Date', 'and', 'c', ')', 'Demolition', 'Contractor', 'Demolition', 'Date', 'Indicates', 'the', 'day', 'that', 'the', 'demolition', 'of', 'the', 'structure', 'was', 'started', 'Note', 'on', 'Accuracy', 'The', 'City', 'of', 'Detroit', 'and', 'its', 'partners', 'will', 'continually', 'review', 'and', 'update', 'the', 'data', 'presented', 'through', 'this', 'portal', 'If', 'you', 'see', 'any', 'error', 'with', 'this', 'data', 'help', 'us', 'by', 'using', 'this', 'online', 'form', 'to', 'report', 'it', 'https', '//app', 'smartsheet', 'com/b/form?EQBCT=33270427b815436498ff8f6a4c061f4b', 'Note', 'on', 'Properties', 'Not', 'Included', 'in', 'this', 'Data', 'Set', 'Currently', 'just', 'a', 'small', 'fraction', 'of', 'all', 'demolitions', 'conducted', 'during', 'this', 'time', 'frame', 'are', 'not', 'included', 'in', 'this', 'data', 'set', 'primarily', 'because', 'they', 'were', 'done', 'on', 'an', 'emergency', 'basis', 'and', 'the', 'accounting', 'has', 'not', 'been', 'finalized', 'or', 'they', 'are', 'among', 'the', 'earliest', 'demolitions', 'that', 'took', 'place', 'during', 'this', 'time', 'frame', 'at', 'a', 'time', 'when', 'record', 'keeping', 'was', 'more', 'paper', 'based', 'As', 'this', 'information', 'is', 'collected', 'and', 'verified', 'it', 'will', 'be', 'added', 'to', 'this', 'dataset']","[(0, 0.034794689327432543), (1, 0.029446272095382992), (3, 0.011077431362151535), (4, 0.16054859101858088), (5, 0.013041276616979521), (11, 0.02084846713628832), (12, 0.012065618915050223), (13, 0.011254213680832343), (15, 0.015381454252359523), (18, 0.021585651945105158), (22, 0.024206162980895115), (23, 0.026884057744318662), (26, 0.020051289558463165), (27, 0.065256980678695703), (30, 0.044772977300902912), (33, 0.034337098093503056), (35, 0.17754960765723729), (36, 0.031368072554740133), (37, 0.050118170088807409), (46, 0.0539789408224743), (48, 0.032247327870315888), (49, 0.056464290868983455), (50, 0.039129012105555666)]","[(35, 0.1775496076572373), (4, 0.16054859101858088), (27, 0.0652569806786957), (49, 0.056464290868983455), (46, 0.0539789408224743), (37, 0.05011817008880741), (30, 0.04477297730090291), (50, 0.039129012105555666), (0, 0.03479468932743254), (33, 0.034337098093503056), (48, 0.03224732787031589), (36, 0.03136807255474013), (1, 0.029446272095382992), (23, 0.02688405774431866), (22, 0.024206162980895115), (18, 0.021585651945105158), (11, 0.02084846713628832), (26, 0.020051289558463165), (15, 0.015381454252359523), (5, 0.01304127661697952), (12, 0.012065618915050223), (13, 0.011254213680832343), (3, 0.011077431362151535)]",35
1252,1252,1252,Restaurants,"['This', 'dataset', 'contains', 'a', 'list', 'of', 'restaurants', 'within', 'Baltimore', 'City', 'The', 'accuracy', 'and', 'completeness', 'of', 'this', 'list', 'is', 'unknown']",City of Baltimore,"['name', 'zipcode', 'neighborhood', 'location_1', 'councildistrict', 'policedistrict']","['name', 'zipCode', 'neighborhood', 'Location 1', 'councilDistrict', 'policeDistrict']",dataset,[],Culture & Arts,"['restaurant', 'food']",official,14485.0,313.0,66.0,12753.0,13.6386621659,data.baltimorecity.gov,"['restaurant', 'food', 'culture', '&', 'arts']","['restaurant', 'food', 'culture', '&', 'arts', 'This', 'dataset', 'contains', 'a', 'list', 'of', 'restaurants', 'within', 'Baltimore', 'City', 'The', 'accuracy', 'and', 'completeness', 'of', 'this', 'list', 'is', 'unknown']","[(5, 0.10538542251612147), (19, 0.067948717948717902), (22, 0.067948717948717902), (23, 0.13967028646376692), (35, 0.28547583482134425), (41, 0.27459666132697186)]","[(35, 0.28547583482134425), (41, 0.27459666132697186), (23, 0.13967028646376692), (5, 0.10538542251612147), (19, 0.0679487179487179), (22, 0.0679487179487179)]",35
18338,18507,18507,Highways Infrastructure Maintenance,"['Infrastructure', 'maintenance', 'expenditures']",Department of Public Works,"['invoice', 'purchase_order', 'project', 'description', 'invoice_amount']","['INVOICE', 'PURCHASE_ORDER', 'PROJECT', 'DESCRIPTION', 'INVOICE_AMOUNT']",dataset,[],Utilities and Public Works,"['highways', 'infrastructure', 'maintenance']",official,134.0,1.0,1.0,11679.0,13.5117526538,opendata.howardcountymd.gov,"['highways', 'infrastructure', 'maintenance', 'utilities', 'and', 'public', 'works']","['highways', 'infrastructure', 'maintenance', 'utilities', 'and', 'public', 'works', 'Infrastructure', 'maintenance', 'expenditures']","[(7, 0.10192307692307681), (31, 0.1032557322525802), (35, 0.59839036901806553), (37, 0.1041231294985842)]","[(35, 0.5983903690180655), (37, 0.1041231294985842), (31, 0.1032557322525802), (7, 0.10192307692307681)]",35
