,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9367,9536,9536,Missouri Employee Phone Directory API,"['REST', 'API', 'for', 'access', 'Missouri', 'employee', 'phone', 'directory']",OA ITSD,[],[],href,[],Government,"['rest api', 'phone']",official,3705.0,34.0,2.0,295333.0,18.1719879291,data.mo.gov,"['rest', 'api', 'phone', 'government']","['rest', 'api', 'phone', 'government', 'REST', 'API', 'for', 'access', 'Missouri', 'employee', 'phone', 'directory']","[(5, 0.084935897435897315), (10, 0.16117609969335375), (22, 0.17235572819667613), (28, 0.24316219348051402), (49, 0.17262310396383473), (50, 0.092029028511774108)]","[(28, 0.24316219348051402), (49, 0.17262310396383473), (22, 0.17235572819667613), (10, 0.16117609969335375), (50, 0.09202902851177411), (5, 0.08493589743589731)]",28
5643,5812,5812,IDOT Rest Areas Map,"['This', 'data', 'contains', 'rest', 'area', 'related', 'information', 'such', 'as', 'services', 'available', 'location', 'information', 'location', 'and', 'rest', 'area', 'name', 'The', 'data', 'is', 'intended', 'to', 'provide', 'basic', 'location', 'and', 'service', 'information', 'to', 'the', 'traveling', 'public']",Illinois Department of Transportation,"['latitude', 'location', 'name', 'route', 'district', 'status', 'td_station', 'center', 'vending', 'id', 'comments', 'location_1', 'assist_rr', 'wthr_info', 'longitude']","['Latitude', 'Location', 'Name', 'Route', 'District', ' STATUS ', 'TTY Station', 'Welcome Center', 'Vending', 'ID', 'Comments', 'Location 1', 'Disabled Assist Restroom', 'Weather Information', 'Longitude']",map,[],Transportation,"['rest', 'area']",official,655.0,430.0,88.0,92683.0,16.5000326881,data.illinois.gov,"['rest', 'area', 'transportation']","['rest', 'area', 'transportation', 'This', 'data', 'contains', 'rest', 'area', 'related', 'information', 'such', 'as', 'services', 'available', 'location', 'information', 'location', 'and', 'rest', 'area', 'name', 'The', 'data', 'is', 'intended', 'to', 'provide', 'basic', 'location', 'and', 'service', 'information', 'to', 'the', 'traveling', 'public']","[(28, 0.37971609065823841), (30, 0.06014527821138535), (39, 0.12826953443185168), (41, 0.054010157143019932), (42, 0.15789204488882755), (46, 0.18458227928206114)]","[(28, 0.3797160906582384), (46, 0.18458227928206114), (42, 0.15789204488882755), (39, 0.12826953443185168), (30, 0.06014527821138535), (41, 0.05401015714301993)]",28
7227,7396,7396,CSC Kent Map,[],,"['phone', 'hours', 'location', 'name']","['Phone', 'Hours', 'Location', 'Name']",map,[],Operations,[],official,1192.0,80.0,11.0,59352.0,15.8570333323,data.kingcounty.gov,['operations'],['operations'],"[(28, 0.50961538461538503)]","[(28, 0.509615384615385)]",28
10992,11161,11161,Texting Zone Locations Map,"['Special', '""Texting', 'Zones""', 'locations', 'along', 'the', 'New', 'York', 'State', 'Thruway', 'and', 'State', 'Highways', 'that', 'give', 'motorists', 'a', 'pull', 'off', 'area', 'to', 'park', 'and', 'use', 'their', 'mobile', 'devices', 'Existing', 'Park', 'n', 'Ride', 'facilities', 'rest', 'stops', 'parking', 'areas', 'and', 'travel', 'plazas', 'along', 'the', 'Thruway', 'and', 'State', 'Highways', 'will', 'have', 'a', 'dual', 'function', 'as', 'a', 'texting', 'zone', 'A', 'total', 'of', '90', 'Texting', 'Zones', 'are', 'located', 'along', 'major', 'highways', 'across', 'the', 'state', 'New', 'York', 'State', 'Department', 'of', 'Transportation', '(NYSDOT)', 'in', 'coordination', 'with', 'the', 'Thruway', 'Authority', 'have', 'collaborated', 'to', 'provide', 'Texting', 'Zones', 'location', 'information', 'and', 'signage', 'to', 'inform', 'drivers']",New York State Department of Transportation and New York State Thruway Authority,"['location', 'latitude', 'highway_name', 'longitude', 'county', 'maintained_by', 'rm_milepost', 'facility_name', 'facility_type']","['Location', 'Latitude', 'Highway Name', 'Longitude', 'County', 'Maintained By', 'RM Milepost', 'Facility Name', 'Facility Type']",map,"['transportation', 'recreation']",Transportation,"['safety', 'state highways', 'texting zone', 'thruway']",official,180.0,95.0,30.0,58451.0,15.8349647686,data.ny.gov,"['safety', 'state', 'highways', 'texting', 'zone', 'thruway', 'transportation', 'recreation', 'transportation']","['safety', 'state', 'highways', 'texting', 'zone', 'thruway', 'transportation', 'recreation', 'transportation', 'Special', '""Texting', 'Zones""', 'locations', 'along', 'the', 'New', 'York', 'State', 'Thruway', 'and', 'State', 'Highways', 'that', 'give', 'motorists', 'a', 'pull', 'off', 'area', 'to', 'park', 'and', 'use', 'their', 'mobile', 'devices', 'Existing', 'Park', 'n', 'Ride', 'facilities', 'rest', 'stops', 'parking', 'areas', 'and', 'travel', 'plazas', 'along', 'the', 'Thruway', 'and', 'State', 'Highways', 'will', 'have', 'a', 'dual', 'function', 'as', 'a', 'texting', 'zone', 'A', 'total', 'of', '90', 'Texting', 'Zones', 'are', 'located', 'along', 'major', 'highways', 'across', 'the', 'state', 'New', 'York', 'State', 'Department', 'of', 'Transportation', '(NYSDOT)', 'in', 'coordination', 'with', 'the', 'Thruway', 'Authority', 'have', 'collaborated', 'to', 'provide', 'Texting', 'Zones', 'location', 'information', 'and', 'signage', 'to', 'inform', 'drivers']","[(2, 0.035166900518355443), (3, 0.16474694049854061), (5, 0.019625052633203327), (7, 0.089302720054503779), (9, 0.054943370977790361), (12, 0.014189535247283128), (21, 0.029057645867968305), (23, 0.014989161262537845), (28, 0.2020166764474837), (29, 0.076705742386430381), (32, 0.014189832229424781), (39, 0.0310139560995609), (42, 0.016041028166909166), (43, 0.18317449470117902), (45, 0.01422759022998093), (46, 0.031378583448078819)]","[(28, 0.2020166764474837), (43, 0.18317449470117902), (3, 0.1647469404985406), (7, 0.08930272005450378), (29, 0.07670574238643038), (9, 0.05494337097779036), (2, 0.03516690051835544), (46, 0.03137858344807882), (39, 0.0310139560995609), (21, 0.029057645867968305), (5, 0.019625052633203327), (42, 0.016041028166909166), (23, 0.014989161262537845), (45, 0.01422759022998093), (32, 0.01418983222942478), (12, 0.014189535247283128)]",28
10998,11167,11167,Arts For Transit - Metropolitan Transportation Authority (MTA) Permanent Art Catalogue,"['Through', 'the', 'Permanent', 'Art', 'Program', 'Arts', 'for', 'Transit', 'commissions', 'public', 'art', 'that', 'is', 'seen', 'by', 'millions', 'of', 'city', 'dwellers', 'as', 'well', 'as', 'national', 'and', 'international', 'visitors', 'who', 'use', 'the', 'MTA’s', 'subways', 'and', 'trains', 'Arts', 'for', 'Transit', 'works', 'closely', 'with', 'the', 'architects', 'and', 'engineers', 'at', 'MTA', 'NYC', 'Transit', 'Long', 'Island', 'Rail', 'Road', 'and', 'Metro', 'North', 'Railroad', 'to', 'determine', 'the', 'parameters', 'and', 'sites', 'for', 'the', 'artwork', 'that', 'is', 'to', 'be', 'incorporated', 'into', 'each', 'station', 'scheduled', 'for', 'renovation', 'Both', 'well', 'established', 'and', 'emerging', 'artists', 'contribute', 'to', 'the', 'growing', 'collection', 'of', 'works', 'created', 'in', 'the', 'materials', 'of', 'the', 'system', 'mosaic', 'ceramic', 'tile', 'bronze', 'steel', 'and', 'glass', 'Artists', 'are', 'chosen', 'through', 'a', 'competitive', 'process', 'that', 'uses', 'selection', 'panels', 'comprised', 'of', 'visual', 'arts', 'professionals', 'and', 'community', 'representatives', 'which', 'review', 'and', 'select', 'artists', 'This', 'data', 'provides', 'the', 'branch', 'or', 'station', 'and', 'the', 'artist', 'and', 'artwork', 'information']",MTA Headquarters,"['art_material', 'art_date', 'artist_first_name', 'station_name', 'line', 'art_description', 'art_title', 'artist_last_name', 'agency_name', 'art_image_link', 'agency']","['Art Material', 'Art Date', 'Artist First Name', 'Station Name', 'Line', 'Art Description', 'Art Title', 'Artist Last Name', 'Agency Name', 'Art Image Link', 'Agency']",dataset,"['transportation', 'education', 'infrastructure']",Transportation,"['arts for transit', 'permanent art program']",official,936.0,31.0,10.0,57096.0,15.8011273248,data.ny.gov,"['arts', 'for', 'transit', 'permanent', 'art', 'program', 'transportation', 'education', 'infrastructure', 'transportation']","['arts', 'for', 'transit', 'permanent', 'art', 'program', 'transportation', 'education', 'infrastructure', 'transportation', 'Through', 'the', 'Permanent', 'Art', 'Program', 'Arts', 'for', 'Transit', 'commissions', 'public', 'art', 'that', 'is', 'seen', 'by', 'millions', 'of', 'city', 'dwellers', 'as', 'well', 'as', 'national', 'and', 'international', 'visitors', 'who', 'use', 'the', 'MTA’s', 'subways', 'and', 'trains', 'Arts', 'for', 'Transit', 'works', 'closely', 'with', 'the', 'architects', 'and', 'engineers', 'at', 'MTA', 'NYC', 'Transit', 'Long', 'Island', 'Rail', 'Road', 'and', 'Metro', 'North', 'Railroad', 'to', 'determine', 'the', 'parameters', 'and', 'sites', 'for', 'the', 'artwork', 'that', 'is', 'to', 'be', 'incorporated', 'into', 'each', 'station', 'scheduled', 'for', 'renovation', 'Both', 'well', 'established', 'and', 'emerging', 'artists', 'contribute', 'to', 'the', 'growing', 'collection', 'of', 'works', 'created', 'in', 'the', 'materials', 'of', 'the', 'system', 'mosaic', 'ceramic', 'tile', 'bronze', 'steel', 'and', 'glass', 'Artists', 'are', 'chosen', 'through', 'a', 'competitive', 'process', 'that', 'uses', 'selection', 'panels', 'comprised', 'of', 'visual', 'arts', 'professionals', 'and', 'community', 'representatives', 'which', 'review', 'and', 'select', 'artists', 'This', 'data', 'provides', 'the', 'branch', 'or', 'station', 'and', 'the', 'artist', 'and', 'artwork', 'information']","[(0, 0.011246272671959188), (1, 0.025560956155957978), (2, 0.011404695045609868), (3, 0.066794083819045433), (4, 0.028335893104881254), (5, 0.034406969086308935), (7, 0.033132246411751963), (8, 0.011077734770590866), (10, 0.040146943792485318), (12, 0.01157777596175092), (13, 0.015082037343772642), (17, 0.012260602946194757), (19, 0.016494975472563723), (21, 0.014143310963798247), (22, 0.060559451530094691), (24, 0.064901520755326556), (25, 0.016244748069346098), (27, 0.02914794640501767), (28, 0.19994342361175879), (30, 0.014200638782234253), (31, 0.011566863104620483), (33, 0.012423007032475654), (34, 0.025954368426353475), (35, 0.049727396786790702), (36, 0.017060785760276476), (39, 0.015286019220552735), (44, 0.034431955175331701), (45, 0.034130001960129913), (50, 0.059857544492141188)]","[(28, 0.1999434236117588), (3, 0.06679408381904543), (24, 0.06490152075532656), (22, 0.06055945153009469), (50, 0.05985754449214119), (35, 0.0497273967867907), (10, 0.04014694379248532), (44, 0.0344319551753317), (5, 0.034406969086308935), (45, 0.03413000196012991), (7, 0.03313224641175196), (27, 0.02914794640501767), (4, 0.028335893104881254), (34, 0.025954368426353475), (1, 0.02556095615595798), (36, 0.017060785760276476), (19, 0.016494975472563723), (25, 0.016244748069346098), (39, 0.015286019220552735), (13, 0.015082037343772642), (30, 0.014200638782234253), (21, 0.014143310963798247), (33, 0.012423007032475654), (17, 0.012260602946194757), (12, 0.01157777596175092), (31, 0.011566863104620483), (2, 0.011404695045609868), (0, 0.011246272671959188), (8, 0.011077734770590866)]",28
11011,11180,11180,Texting Zone Locations,"['Special', '""Texting', 'Zones""', 'locations', 'along', 'the', 'New', 'York', 'State', 'Thruway', 'and', 'State', 'Highways', 'that', 'give', 'motorists', 'a', 'pull', 'off', 'area', 'to', 'park', 'and', 'use', 'their', 'mobile', 'devices', 'Existing', 'Park', 'n', 'Ride', 'facilities', 'rest', 'stops', 'parking', 'areas', 'and', 'travel', 'plazas', 'along', 'the', 'Thruway', 'and', 'State', 'Highways', 'will', 'have', 'a', 'dual', 'function', 'as', 'a', 'texting', 'zone', 'A', 'total', 'of', '90', 'Texting', 'Zones', 'are', 'located', 'along', 'major', 'highways', 'across', 'the', 'state', 'New', 'York', 'State', 'Department', 'of', 'Transportation', '(NYSDOT)', 'in', 'coordination', 'with', 'the', 'Thruway', 'Authority', 'have', 'collaborated', 'to', 'provide', 'Texting', 'Zones', 'location', 'information', 'and', 'signage', 'to', 'inform', 'drivers']",New York State Department of Transportation and New York State Thruway Authority,"['highway_name', 'county', 'facility_type', 'maintained_by', 'rm_milepost', 'latitude', 'longitude', 'facility_name', 'location']","['Highway Name', 'County', 'Facility Type', 'Maintained By', 'RM Milepost', 'Latitude', 'Longitude', 'Facility Name', 'Location']",dataset,"['transportation', 'recreation']",Transportation,"['safety', 'state highways', 'texting zone', 'thruway']",official,805.0,12.0,3.0,55660.0,15.7643792078,data.ny.gov,"['safety', 'state', 'highways', 'texting', 'zone', 'thruway', 'transportation', 'recreation', 'transportation']","['safety', 'state', 'highways', 'texting', 'zone', 'thruway', 'transportation', 'recreation', 'transportation', 'Special', '""Texting', 'Zones""', 'locations', 'along', 'the', 'New', 'York', 'State', 'Thruway', 'and', 'State', 'Highways', 'that', 'give', 'motorists', 'a', 'pull', 'off', 'area', 'to', 'park', 'and', 'use', 'their', 'mobile', 'devices', 'Existing', 'Park', 'n', 'Ride', 'facilities', 'rest', 'stops', 'parking', 'areas', 'and', 'travel', 'plazas', 'along', 'the', 'Thruway', 'and', 'State', 'Highways', 'will', 'have', 'a', 'dual', 'function', 'as', 'a', 'texting', 'zone', 'A', 'total', 'of', '90', 'Texting', 'Zones', 'are', 'located', 'along', 'major', 'highways', 'across', 'the', 'state', 'New', 'York', 'State', 'Department', 'of', 'Transportation', '(NYSDOT)', 'in', 'coordination', 'with', 'the', 'Thruway', 'Authority', 'have', 'collaborated', 'to', 'provide', 'Texting', 'Zones', 'location', 'information', 'and', 'signage', 'to', 'inform', 'drivers']","[(2, 0.035166954938650151), (3, 0.16475833018568103), (5, 0.019630300915453994), (7, 0.089303426587579809), (9, 0.054942267106194258), (12, 0.014189511037328364), (21, 0.029058075113013816), (23, 0.014989240715157826), (28, 0.20199835943717803), (29, 0.076706127960507284), (32, 0.014189750208852355), (39, 0.031014192714046748), (42, 0.016042520824300053), (43, 0.18317515952249858), (45, 0.014227629998301584), (46, 0.031377383504486767)]","[(28, 0.20199835943717803), (43, 0.18317515952249858), (3, 0.16475833018568103), (7, 0.08930342658757981), (29, 0.07670612796050728), (9, 0.05494226710619426), (2, 0.03516695493865015), (46, 0.03137738350448677), (39, 0.03101419271404675), (21, 0.029058075113013816), (5, 0.019630300915453994), (42, 0.016042520824300053), (23, 0.014989240715157826), (45, 0.014227629998301584), (32, 0.014189750208852355), (12, 0.014189511037328364)]",28
7231,7400,7400,CSC Renton Map,[],,"['phone', 'location', 'name', 'hours']","['Phone', 'Location', 'Name', 'Hours']",map,[],Operations,[],official,1134.0,57.0,10.0,51371.0,15.6486946209,data.kingcounty.gov,['operations'],['operations'],"[(28, 0.50961538461538503)]","[(28, 0.509615384615385)]",28
1949,1949,1949,CTA - System Information - Map Showing Bus Stop Shelters in Digital Sign Project,"['This', 'dataset', 'shows', 'CTA', 'Bus', 'Stop', 'shelters', 'which', 'are', 'slated', 'to', 'have', 'digital', 'signs', 'added', 'to', 'them', 'to', 'show', 'upcoming', 'arrivals', 'The', 'listing', 'is', 'subject', 'to', 'change']",,"['routes', 'ward', 'longitude', 'cta_stop_name', 'stop_id', 'direction', 'location', 'latitude']","['Routes', 'Ward', 'LONGITUDE', 'CTA Stop Name', 'Stop_ID', 'Direction', 'Location', 'LATITUDE']",map,['transportation'],Transportation,"['chicago transit authority', 'sustainability', 'bus', 'cta']",official,614.0,293.0,64.0,41763.0,15.349972274,data.cityofchicago.org,"['chicago', 'transit', 'authority', 'sustainability', 'bus', 'cta', 'transportation', 'transportation']","['chicago', 'transit', 'authority', 'sustainability', 'bus', 'cta', 'transportation', 'transportation', 'This', 'dataset', 'shows', 'CTA', 'Bus', 'Stop', 'shelters', 'which', 'are', 'slated', 'to', 'have', 'digital', 'signs', 'added', 'to', 'them', 'to', 'show', 'upcoming', 'arrivals', 'The', 'listing', 'is', 'subject', 'to', 'change']","[(12, 0.100018628033144), (28, 0.66746794871794823), (32, 0.15158393606941992), (41, 0.042467948717948685)]","[(28, 0.6674679487179482), (32, 0.15158393606941992), (12, 0.100018628033144), (41, 0.042467948717948685)]",28
1954,1954,1954,CTA - List of CTA Datasets,"['This', 'lists', 'datasets', 'published', 'by', 'CTA', 'in', 'the', 'City', 'of', 'Chicago', 'Data', 'Portal']",Chicago Transit Authority,"['link', 'description']","['Link', 'Description']",dataset,[],Transportation,"['chicago transit authority', 'public transit', 'cta']",official,1449.0,597.0,159.0,33804.0,15.0449490267,data.cityofchicago.org,"['chicago', 'transit', 'authority', 'public', 'transit', 'cta', 'transportation']","['chicago', 'transit', 'authority', 'public', 'transit', 'cta', 'transportation', 'This', 'lists', 'datasets', 'published', 'by', 'CTA', 'in', 'the', 'City', 'of', 'Chicago', 'Data', 'Portal']","[(18, 0.1418482575797913), (24, 0.21274372811388093), (26, 0.075184709453175472), (28, 0.42994505494505442), (32, 0.075717810347657191)]","[(28, 0.4299450549450544), (24, 0.21274372811388093), (18, 0.1418482575797913), (32, 0.07571781034765719), (26, 0.07518470945317547)]",28
7246,7415,7415,CSC Issaquah Map,[],,"['name', 'location_1']","['Name', 'Location 1']",map,[],Operations,[],official,1132.0,82.0,10.0,27184.0,14.7305232077,data.kingcounty.gov,['operations'],['operations'],"[(28, 0.50961538461538503)]","[(28, 0.509615384615385)]",28
