,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9378,9547,9547,HWP - Transporter,"['HWP', 'Transporter']",Department of Natural Resources,"['mailzip', 'phone', 'expires', 'mailcity', 'services', 'tran_id', 'website', 'state', 'company', 'epa_id', 'location_1']","['ZIP', 'Phone', 'EXPIRES', 'MailCity', 'Services', 'US DOT #', 'WEBSITE', 'STATE', 'COMPANY', 'EPA_ID', 'Location 1']",dataset,[],Natural Resources,[],official,735.0,8.0,4.0,157223.0,17.262461934,data.mo.gov,"['natural', 'resources']","['natural', 'resources', 'HWP', 'Transporter']","[(2, 0.20384615384615398), (13, 0.40384615384615413), (45, 0.20384615384615398)]","[(13, 0.40384615384615413), (2, 0.20384615384615398), (45, 0.20384615384615398)]",13
606,606,606,Ozone and PM2.5 Visualization,"['data', 'dating', 'back', 'to', '2010']",Salt Lake County Air Quality Bureau,"['days_over_ozone_standard', 'days_over_pm2_5_standard', 'month_year']","['Days over Ozone Standard', 'Days over PM2.5 Standard', 'Month/year']",chart,[],,"['ozone', 'inversion', 'air quality', 'pm2.5', 'dirty air']",official,600.0,21.0,0.0,155514.0,17.2466942148,dashboard.slco.org,"['ozone', 'inversion', 'air', 'quality', 'pm2.5', 'dirty', 'air']","['ozone', 'inversion', 'air', 'quality', 'pm2.5', 'dirty', 'air', 'data', 'dating', 'back', 'to', '2010']","[(9, 0.19223541385992066), (10, 0.10192307692307663), (11, 0.15064536229287773), (13, 0.25965285484024103), (14, 0.20515867669926599)]","[(13, 0.25965285484024103), (14, 0.205158676699266), (9, 0.19223541385992066), (11, 0.15064536229287773), (10, 0.10192307692307663)]",13
607,607,607,Air- Quality- PM2.5 and Ozone,"['data', 'dating', 'back', 'to', '2000']",Salt Lake County Air Quality Bureau,"['days_over_ozone_standard', 'days_over_pm2_5_standard', 'month_year']","['Days over Ozone Standard', 'Days over PM2.5 Standard', 'Month/year']",dataset,[],,"['pm2.5', 'air quality', 'inversion', 'dirty air', 'ozone']",official,622.0,12.0,1.0,154255.0,17.2349670805,dashboard.slco.org,"['pm2.5', 'air', 'quality', 'inversion', 'dirty', 'air', 'ozone']","['pm2.5', 'air', 'quality', 'inversion', 'dirty', 'air', 'ozone', 'data', 'dating', 'back', 'to', '2000']","[(9, 0.1923094063352204), (10, 0.1019230769230766), (11, 0.15141242379813835), (13, 0.25878720051000204), (14, 0.20518327704894443)]","[(13, 0.25878720051000204), (14, 0.20518327704894443), (9, 0.1923094063352204), (11, 0.15141242379813835), (10, 0.1019230769230766)]",13
10954,11123,11123,Farmers Markets in New York State Map,"['In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']",New York State Department of Agriculture and Markets,"['latitude', 'operation_season', 'zip', 'state', 'contact', 'city', 'address_line_1', 'phone', 'location', 'location_points', 'longitude', 'fca', 'fc', 'market_name', 'county', 'snap_status', 'fmnp', 'operation_months_code', 'market_link', 'operation_hours']","['Latitude', 'Operation Season', 'Zip', 'State', 'Contact', 'City', 'Address Line 1', 'Phone', 'Location', 'Location Points', 'Longitude', 'FCC Accepted', 'FCC Issued', 'Market Name', 'County', 'EBT/SNAP', 'FMNP', 'Operating Months', 'Market Link', 'Operation Hours']",map,"['public safety', 'environment', 'infrastructure']",Economic Development,['community farmers markets'],official,1348.0,905.0,204.0,150050.0,17.1950934081,data.ny.gov,"['community', 'farmers', 'markets', 'public', 'safety', 'environment', 'infrastructure', 'economic', 'development']","['community', 'farmers', 'markets', 'public', 'safety', 'environment', 'infrastructure', 'economic', 'development', 'In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']","[(6, 0.035291236954602179), (7, 0.034594850463089077), (10, 0.029468952114288821), (11, 0.038239521685417686), (13, 0.27116378322822315), (18, 0.030433025890890354), (21, 0.14431624946053037), (22, 0.029635169121394491), (43, 0.095320816019173846), (46, 0.1148844135984176), (48, 0.03126204594045736), (49, 0.1234119135454927)]","[(13, 0.27116378322822315), (21, 0.14431624946053037), (49, 0.1234119135454927), (46, 0.1148844135984176), (43, 0.09532081601917385), (11, 0.038239521685417686), (6, 0.03529123695460218), (7, 0.03459485046308908), (48, 0.03126204594045736), (18, 0.030433025890890354), (22, 0.02963516912139449), (10, 0.02946895211428882)]",13
10958,11127,11127,Retail Food Stores,"['A', 'listing', 'of', 'all', 'retail', 'food', 'stores', 'which', 'are', 'licensed', 'by', 'the', 'Department', 'of', 'Agriculture', 'and', 'Markets']",New York State Department of Agriculture and Markets,"['city', 'county', 'license_number', 'state', 'zip_code', 'square_footage', 'estab_type', 'operation_type', 'location', 'address_line_3', 'address_line_2', 'street_name', 'street_number', 'dba_name', 'entity_name']","['City', 'County', 'License Number', 'State', 'Zip Code', 'Square Footage', 'Establishment Type', 'Operation Type', 'Location', 'Address Line 3', 'Address Line 2', 'Street Name', 'Street Number', 'DBA Name', 'Entity Name']",dataset,"['demographics', 'economy', 'transportation']",Economic Development,"['license', 'food safety', 'retail food store']",official,7467.0,844.0,175.0,101469.0,16.6306937265,data.ny.gov,"['license', 'food', 'safety', 'retail', 'food', 'store', 'demographics', 'economy', 'transportation', 'economic', 'development']","['license', 'food', 'safety', 'retail', 'food', 'store', 'demographics', 'economy', 'transportation', 'economic', 'development', 'A', 'listing', 'of', 'all', 'retail', 'food', 'stores', 'which', 'are', 'licensed', 'by', 'the', 'Department', 'of', 'Agriculture', 'and', 'Markets']","[(3, 0.10443174852278274), (13, 0.29960985424259418), (22, 0.098182887946393751), (26, 0.061397714852170139), (27, 0.10798083262553937), (39, 0.054815495354874955), (48, 0.071511473131780884), (49, 0.15976230101617042)]","[(13, 0.2996098542425942), (49, 0.15976230101617042), (27, 0.10798083262553937), (3, 0.10443174852278274), (22, 0.09818288794639375), (48, 0.07151147313178088), (26, 0.06139771485217014), (39, 0.054815495354874955)]",13
10970,11139,11139,Farmers Markets in New York State,"['In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']",New York State Department of Agriculture and Markets,"['market_link', 'fmnp', 'operation_months_code', 'operation_season', 'operation_hours', 'snap_status', 'phone', 'contact', 'zip', 'state', 'city', 'address_line_1', 'location', 'market_name', 'county', 'location_points', 'longitude', 'latitude', 'fca', 'fc']","['Market Link', 'FMNP', 'Operating Months', 'Operation Season', 'Operation Hours', 'EBT/SNAP', 'Phone', 'Contact', 'Zip', 'State', 'City', 'Address Line 1', 'Location', 'Market Name', 'County', 'Location Points', 'Longitude', 'Latitude', 'FCC Accepted', 'FCC Issued']",dataset,"['public safety', 'environment', 'infrastructure']",Economic Development,['community farmers markets'],official,3153.0,678.0,125.0,71016.0,16.1158767968,data.ny.gov,"['community', 'farmers', 'markets', 'public', 'safety', 'environment', 'infrastructure', 'economic', 'development']","['community', 'farmers', 'markets', 'public', 'safety', 'environment', 'infrastructure', 'economic', 'development', 'In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']","[(6, 0.035285607976598785), (7, 0.034612850041957494), (10, 0.029468994464699041), (11, 0.038240594271009704), (13, 0.27117530816056012), (18, 0.030437031065410253), (21, 0.14417837275722376), (22, 0.029633988461122956), (43, 0.095324164078845655), (46, 0.11498735184528552), (48, 0.031262729734254792), (49, 0.12341498516500936)]","[(13, 0.2711753081605601), (21, 0.14417837275722376), (49, 0.12341498516500936), (46, 0.11498735184528552), (43, 0.09532416407884566), (11, 0.038240594271009704), (6, 0.035285607976598785), (7, 0.034612850041957494), (48, 0.03126272973425479), (18, 0.030437031065410253), (22, 0.029633988461122956), (10, 0.02946899446469904)]",13
10987,11156,11156,Summer-Fall Farmers Markets in New York State,"['In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']",New York State Department of Agriculture and Markets,"['city', 'fmnp', 'operation_months_code', 'operation_season', 'operation_hours', 'market_link', 'phone', 'contact', 'zip', 'state', 'address_line_1', 'location_points', 'longitude', 'county', 'latitude', 'location', 'market_name', 'fca', 'fc', 'snap_status']","['City', 'FMNP', 'Operating Months', 'Operation Season', 'Operation Hours', 'Market Link', 'Phone', 'Contact', 'Zip', 'State', 'Address Line 1', 'Location Points', 'Longitude', 'County', 'Latitude', 'Location', 'Market Name', 'FCC Accepted', 'FCC Issued', 'EBT/SNAP']",map,"['public safety', 'environment', 'infrastructure']",Economic Development,['community farmers markets'],official,204.0,99.0,37.0,59930.0,15.8710148263,data.ny.gov,"['community', 'farmers', 'markets', 'public', 'safety', 'environment', 'infrastructure', 'economic', 'development']","['community', 'farmers', 'markets', 'public', 'safety', 'environment', 'infrastructure', 'economic', 'development', 'In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']","[(6, 0.035292221153440433), (7, 0.034602407033553981), (10, 0.029469095350882733), (11, 0.038240491359848), (13, 0.27114937786635041), (18, 0.030438615197765844), (21, 0.14408321800883012), (22, 0.029632847172965951), (43, 0.095325607730422174), (46, 0.11507480749731884), (48, 0.031260679005522027), (49, 0.12345261064507707)]","[(13, 0.2711493778663504), (21, 0.14408321800883012), (49, 0.12345261064507707), (46, 0.11507480749731884), (43, 0.09532560773042217), (11, 0.038240491359848), (6, 0.03529222115344043), (7, 0.03460240703355398), (48, 0.03126067900552203), (18, 0.030438615197765844), (22, 0.02963284717296595), (10, 0.029469095350882733)]",13
10991,11160,11160,Winter Farmers Markets in New York State Map,"['In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']",New York State Department of Agriculture and Markets,"['fc', 'latitude', 'longitude', 'operation_months_code', 'snap_status', 'fca', 'location_points', 'market_link', 'phone', 'contact', 'zip', 'state', 'city', 'address_line_1', 'location', 'market_name', 'county', 'fmnp', 'operation_hours', 'operation_season']","['FCC Issued', 'Latitude', 'Longitude', 'Operating Months', 'EBT/SNAP', 'FCC Accepted', 'Location Points', 'Market Link', 'Phone', 'Contact', 'Zip', 'State', 'City', 'Address Line 1', 'Location', 'Market Name', 'County', 'FMNP', 'Operation Hours', 'Operation Season']",map,"['environment', 'public safety', 'infrastructure']",Economic Development,['community farmers markets'],official,329.0,37.0,13.0,59411.0,15.8584667347,data.ny.gov,"['community', 'farmers', 'markets', 'environment', 'public', 'safety', 'infrastructure', 'economic', 'development']","['community', 'farmers', 'markets', 'environment', 'public', 'safety', 'infrastructure', 'economic', 'development', 'In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']","[(6, 0.035292686836911356), (7, 0.034606175326924365), (10, 0.029469006377034583), (11, 0.038242422661501518), (13, 0.27115732707042584), (18, 0.030434909348186056), (21, 0.14424291186168395), (22, 0.029634682421698783), (43, 0.09532309749231746), (46, 0.11492983081942749), (48, 0.031262632912132084), (49, 0.12342629489373412)]","[(13, 0.27115732707042584), (21, 0.14424291186168395), (49, 0.12342629489373412), (46, 0.1149298308194275), (43, 0.09532309749231746), (11, 0.03824242266150152), (6, 0.035292686836911356), (7, 0.034606175326924365), (48, 0.031262632912132084), (18, 0.030434909348186056), (22, 0.029634682421698783), (10, 0.029469006377034583)]",13
9410,9579,9579,DNR-WPP-Chronic Violators,"['Listing', 'of', 'Chronic', 'Violators', 'for', 'DNR']",DNR Water Pollution Program,"['location_or_nearest_town', 'pws_id', 'months_of_major_monitoring_violations_feb_2015_to_jan_2016', 'recent_results_ending_jan_2016', 'population_served', 'county']","['Location or Nearest Town', 'PWS ID#', 'Months of Major Monitoring Violations (June 2016 to May 2017)', 'Recent Results', 'System Name:Population Served', 'County']",dataset,[],Natural Resources,[],official,348.0,82.0,19.0,58779.0,15.8430377385,data.mo.gov,"['natural', 'resources']","['natural', 'resources', 'Listing', 'of', 'Chronic', 'Violators', 'for', 'DNR']","[(5, 0.14560439560439567), (8, 0.14560439560439567), (10, 0.14560439560439567), (13, 0.2884615384615386), (22, 0.14560439560439567)]","[(13, 0.2884615384615386), (5, 0.14560439560439567), (8, 0.14560439560439567), (10, 0.14560439560439567), (22, 0.14560439560439567)]",13
10994,11163,11163,Spring Farmers Markets in New York State,"['In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']",New York State Department of Agriculture and Markets,"['contact', 'zip', 'county', 'city', 'location', 'state', 'market_name', 'fc', 'snap_status', 'fmnp', 'operation_months_code', 'operation_season', 'fca', 'latitude', 'longitude', 'location_points', 'operation_hours', 'market_link', 'phone', 'address_line_1']","['Contact', 'Zip', 'County', 'City', 'Location', 'State', 'Market Name', 'FCC Issued', 'EBT/SNAP', 'FMNP', 'Operating Months', 'Operation Season', 'FCC Accepted', 'Latitude', 'Longitude', 'Location Points', 'Operation Hours', 'Market Link', 'Phone', 'Address Line 1']",map,"['public safety', 'environment', 'infrastructure']",Economic Development,['community farmers markets'],official,242.0,42.0,13.0,57682.0,15.8158585783,data.ny.gov,"['community', 'farmers', 'markets', 'public', 'safety', 'environment', 'infrastructure', 'economic', 'development']","['community', 'farmers', 'markets', 'public', 'safety', 'environment', 'infrastructure', 'economic', 'development', 'In', 'the', 'past', 'decade', 'the', 'number', 'of', 'farmers', 'markets', 'in', 'New', 'York', 'State', 'has', 'grown', 'at', 'a', 'rapid', 'rate', 'The', 'dataset', 'contains', 'information', 'detailing', 'the', 'time', 'and', 'location', 'of', 'community', 'farmers', 'markets', 'as', 'well', 'as', 'the', 'name', 'and', 'phone', 'number', 'of', 'the', 'market', 'manager']","[(6, 0.035290056938795659), (7, 0.034604607277537627), (10, 0.029469101716199653), (11, 0.038239620006353045), (13, 0.2711530890909532), (18, 0.030439489551896633), (21, 0.14404981246270337), (22, 0.029632496099813919), (43, 0.095325977139943591), (46, 0.1151031465154022), (48, 0.031260479464134273), (49, 0.12345410175824417)]","[(13, 0.2711530890909532), (21, 0.14404981246270337), (49, 0.12345410175824417), (46, 0.1151031465154022), (43, 0.09532597713994359), (11, 0.038239620006353045), (6, 0.03529005693879566), (7, 0.03460460727753763), (48, 0.03126047946413427), (18, 0.030439489551896633), (22, 0.02963249609981392), (10, 0.029469101716199653)]",13
