,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
13206,13375,13375,Road Weather Information Stations,"['This', 'data', 'is', 'derived', 'from', 'sensor', 'stations', 'placed', 'on', 'bridges', 'and', 'surface', 'streets', 'within', 'city', 'limits', 'Each', 'station', 'has', 'a', 'temperature', 'sensor', 'that', 'measures', 'the', 'temperature', 'of', 'the', 'street', 'surface', 'and', 'a', 'sensor', 'that', 'measures', 'the', 'ambient', 'air', 'temperature', 'at', 'the', 'station', 'each', 'second', 'Those', 'values', 'are', 'averaged', 'into', 'temperature', 'readings', 'that', 'are', 'recorded', 'by', 'the', 'station', 'every', 'minute', 'The', 'dataset', 'is', 'updated', 'every', 'fifteen', 'minutes', 'with', 'new', 'data']",Department of Transportation,"['stationname', 'datetime', 'stationlocation', 'roadsurfacetemperature', 'recordid', 'airtemperature']","['StationName', 'DateTime', 'StationLocation', 'RoadSurfaceTemperature', 'RecordId', 'AirTemperature']",dataset,[],Transportation,"['road', 'transportation', 'seattle', 'temperature', 'street', 'weather']",official,,137.0,34.0,189687.0,17.5332688886,data.seattle.gov,"['road', 'transportation', 'seattle', 'temperature', 'street', 'weather', 'transportation']","['road', 'transportation', 'seattle', 'temperature', 'street', 'weather', 'transportation', 'This', 'data', 'is', 'derived', 'from', 'sensor', 'stations', 'placed', 'on', 'bridges', 'and', 'surface', 'streets', 'within', 'city', 'limits', 'Each', 'station', 'has', 'a', 'temperature', 'sensor', 'that', 'measures', 'the', 'temperature', 'of', 'the', 'street', 'surface', 'and', 'a', 'sensor', 'that', 'measures', 'the', 'ambient', 'air', 'temperature', 'at', 'the', 'station', 'each', 'second', 'Those', 'values', 'are', 'averaged', 'into', 'temperature', 'readings', 'that', 'are', 'recorded', 'by', 'the', 'station', 'every', 'minute', 'The', 'dataset', 'is', 'updated', 'every', 'fifteen', 'minutes', 'with', 'new', 'data']","[(1, 0.022649572649572659), (3, 0.18856432428181585), (6, 0.20353718176319258), (10, 0.067094017094017119), (11, 0.023132033957291444), (20, 0.064430004123922455), (27, 0.05162664232481827), (32, 0.022649572649572656), (35, 0.075099591171969932), (36, 0.025449565558502231), (39, 0.067094017094017119), (44, 0.12700583630766044), (49, 0.022649572649572659), (50, 0.022778752134758693)]","[(6, 0.20353718176319258), (3, 0.18856432428181585), (44, 0.12700583630766044), (35, 0.07509959117196993), (10, 0.06709401709401712), (39, 0.06709401709401712), (20, 0.06443000412392245), (27, 0.05162664232481827), (36, 0.02544956555850223), (11, 0.023132033957291444), (50, 0.022778752134758693), (1, 0.02264957264957266), (49, 0.02264957264957266), (32, 0.022649572649572656)]",6
7480,7649,7649,2014 Registered Foreclosure Properties,"['The', '2014', 'Foreclosure', 'Properties', 'registered', 'at', 'HCIDLA', 'between', '1/1/2014', 'and', '12/31/2014']",,"['lendercontact', 'zip_code', 'property_location', 'propmgmt_address', 'propertycontactphone', 'lender', 'propertymanagement', 'cd', 'lendercontactphone', 'registereddate', 'property_type', 'apn', 'propertymgmtcontact']","['Lender Contact', 'Zip Code', 'Property Location', 'Property Management Address', 'Property Contact Phone', 'Lender', 'Property Management', 'Council District', 'Lender Contact Phone', 'Registered Date', 'Property Type', 'APN', 'Property Management Contact']",dataset,"['economy', 'finance']",A Well Run City,"['hcidla', '2014', 'foreclosure']",official,1564.0,835.0,250.0,94593.0,16.5294610574,data.lacity.org,"['hcidla', '2014', 'foreclosure', 'economy', 'finance', 'a', 'well', 'run', 'city']","['hcidla', '2014', 'foreclosure', 'economy', 'finance', 'a', 'well', 'run', 'city', 'The', '2014', 'Foreclosure', 'Properties', 'registered', 'at', 'HCIDLA', 'between', '1/1/2014', 'and', '12/31/2014']","[(6, 0.36641202866950218), (12, 0.087641468918564322), (21, 0.073257201090063701), (33, 0.16115315047748588), (37, 0.17554713985537218), (46, 0.072802197802197738)]","[(6, 0.3664120286695022), (37, 0.17554713985537218), (33, 0.16115315047748588), (12, 0.08764146891856432), (21, 0.0732572010900637), (46, 0.07280219780219774)]",6
1798,1798,1798,Property Assessment 2014,"['assessment', 'for', 'all', 'property', 'for', 'the', 'year', '2014']",Assessing,"['cm_id', 'num_floors', 'structure_class', 'gross_area', 'living_area', 'yr_built', 'yr_remod', 'gross_tax', 'land_sf', 'av_bldg', 'av_total', 'owner_mail_zipcode', 'av_land', 'owner_mail_address', 'owner_mail_cs', 'own_occ', 'owner', 'lu', 'ptype', 'full_address', 'zipcode', 'unit_num', 'st_name_suf', 'r_ext_fin', 'r_total_rms', 'r_bldg_styl', 'r_half_bth', 'r_kitch', 'r_bdrms', 'r_full_bth', 'r_roof_typ', 'r_fplace', 's_num_bldg', 'r_heat_typ', 's_unit_com', 's_unit_rc', 's_bldg_styl', 's_unit_res', 'r_ac', 'u_base_floor', 's_ext_fin', 'u_corner', 'u_full_bth', 'u_bdrms', 'u_tot_rms', 'u_orient', 'u_ac', 'u_heat_typ', 'u_kit_type', 'u_half_bth', 'location', 'u_fplace', 'st_name', 'st_num', 'parcel_id']","['CM_ID', 'NUM_FLOORS', 'STRUCTURE_CLASS', 'GROSS_AREA', 'LIVING_AREA', 'YR_BUILT', 'YR_REMOD', 'GROSS_TAX', 'LAND_SF', 'AV_BLDG', 'AV_TOTAL', 'Owner_MAIL_ZIPCODE', 'AV_LAND', 'Owner_MAIL_ADDRESS', 'Owner_MAIL_CS', 'OWN_OCC', 'OWNER', 'LU', 'PTYPE', 'full_address', 'ZIPCODE', 'UNIT_NUM', 'ST_NAME_SUF', 'R_EXT_FIN', 'R_TOTAL_RMS', 'R_BLDG_STYL', 'R_HALF_BTH', 'R_KITCH', 'R_BDRMS', 'R_FULL_BTH', 'R_ROOF_TYP', 'R_FPLACE', 'S_NUM_BLDG', 'R_HEAT_TYP', 'S_UNIT_COM', 'S_UNIT_RC', 'S_BLDG_STYL', 'S_UNIT_RES', 'R_AC', 'U_BASE_FLOOR', 'S_EXT_FIN', 'U_CORNER', 'U_FULL_BTH', 'U_BDRMS', 'U_TOT_RMS', 'U_ORIENT', 'U_AC', 'U_HEAT_TYP', 'U_KIT_TYPE', 'U_HALF_BTH', 'Location', 'U_FPLACE', 'ST_NAME', 'ST_NUM', 'Parcel_ID']",dataset,"['infrastructure', 'housing & development']",,"['2014', 'property', 'taxes', 'assessing', 'assessment']",official,3166.0,48.0,17.0,39255.0,15.2606255561,data.cityofboston.gov,"['2014', 'property', 'taxes', 'assessing', 'assessment', 'infrastructure', 'housing', '&', 'development']","['2014', 'property', 'taxes', 'assessing', 'assessment', 'infrastructure', 'housing', '&', 'development', 'assessment', 'for', 'all', 'property', 'for', 'the', 'year', '2014']","[(4, 0.12640275883568083), (6, 0.39222038743268284), (25, 0.15218421176964891), (49, 0.24527655804590262)]","[(6, 0.39222038743268284), (49, 0.24527655804590262), (25, 0.1521842117696489), (4, 0.12640275883568083)]",6
7493,7662,7662,2014 Registered Foreclosure Properties,"['The', '2014', 'Foreclosure', 'Properties', 'registered', 'at', 'HCIDLA', 'between', '1/1/2014', 'and', '12/31/2014']",,"['propertycontactphone', 'registereddate', 'propertymanagement', 'cd', 'lendercontact', 'lender', 'propmgmt_address', 'apn', 'propertymgmtcontact', 'lendercontactphone', 'property_location', 'property_type', 'zip_code']","['Property Contact Phone', 'Registered Date', 'Property Management', 'Council District', 'Lender Contact', 'Lender', 'Property Management Address', 'APN', 'Property Management Contact', 'Lender Contact Phone', 'Property Location', 'Property Type', 'Zip Code']",map,"['economy', 'finance']",A Well Run City,"['hcidla', '2014', 'foreclosure']",official,209.0,108.0,65.0,26545.0,14.696206869,data.lacity.org,"['hcidla', '2014', 'foreclosure', 'economy', 'finance', 'a', 'well', 'run', 'city']","['hcidla', '2014', 'foreclosure', 'economy', 'finance', 'a', 'well', 'run', 'city', 'The', '2014', 'Foreclosure', 'Properties', 'registered', 'at', 'HCIDLA', 'between', '1/1/2014', 'and', '12/31/2014']","[(6, 0.36647587489656902), (12, 0.087612036254151746), (21, 0.073258003224832613), (33, 0.16114016778731091), (37, 0.17552490684812402), (46, 0.072802197802197738)]","[(6, 0.366475874896569), (37, 0.17552490684812402), (33, 0.1611401677873109), (12, 0.08761203625415175), (21, 0.07325800322483261), (46, 0.07280219780219774)]",6
12068,12237,12237,2013 Residential Assessment,"['Residential', 'Property', 'Assessment', 'details', 'for', '2013', 'and', '2010']",City of Providence,"['strt_index', 'change_in_assessment', 'dwelling_type', '_12_31_2009_assessment', '_12_31_12_assessment', 'lot', 'plat', 'unit', 'location_1']","['Neighborhood code', 'Change in Assessment', 'Dwelling Type', '12/31/2009 Assessment', '12/31/12  Assessment', 'Lot', 'Plat', 'Unit', 'Address']",dataset,"['infrastructure', 'housing & development']",Finance,"['assessment', 'property value']",official,452.0,7.0,4.0,23828.0,14.5404307887,data.providenceri.gov,"['assessment', 'property', 'value', 'infrastructure', 'housing', '&', 'development', 'finance']","['assessment', 'property', 'value', 'infrastructure', 'housing', '&', 'development', 'finance', 'Residential', 'Property', 'Assessment', 'details', 'for', '2013', 'and', '2010']","[(6, 0.51210482061452434), (12, 0.082280933499642508), (40, 0.087590861372152301), (49, 0.24110030759060352)]","[(6, 0.5121048206145243), (49, 0.24110030759060352), (40, 0.0875908613721523), (12, 0.08228093349964251)]",6
7258,7427,7427,Assessor,"['King', 'County', ""Assessor's"", 'data', 'is', 'at', 'http', '//info', 'kingcounty', 'gov/assessor/DataDownload/']",King County,"['assessor_data_portal', 'king_county_assessor_data_is_stored_on_another_site']","['Assessor data portal', 'KIng County Assessor data is stored on another site']",dataset,[],Property,"['tax', 'value', 'property', 'assessment', 'assessor']",official,1007.0,1450.0,228.0,15816.0,13.9491883703,data.kingcounty.gov,"['tax', 'value', 'property', 'assessment', 'assessor', 'property']","['tax', 'value', 'property', 'assessment', 'assessor', 'property', 'King', 'County', ""Assessor's"", 'data', 'is', 'at', 'http', '//info', 'kingcounty', 'gov/assessor/DataDownload/']","[(1, 0.081016380691022613), (2, 0.22511927994526598), (6, 0.30638079343520153), (25, 0.16113735853868263), (27, 0.15681956017088977)]","[(6, 0.3063807934352015), (2, 0.22511927994526598), (25, 0.16113735853868263), (27, 0.15681956017088977), (1, 0.08101638069102261)]",6
12070,12239,12239,2014 Property Tax Roll,"['This', 'dataset', 'contains', 'the', '2014', 'tax', 'roll', 'for', 'the', 'City', 'of', 'Providence', 'used', 'for', 'collections', 'in', 'FY2015', 'Property', 'taxes', 'are', 'collected', 'from', 'July', '1', '2014', 'to', 'June', '30', '2015', 'Ownership', 'data', 'is', 'recorded', 'as', 'of', '12/31/2013']",City of Providence Tax Assessor,"['owner_add_street', 'total_taxes', 'lot', 'owner_add_numb', 'plat', 'class', 'owner_add_unit', 'plat_lot_unit', 'owner_add_city', 'owner_first', 'levy_desc', 'location_street', 'location_city', 'company', 'location_zip', 'formattedaddress', 'owner_last', 'location_number', 'levy_code', 'owner_add_suffix', 'location_suffix', 'owneraddress', 'owner_add_zip', 'owner_add_state', 'total_exemptions', 'total_assessment', 'propertylocation', 'ownerlocation', 'class_desc', 'unit']","['Owner_Add_Street', 'Total_Taxes', 'Lot', 'Owner_Add_Numb', 'Plat', 'Class', 'Owner_Add_Unit', 'Plat-Lot-Unit', 'Owner_Add_City', 'Owner_First', 'Levy Desc.', 'Location_Street', 'Location_City', 'Company', 'Location_Zip', 'FormattedAddress', 'Owner_Last', 'Location_Number', 'Levy_Code', 'Owner_Add_Suffix', 'Location_Suffix', 'OwnerAddress', 'Owner_Add_Zip', 'Owner_Add_State', 'Total_Exemptions', 'Total_Assessment', 'PropertyLocation', 'OwnerLocation', 'Class Desc.', 'Unit']",dataset,"['housing & development', 'health', 'finance']",Finance,"['property', 'real estate', 'tax']",official,469.0,23.0,6.0,14157.0,13.7893298601,data.providenceri.gov,"['property', 'real', 'estate', 'tax', 'housing', '&', 'development', 'health', 'finance', 'finance']","['property', 'real', 'estate', 'tax', 'housing', '&', 'development', 'health', 'finance', 'finance', 'This', 'dataset', 'contains', 'the', '2014', 'tax', 'roll', 'for', 'the', 'City', 'of', 'Providence', 'used', 'for', 'collections', 'in', 'FY2015', 'Property', 'taxes', 'are', 'collected', 'from', 'July', '1', '2014', 'to', 'June', '30', '2015', 'Ownership', 'data', 'is', 'recorded', 'as', 'of', '12/31/2013']","[(2, 0.077662721893491021), (6, 0.23240996059070909), (13, 0.077662721893491049), (15, 0.05177769968221408), (25, 0.1557379489380501), (27, 0.10900837013076174), (35, 0.054256192900933309), (40, 0.13201692834904671), (49, 0.077662721893491021)]","[(6, 0.2324099605907091), (25, 0.1557379489380501), (40, 0.1320169283490467), (27, 0.10900837013076174), (13, 0.07766272189349105), (2, 0.07766272189349102), (49, 0.07766272189349102), (35, 0.05425619290093331), (15, 0.05177769968221408)]",6
1806,1806,1806,Property Assessment 2016,"['Tax', 'assessment', 'of', 'property', 'for', 'year', '2016']",Assessing Department,"['st_num', 'unit_num', 'zipcode', 'mail_addressee', 'u_view', 'mail_address', 'av_total', 'mail_zipcode', 'mail_cs', 's_ext_fin', 'u_corner', 'r_int_fin', 's_unit_res', 'yr_remod', 'u_num_park', 'r_bdrms', 'r_half_bth', 'r_bth_style', 'u_int_fin', 'r_view', 'pid', 'r_kitch_style', 'r_bth_style3', 'r_ext_cnd', 'u_bth_style3', 'u_bdrms', 'u_ac', 'u_kitch_style', 'u_full_bth', 'u_tot_rms', 'u_orient', 'u_bth_style', 'u_half_bth', 's_unit_rc', 'av_bldg', 'living_area', 'lu', 's_unit_com', 'r_total_rms', 'cm_id', 'r_roof_typ', 'st_name', 'land_sf', 'r_ext_fin', 'r_kitch', 'r_heat_typ', 'r_int_cnd', 's_num_bldg', 'owner', 'u_bth_style2', 'u_heat_typ', 'u_fplace', 'r_kitch_style3', 'r_ac', 'u_kitch_type', 'u_base_floor', 'st_name_suf', 'ptype', 'r_fplace', 'own_occ', 'latitude', 'r_ovrall_cnd', 's_bldg_styl', 'r_kitch_style2', 'structure_class', 's_ext_cnd', 'longitude', 'r_full_bth', 'gis_id', 'u_int_cnd', 'av_land', 'gross_tax', 'yr_built', 'gross_area', 'r_bldg_styl', 'num_floors', 'r_bth_style2']","['ST_NUM', 'UNIT_NUM', 'ZIPCODE', 'MAIL_ADDRESSEE', 'U_VIEW', 'MAIL_ADDRESS', 'AV_TOTAL', 'MAIL_ZIPCODE', 'MAIL CS', 'S_EXT_FIN', 'U_CORNER', 'R_INT_FIN', 'S_UNIT_RES', 'YR_REMOD', 'U_NUM_PARK', 'R_BDRMS', 'R_HALF_BTH', 'R_BTH_STYLE', 'U_INT_FIN', 'R_VIEW', 'PID', 'R_KITCH_STYLE', 'R_BTH_STYLE3', 'R_EXT_CND', 'U_BTH_STYLE3', 'U_BDRMS', 'U_AC', 'U_KITCH_STYLE', 'U_FULL_BTH', 'U_TOT_RMS', 'U_ORIENT', 'U_BTH_STYLE', 'U_HALF_BTH', 'S_UNIT_RC', 'AV_BLDG', 'LIVING_AREA', 'LU', 'S_UNIT_COM', 'R_TOTAL_RMS', 'CM_ID', 'R_ROOF_TYP', 'ST_NAME', 'LAND_SF', 'R_EXT_FIN', 'R_KITCH', 'R_HEAT_TYP', 'R_INT_CND', 'S_NUM_BLDG', 'OWNER', 'U_BTH_STYLE2', 'U_HEAT_TYP', 'U_FPLACE', 'R_KITCH_STYLE3', 'R_AC', 'U_KITCH_TYPE', 'U_BASE_FLOOR', 'ST_NAME_SUF', 'PTYPE', 'R_FPLACE', 'OWN_OCC', 'LATITUDE', 'R_OVRALL_CND', 'S_BLDG_STYL', 'R_KITCH_STYLE2', 'STRUCTURE_CLASS', 'S_EXT_CND', 'LONGITUDE', 'R_FULL_BTH', 'GIS_ID', 'U_INT_CND', 'AV_LAND', 'GROSS_TAX', 'YR_BUILT', 'GROSS_AREA', 'R_BLDG_STYL', 'NUM_FLOORS', 'R_BTH_STYLE2']",dataset,"['infrastructure', 'housing & development']",Permitting,"['assessing', 'property', 'tax']",official,1456.0,51.0,10.0,12279.0,13.5840229403,data.cityofboston.gov,"['assessing', 'property', 'tax', 'infrastructure', 'housing', '&', 'development', 'permitting']","['assessing', 'property', 'tax', 'infrastructure', 'housing', '&', 'development', 'permitting', 'Tax', 'assessment', 'of', 'property', 'for', 'year', '2016']","[(4, 0.11587165018487869), (6, 0.26877306955812974), (25, 0.23490940547276981), (37, 0.079062101362925116), (49, 0.22606326060078274)]","[(6, 0.26877306955812974), (25, 0.2349094054727698), (49, 0.22606326060078274), (4, 0.11587165018487869), (37, 0.07906210136292512)]",6
1808,1808,1808,Property Assessment 2015,"['tax', 'assessment', 'of', 'property', 'for', 'year', '2015']",Assessing Department,"['r_heat_typ', 's_num_bldg', 's_unit_res', 's_unit_rc', 's_unit_com', 's_ext_fin', 'st_name', 'cm_id', 'u_base_floor', 'st_num', 'pid', 'owner_mail_zipcode', 'u_full_bth', 'u_bdrms', 'owner_mail_address', 'av_land', 'gross_tax', 'owner_mail_cs', 'land_sf', 'av_bldg', 'zipcode', 'full_address', 'unit_num', 'owner', 'av_total', 'lu', 'location', 'u_ac', 'st_name_suf', 'own_occ', 'ptype', 'u_tot_rms', 'u_fplace', 'u_heat_typ', 'u_corner', 'r_bldg_styl', 'u_orient', 'u_num_park', 'r_roof_typ', 'structure_class', 'num_floors', 'gross_area', 'living_area', 'yr_built', 'yr_remod', 'r_ac', 'r_kitch', 'r_full_bth', 's_bldg_styl', 'r_half_bth', 'r_bdrms', 'r_ext_fin', 'r_total_rms', 'u_kit_type', 'u_half_bth', 'r_fplace']","['R_HEAT_TYP', 'S_NUM_BLDG', 'S_UNIT_RES', 'S_UNIT_RC', 'S_UNIT_COM', 'S_EXT_FIN', 'ST_NAME', 'CM_ID', 'U_BASE_FLOOR', 'ST_NUM', 'PID', 'OWNER_MAIL_ZIPCODE', 'U_FULL_BTH', 'U_BDRMS', 'OWNER_MAIL_ADDRESS', 'AV_LAND', 'GROSS_TAX', 'OWNER_MAIL_CS', 'LAND_SF', 'AV_BLDG', 'ZIPCODE', 'full_address', 'UNIT_NUM', 'OWNER', 'AV_TOTAL', 'LU', 'Location', 'U_AC', 'ST_NAME_SUF', 'OWN_OCC', 'PTYPE', 'U_TOT_RMS', 'U_FPLACE', 'U_HEAT_TYP', 'U_CORNER', 'R_BLDG_STYL', 'U_ORIENT', 'U_NUM_PARK', 'R_ROOF_TYP', 'STRUCTURE_CLASS', 'NUM_FLOORS', 'GROSS_AREA', 'LIVING_AREA', 'YR_BUILT', 'YR_REMOD', 'R_AC', 'R_KITCH', 'R_FULL_BTH', 'S_BLDG_STYL', 'R_HALF_BTH', 'R_BDRMS', 'R_EXT_FIN', 'R_TOTAL_RMS', 'U_KIT_TYPE', 'U_HALF_BTH', 'R_FPLACE']",dataset,"['infrastructure', 'housing & development']",Permitting,"['assesing', 'property', 'tax']",official,1722.0,16.0,1.0,10097.0,13.3017819621,data.cityofboston.gov,"['assesing', 'property', 'tax', 'infrastructure', 'housing', '&', 'development', 'permitting']","['assesing', 'property', 'tax', 'infrastructure', 'housing', '&', 'development', 'permitting', 'tax', 'assessment', 'of', 'property', 'for', 'year', '2015']","[(0, 0.084935897435897384), (6, 0.26965425845825275), (25, 0.25290997639770879), (37, 0.09239533584245245), (49, 0.22478401904517525)]","[(6, 0.26965425845825275), (25, 0.2529099763977088), (49, 0.22478401904517525), (37, 0.09239533584245245), (0, 0.08493589743589738)]",6
3055,3055,3055,Property Valuation and Assessment Data,"['Property', 'valuation', 'and', 'assessment', 'data', '(Condensed', 'Assessed', 'Value', 'Roll)']",Department of Finance (DOF),[],[],file,['infrastructure'],Housing & Development,"['finance', 'value', 'condense', 'valuation', 'assessment', 'tax', 'roll', 'property', 'assess', 'condensed']",official,3663.0,166.0,43.0,7568.0,12.8858869917,data.cityofnewyork.us,"['finance', 'value', 'condense', 'valuation', 'assessment', 'tax', 'roll', 'property', 'assess', 'condensed', 'infrastructure', 'housing', '&', 'development']","['finance', 'value', 'condense', 'valuation', 'assessment', 'tax', 'roll', 'property', 'assess', 'condensed', 'infrastructure', 'housing', '&', 'development', 'Property', 'valuation', 'and', 'assessment', 'data', '(Condensed', 'Assessed', 'Value', 'Roll)']","[(6, 0.69975682251878923), (10, 0.048534798534798453), (25, 0.048568039865942381), (40, 0.048534798534798453), (49, 0.11156524750537684)]","[(6, 0.6997568225187892), (49, 0.11156524750537684), (25, 0.04856803986594238), (10, 0.04853479853479845), (40, 0.04853479853479845)]",6
