,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9361,9530,9530,Child Support Lien List,[],Missouri Department of Revenue,"['child_support_lien_date', 'vin_number', 'make', 'year', 'lien_satisfaction_date']","['Child Support Lien Date', 'VIN Number', 'Make', 'Year', 'Lien Satisfaction Date']",dataset,[],Revenue,"['child support', 'lien']",official,1311.0,4231.0,1032.0,470257.0,18.8430929614,data.mo.gov,"['child', 'support', 'lien', 'revenue']","['child', 'support', 'lien', 'revenue']","[(17, 0.20384615384615395), (20, 0.20384615384615395), (25, 0.20384615384615395), (47, 0.20384615384615395)]","[(17, 0.20384615384615395), (20, 0.20384615384615395), (25, 0.20384615384615395), (47, 0.20384615384615395)]",17
18304,18473,18473,Animal Licenses,"['Active', 'Animal', 'Licenses', '(Cat', 'Dog', 'Service', 'Animal)']","Department of Inspections, Licenses & Permits","['dog_or_cat', 'owner_city', 'issue_renewal_date', 'owner_zip', 'application_status', 'tracking_number']","['DOG_OR_CAT', 'OWNER_CITY', 'ISSUE/RENEWAL_DATE', 'OWNER_ZIP', 'APPLICATION_STATUS', 'TRACKING_NUMBER']",dataset,"['social services', 'environment', 'public safety']",Licenses and Permits,"['service animal', 'dog', 'cat', 'license', 'animal', 'animal license']",official,187.0,42.0,3.0,151477.0,17.2087487527,opendata.howardcountymd.gov,"['service', 'animal', 'dog', 'cat', 'license', 'animal', 'animal', 'license', 'social', 'services', 'environment', 'public', 'safety', 'licenses', 'and', 'permits']","['service', 'animal', 'dog', 'cat', 'license', 'animal', 'animal', 'license', 'social', 'services', 'environment', 'public', 'safety', 'licenses', 'and', 'permits', 'Active', 'Animal', 'Licenses', '(Cat', 'Dog', 'Service', 'Animal)']","[(3, 0.045350069802788932), (17, 0.39147870157501335), (26, 0.0770668676173345), (37, 0.04431438127090296), (39, 0.045144282349280397), (41, 0.091692100211941588), (43, 0.04431438127090296), (48, 0.2238499182429714)]","[(17, 0.39147870157501335), (48, 0.2238499182429714), (41, 0.09169210021194159), (26, 0.0770668676173345), (3, 0.04535006980278893), (39, 0.0451442823492804), (37, 0.04431438127090296), (43, 0.04431438127090296)]",17
609,609,609,Animal Live Release Rate of Dogs and Cats,"['Percent', 'of', 'dogs', 'and', 'cats', 'at', 'Salt', 'Lake', 'County', 'Animal', 'Services', 'returned', 'to', 'owner', 'or', 'adopted']",Salt Lake County Animal Services,"['live_release_rate', 'date']","['LIVE RELEASE RATE', 'DATE']",dataset,"['environment', 'social services', 'public safety']",,"['shelter', 'release', 'cat', 'dog', 'animal', 'animal services']",official,754.0,9.0,3.0,78756.0,16.2651205369,dashboard.slco.org,"['shelter', 'release', 'cat', 'dog', 'animal', 'animal', 'services', 'environment', 'social', 'services', 'public', 'safety']","['shelter', 'release', 'cat', 'dog', 'animal', 'animal', 'services', 'environment', 'social', 'services', 'public', 'safety', 'Percent', 'of', 'dogs', 'and', 'cats', 'at', 'Salt', 'Lake', 'County', 'Animal', 'Services', 'returned', 'to', 'owner', 'or', 'adopted']","[(0, 0.1058245283881334), (9, 0.049988490965192547), (12, 0.042467948717948678), (17, 0.29609004831084945), (18, 0.084134615384615308), (21, 0.064015251623407959), (26, 0.079024409077166569), (30, 0.037782131472810183), (39, 0.15830902605049196), (43, 0.048709703855536857)]","[(17, 0.29609004831084945), (39, 0.15830902605049196), (0, 0.1058245283881334), (18, 0.08413461538461531), (26, 0.07902440907716657), (21, 0.06401525162340796), (9, 0.04998849096519255), (43, 0.04870970385553686), (12, 0.04246794871794868), (30, 0.03778213147281018)]",17
10986,11155,11155,Local Mental Health Programs,"['Includes', 'programs', 'that', 'are', 'licensed', 'by', 'the', 'Office', 'of', 'Mental', 'Health', '(OMH)', 'and', 'programs', 'that', 'are', 'funded', 'by', 'OMH', 'but', 'do', 'not', 'need', 'a', 'license', 'to', 'operate']",New York State Office of Mental Health,"['program_type_description', 'program_subcategory_description', 'location', 'sponsor_name', 'row_created_date_time', 'facility_name', 'facility_code', 'agency_name', 'agency_code', 'sponsor_code', 'program_name', 'program_code', 'populations_served', 'agency_phone', 'program_phone', 'program_address_1', 'program_address_2', 'program_city', 'program_state', 'program_zip', 'operating_certificate_required', 'program_tier', 'operating_certificate_duration', 'program_county', 'program_region', 'program_category_description']","[' Program Type Description', ' Program Subcategory Description', 'Location', ' Sponsor Name', 'Row Created Date Time', 'Facility Name', ' Facility Code', ' Agency Name', ' Agency Code', ' Sponsor Code', ' Program Name', ' Program Code', ' Populations Served', ' Agency Phone', ' Program Phone', '  Program Address 1', ' Program Address 2', ' Program City', ' Program State', ' Program Zip', ' Operating Certificate Required?', ' Program Tier', ' Operating Certificate Duration', ' Program County', ' Program Region', ' Program Category Description']",dataset,[],Human Services,"['support programs', 'outpatient services', 'inpatient services', 'emergency services']",official,1633.0,67.0,18.0,60568.0,15.8862919721,data.ny.gov,"['support', 'programs', 'outpatient', 'services', 'inpatient', 'services', 'emergency', 'services', 'human', 'services']","['support', 'programs', 'outpatient', 'services', 'inpatient', 'services', 'emergency', 'services', 'human', 'services', 'Includes', 'programs', 'that', 'are', 'licensed', 'by', 'the', 'Office', 'of', 'Mental', 'Health', '(OMH)', 'and', 'programs', 'that', 'are', 'funded', 'by', 'OMH', 'but', 'do', 'not', 'need', 'a', 'license', 'to', 'operate']","[(0, 0.043620617566406096), (2, 0.042467948717948678), (9, 0.044658791120550469), (13, 0.042467948717948678), (17, 0.27614163260358898), (32, 0.084134615384615308), (33, 0.064163188947277947), (39, 0.25080128205128183), (48, 0.059191355447520792), (49, 0.058698773289014169)]","[(17, 0.276141632603589), (39, 0.2508012820512818), (32, 0.08413461538461531), (33, 0.06416318894727795), (48, 0.05919135544752079), (49, 0.05869877328901417), (9, 0.04465879112055047), (0, 0.043620617566406096), (2, 0.04246794871794868), (13, 0.04246794871794868)]",17
1941,1941,1941,Senior Centers,"['Senior', 'Center', 'locations', 'hours', 'of', 'operation', 'and', 'contact', 'information']",City of Chicago,"['state', 'city', 'hours_of_operation', 'address', 'site_name', 'phone', 'location', 'zip', 'program']","['STATE', 'CITY', 'HOURS OF OPERATION', 'ADDRESS', 'SITE NAME', 'PHONE', 'LOCATION', 'ZIP', 'PROGRAM']",dataset,[],Health & Human Services,"['family and support services', 'human services', 'gis', 'facilities']",official,3975.0,648.0,165.0,53262.0,15.7008460691,data.cityofchicago.org,"['family', 'and', 'support', 'services', 'human', 'services', 'gis', 'facilities', 'health', '&', 'human', 'services']","['family', 'and', 'support', 'services', 'human', 'services', 'gis', 'facilities', 'health', '&', 'human', 'services', 'Senior', 'Center', 'locations', 'hours', 'of', 'operation', 'and', 'contact', 'information']","[(2, 0.072105210687922944), (5, 0.19293706154335113), (17, 0.38889359609629914), (24, 0.059997511569986159), (39, 0.23585294488876413)]","[(17, 0.38889359609629914), (39, 0.23585294488876413), (5, 0.19293706154335113), (2, 0.07210521068792294), (24, 0.05999751156998616)]",17
1979,1979,1979,Workforce Centers,"['City', 'of', ""Chicago's"", 'Workforce', 'Center', 'locations', 'hours', 'of', 'operation', 'and', 'contact', 'information']",City of Chicago,"['phone', 'location', 'address', 'city', 'zip', 'site_name', 'hours_of_operation', 'state']","['PHONE', 'LOCATION', 'ADDRESS', 'CITY', 'ZIP', 'SITE NAME', 'HOURS OF OPERATION', 'STATE']",dataset,[],Health & Human Services,"['family and support services', 'human services', 'gis', 'facilities', 'workforce']",official,2886.0,223.0,60.0,22605.0,14.4644181177,data.cityofchicago.org,"['family', 'and', 'support', 'services', 'human', 'services', 'gis', 'facilities', 'workforce', 'health', '&', 'human', 'services']","['family', 'and', 'support', 'services', 'human', 'services', 'gis', 'facilities', 'workforce', 'health', '&', 'human', 'services', 'City', 'of', ""Chicago's"", 'Workforce', 'Center', 'locations', 'hours', 'of', 'operation', 'and', 'contact', 'information']","[(2, 0.06475867486088617), (5, 0.1680922564613728), (16, 0.096153846153846034), (17, 0.26907300007403256), (29, 0.096153846153845909), (39, 0.20843545240059977), (43, 0.05612413268662355)]","[(17, 0.26907300007403256), (39, 0.20843545240059977), (5, 0.1680922564613728), (16, 0.09615384615384603), (29, 0.09615384615384591), (2, 0.06475867486088617), (43, 0.05612413268662355)]",17
6722,6891,6891,Solid Waste Management guide,"['trash', 'leaf', 'and', 'brush', 'recycling', 'drop', 'off', 'tires', 'neighborhood', 'cleanup', 'habitat', 'restore', 'swap', 'shop']",,[],[],file,['environment'],Neighborhoods,"['drop off', 'habitat restore', 'leaf and brush', 'neighborhood cleanup', 'recycling', 'swap shop', 'tires', 'trash']",official,5389.0,839.0,204.0,18658.0,14.1875840488,data.kcmo.org,"['drop', 'off', 'habitat', 'restore', 'leaf', 'and', 'brush', 'neighborhood', 'cleanup', 'recycling', 'swap', 'shop', 'tires', 'trash', 'environment', 'neighborhoods']","['drop', 'off', 'habitat', 'restore', 'leaf', 'and', 'brush', 'neighborhood', 'cleanup', 'recycling', 'swap', 'shop', 'tires', 'trash', 'environment', 'neighborhoods', 'trash', 'leaf', 'and', 'brush', 'recycling', 'drop', 'off', 'tires', 'neighborhood', 'cleanup', 'habitat', 'restore', 'swap', 'shop']","[(5, 0.074786324786324701), (7, 0.074786324786324701), (9, 0.15891618630255155), (10, 0.074786324786324701), (17, 0.23478046125636765), (27, 0.089139656880155405), (28, 0.074786324786324701), (34, 0.074786324786324701), (41, 0.037842841916346591), (44, 0.075474699798424291)]","[(17, 0.23478046125636765), (9, 0.15891618630255155), (27, 0.0891396568801554), (44, 0.07547469979842429), (5, 0.0747863247863247), (7, 0.0747863247863247), (10, 0.0747863247863247), (28, 0.0747863247863247), (34, 0.0747863247863247), (41, 0.03784284191634659)]",17
1997,1997,1997,Community Service Centers,"['Community', 'Service', 'Center', 'locations', 'hours', 'of', 'operation', 'and', 'contact', 'information']",City of Chicago,"['state', 'address', 'zip', 'city', 'location', 'hours_of_operation', 'site', 'phone']","['STATE', 'ADDRESS', 'ZIP', 'CITY', 'LOCATION', 'HOURS OF OPERATION', 'SITE', 'PHONE']",dataset,['social services'],Health & Human Services,"['family and support services', 'human services', 'facilities']",official,1996.0,326.0,94.0,15550.0,13.9247197347,data.cityofchicago.org,"['family', 'and', 'support', 'services', 'human', 'services', 'facilities', 'social', 'services', 'health', '&', 'human', 'services']","['family', 'and', 'support', 'services', 'human', 'services', 'facilities', 'social', 'services', 'health', '&', 'human', 'services', 'Community', 'Service', 'Center', 'locations', 'hours', 'of', 'operation', 'and', 'contact', 'information']","[(2, 0.062129574286686508), (5, 0.16944247734019949), (17, 0.402203967467262), (39, 0.26703564108346872), (41, 0.053996032130074326)]","[(17, 0.402203967467262), (39, 0.2670356410834687), (5, 0.1694424773401995), (2, 0.06212957428668651), (41, 0.053996032130074326)]",17
2004,2004,2004,FOIA Request Log - Animal Care and Control,"['FOIA', 'requests', 'received', 'by', 'Animal', 'Care', 'and', 'Control', 'as', 'of', 'May', '1', '2010']",City of Chicago,"['due_date', 'date_received', 'requestor_name', 'description_of_request', 'organization']","['INITIAL DUE DATE', 'DATE RECEIVED', 'REQUESTOR NAME', 'DESCRIPTION OF REQUEST', 'ORGANIZATION']",dataset,"['environment', 'social services', 'public safety']",FOIA,[],official,3575.0,110.0,18.0,14176.0,13.7912646552,data.cityofchicago.org,"['environment', 'social', 'services', 'public', 'safety', 'foia']","['environment', 'social', 'services', 'public', 'safety', 'foia', 'FOIA', 'requests', 'received', 'by', 'Animal', 'Care', 'and', 'Control', 'as', 'of', 'May', '1', '2010']","[(12, 0.15954374916299816), (17, 0.21048067947239393), (26, 0.19381557792150689), (39, 0.1636842577303608), (41, 0.20791529615229948)]","[(17, 0.21048067947239393), (41, 0.20791529615229948), (26, 0.1938155779215069), (39, 0.1636842577303608), (12, 0.15954374916299816)]",17
2056,2056,2056,Senior Centers - Map,"['Senior', 'Center', 'locations', 'hours', 'of', 'operation', 'and', 'contact', 'information']",City of Chicago,"['state', 'site_name', 'location', 'phone', 'zip', 'program', 'hours_of_operation', 'address', 'city']","['STATE', 'SITE NAME', 'LOCATION', 'PHONE', 'ZIP', 'PROGRAM', 'HOURS OF OPERATION', 'ADDRESS', 'CITY']",map,[],Health & Human Services,"['family and support services', 'human services', 'gis', 'facilities']",official,553.0,110.0,26.0,8848.0,13.1112987143,data.cityofchicago.org,"['family', 'and', 'support', 'services', 'human', 'services', 'gis', 'facilities', 'health', '&', 'human', 'services']","['family', 'and', 'support', 'services', 'human', 'services', 'gis', 'facilities', 'health', '&', 'human', 'services', 'Senior', 'Center', 'locations', 'hours', 'of', 'operation', 'and', 'contact', 'information']","[(2, 0.072053098645944932), (5, 0.19279658268046171), (17, 0.38916103503859129), (24, 0.060038387734553167), (39, 0.23573722068677233)]","[(17, 0.3891610350385913), (39, 0.23573722068677233), (5, 0.1927965826804617), (2, 0.07205309864594493), (24, 0.06003838773455317)]",17
