,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9379,9548,9548,Missouri Monthly Unemployment Claims By Industry,"['Demographic', 'data', 'of', 'Missouri', 'Unemployment', 'claims', 'by', 'industry']",,"['manufacturing', 'agricult_forestry_fishing_hunting', 'public_administration', 'utilities', 'accomodation_food_services', 'information', 'retail_trade', 'construction', 'transportation_warehouse', 'wholesale_trade', 'health_care_social_assistance', 'arts_entertainment_recreation', 'admin_support_waste_mgmt_remedia_serv', 'finance_insurance', 'record_id', 'professional_scientific_tech_services', 'real_estate_rental_leasing', 'other_services_except_public_administration', 'management_of_companies_enterprises', 'educational_services', 'date', 'mining', 'ina']","['Manufacturing', 'Agricult./Forestry/Fishing/Hunting', 'Public Administration', 'Utilities', 'Accomodation & Food Services', 'Information', 'Retail Trade', 'Construction', 'Transportation & Warehouse', 'Wholesale Trade', 'Health Care & Social Assistance', 'Arts, Entertainment & Recreation', 'Admin. & Support/Waste Mgmt./Remedia. Serv.', 'Finance & Insurance', 'Record ID', 'Professional/Scientific/Tech. Services', 'Real Estate & Rental & Leasing', 'Other Services (except Public Administration)', 'Management of Companies & Enterprises', 'Educational Services', 'Date', 'Mining', 'INA']",dataset,[],Labor,"['employment', 'unemployment', 'labor']",official,870.0,2.0,1.0,128232.0,16.9684080532,data.mo.gov,"['employment', 'unemployment', 'labor', 'labor']","['employment', 'unemployment', 'labor', 'labor', 'Demographic', 'data', 'of', 'Missouri', 'Unemployment', 'claims', 'by', 'industry']","[(5, 0.10192307692307663), (10, 0.10192307692307663), (16, 0.60192307692307534), (36, 0.10192307692307663)]","[(16, 0.6019230769230753), (5, 0.10192307692307663), (10, 0.10192307692307663), (36, 0.10192307692307663)]",16
9387,9556,9556,Missouri Unemployment Rates For Various Regions,"['Missouri', 'unemployment', 'rate', 'for', 'various', 'regions']",,"['area_type', 'area_type_description', 'regiongeometry', 'unemployment_rate', 'regioncentroid', 'employment', 'period_type', 'laborforce', 'period', 'seasonally_adjusted', 'unemployment', 'year', 'area', 'area_name']","['Area Type', 'Area Type Description', 'RegionGeometry', 'Unemployment Rate', 'RegionCentroid', 'Employment', 'Period Type', 'Laborforce', 'Period', 'Seasonally Adjusted', 'Unemployment', 'Year', 'Area', 'Area Name']",dataset,[],Labor,"['employment', 'labor', 'unemployment']",official,633.0,14.0,1.0,82143.0,16.3258675806,data.mo.gov,"['employment', 'labor', 'unemployment', 'labor']","['employment', 'labor', 'unemployment', 'labor', 'Missouri', 'unemployment', 'rate', 'for', 'various', 'regions']","[(7, 0.10192307692307663), (10, 0.10192307692307663), (16, 0.60192307692307523), (38, 0.10192307692307663)]","[(16, 0.6019230769230752), (7, 0.10192307692307663), (10, 0.10192307692307663), (38, 0.10192307692307663)]",16
9388,9557,9557,Missouri Unemployment Rates for October 2012,"['Missouri', 'unemployment', 'rate', 'for', 'various', 'regions']",,"['regiongeometry', 'period', 'employment', 'laborforce', 'year', 'area_type_description', 'seasonally_adjusted', 'area', 'area_type', 'unemployment_rate', 'period_type', 'recordid', 'area_name', 'unemployment', 'regioncentroid']","['RegionGeometry', 'Period', 'Employment', 'Laborforce', 'Year', 'Area Type Description', 'Seasonally Adjusted', 'Area', 'Area Type', 'Unemployment Rate', 'Period Type', 'recordid', 'Area Name', 'Unemployment', 'RegionCentroid']",map,[],Labor,"['employment', 'labor', 'unemployment']",official,87.0,9.0,0.0,82070.0,16.3245849116,data.mo.gov,"['employment', 'labor', 'unemployment', 'labor']","['employment', 'labor', 'unemployment', 'labor', 'Missouri', 'unemployment', 'rate', 'for', 'various', 'regions']","[(7, 0.10192307692307663), (10, 0.10192307692307663), (16, 0.60192307692307523), (38, 0.10192307692307663)]","[(16, 0.6019230769230752), (7, 0.10192307692307663), (10, 0.10192307692307663), (38, 0.10192307692307663)]",16
9392,9561,9561,Unemployment Claims by Month - Customer Service Industry,"['Demographic', 'data', 'of', 'Missouri', 'Unemployment', 'claims', 'by', 'industry']",,"['health_care_social_assistance', 'retail_trade', 'admin_support_waste_mgmt_remedia_serv', 'arts_entertainment_recreation', 'mining', 'educational_services', 'management_of_companies_enterprises', 'other_services_except_public_administration', 'real_estate_rental_leasing', 'professional_scientific_tech_services', 'accomodation_food_services', 'utilities', 'public_administration', 'agricult_forestry_fishing_hunting', 'manufacturing', 'finance_insurance', 'construction', 'transportation_warehouse', 'wholesale_trade', 'ina', 'date', 'record_id', 'information']","['Health Care & Social Assistance', 'Retail Trade', 'Admin. & Support/Waste Mgmt./Remedia. Serv.', 'Arts, Entertainment & Recreation', 'Mining', 'Educational Services', 'Management of Companies & Enterprises', 'Other Services (except Public Administration)', 'Real Estate & Rental & Leasing', 'Professional/Scientific/Tech. Services', 'Accomodation & Food Services', 'Utilities', 'Public Administration', 'Agricult./Forestry/Fishing/Hunting', 'Manufacturing', 'Finance & Insurance', 'Construction', 'Transportation & Warehouse', 'Wholesale Trade', 'INA', 'Date', 'Record ID', 'Information']",chart,[],Labor,"['labor', 'employment', 'unemployment']",official,93.0,24.0,5.0,81457.0,16.3137687725,data.mo.gov,"['labor', 'employment', 'unemployment', 'labor']","['labor', 'employment', 'unemployment', 'labor', 'Demographic', 'data', 'of', 'Missouri', 'Unemployment', 'claims', 'by', 'industry']","[(5, 0.10192307692307663), (10, 0.10192307692307663), (16, 0.60192307692307523), (36, 0.10192307692307664)]","[(16, 0.6019230769230752), (36, 0.10192307692307664), (5, 0.10192307692307663), (10, 0.10192307692307663)]",16
9393,9562,9562,Missouri Weekly Report of Initial Unemployment Claims,"['The', 'number', 'of', 'people', 'filing', 'for', 'initial', 'unemployment', 'benefits', 'by', 'county', 'and', 'week']",Missouri Department of Labor and Industrial Relations,"['claims', 'county', 'weekending']","['claims', 'county', 'weekEnding']",dataset,[],Labor,"['employment', 'unemployment', 'labor']",official,826.0,20.0,6.0,81295.0,16.3108967488,data.mo.gov,"['employment', 'unemployment', 'labor', 'labor']","['employment', 'unemployment', 'labor', 'labor', 'The', 'number', 'of', 'people', 'filing', 'for', 'initial', 'unemployment', 'benefits', 'by', 'county', 'and', 'week']","[(16, 0.69357977577526297), (27, 0.15532544378698188), (49, 0.078609573337133393)]","[(16, 0.693579775775263), (27, 0.15532544378698188), (49, 0.07860957333713339)]",16
9394,9563,9563,Monthly Unemployment Claims - Healthcare Industry,"['Demographic', 'data', 'of', 'Missouri', 'Unemployment', 'claims', 'by', 'industry']",,"['agricult_forestry_fishing_hunting', 'manufacturing', 'finance_insurance', 'construction', 'retail_trade', 'admin_support_waste_mgmt_remedia_serv', 'arts_entertainment_recreation', 'health_care_social_assistance', 'educational_services', 'mining', 'record_id', 'management_of_companies_enterprises', 'other_services_except_public_administration', 'real_estate_rental_leasing', 'professional_scientific_tech_services', 'information', 'accomodation_food_services', 'utilities', 'date', 'ina', 'wholesale_trade', 'public_administration', 'transportation_warehouse']","['Agricult./Forestry/Fishing/Hunting', 'Manufacturing', 'Finance & Insurance', 'Construction', 'Retail Trade', 'Admin. & Support/Waste Mgmt./Remedia. Serv.', 'Arts, Entertainment & Recreation', 'Health Care & Social Assistance', 'Educational Services', 'Mining', 'Record ID', 'Management of Companies & Enterprises', 'Other Services (except Public Administration)', 'Real Estate & Rental & Leasing', 'Professional/Scientific/Tech. Services', 'Information', 'Accomodation & Food Services', 'Utilities', 'Date', 'INA', 'Wholesale Trade', 'Public Administration', 'Transportation & Warehouse']",chart,[],Labor,"['labor', 'employment', 'unemployment']",official,99.0,13.0,1.0,81290.0,16.3108080151,data.mo.gov,"['labor', 'employment', 'unemployment', 'labor']","['labor', 'employment', 'unemployment', 'labor', 'Demographic', 'data', 'of', 'Missouri', 'Unemployment', 'claims', 'by', 'industry']","[(5, 0.10192307692307663), (10, 0.10192307692307663), (16, 0.60192307692307523), (36, 0.10192307692307663)]","[(16, 0.6019230769230752), (5, 0.10192307692307663), (10, 0.10192307692307663), (36, 0.10192307692307663)]",16
9399,9568,9568,Chart of Missouri Monthly Initial Unemployment Claims,"['The', 'number', 'of', 'people', 'filing', 'for', 'initial', 'unemployment', 'benefits', 'by', 'county', 'and', 'week']",Missouri Department of Labor and Industrial Relations,"['claims', 'weekending']","['claims', 'weekEnding']",chart,[],Labor,"['unemployment', 'labor', 'employment']",official,136.0,16.0,0.0,79683.0,16.2820024496,data.mo.gov,"['unemployment', 'labor', 'employment', 'labor']","['unemployment', 'labor', 'employment', 'labor', 'The', 'number', 'of', 'people', 'filing', 'for', 'initial', 'unemployment', 'benefits', 'by', 'county', 'and', 'week']","[(16, 0.69358000191979585), (27, 0.15532544378698188), (49, 0.078609347192628576)]","[(16, 0.6935800019197959), (27, 0.15532544378698188), (49, 0.07860934719262858)]",16
9401,9570,9570,Missourians Receiving Unemployment Benefits,"['This', 'data', 'represents', 'the', 'number', 'of', 'Missourians', 'currently', 'receiving', 'unemployment', 'benefits']",,"['euc', 'regular', 'date', 'eb', 'total']","['Emergency Unemployment Compensation', 'Regular State Benefits', 'Date', 'Extended Benefits', 'Total']",dataset,[],Labor,"['unemployment', 'labor']",official,764.0,1.0,0.0,78662.0,16.2633975875,data.mo.gov,"['unemployment', 'labor', 'labor']","['unemployment', 'labor', 'labor', 'This', 'data', 'represents', 'the', 'number', 'of', 'Missourians', 'currently', 'receiving', 'unemployment', 'benefits']","[(9, 0.092657342657342642), (16, 0.4558326156281079), (42, 0.27447552447552437), (49, 0.093118433322940869)]","[(16, 0.4558326156281079), (42, 0.27447552447552437), (49, 0.09311843332294087), (9, 0.09265734265734264)]",16
9402,9571,9571,Missouri Monthly Unemployment Claims By Age,"['Demographic', 'data', 'of', 'Missouri', 'Unemployment', 'claims', 'by', 'age']",,"['date', '_2_1', '_4', '_2', '_1_1_1', '_3', '_2_2', '_5', 'ina', '_6', 'record_id']","['Date', '22-24', '25-34', '35-44', '45-54', '55-59', '60-64', '>=65', 'INA', '<22', 'Record ID']",dataset,[],Labor,"['labor', 'employment', 'unemployment']",official,991.0,4.0,1.0,78270.0,16.2561902566,data.mo.gov,"['labor', 'employment', 'unemployment', 'labor']","['labor', 'employment', 'unemployment', 'labor', 'Demographic', 'data', 'of', 'Missouri', 'Unemployment', 'claims', 'by', 'age']","[(2, 0.2019230769230764), (10, 0.10192307692307663), (16, 0.60192307692307523)]","[(16, 0.6019230769230752), (2, 0.2019230769230764), (10, 0.10192307692307663)]",16
9403,9572,9572,Labor Quick Facts,[],,"['date', 'unemployment_rate', 'initial_unemployment_claims_filed', 'workers_compensation_injuries_filed', 'potential_osha_fines_avoided_by_missouri_businesses', 'minimum_wage']","['Date', 'Unemployment Rate', 'Initial Unemployment Claims Filed', ""Workers' Compensation Injuries Filed"", 'Potential OSHA Fines Avoided by Missouri Businesses', 'Minimum Wage']",dataset,[],Labor,[],official,715.0,0.0,0.0,77632.0,16.2443824188,data.mo.gov,['labor'],['labor'],"[(16, 0.50961538461538525)]","[(16, 0.5096153846153852)]",16
