,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
13377,13546,13546,Film Locations in San Francisco,"['If', 'you', 'love', 'movies', 'and', 'you', 'love', 'San', 'Francisco', ""you're"", 'bound', 'to', 'love', 'this', 'a', 'listing', 'of', 'filming', 'locations', 'of', 'movies', 'shot', 'in', 'San', 'Francisco', 'starting', 'from', '1924', ""You'll"", 'find', 'the', 'titles', 'locations', 'fun', 'facts', 'names', 'of', 'the', 'director', 'writer', 'actors', 'and', 'studio', 'for', 'most', 'of', 'these', 'films']",San Francisco Film Commission,"['writer', 'director', 'actor_2', 'actor_1', 'actor_3', 'release_year', 'fun_facts', 'title', 'locations', 'distributor', 'production_company']","['Writer', 'Director', 'Actor 2', 'Actor 1', 'Actor 3', 'Release Year', 'Fun Facts', 'Title', 'Locations', 'Distributor', 'Production Company']",dataset,"['social services', 'infrastructure']",Culture and Recreation,"['directors', 'actors', 'movies', 'locations', 'film']",official,15774.0,762.0,159.0,116462.0,16.8295121615,data.sfgov.org,"['directors', 'actors', 'movies', 'locations', 'film', 'social', 'services', 'infrastructure', 'culture', 'and', 'recreation']","['directors', 'actors', 'movies', 'locations', 'film', 'social', 'services', 'infrastructure', 'culture', 'and', 'recreation', 'If', 'you', 'love', 'movies', 'and', 'you', 'love', 'San', 'Francisco', ""you're"", 'bound', 'to', 'love', 'this', 'a', 'listing', 'of', 'filming', 'locations', 'of', 'movies', 'shot', 'in', 'San', 'Francisco', 'starting', 'from', '1924', ""You'll"", 'find', 'the', 'titles', 'locations', 'fun', 'facts', 'names', 'of', 'the', 'director', 'writer', 'actors', 'and', 'studio', 'for', 'most', 'of', 'these', 'films']","[(5, 0.16442759245241201), (6, 0.053584103555835774), (9, 0.065833011667619457), (12, 0.02548076923076922), (16, 0.02548076923076922), (17, 0.050480769230769211), (26, 0.050480769230769211), (29, 0.02548076923076922), (30, 0.054747328332881366), (31, 0.026626352051081582), (36, 0.10048076923076919), (38, 0.02548076923076922), (39, 0.091680708651947301), (40, 0.02548076923076922), (43, 0.075480769230769199), (45, 0.025967115478906358), (49, 0.030750852116521798), (50, 0.040709858769717222), (51, 0.02548076923076922)]","[(5, 0.164427592452412), (36, 0.10048076923076919), (39, 0.0916807086519473), (43, 0.0754807692307692), (9, 0.06583301166761946), (30, 0.054747328332881366), (6, 0.053584103555835774), (17, 0.05048076923076921), (26, 0.05048076923076921), (50, 0.04070985876971722), (49, 0.030750852116521798), (31, 0.026626352051081582), (45, 0.025967115478906358), (12, 0.02548076923076922), (16, 0.02548076923076922), (29, 0.02548076923076922), (38, 0.02548076923076922), (40, 0.02548076923076922), (51, 0.02548076923076922)]",5
1931,1931,1931,"Libraries - Locations, Hours and Contact Information","['Chicago', 'Public', 'Library', 'locations', 'contact', 'information', 'and', 'hours', 'of', 'operation']",Chicago Public Library,"['city', 'address', 'teacher_in_the_library', 'cybernavigator', 'hours_of_operation', 'name_', 'location', 'website', 'phone', 'zip', 'state']","['CITY', 'ADDRESS', 'TEACHER IN THE LIBRARY', 'CYBERNAVIGATOR', 'HOURS OF OPERATION', 'NAME ', 'LOCATION', 'WEBSITE', 'PHONE', 'ZIP', 'STATE']",dataset,['education'],Education,"['gis', 'facilities', 'libraries']",official,6628.0,691.0,211.0,84002.0,16.3581532313,data.cityofchicago.org,"['gis', 'facilities', 'libraries', 'education', 'education']","['gis', 'facilities', 'libraries', 'education', 'education', 'Chicago', 'Public', 'Library', 'locations', 'contact', 'information', 'and', 'hours', 'of', 'operation']","[(5, 0.35851648351648308), (24, 0.21565934065928338), (34, 0.35851648351563514)]","[(5, 0.3585164835164831), (34, 0.35851648351563514), (24, 0.21565934065928338)]",5
10966,11135,11135,Agricultural Fairs in New York State Map,"['Directory', 'of', 'New', 'York', 'State', 'agricultural', 'fairs', 'for', 'the', 'current', 'year', 'provided', 'by', 'the', 'NYS', 'Department', 'of', 'Agriculture', 'and', 'Markets', 'The', 'dataset', 'includes', 'the', 'address', 'and', 'county', 'of', 'the', 'fair', 'the', 'fair’s', 'begin', 'and', 'end', 'dates', 'and', 'the', 'website', 'address', 'for', 'each', 'fair']",New York State Department of Agriculture and Markets,"['fair_location', 'city', 'county', 'web_site', 'street_address', 'end_date', 'start_date', 'location_1', 'zip', 'state', 'fair_name']","['Fair Location', 'City ', 'County ', 'Web Site ', 'Street Address ', 'End  Date', ' Start  Date', 'Location 1', 'Zip', 'State ', 'Fair Name']",map,"['finance', 'demographics']",Recreation,"['fairs', 'exhibits', 'horticulture', 'agriculture']",official,153.0,521.0,119.0,72340.0,16.1425259207,data.ny.gov,"['fairs', 'exhibits', 'horticulture', 'agriculture', 'finance', 'demographics', 'recreation']","['fairs', 'exhibits', 'horticulture', 'agriculture', 'finance', 'demographics', 'recreation', 'Directory', 'of', 'New', 'York', 'State', 'agricultural', 'fairs', 'for', 'the', 'current', 'year', 'provided', 'by', 'the', 'NYS', 'Department', 'of', 'Agriculture', 'and', 'Markets', 'The', 'dataset', 'includes', 'the', 'address', 'and', 'county', 'of', 'the', 'fair', 'the', 'fair’s', 'begin', 'and', 'end', 'dates', 'and', 'the', 'website', 'address', 'for', 'each', 'fair']","[(2, 0.081559365513261137), (5, 0.23686546758602881), (9, 0.035912684524873929), (10, 0.073462145510217611), (13, 0.099338058501073426), (15, 0.11382280179000802), (24, 0.032587748956900309), (29, 0.036618006423403508), (30, 0.034899874205093509), (42, 0.067632829711909731), (43, 0.16266159420030626)]","[(5, 0.2368654675860288), (43, 0.16266159420030626), (15, 0.11382280179000802), (13, 0.09933805850107343), (2, 0.08155936551326114), (10, 0.07346214551021761), (42, 0.06763282971190973), (29, 0.03661800642340351), (9, 0.03591268452487393), (30, 0.03489987420509351), (24, 0.03258774895690031)]",5
10978,11147,11147,Agricultural Fairs in New York State,"['Directory', 'of', 'New', 'York', 'State', 'agricultural', 'fairs', 'for', 'the', 'current', 'year', 'provided', 'by', 'the', 'NYS', 'Department', 'of', 'Agriculture', 'and', 'Markets', 'The', 'dataset', 'includes', 'the', 'address', 'and', 'county', 'of', 'the', 'fair', 'the', 'fair’s', 'begin', 'and', 'end', 'dates', 'and', 'the', 'website', 'address', 'for', 'each', 'fair']",New York State Department of Agriculture and Markets,"['fair_name', 'end_date', 'location_1', 'start_date', 'county', 'fair_location', 'city', 'street_address', 'zip', 'state', 'web_site', 'type_of_fair']","['Fair Name', 'End  Date', 'Location 1', ' Start  Date', 'County ', 'Fair Location', 'City ', 'Street Address ', 'Zip', 'State ', 'Web Site ', 'Type of Fair']",dataset,"['finance', 'demographics']",Recreation,"['fairs', 'exhibits', 'horticulture', 'agriculture']",official,832.0,93.0,15.0,63039.0,15.9439799143,data.ny.gov,"['fairs', 'exhibits', 'horticulture', 'agriculture', 'finance', 'demographics', 'recreation']","['fairs', 'exhibits', 'horticulture', 'agriculture', 'finance', 'demographics', 'recreation', 'Directory', 'of', 'New', 'York', 'State', 'agricultural', 'fairs', 'for', 'the', 'current', 'year', 'provided', 'by', 'the', 'NYS', 'Department', 'of', 'Agriculture', 'and', 'Markets', 'The', 'dataset', 'includes', 'the', 'address', 'and', 'county', 'of', 'the', 'fair', 'the', 'fair’s', 'begin', 'and', 'end', 'dates', 'and', 'the', 'website', 'address', 'for', 'each', 'fair']","[(2, 0.081250723549502496), (5, 0.23694280652896602), (9, 0.035908925416741976), (10, 0.073458151553107184), (13, 0.099370294147351865), (15, 0.11403842788033411), (24, 0.032587874534671622), (29, 0.03660344893730659), (30, 0.034902797846542766), (42, 0.067588633061116024), (43, 0.16270849346743535)]","[(5, 0.23694280652896602), (43, 0.16270849346743535), (15, 0.11403842788033411), (13, 0.09937029414735186), (2, 0.0812507235495025), (10, 0.07345815155310718), (42, 0.06758863306111602), (29, 0.03660344893730659), (9, 0.035908925416741976), (30, 0.034902797846542766), (24, 0.03258787453467162)]",5
10985,11154,11154,Agricultural Fairs in New York State Calendar,"['Directory', 'of', 'New', 'York', 'State', 'agricultural', 'fairs', 'for', 'the', 'current', 'year', 'provided', 'by', 'the', 'NYS', 'Department', 'of', 'Agriculture', 'and', 'Markets', 'The', 'dataset', 'includes', 'the', 'address', 'and', 'county', 'of', 'the', 'fair', 'the', 'fair’s', 'begin', 'and', 'end', 'dates', 'and', 'the', 'website', 'address', 'for', 'each', 'fair']",New York State Department of Agriculture and Markets,"['state', 'city', 'location_1', 'county', 'web_site', 'end_date', 'fair_location', 'zip', 'start_date', 'fair_name', 'street_address']","['State ', 'City ', 'Location 1', 'County ', 'Web Site ', 'End  Date', 'Fair Location', 'Zip', ' Start  Date', 'Fair Name', 'Street Address ']",calendar,"['demographics', 'finance']",Recreation,"['fairs', 'exhibits', 'horticulture', 'agriculture']",official,93.0,39.0,13.0,61111.0,15.8991680761,data.ny.gov,"['fairs', 'exhibits', 'horticulture', 'agriculture', 'demographics', 'finance', 'recreation']","['fairs', 'exhibits', 'horticulture', 'agriculture', 'demographics', 'finance', 'recreation', 'Directory', 'of', 'New', 'York', 'State', 'agricultural', 'fairs', 'for', 'the', 'current', 'year', 'provided', 'by', 'the', 'NYS', 'Department', 'of', 'Agriculture', 'and', 'Markets', 'The', 'dataset', 'includes', 'the', 'address', 'and', 'county', 'of', 'the', 'fair', 'the', 'fair’s', 'begin', 'and', 'end', 'dates', 'and', 'the', 'website', 'address', 'for', 'each', 'fair']","[(2, 0.081337736571197639), (5, 0.2369180424772511), (9, 0.035906584876646871), (10, 0.073457256584282982), (13, 0.099360703333688266), (15, 0.11399214016363386), (24, 0.032587879545890562), (29, 0.036604577131027889), (30, 0.034900886036636568), (42, 0.067600090485358297), (43, 0.16269467971746182)]","[(5, 0.2369180424772511), (43, 0.16269467971746182), (15, 0.11399214016363386), (13, 0.09936070333368827), (2, 0.08133773657119764), (10, 0.07345725658428298), (42, 0.0676000904853583), (29, 0.03660457713102789), (9, 0.03590658487664687), (30, 0.03490088603663657), (24, 0.03258787954589056)]",5
16945,17114,17114,"Chronic Disease Evidence-Based Self-Management Programs (QTAC): Location, Delivery and Capacity Data","['This', 'dataset', 'contains', 'information', 'on', 'the', 'names', 'and', 'locations', 'of', 'evidence', 'based', 'self', 'management', 'programs', 'delivered', 'by', 'QTAC', 'NY', 'partners', 'including', 'street', 'address', 'city', 'state', 'zip', 'code', 'county', 'and', 'Delivery', 'System', 'Reform', 'Incentive', 'Payment', '(DSRIP)', 'Program', 'region', 'It', 'also', 'contains', 'information', 'about', 'the', 'capacity', 'of', 'each', 'implementation', 'site', 'to', 'deliver', 'specific', 'self', 'management', 'programs', 'The', 'data', 'will', 'be', 'updated', 'on', 'a', 'yearly', 'basis']",New York State Department of Health,"['dsrip_region', 'delivered_aled', 'delivered_psmp', 'delivered_ndpp_spanish', 'capacity_to_deliver_aled', 'delivered_dsmp', 'capacity_to_deliver_ndpp_spanish', 'capacity_to_deliver_dsmp_spanish', 'capacity_to_deliver_taichib', 'delivered_amob', 'capacity_to_deliver_taichia', 'capacity_to_deliver_cpsmp', 'capacity_to_deliver_ndpp', 'capacity_to_deliver_cdsmp_1', 'capacity_to_deliver_tomando', 'county', 'capacity_to_deliver_taichi_arthritis', 'capacity_to_deliver_psmp', 'delivered_taichi_arthritis', 'delivered_taichic', 'delivery_type', 'implementation_site', 'location_1', 'additional_address_info', 'capacity_to_deliver_amob', 'partner_status', 'delivered_lhhbp', 'capacity_to_deliver_lhhbp', 'delivered_tomando', 'delivered_ndpp', 'capacity_to_deliver_ac', 'delivered_ac', 'delivered_so', 'capacity_to_deliver_so', 'host_system_partner', 'delivered_cdsmp_1', 'capacity_to_deliver_taichic', 'delivered_taichia', 'capacity_to_deliver_wwe', 'delivered_cpsmp', 'delivered_dsmp_spanish', 'delivered_taichib', 'delivered_wwe', 'capacity_to_deliver_dsmp', 'street_address']","['DSRIP Region', 'Delivered ALED', 'Delivered PSMP', 'Delivered NDPP Spanish', 'Capacity to Deliver ALED', 'Delivered DSMP', 'Capacity to Deliver NDPP Spanish', 'Capacity to Deliver DSMP Spanish', 'Capacity to Deliver TaiChiB', 'Delivered AMOB', 'Capacity to Deliver TaiChiA', 'Capacity to Deliver CPSMP', 'Capacity to Deliver NDPP ', 'Capacity to Deliver CDSMP', 'Capacity to Deliver Tomando', 'County', 'Capacity to Deliver TaiChi Arthritis', 'Capacity to Deliver PSMP', 'Delivered TaiChi Arthritis', 'Delivered TaiChiC', 'Delivery  Type', 'Implementation Site', 'Location 1', 'Additional Address Info', 'Capacity to Deliver AMOB', 'Partner Status', 'Delivered LHHBP', 'Capacity to Deliver LHHBP', 'Delivered Tomando', 'Delivered NDPP', 'Capacity to Deliver AC', 'Delivered AC', 'Delivered SO', 'Capacity to Deliver SO', 'Host System Partner', 'Delivered CDSMP', 'Capacity to Deliver TaiChiC', 'Delivered TaiChiA', 'Capacity to Deliver WWE', 'Delivered CPSMP', 'Delivered DSMP Spanish', 'Delivered TaiChiB', 'Delivered WWE', 'Capacity to Deliver DSMP', 'Street Address']",dataset,['health'],Health,"['diabetes', 'chronic disease', 'evidence-based self-management programs']",official,379.0,97.0,37.0,35172.0,15.1021807711,health.data.ny.gov,"['diabetes', 'chronic', 'disease', 'evidence-based', 'self-management', 'programs', 'health', 'health']","['diabetes', 'chronic', 'disease', 'evidence-based', 'self-management', 'programs', 'health', 'health', 'This', 'dataset', 'contains', 'information', 'on', 'the', 'names', 'and', 'locations', 'of', 'evidence', 'based', 'self', 'management', 'programs', 'delivered', 'by', 'QTAC', 'NY', 'partners', 'including', 'street', 'address', 'city', 'state', 'zip', 'code', 'county', 'and', 'Delivery', 'System', 'Reform', 'Incentive', 'Payment', '(DSRIP)', 'Program', 'region', 'It', 'also', 'contains', 'information', 'about', 'the', 'capacity', 'of', 'each', 'implementation', 'site', 'to', 'deliver', 'specific', 'self', 'management', 'programs', 'The', 'data', 'will', 'be', 'updated', 'on', 'a', 'yearly', 'basis']","[(2, 0.046004236178032711), (4, 0.092102472501361138), (5, 0.22053503766960544), (8, 0.11187625884033399), (10, 0.031786262576750907), (11, 0.021116060385535755), (14, 0.039500249563493517), (17, 0.05101722868686176), (27, 0.098925068051957332), (28, 0.021515547916064155), (35, 0.035905531970105799), (43, 0.037018742804515316), (45, 0.072275288021625389), (50, 0.10636876039588823)]","[(5, 0.22053503766960544), (8, 0.11187625884033399), (50, 0.10636876039588823), (27, 0.09892506805195733), (4, 0.09210247250136114), (45, 0.07227528802162539), (17, 0.05101722868686176), (2, 0.04600423617803271), (14, 0.03950024956349352), (43, 0.037018742804515316), (35, 0.0359055319701058), (10, 0.03178626257675091), (28, 0.021515547916064155), (11, 0.021116060385535755)]",5
16948,17117,17117,Chronic Disease Evidence Based Self Management Program Sites Map,"['This', 'dataset', 'contains', 'information', 'on', 'the', 'names', 'and', 'locations', 'of', 'evidence', 'based', 'self', 'management', 'programs', 'delivered', 'by', 'QTAC', 'NY', 'partners', 'including', 'street', 'address', 'city', 'state', 'zip', 'code', 'county', 'and', 'Delivery', 'System', 'Reform', 'Incentive', 'Payment', '(DSRIP)', 'Program', 'region', 'It', 'also', 'contains', 'information', 'about', 'the', 'capacity', 'of', 'each', 'implementation', 'site', 'to', 'deliver', 'specific', 'self', 'management', 'programs', 'The', 'data', 'will', 'be', 'updated', 'on', 'a', 'yearly', 'basis', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']",New York State Department of Health,"['capacity_to_deliver_ndpp_spanish', 'delivered_ndpp', 'capacity_to_deliver_ac', 'capacity_to_deliver_amob', 'capacity_to_deliver_cdsmp_1', 'delivered_so', 'delivered_taichib', 'capacity_to_deliver_so', 'county', 'delivered_taichic', 'capacity_to_deliver_aled', 'delivered_taichi_arthritis', 'capacity_to_deliver_wwe', 'capacity_to_deliver_psmp', 'street_address', 'delivered_taichia', 'delivery_type', 'additional_address_info', 'delivered_amob', 'delivered_psmp', 'capacity_to_deliver_cpsmp', 'delivered_ac', 'capacity_to_deliver_tomando', 'delivered_ndpp_spanish', 'delivered_aled', 'capacity_to_deliver_dsmp', 'capacity_to_deliver_dsmp_spanish', 'capacity_to_deliver_taichic', 'capacity_to_deliver_taichib', 'delivered_cdsmp_1', 'delivered_dsmp_spanish', 'implementation_site', 'dsrip_region', 'delivered_dsmp', 'delivered_tomando', 'capacity_to_deliver_lhhbp', 'capacity_to_deliver_taichi_arthritis', 'delivered_wwe', 'partner_status', 'capacity_to_deliver_ndpp', 'delivered_lhhbp', 'capacity_to_deliver_taichia', 'delivered_cpsmp', 'location_1', 'host_system_partner']","['Capacity to Deliver NDPP Spanish', 'Delivered NDPP', 'Capacity to Deliver AC', 'Capacity to Deliver AMOB', 'Capacity to Deliver CDSMP', 'Delivered SO', 'Delivered TaiChiB', 'Capacity to Deliver SO', 'County', 'Delivered TaiChiC', 'Capacity to Deliver ALED', 'Delivered TaiChi Arthritis', 'Capacity to Deliver WWE', 'Capacity to Deliver PSMP', 'Street Address', 'Delivered TaiChiA', 'Delivery  Type', 'Additional Address Info', 'Delivered AMOB', 'Delivered PSMP', 'Capacity to Deliver CPSMP', 'Delivered AC', 'Capacity to Deliver Tomando', 'Delivered NDPP Spanish', 'Delivered ALED', 'Capacity to Deliver DSMP', 'Capacity to Deliver DSMP Spanish', 'Capacity to Deliver TaiChiC', 'Capacity to Deliver TaiChiB', 'Delivered CDSMP', 'Delivered DSMP Spanish', 'Implementation Site', 'DSRIP Region', 'Delivered DSMP', 'Delivered Tomando', 'Capacity to Deliver LHHBP', 'Capacity to Deliver TaiChi Arthritis', 'Delivered WWE', 'Partner Status', 'Capacity to Deliver NDPP ', 'Delivered LHHBP', 'Capacity to Deliver TaiChiA', 'Delivered CPSMP', 'Location 1', 'Host System Partner']",map,['health'],Health,"['diabetes', 'chronic disease', 'evidence-based self-management programs']",official,68.0,15.0,4.0,34301.0,15.0660050757,health.data.ny.gov,"['diabetes', 'chronic', 'disease', 'evidence-based', 'self-management', 'programs', 'health', 'health']","['diabetes', 'chronic', 'disease', 'evidence-based', 'self-management', 'programs', 'health', 'health', 'This', 'dataset', 'contains', 'information', 'on', 'the', 'names', 'and', 'locations', 'of', 'evidence', 'based', 'self', 'management', 'programs', 'delivered', 'by', 'QTAC', 'NY', 'partners', 'including', 'street', 'address', 'city', 'state', 'zip', 'code', 'county', 'and', 'Delivery', 'System', 'Reform', 'Incentive', 'Payment', '(DSRIP)', 'Program', 'region', 'It', 'also', 'contains', 'information', 'about', 'the', 'capacity', 'of', 'each', 'implementation', 'site', 'to', 'deliver', 'specific', 'self', 'management', 'programs', 'The', 'data', 'will', 'be', 'updated', 'on', 'a', 'yearly', 'basis', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']","[(2, 0.041404920395345976), (4, 0.17578996267687896), (5, 0.1944761989172549), (8, 0.10041717345949616), (10, 0.028345692539645081), (11, 0.018964379189554917), (12, 0.036476572082390191), (14, 0.032814865330689669), (17, 0.043904494912192171), (27, 0.075604976364797447), (28, 0.019281375351062419), (35, 0.030908348347797487), (43, 0.032522685518270984), (45, 0.064911265080494773), (50, 0.091909185324846418)]","[(5, 0.1944761989172549), (4, 0.17578996267687896), (8, 0.10041717345949616), (50, 0.09190918532484642), (27, 0.07560497636479745), (45, 0.06491126508049477), (17, 0.04390449491219217), (2, 0.041404920395345976), (12, 0.03647657208239019), (14, 0.03281486533068967), (43, 0.032522685518270984), (35, 0.030908348347797487), (10, 0.02834569253964508), (28, 0.01928137535106242), (11, 0.018964379189554917)]",5
13383,13552,13552,Street Names,"['A', 'list', 'of', 'officially', 'valid', 'street', 'names', 'contained', 'in', 'the', ""City's"", 'GIS', 'Basemap']",San Francisco Department of Public Works,"['streetname', 'fullstreetname', 'streettype']","['StreetName', 'FullStreetName', 'StreetType']",dataset,[],Geographic Locations and Boundaries,"['names', 'basemap', 'map', 'base', 'street']",official,4214.0,785.0,193.0,29434.0,14.8452450072,data.sfgov.org,"['names', 'basemap', 'map', 'base', 'street', 'geographic', 'locations', 'and', 'boundaries']","['names', 'basemap', 'map', 'base', 'street', 'geographic', 'locations', 'and', 'boundaries', 'A', 'list', 'of', 'officially', 'valid', 'street', 'names', 'contained', 'in', 'the', ""City's"", 'GIS', 'Basemap']","[(3, 0.080939955328609425), (5, 0.25204389695987334), (12, 0.16484476653335581), (30, 0.22866710767388676), (35, 0.056623931623931534), (45, 0.056623931623931534), (51, 0.112179487179487)]","[(5, 0.25204389695987334), (30, 0.22866710767388676), (12, 0.1648447665333558), (51, 0.112179487179487), (3, 0.08093995532860943), (35, 0.056623931623931534), (45, 0.056623931623931534)]",5
1978,1978,1978,"Libraries - Locations, Hours and Contact Information - Map","['Chicago', 'Public', 'Library', 'locations', 'contact', 'information', 'and', 'hours', 'of', 'operation']",Chicago Public Library,"['name_', 'hours_of_operation', 'cybernavigator', 'teacher_in_the_library', 'city', 'location', 'website', 'address', 'phone', 'zip', 'state']","['NAME ', 'HOURS OF OPERATION', 'CYBERNAVIGATOR', 'TEACHER IN THE LIBRARY', 'CITY', 'LOCATION', 'WEBSITE', 'ADDRESS', 'PHONE', 'ZIP', 'STATE']",map,"['education', 'recreation']",Education,"['gis', 'facilities', 'libraries']",official,827.0,162.0,43.0,22662.0,14.4680512292,data.cityofchicago.org,"['gis', 'facilities', 'libraries', 'education', 'recreation', 'education']","['gis', 'facilities', 'libraries', 'education', 'recreation', 'education', 'Chicago', 'Public', 'Library', 'locations', 'contact', 'information', 'and', 'hours', 'of', 'operation']","[(5, 0.32505723302968292), (9, 0.14311923734249979), (24, 0.15023556995035098), (34, 0.32004949813900346)]","[(5, 0.3250572330296829), (34, 0.32004949813900346), (24, 0.15023556995035098), (9, 0.1431192373424998)]",5
11109,11278,11278,Department of Motor Vehicle (DMV) Office Locations,"['This', 'dataset', 'contains', 'the', 'list', 'of', 'all', 'Department', 'of', 'Motor', 'Vehicle', '(DMV)', 'offices', 'in', 'NYS', 'with', 'addresses', 'office', 'hours', 'latitude', 'and', 'longitude', 'coordinates', 'and', 'phone', 'numbers']",NYS Department of Motor Vehicles,"['friday_beginning_hours', 'saturday_beginning_hours', 'state', 'office_name', 'city', 'street_address_line_2', 'thursday_beginning_hours', 'street_address_line_1', 'public_phone_number', 'office_type', 'wednesday_ending_hours', 'tuesday_ending_hours', 'wednesday_beginning_hours', 'monday_ending_hours', 'latitude', 'longitude', 'location', 'public_phone_extension', 'saturday_ending_hours', 'has_kiosk', 'tuesday_beginning_hours', 'zip_code', 'monday_beginning_hours', 'friday_ending_hours', 'thursday_ending_hours']","['Friday Beginning Hours', 'Saturday Beginning Hours', 'State', 'Office Name', 'City', 'Street Address Line 2', 'Thursday Beginning Hours', 'Street Address Line 1', 'Public Phone Number', 'Office Type', 'Wednesday Ending Hours', 'Tuesday Ending Hours', 'Wednesday Beginning Hours', 'Monday Ending Hours', 'Latitude', 'Longitude', 'Location', 'Public Phone Extension', 'Saturday Ending Hours', 'Has Kiosk?', 'Tuesday Beginning Hours', 'Zip Code', 'Monday Beginning Hours', 'Friday Ending Hours', 'Thursday Ending Hours']",dataset,['public safety'],Transportation,"['dmv', 'offices', 'tickets', 'tvb', 'vehicle safety']",official,1094.0,169.0,35.0,22563.0,14.4617352216,data.ny.gov,"['dmv', 'offices', 'tickets', 'tvb', 'vehicle', 'safety', 'public', 'safety', 'transportation']","['dmv', 'offices', 'tickets', 'tvb', 'vehicle', 'safety', 'public', 'safety', 'transportation', 'This', 'dataset', 'contains', 'the', 'list', 'of', 'all', 'Department', 'of', 'Motor', 'Vehicle', '(DMV)', 'offices', 'in', 'NYS', 'with', 'addresses', 'office', 'hours', 'latitude', 'and', 'longitude', 'coordinates', 'and', 'phone', 'numbers']","[(2, 0.042017928296502922), (3, 0.19336331981239802), (5, 0.21443877418222038), (22, 0.072183899597704285), (26, 0.16841479573088161), (29, 0.077662721893491021), (35, 0.041185465489291834), (41, 0.042804100914668582), (43, 0.1161242603550294)]","[(5, 0.21443877418222038), (3, 0.19336331981239802), (26, 0.1684147957308816), (43, 0.1161242603550294), (29, 0.07766272189349102), (22, 0.07218389959770428), (41, 0.04280410091466858), (2, 0.04201792829650292), (35, 0.041185465489291834)]",5
