,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9353,9522,9522,alcohol tobacco licensee map,[],,"['street_number', 'subdist', 'district', 'county', 'secondary_type', 'primary_type', 'secondary_license', 'phone_number', 'zipcode', 'city', 'street', 'dbaname', 'licensee', 'primary_license', 'state', 'latlng']","['STREET NUMBER', 'SUBDIST', 'DISTRICT', 'COUNTY', 'SECONDARY TYPE', 'PRIMARY TYPE', 'SECONDARY LICENSE', 'PHONE NUMBER', 'ZIPCODE', 'CITY', 'STREET', 'DBANAME', 'LICENSEE', 'PRIMARY LICENSE', 'STATE', 'LATLNG']",map,[],Regulatory,[],official,840.0,13.0,0.0,527925.0,19.009976194,data.mo.gov,['regulatory'],['regulatory'],"[(47, 0.50961538461538447)]","[(47, 0.5096153846153845)]",47
9391,9560,9560,DNR-WPP-Boil Order Report,[],Department of Natural Resources,"['latitude', 'location', 'issue_date', 'contaminant_of_concern', 'county', 'system_name', 'pws_id']","['Latitude', 'Location', 'Issue Date', 'Contaminant of Concern', 'County', 'System Name', 'PWS ID#']",dataset,[],Regulatory,[],official,463.0,24.0,7.0,81625.0,16.3167411408,data.mo.gov,['regulatory'],['regulatory'],"[(47, 0.50961538461538447)]","[(47, 0.5096153846153845)]",47
2983,2983,2983,Civil Service List (Active),"['A', 'Civil', 'Service', 'List', 'consists', 'of', 'all', 'candidates', 'who', 'passed', 'an', 'exam', 'ranked', 'in', 'score', 'order', 'An', 'established', 'list', 'is', 'considered', 'active', 'for', 'no', 'less', 'than', 'one', 'year', 'and', 'no', 'more', 'than', 'four', 'years', 'from', 'the', 'date', 'of', 'establishment', 'For', 'more', 'information', 'visit', 'DCAS’', '“Work', 'for', 'the', 'City”', 'webpage', 'at', 'http', '//www', 'nyc', 'gov/html/dcas/html/work/work', 'shtml']",Department of Citywide Administrative Services (DCAS),"['exam_no', 'list_no', 'first_name', 'mi', 'last_name', 'adj_fa', 'list_title_code', 'list_title_desc', 'group_no', 'list_agency_code', 'list_agency_desc', 'list_div_code', 'published_date', 'established_date', 'anniversary_date', 'extension_date', 'veteran_credit', 'parent_lgy_credit', 'sibling_lgy_credit', 'residency_credit']","['Exam No', 'List No', 'First Name', 'MI', 'Last Name', 'Adj. FA', 'List Title Code', 'List Title Desc', 'Group No', 'List Agency Code', 'List Agency Desc', 'List Div Code', 'Published Date', 'Established Date', 'Anniversary Date', 'Extension Date', 'Veteran Credit', 'Parent Lgy Credit', 'Sibling Lgy Credit', 'Residency Credit']",dataset,[],City Government,[],official,2475.0,24091.0,4416.0,79860.0,16.2852035167,data.cityofnewyork.us,"['city', 'government']","['city', 'government', 'A', 'Civil', 'Service', 'List', 'consists', 'of', 'all', 'candidates', 'who', 'passed', 'an', 'exam', 'ranked', 'in', 'score', 'order', 'An', 'established', 'list', 'is', 'considered', 'active', 'for', 'no', 'less', 'than', 'one', 'year', 'and', 'no', 'more', 'than', 'four', 'years', 'from', 'the', 'date', 'of', 'establishment', 'For', 'more', 'information', 'visit', 'DCAS’', '“Work', 'for', 'the', 'City”', 'webpage', 'at', 'http', '//www', 'nyc', 'gov/html/dcas/html/work/work', 'shtml']","[(2, 0.055133816139989231), (3, 0.096748658066862545), (10, 0.083534485259302779), (19, 0.032492476419787857), (23, 0.12604943284693026), (25, 0.036306861977933799), (26, 0.031793329543782764), (29, 0.033844933387874636), (35, 0.12921866503458662), (40, 0.065230676098445725), (41, 0.031780001252567157), (47, 0.13385620515703889), (51, 0.1212831860876244)]","[(47, 0.1338562051570389), (35, 0.12921866503458662), (23, 0.12604943284693026), (51, 0.1212831860876244), (3, 0.09674865806686254), (10, 0.08353448525930278), (40, 0.06523067609844573), (2, 0.05513381613998923), (25, 0.0363068619779338), (29, 0.033844933387874636), (19, 0.03249247641978786), (26, 0.031793329543782764), (41, 0.03178000125256716)]",47
10977,11146,11146,Child Care Regulated Programs,"['Information', 'on', 'OCFS', 'regulated', 'child', 'care', 'programs', 'which', 'includes', 'program', 'overview', 'information', 'and', 'violation', 'history']",NYS Office of Children and Family Services,"['school_district_name', 'latitude', 'facility_status', 'provider_name', 'phone_number_omitted', 'infant_capacity', 'facility_name', 'facility_opened_date', 'county', 'program_type', 'region_code', 'facility_id', 'floor', 'apartment', 'street_name', 'additional_address', 'address_omitted', 'street_number', 'license_issue_date', 'license_expiration_date', 'phone_number', 'phone_extension', 'zip_code', 'city', 'state', 'additional_information', 'school_age_capacity', 'total_capacity', 'toddler_capacity', 'preschool_capacity', 'capacity_description', 'longitude', 'location']","['School District Name', 'Latitude', 'Facility Status', 'Provider Name', 'Phone Number Omitted', 'Infant Capacity', 'Facility Name', 'Facility Opened Date', 'County', 'Program Type', 'Region Code', 'Facility ID', 'Floor', 'Apartment', 'Street Name', 'Additional Address', 'Address Omitted', 'Street Number', 'License Issue Date', 'License Expiration Date', 'Phone Number', 'Phone Extension', 'Zip Code', 'City', 'State', 'Program Profile', 'School Age Capacity', 'Total Capacity', 'Toddler Capacity', 'Preschool Capacity', 'Capacity Description', 'Longitude', 'Location']",dataset,"['health', 'education', 'social services']",Human Services,"['programs', 'violations', 'day care', 'child care']",official,3909.0,83.0,21.0,63535.0,15.9552866455,data.ny.gov,"['programs', 'violations', 'day', 'care', 'child', 'care', 'health', 'education', 'social', 'services', 'human', 'services']","['programs', 'violations', 'day', 'care', 'child', 'care', 'health', 'education', 'social', 'services', 'human', 'services', 'Information', 'on', 'OCFS', 'regulated', 'child', 'care', 'programs', 'which', 'includes', 'program', 'overview', 'information', 'and', 'violation', 'history']","[(0, 0.041048000593744471), (1, 0.039900408065092874), (2, 0.040769230769230724), (3, 0.1252963955973159), (17, 0.22806467485238474), (34, 0.047526583544190967), (39, 0.10424633651659719), (41, 0.08076923076923069), (47, 0.25930221621528843)]","[(47, 0.25930221621528843), (17, 0.22806467485238474), (3, 0.1252963955973159), (39, 0.10424633651659719), (41, 0.08076923076923069), (34, 0.04752658354419097), (0, 0.04104800059374447), (2, 0.040769230769230724), (1, 0.039900408065092874)]",47
16720,16889,16889,Quality Assurance Reporting Requirements: Beginning 2008,"['As', 'a', 'way', 'of', 'monitoring', 'managed', 'care', 'plan', 'performance', 'and', 'improving', 'the', 'quality', 'of', 'care', 'provided', 'to', 'New', 'York', 'State', 'residents', 'the', 'New', 'York', 'State', 'Department', 'of', 'Health', '(NYSDOH)', 'collects', 'data', 'for', 'four', 'types', 'of', 'managed', 'care', 'insurance', '(commercial', 'HMO', 'commercial', 'Preferred', 'Provider', 'Organization', 'Medicaid', 'managed', 'care', 'and', 'Child', 'Health', 'Plus)', 'on', 'an', 'annual', 'basis']",New York State Department of Health,"['sub_domain', 'measurement_year', 'measure_order', 'indicator_of_lower_rate_is_better', 'percentile_90th', 'measure_description', 'rate', 'domain', 'plan_id', 'decimal_indicator', 'percentile_50th', 'level_of_significance', 'region', 'eqarr_table_measures_indicator', 'method_of_data_collection', 'numerator', 'denominator', 'eligible_population', 'percentile_75th', 'report_year', 'plan_name', 'payer', 'percentile_25th', 'measure', 'percentile_10th']","['Sub Domain', 'Measurement Year', 'Measure Order', 'Indicator of lower rate is better', 'Percentile 90th', 'Measure Description', 'Rate', 'Domain', 'Plan ID', 'Decimal Indicator', 'Percentile 50th', 'Level of Significance', 'Region', 'eQARR table Measures Indicator', 'Method of Data Collection', 'Numerator', 'Denominator', 'Eligible Population', 'Percentile 75th', 'Report Year', 'Plan Name', 'Payer', 'Percentile 25th', 'Measure', 'Percentile 10th']",dataset,['health'],Health,"['quality-safety-costs', 'qarr', 'plan performance', 'medicaid', 'managed care']",official,18675.0,135.0,39.0,56472.0,15.7852736528,health.data.ny.gov,"['quality-safety-costs', 'qarr', 'plan', 'performance', 'medicaid', 'managed', 'care', 'health', 'health']","['quality-safety-costs', 'qarr', 'plan', 'performance', 'medicaid', 'managed', 'care', 'health', 'health', 'As', 'a', 'way', 'of', 'monitoring', 'managed', 'care', 'plan', 'performance', 'and', 'improving', 'the', 'quality', 'of', 'care', 'provided', 'to', 'New', 'York', 'State', 'residents', 'the', 'New', 'York', 'State', 'Department', 'of', 'Health', '(NYSDOH)', 'collects', 'data', 'for', 'four', 'types', 'of', 'managed', 'care', 'insurance', '(commercial', 'HMO', 'commercial', 'Preferred', 'Provider', 'Organization', 'Medicaid', 'managed', 'care', 'and', 'Child', 'Health', 'Plus)', 'on', 'an', 'annual', 'basis']","[(0, 0.060995896752168793), (2, 0.084668852211510479), (7, 0.04036173495438735), (10, 0.066995240049785285), (16, 0.027853337520417073), (23, 0.029992896331894302), (27, 0.024656007995944966), (34, 0.029605862836486717), (35, 0.035138326957458464), (39, 0.079348128350478858), (43, 0.16924493970035659), (47, 0.19270449666928843), (49, 0.1434342796698227)]","[(47, 0.19270449666928843), (43, 0.1692449397003566), (49, 0.1434342796698227), (2, 0.08466885221151048), (39, 0.07934812835047886), (10, 0.06699524004978528), (0, 0.06099589675216879), (7, 0.04036173495438735), (35, 0.035138326957458464), (23, 0.029992896331894302), (34, 0.029605862836486717), (16, 0.027853337520417073), (27, 0.024656007995944966)]",47
16847,17016,17016,Managed Long-Term Care Performance Data: Beginning 2014,"['The', 'Managed', 'Long', 'Term', 'Care', '(MLTC)', 'performance', 'data', 'is', 'a', 'semi', 'annual', 'evaluation', 'of', 'New', 'York', 'state', 'certified', 'MLTC', 'plans', 'Rates', 'are', 'calculated', 'for', 'each', 'performance', 'measure', 'by', 'plan', 'and', 'describe', 'their', 'population', 'or', 'assess', 'their', 'quality', 'of', 'care', 'Plans', 'are', 'evaluated', 'on', 'the', 'quality', 'of', 'care', 'they', 'provide', 'and', 'on', 'enrollees’', 'satisfaction']",New York State Department of Health,"['measure', 'percentile_75th', 'year', 'dataset', 'program_type', 'plan_id', 'category', 'type', 'percentile_50th', 'percentile_90th', 'denominator', 'result', 'significance_indicator', 'measurement_period', 'plan_name']","['Measure', 'Percentile 75th ', 'Measurement Year', 'Dataset', 'Program Type', 'Plan ID', 'Category', 'Type', 'Percentile 50th', 'Percentile 90th', 'Denominator', 'Result', 'Significance Indicator', 'Measurement Period', 'Plan Name']",dataset,"['health', 'economy', 'finance']",Health,"['mltc', 'quality-safety-costs', 'quality of care', 'plan performance', 'managed long-term care']",official,706.0,154.0,34.0,41975.0,15.3572770746,health.data.ny.gov,"['mltc', 'quality-safety-costs', 'quality', 'of', 'care', 'plan', 'performance', 'managed', 'long-term', 'care', 'health', 'economy', 'finance', 'health']","['mltc', 'quality-safety-costs', 'quality', 'of', 'care', 'plan', 'performance', 'managed', 'long-term', 'care', 'health', 'economy', 'finance', 'health', 'The', 'Managed', 'Long', 'Term', 'Care', '(MLTC)', 'performance', 'data', 'is', 'a', 'semi', 'annual', 'evaluation', 'of', 'New', 'York', 'state', 'certified', 'MLTC', 'plans', 'Rates', 'are', 'calculated', 'for', 'each', 'performance', 'measure', 'by', 'plan', 'and', 'describe', 'their', 'population', 'or', 'assess', 'their', 'quality', 'of', 'care', 'Plans', 'are', 'evaluated', 'on', 'the', 'quality', 'of', 'care', 'they', 'provide', 'and', 'on', 'enrollees’', 'satisfaction']","[(0, 0.088428399576109526), (2, 0.065635451505016693), (4, 0.023731778468300872), (7, 0.066106767037346872), (10, 0.20696351703319815), (13, 0.022257269386609695), (26, 0.022157190635451494), (28, 0.092400361107128196), (39, 0.034756211555839599), (41, 0.025749330917937869), (43, 0.085753710961093965), (47, 0.20920033377129058), (48, 0.04055533021858912)]","[(47, 0.20920033377129058), (10, 0.20696351703319815), (28, 0.0924003611071282), (0, 0.08842839957610953), (43, 0.08575371096109397), (7, 0.06610676703734687), (2, 0.06563545150501669), (48, 0.04055533021858912), (39, 0.0347562115558396), (41, 0.02574933091793787), (4, 0.023731778468300872), (13, 0.022257269386609695), (26, 0.022157190635451494)]",47
11642,11811,11811,Bills Signed by Governor Kitzhaber (2011),[],,"['relating_to_clause', 'measure_number', 'date', 'signed_or_vetoed']","['Relating to clause', 'Measure number', 'Date', 'Signed or Vetoed']",dataset,[],,"['2011', 'bills', 'governor', 'legislative', 'session', 'signed']",official,882.0,2161.0,513.0,35548.0,15.1175213567,data.oregon.gov,"['2011', 'bills', 'governor', 'legislative', 'session', 'signed']","['2011', 'bills', 'governor', 'legislative', 'session', 'signed']","[(15, 0.16987179487179493), (31, 0.18992600022831047), (44, 0.16987179487179493), (47, 0.3164842561819462)]","[(47, 0.3164842561819462), (31, 0.18992600022831047), (15, 0.16987179487179493), (44, 0.16987179487179493)]",47
11646,11815,11815,Bills Signed by Governor Kitzhaber (2012),[],,"['link_to_more_information', 'signed_or_vetoed', 'measure_number', 'date', 'relating_to_clause']","['Link to more information', 'Signed or Vetoed', 'Measure Number', 'Date', 'Relating to clause']",dataset,['finance'],,"['2012', 'bills', 'governor', 'kitzhaber', 'legislative', 'legislature', 'session', 'signed']",official,904.0,2188.0,523.0,33559.0,15.0344550953,data.oregon.gov,"['2012', 'bills', 'governor', 'kitzhaber', 'legislative', 'legislature', 'session', 'signed', 'finance']","['2012', 'bills', 'governor', 'kitzhaber', 'legislative', 'legislature', 'session', 'signed', 'finance']","[(15, 0.14928307341074609), (24, 0.22435897435897434), (31, 0.13379960609942079), (44, 0.11324786324786323), (47, 0.27888313245564511)]","[(47, 0.2788831324556451), (24, 0.22435897435897434), (15, 0.1492830734107461), (31, 0.1337996060994208), (44, 0.11324786324786323)]",47
16964,17133,17133,Managed Care Regional Consumer Guide,"['The', 'managed', 'care', 'consumer', 'guide', 'data', 'provides', 'information', 'about', 'the', 'quality', 'of', 'care', 'for', 'different', 'health', 'plans', 'as', 'well', 'as', ""people's"", 'opinions', 'about', 'the', 'care', 'and', 'services', 'plans', 'provide', 'This', 'information', 'will', 'help', 'consumers', 'choose', 'a', 'managed', 'care', 'plan', 'that', 'meets', 'their', 'health', 'care', 'needs', 'and', 'the', 'needs', 'of', 'his', 'or', 'her', 'family']",New York State Department of Health,"['domain', 'measuredescription', 'measure', 'plan_id', 'standard_deviation_of_domain_scores', 'plan_name', 'mean_of_total_stars', 'total_stars', 'domain_scores', 'sub_domain', 'domain_rating', 'cg_higher_domain', 'standard_deviation_of_total_stars', 'average_critical_value', 'critical_value', 'cg_domain', 'payer', 'region', 'report_year', 'mean_of_domain_scores', 'measurement_year']","['QARR Domain', 'QARR Measure Description', 'QARR Measure', 'Plan ID', 'Standard Deviation of Domain Scores', 'Plan Name', 'Mean of Total Stars', 'Total Stars', 'Domain Scores', 'QARR Sub Domain', 'Domain Rating', 'CG Higher Domain', 'Standard Deviation of Total Stars', 'Average Critical Value', 'Critical Value', 'CG Domain', 'Payer', 'Region', 'Report Year', 'Mean of Domain Scores', 'Measurement Year']",dataset,"['health', 'finance']",Health,"['quality', 'health plan profiles', 'consumer guides', 'qarr', 'managed care']",official,12756.0,16.0,5.0,32587.0,14.9920531929,health.data.ny.gov,"['quality', 'health', 'plan', 'profiles', 'consumer', 'guides', 'qarr', 'managed', 'care', 'health', 'finance', 'health']","['quality', 'health', 'plan', 'profiles', 'consumer', 'guides', 'qarr', 'managed', 'care', 'health', 'finance', 'health', 'The', 'managed', 'care', 'consumer', 'guide', 'data', 'provides', 'information', 'about', 'the', 'quality', 'of', 'care', 'for', 'different', 'health', 'plans', 'as', 'well', 'as', ""people's"", 'opinions', 'about', 'the', 'care', 'and', 'services', 'plans', 'provide', 'This', 'information', 'will', 'help', 'consumers', 'choose', 'a', 'managed', 'care', 'plan', 'that', 'meets', 'their', 'health', 'care', 'needs', 'and', 'the', 'needs', 'of', 'his', 'or', 'her', 'family']","[(2, 0.11407342657342653), (3, 0.02579425851852191), (10, 0.056029787530724753), (11, 0.044309946890188683), (12, 0.031210861487294132), (17, 0.034503256309912654), (24, 0.045891608391608378), (28, 0.12806591886601812), (34, 0.024505919698103493), (37, 0.041863120705773638), (39, 0.03632336754261075), (47, 0.24883962645428176), (48, 0.024374305574965987), (49, 0.12760620384817734)]","[(47, 0.24883962645428176), (28, 0.12806591886601812), (49, 0.12760620384817734), (2, 0.11407342657342653), (10, 0.05602978753072475), (24, 0.04589160839160838), (11, 0.04430994689018868), (37, 0.04186312070577364), (39, 0.03632336754261075), (17, 0.034503256309912654), (12, 0.03121086148729413), (3, 0.02579425851852191), (34, 0.024505919698103493), (48, 0.024374305574965987)]",47
615,615,615,Pothole Repairs Completed,"['Percent', 'of', 'Salt', 'Lake', 'County', 'potholes', 'repaired', 'within', '72', 'hours']",Salt Lake County Public Works Operations,"['percent', 'date']","['PERCENT', 'DATE']",dataset,[],Government,"['pothole', 'potholes', 'repaired']",official,608.0,7.0,0.0,27125.0,14.727388703,dashboard.slco.org,"['pothole', 'potholes', 'repaired', 'government']","['pothole', 'potholes', 'repaired', 'government', 'Percent', 'of', 'Salt', 'Lake', 'County', 'potholes', 'repaired', 'within', '72', 'hours']","[(0, 0.10233235438697934), (5, 0.10992050177941484), (7, 0.066163092219452907), (30, 0.17237963520311111), (33, 0.1677795597364139), (41, 0.083785838120000788), (47, 0.23107097121734826)]","[(47, 0.23107097121734826), (30, 0.17237963520311111), (33, 0.1677795597364139), (5, 0.10992050177941484), (0, 0.10233235438697934), (41, 0.08378583812000079), (7, 0.06616309221945291)]",47
