,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9347,9516,9516,"Missouri Beer, Wine and Liquor Wholesaler List with Zip Code","['Listing', 'of', 'current', 'Missouri', 'beer', 'wine', 'and', 'liquor', 'wholesalers', 'with', 'their', 'associated', 'zip', 'codes', 'This', 'listing', 'is', 'updated', 'daily']",Missouri Division of Alcohol and Tobacco Control,"['city', 'business_name', 'zip_code', 'license_number', 'license_type']","['City', 'Business Name', 'Zip Code', 'License Number', 'License Type']",dataset,[],Regulatory,"['tax', 'wine', 'missouri', 'zip code', 'excise', 'liquor', 'wholesaler', 'solicitor']",official,,284.0,91.0,619411.0,19.2405398074,data.mo.gov,"['tax', 'wine', 'missouri', 'zip', 'code', 'excise', 'liquor', 'wholesaler', 'solicitor', 'regulatory']","['tax', 'wine', 'missouri', 'zip', 'code', 'excise', 'liquor', 'wholesaler', 'solicitor', 'regulatory', 'Listing', 'of', 'current', 'Missouri', 'beer', 'wine', 'and', 'liquor', 'wholesalers', 'with', 'their', 'associated', 'zip', 'codes', 'This', 'listing', 'is', 'updated', 'daily']","[(10, 0.092180357758846004), (14, 0.23850131887542031), (19, 0.042467948717948671), (22, 0.079674219583286757), (25, 0.047561833102859941), (27, 0.12942201426932995), (40, 0.042467948717948678), (43, 0.25080128205128177), (47, 0.042467948717948671)]","[(43, 0.25080128205128177), (14, 0.2385013188754203), (27, 0.12942201426932995), (10, 0.092180357758846), (22, 0.07967421958328676), (25, 0.04756183310285994), (40, 0.04246794871794868), (19, 0.04246794871794867), (47, 0.04246794871794867)]",43
9348,9517,9517,"Missouri Beer, Wine and Liquor Solicitor List with Zip Code","['Listing', 'of', 'all', 'current', 'beer', 'wine', 'and', 'liquor', 'solicitors', 'and', 'their', 'associated', 'zip', 'code', 'This', 'is', 'updated', 'daily']",Missouri Division of Alcohol and Tobacco Control,"['city', 'license_type', 'license_number', 'business_name', 'zip_code']","['City', 'License Type', 'License Number', 'Business Name', 'Zip Code']",dataset,['environment'],Regulatory,"['beer', 'missouri', 'wholesaler', 'solicitor', 'listing', 'zip code']",official,,254.0,117.0,611645.0,19.2223373858,data.mo.gov,"['beer', 'missouri', 'wholesaler', 'solicitor', 'listing', 'zip', 'code', 'environment', 'regulatory']","['beer', 'missouri', 'wholesaler', 'solicitor', 'listing', 'zip', 'code', 'environment', 'regulatory', 'Listing', 'of', 'all', 'current', 'beer', 'wine', 'and', 'liquor', 'solicitors', 'and', 'their', 'associated', 'zip', 'code', 'This', 'is', 'updated', 'daily']","[(10, 0.052343748575833605), (14, 0.27646643598965182), (22, 0.096153846153846048), (27, 0.19774659199129058), (43, 0.28663003663003633), (47, 0.048534798534798494)]","[(43, 0.28663003663003633), (14, 0.2764664359896518), (27, 0.19774659199129058), (22, 0.09615384615384605), (10, 0.052343748575833605), (47, 0.048534798534798494)]",43
9354,9523,9523,New Liquor Licenses,"['Weekly', 'listing', 'of', 'new', 'Liquor', 'Licenses', 'for', 'the', 'past', '3', 'weeks']",Missouri Division of Alcohol and Tobacco Control,"['state', 'street', 'street_number', 'county', 'subdistrict', 'district', 'original_date', 'current_status', 'license_type', 'businesstype', 'dbaname', 'licensee', 'license_number', 'latlng', 'zip_code', 'city']","['State', 'Street', 'Street Number', 'County', 'SubDistrict', 'District', 'Original Date', 'Current Status', 'License Type', 'BusinessType', 'DBAName', 'Licensee', 'License Number', 'latlng', 'Zip Code', 'City']",dataset,[],Regulatory,"['license', 'new', 'control', 'tobacco', 'liquor', 'alcohol', 'missouri']",official,,495.0,113.0,521665.0,18.9927668821,data.mo.gov,"['license', 'new', 'control', 'tobacco', 'liquor', 'alcohol', 'missouri', 'regulatory']","['license', 'new', 'control', 'tobacco', 'liquor', 'alcohol', 'missouri', 'regulatory', 'Weekly', 'listing', 'of', 'new', 'Liquor', 'Licenses', 'for', 'the', 'past', '3', 'weeks']","[(10, 0.063701923076923031), (12, 0.12620192307692299), (18, 0.063701923076923031), (22, 0.063701923076923031), (24, 0.063701923076923045), (26, 0.08421285228644125), (43, 0.2931909938674046), (47, 0.063701923076923031), (48, 0.12620192307692299)]","[(43, 0.2931909938674046), (12, 0.126201923076923), (48, 0.126201923076923), (26, 0.08421285228644125), (24, 0.06370192307692304), (10, 0.06370192307692303), (18, 0.06370192307692303), (22, 0.06370192307692303), (47, 0.06370192307692303)]",43
1916,1916,1916,Beach Weather Stations - Automated Sensors - 2016 - Humidity,"['The', 'Chicago', 'Park', 'District', 'maintains', 'weather', 'sensors', 'at', 'beaches', 'along', ""Chicago's"", 'Lake', 'Michigan', 'lakefront', 'These', 'sensors', 'generally', 'capture', 'the', 'indicated', 'measurements', 'hourly', 'while', 'the', 'sensors', 'are', 'in', 'operation', 'during', 'the', 'summer', 'During', 'other', 'seasons', 'and', 'at', 'some', 'other', 'times', 'information', 'from', 'the', 'sensors', 'may', 'not', 'be', 'available', 'See', 'https', '//data', 'cityofchicago', 'org/id/qmqz', '2xku', 'for', 'a', 'dataset', 'with', 'similar', 'measurements', 'on', 'the', 'lake', 'water', 'itself']",Chicago Park District,"['maximum_wind_speed', 'wind_direction', 'humidity', 'heading', 'wet_bulb_temperature', 'measurement_timestamp', 'measurement_id', 'air_temperature', 'wind_speed', 'interval_rain', 'solar_radiation', 'total_rain', 'battery_life', 'measurement_timestamp_label', 'barometric_pressure', 'station_name', 'rain_intensity', 'precipitation_type']","['Maximum Wind Speed', 'Wind Direction', 'Humidity', 'Heading', 'Wet Bulb Temperature', 'Measurement Timestamp', 'Measurement ID', 'Air Temperature', 'Wind Speed', 'Interval Rain', 'Solar Radiation', 'Total Rain', 'Battery Life', 'Measurement Timestamp Label', 'Barometric Pressure', 'Station Name', 'Rain Intensity', 'Precipitation Type']",chart,"['environment', 'recreation', 'transportation']",Parks & Recreation,"['beaches', 'chicago park district', 'water', 'recreation', 'parks & recreation', 'parks', 'open spaces']",official,,83.0,16.0,516428.0,18.9782104917,data.cityofchicago.org,"['beaches', 'chicago', 'park', 'district', 'water', 'recreation', 'parks', '&', 'recreation', 'parks', 'open', 'spaces', 'environment', 'recreation', 'transportation', 'parks', '&', 'recreation']","['beaches', 'chicago', 'park', 'district', 'water', 'recreation', 'parks', '&', 'recreation', 'parks', 'open', 'spaces', 'environment', 'recreation', 'transportation', 'parks', '&', 'recreation', 'The', 'Chicago', 'Park', 'District', 'maintains', 'weather', 'sensors', 'at', 'beaches', 'along', ""Chicago's"", 'Lake', 'Michigan', 'lakefront', 'These', 'sensors', 'generally', 'capture', 'the', 'indicated', 'measurements', 'hourly', 'while', 'the', 'sensors', 'are', 'in', 'operation', 'during', 'the', 'summer', 'During', 'other', 'seasons', 'and', 'at', 'some', 'other', 'times', 'information', 'from', 'the', 'sensors', 'may', 'not', 'be', 'available', 'See', 'https', '//data', 'cityofchicago', 'org/id/qmqz', '2xku', 'for', 'a', 'dataset', 'with', 'similar', 'measurements', 'on', 'the', 'lake', 'water', 'itself']","[(3, 0.021525015427646794), (9, 0.20595690394610353), (27, 0.047232347549282336), (39, 0.079249172988220803), (43, 0.62865490328401274)]","[(43, 0.6286549032840127), (9, 0.20595690394610353), (39, 0.0792491729882208), (27, 0.047232347549282336), (3, 0.021525015427646794)]",43
10950,11119,11119,Lottery Powerball Winning Numbers: Beginning 2010,"['Go', 'to', 'http', '//on', 'ny', 'gov/1GpWiHD', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Powerball', 'results', 'and', 'payouts']",New York State Gaming Commission,"['draw_date', 'multiplier', 'winning_numbers']","['Draw Date', 'Multiplier', 'Winning Numbers']",dataset,[],Government & Finance,"['new york lottery', 'powerball', 'winning', 'results']",official,227701.0,648.0,187.0,279990.0,18.0950209285,data.ny.gov,"['new', 'york', 'lottery', 'powerball', 'winning', 'results', 'government', '&', 'finance']","['new', 'york', 'lottery', 'powerball', 'winning', 'results', 'government', '&', 'finance', 'Go', 'to', 'http', '//on', 'ny', 'gov/1GpWiHD', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'Powerball', 'results', 'and', 'payouts']","[(18, 0.048534798534798508), (24, 0.048534798534798494), (28, 0.048534798534798494), (31, 0.26332204510717577), (33, 0.066908539319759985), (43, 0.33399210403651319), (46, 0.048534798534798508), (50, 0.10134507710431623)]","[(43, 0.3339921040365132), (31, 0.2633220451071758), (50, 0.10134507710431623), (33, 0.06690853931975999), (18, 0.04853479853479851), (46, 0.04853479853479851), (24, 0.048534798534798494), (28, 0.048534798534798494)]",43
10953,11122,11122,Lottery NY Lotto Winning Numbers: Beginning 2001,"['Go', 'to', 'http', '//on', 'ny', 'gov/1BbsR6n', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'NY', 'Lotto', 'results', 'and', 'payouts']",New York State Gaming Commission,"['extra', 'winning_numbers', 'bonus', 'draw_date']","['Extra #', 'Winning Numbers', 'Bonus #', 'Draw Date']",dataset,[],Government & Finance,"['winning', 'lotto', 'drawing', 'new york lottery', 'results']",official,5834.0,435.0,140.0,207647.0,17.6637804507,data.ny.gov,"['winning', 'lotto', 'drawing', 'new', 'york', 'lottery', 'results', 'government', '&', 'finance']","['winning', 'lotto', 'drawing', 'new', 'york', 'lottery', 'results', 'government', '&', 'finance', 'Go', 'to', 'http', '//on', 'ny', 'gov/1BbsR6n', 'on', 'the', 'New', 'York', 'Lottery', 'website', 'for', 'past', 'NY', 'Lotto', 'results', 'and', 'payouts']","[(12, 0.044314381270902987), (18, 0.044314381270902987), (24, 0.044314381270902987), (28, 0.044314381270902987), (30, 0.044314381270902987), (31, 0.2403248781029341), (33, 0.061243317845485992), (38, 0.087792642140468197), (43, 0.26142622614395389), (50, 0.0925239725564551)]","[(43, 0.2614262261439539), (31, 0.2403248781029341), (50, 0.0925239725564551), (38, 0.0877926421404682), (33, 0.06124331784548599), (12, 0.04431438127090299), (18, 0.04431438127090299), (24, 0.04431438127090299), (28, 0.04431438127090299), (30, 0.04431438127090299)]",43
10955,11124,11124,Current Season Spring Trout Stocking Data Lens,"['<div>DEC', 'stocks', 'more', 'than', '2', '3', 'million', 'catchable', 'size', 'brook', 'brown', 'and', 'rainbow', 'trout', 'in', 'over', '309', 'lakes', 'and', 'ponds', 'and', 'roughly', '2', '900', 'miles', 'of', 'streams', 'across', 'the', 'state', 'each', 'spring', 'This', 'dataset', 'represents', 'the', 'planned', 'stocking', 'numbers', 'species', 'and', 'time', 'of', 'spring', 'for', 'those', 'waters', 'for', 'the', 'current', 'fishing', 'season', 'These', 'are', 'planned', 'stockings', 'for', 'the', 'year', 'reported', 'Actual', 'stocking', 'may', 'differ', 'depending', 'on', 'fish', 'availability', 'weather', 'conditions', 'and', 'other', 'factors', 'during', 'the', 'year', 'of', 'stocking', 'nbsp;The', 'current', 'stocking', 'data', 'is', 'updated', 'annually', 'in', 'mid', 'March', '<br></div>']",NYS DEC,"['species_name', 'date', 'dec_region', 'year', 'number', 'waterbody', 'town', 'county', 'size_inches']","['Species Name', 'Date', 'DEC Region', 'Year', 'Number', 'Waterbody', 'Town', 'County', 'Size (inches )']",datalens,"['economy', 'environment', 'demographics']",Recreation,"['rainbow trout', 'brown trout', 'brook trout', 'streams', 'ponds', 'lakes', 'river', 'stocking']",official,11.0,7888.0,1856.0,131740.0,17.0073448807,data.ny.gov,"['rainbow', 'trout', 'brown', 'trout', 'brook', 'trout', 'streams', 'ponds', 'lakes', 'river', 'stocking', 'economy', 'environment', 'demographics', 'recreation']","['rainbow', 'trout', 'brown', 'trout', 'brook', 'trout', 'streams', 'ponds', 'lakes', 'river', 'stocking', 'economy', 'environment', 'demographics', 'recreation', '<div>DEC', 'stocks', 'more', 'than', '2', '3', 'million', 'catchable', 'size', 'brook', 'brown', 'and', 'rainbow', 'trout', 'in', 'over', '309', 'lakes', 'and', 'ponds', 'and', 'roughly', '2', '900', 'miles', 'of', 'streams', 'across', 'the', 'state', 'each', 'spring', 'This', 'dataset', 'represents', 'the', 'planned', 'stocking', 'numbers', 'species', 'and', 'time', 'of', 'spring', 'for', 'those', 'waters', 'for', 'the', 'current', 'fishing', 'season', 'These', 'are', 'planned', 'stockings', 'for', 'the', 'year', 'reported', 'Actual', 'stocking', 'may', 'differ', 'depending', 'on', 'fish', 'availability', 'weather', 'conditions', 'and', 'other', 'factors', 'during', 'the', 'year', 'of', 'stocking', 'nbsp;The', 'current', 'stocking', 'data', 'is', 'updated', 'annually', 'in', 'mid', 'March', '<br></div>']","[(1, 0.017076551208484152), (2, 0.037139972411618205), (4, 0.12752167987228047), (7, 0.055223443732111771), (9, 0.098954448592373526), (12, 0.022873440926803417), (13, 0.045817095015491062), (14, 0.017012218941793063), (15, 0.013274868044269776), (22, 0.020265605357094131), (27, 0.10738037290293073), (28, 0.017010836271560227), (30, 0.063973816227224922), (31, 0.04253464850764891), (33, 0.016557691899940795), (35, 0.015447630359772781), (37, 0.016155298368981455), (42, 0.022660692017008009), (43, 0.21894148127209884), (50, 0.015386999279304901)]","[(43, 0.21894148127209884), (4, 0.12752167987228047), (27, 0.10738037290293073), (9, 0.09895444859237353), (30, 0.06397381622722492), (7, 0.05522344373211177), (13, 0.04581709501549106), (31, 0.04253464850764891), (2, 0.037139972411618205), (12, 0.022873440926803417), (42, 0.02266069201700801), (22, 0.02026560535709413), (1, 0.017076551208484152), (14, 0.017012218941793063), (28, 0.017010836271560227), (33, 0.016557691899940795), (37, 0.016155298368981455), (35, 0.015447630359772781), (50, 0.0153869992793049), (15, 0.013274868044269776)]",43
11631,11800,11800,Oregon's Boating Access Sites,"['Find', 'a', 'boat', 'ramp', 'in', 'a', 'location', 'near', 'you!', 'Hundreds', 'of', 'boating', 'access', 'points', 'amenities', 'and', 'launch', 'information', 'is', 'available', 'from', 'this', 'map', 'New', 'coordinates', 'are', 'being', 'added', 'and', 'other', 'information', 'to', 'make', 'your', 'boating', 'excursion', 'fast', 'and', 'easy']",Oregon State Marine Board,"['launch_fee', 'county', 'waterbody', 'waterbody_aka_', 'telephone', 'photo', 'boater_services', 'trailer_parking', 'website', 'boat_wash_station', 'icon_url', 'use', 'longitude', 'facility_also_known_as_aka_', 'facilityphoto', 'facility_aka2', 'comments', 'managed_by_aka_', 'dump_station', 'pumpout', 'location', 'additional_local_information', 'managed_by', 'boating_facility_name', 'fish_cleaning_station', 'gas_on_the_water', 'ada_parking', 'diesel_on_the_water', 'restroom', 'construction', 'supplies', 'moorage', 'pump_dump_location', 'ada_restroom', 'number_of_car_spaces', 'transient_dock_footage', 'code', 'latitude', 'ramp_type_lanes']","['Use Fee', 'County', 'Waterbody', 'Waterbody (AKA)', 'Telephone', 'Photo', 'Boater Services', 'Number of Trailer Spaces', 'Website URL', 'Boat Wash Station', 'Icon_URL', 'Use', 'Longitude', 'Facility Also Known As (AKA)', 'Facility Photo', 'Facility AKA2', 'Comments', 'Managed By (AKA)', 'Dump Station', 'Pumpout', 'Location', 'Details', 'Managed By', 'Boating Facility Name', 'Fish Cleaning Station', 'Gas on the Water', 'ADA Parking', 'Diesel on the Water', 'Restroom', 'Construction', 'Supplies', 'Moorage', 'Pump/Dump Location', 'ADA Restroom', 'Number of Car Spaces', 'Transient Dock Footage', 'Code', 'Latitude', 'Ramp Type/ Number of Lanes']",map,"['demographics', 'transportation', 'recreation']",Recreation,"['angling', 'bays', 'boating access', 'boating facilities', 'boating in oregon', 'boat launches', 'boat ramps', 'campgrounds', 'canoeing', 'cruising', 'fishing', 'kayaking', 'lakes', 'marine board', 'pacific ocean', 'parks', 'recreational boating', 'reservoirs', 'restrooms', 'rivers', 'waterskiing', 'waterway access']",official,1001.0,198.0,13.0,113038.0,16.7864610825,data.oregon.gov,"['angling', 'bays', 'boating', 'access', 'boating', 'facilities', 'boating', 'in', 'oregon', 'boat', 'launches', 'boat', 'ramps', 'campgrounds', 'canoeing', 'cruising', 'fishing', 'kayaking', 'lakes', 'marine', 'board', 'pacific', 'ocean', 'parks', 'recreational', 'boating', 'reservoirs', 'restrooms', 'rivers', 'waterskiing', 'waterway', 'access', 'demographics', 'transportation', 'recreation', 'recreation']","['angling', 'bays', 'boating', 'access', 'boating', 'facilities', 'boating', 'in', 'oregon', 'boat', 'launches', 'boat', 'ramps', 'campgrounds', 'canoeing', 'cruising', 'fishing', 'kayaking', 'lakes', 'marine', 'board', 'pacific', 'ocean', 'parks', 'recreational', 'boating', 'reservoirs', 'restrooms', 'rivers', 'waterskiing', 'waterway', 'access', 'demographics', 'transportation', 'recreation', 'recreation', 'Find', 'a', 'boat', 'ramp', 'in', 'a', 'location', 'near', 'you!', 'Hundreds', 'of', 'boating', 'access', 'points', 'amenities', 'and', 'launch', 'information', 'is', 'available', 'from', 'this', 'map', 'New', 'coordinates', 'are', 'being', 'added', 'and', 'other', 'information', 'to', 'make', 'your', 'boating', 'excursion', 'fast', 'and', 'easy']","[(3, 0.076697157576086208), (4, 0.019717817403865218), (8, 0.0172716800566339), (9, 0.2372362168949646), (11, 0.017879704167570475), (12, 0.042654929043543392), (18, 0.069426624079971674), (20, 0.068577268316324394), (31, 0.017312428952790528), (38, 0.019575866330852502), (39, 0.018358061695423086), (43, 0.38247173266146206)]","[(43, 0.38247173266146206), (9, 0.2372362168949646), (3, 0.07669715757608621), (18, 0.06942662407997167), (20, 0.0685772683163244), (12, 0.04265492904354339), (4, 0.019717817403865218), (38, 0.019575866330852502), (39, 0.018358061695423086), (11, 0.017879704167570475), (31, 0.017312428952790528), (8, 0.0172716800566339)]",43
11632,11801,11801,Motorboat Restrictions in Oregon,"['Waterbodies', 'where', 'the', 'use', 'of', 'motors', 'are', 'prohibited', 'Waterways', 'where', 'motor', 'boats', 'are', 'not', 'allowed', 'are', 'established', 'in', 'Oregon', 'Administrative', 'Rule', '250', 'or', 'Oregon', 'Statute', '830']",Oregon State Marine Board,"['untitled', '_waterway_segment', 'waterway', 'county_', 'prohibited_segment_s_']","['click on left arrow', '*River Segment Restrictions', 'Waterway', 'County ', 'Prohibited Segment(s)']",dataset,"['demographics', 'public safety']",Recreation,"['inboard', 'jet boats', 'motor boats', 'motor restrictions', 'motors prohibited', 'outboard', 'speed boats', 'stern drive motor boats']",official,837.0,12.0,3.0,89919.0,16.4563544151,data.oregon.gov,"['inboard', 'jet', 'boats', 'motor', 'boats', 'motor', 'restrictions', 'motors', 'prohibited', 'outboard', 'speed', 'boats', 'stern', 'drive', 'motor', 'boats', 'demographics', 'public', 'safety', 'recreation']","['inboard', 'jet', 'boats', 'motor', 'boats', 'motor', 'restrictions', 'motors', 'prohibited', 'outboard', 'speed', 'boats', 'stern', 'drive', 'motor', 'boats', 'demographics', 'public', 'safety', 'recreation', 'Waterbodies', 'where', 'the', 'use', 'of', 'motors', 'are', 'prohibited', 'Waterways', 'where', 'motor', 'boats', 'are', 'not', 'allowed', 'are', 'established', 'in', 'Oregon', 'Administrative', 'Rule', '250', 'or', 'Oregon', 'Statute', '830']","[(3, 0.10862785862785865), (9, 0.029644084656179782), (11, 0.059000678689388721), (18, 0.028221320399927457), (19, 0.027546777546777552), (20, 0.081600831600831619), (21, 0.093996489673855932), (23, 0.068221018339628584), (24, 0.027546777546777552), (27, 0.027558525515680252), (28, 0.054573804573804584), (43, 0.18348262285007949), (44, 0.1626819126819127), (47, 0.027546777546777552)]","[(43, 0.1834826228500795), (44, 0.1626819126819127), (3, 0.10862785862785865), (21, 0.09399648967385593), (20, 0.08160083160083162), (23, 0.06822101833962858), (11, 0.05900067868938872), (28, 0.054573804573804584), (9, 0.029644084656179782), (18, 0.028221320399927457), (27, 0.027558525515680252), (19, 0.027546777546777552), (24, 0.027546777546777552), (47, 0.027546777546777552)]",43
10960,11129,11129,"Wineries, Breweries, and Distilleries Map","['Liquor', 'Authority', 'quarterly', 'list', 'of', 'all', 'active', 'licensees', 'in', 'NYS', 'filtered', 'by', 'Winery', 'and', 'Brewery', 'specific', 'License', 'Types']",New York State Liquor Authority,"['location', 'license_expiration_date', 'latitude', 'longitude', 'agency_zone_office_name', 'agency_zone_office_number', 'license_certificate_number', 'license_original_issue_date', 'city', 'additional_address_information_address2', 'actual_address_of_premises_address1', 'doing_business_as_dba', 'zip', 'state', 'license_type_code', 'license_class_code', 'license_type_name', 'license_serial_number', 'premises_name', 'county_name_licensee', 'license_effective_date']","['Location', 'License Expiration Date', 'Latitude', 'Longitude', 'Agency Zone Office Name', 'Agency Zone Office Number', 'License Certificate Number', 'License Original Issue Date', 'City', 'Additional Address Information (Address2)', 'Actual Address of Premises (Address1)', 'Doing Business As (DBA)', 'Zip', 'State', 'License Type Code', 'License Class Code', 'License Type Name', 'License Serial Number', 'Premises Name', 'County Name (Licensee)', 'License Effective Date']",map,['infrastructure'],Economic Development,"['drug store', 'grocery', 'club', 'bar', 'restaurant', 'liquor', 'wine', 'beer', 'distiller', 'cidery', 'brewer', 'mapping', 'wholesale', 'farm', 'licenses']",official,2752.0,452.0,103.0,82052.0,16.3242684617,data.ny.gov,"['drug', 'store', 'grocery', 'club', 'bar', 'restaurant', 'liquor', 'wine', 'beer', 'distiller', 'cidery', 'brewer', 'mapping', 'wholesale', 'farm', 'licenses', 'infrastructure', 'economic', 'development']","['drug', 'store', 'grocery', 'club', 'bar', 'restaurant', 'liquor', 'wine', 'beer', 'distiller', 'cidery', 'brewer', 'mapping', 'wholesale', 'farm', 'licenses', 'infrastructure', 'economic', 'development', 'Liquor', 'Authority', 'quarterly', 'list', 'of', 'all', 'active', 'licensees', 'in', 'NYS', 'filtered', 'by', 'Winery', 'and', 'Brewery', 'specific', 'License', 'Types']","[(3, 0.033286306716272147), (13, 0.061188811188811185), (22, 0.03185964907270708), (30, 0.062170753633126331), (35, 0.11493320260360691), (41, 0.062203630164897959), (43, 0.33391608391608385), (45, 0.061498304700668444), (48, 0.1198125731350263), (49, 0.063892922201453539), (50, 0.031344988774572147)]","[(43, 0.33391608391608385), (48, 0.1198125731350263), (35, 0.11493320260360691), (49, 0.06389292220145354), (41, 0.06220363016489796), (30, 0.06217075363312633), (45, 0.061498304700668444), (13, 0.061188811188811185), (3, 0.03328630671627215), (22, 0.03185964907270708), (50, 0.03134498877457215)]",43
