,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
1918,1918,1918,Lobbyist Data - Historical - Lobbyist Registry - 2010,"['All', 'lobbyist', 'registration', 'fillings', 'submitted', 'to', 'the', 'Board', 'of', 'Ethics', 'during', 'the', '2010', 'reporting', 'period', '/', 'All', 'lobbyists', 'must', 'register', 'with', 'the', 'City', 'of', 'Chicago', 'Board', 'of', 'Ethics', 'by', 'filing', 'a', 'Statement', 'of', 'Registration', 'within', 'five', 'business', 'days', 'of', 'engaging', 'in', 'lobbying', 'activity', 'and', 'annually', 'thereafter', 'by', 'January', '20th', 'Lobbyist', 'registration', 'information', 'is', 'submitted', 'to', 'the', 'Board', 'of', 'Ethics', 'in', 'paper', 'form', 'and', 'is', 'available', 'in', 'its', 'entirety', 'in', 'the', ""Board's"", 'offices', 'The', 'Board', 'has', 'since', '2000', 'compiled', 'and', 'posted', 'static', 'lists', 'of', 'all', 'lobbyists', 'and', 'their', 'clients', 'online', 'Data', 'for', 'the', '2010', 'reporting', 'period', 'is', 'limited', 'because', 'previous', 'policy', 'did', 'not', 'require', 'the', 'Board', 'of', 'Ethics', 'to', 'prioritize', 'the', 'reporting', 'of', 'all', 'data', 'available', 'from', 'paper', 'filings', 'Moving', 'forward', 'the', 'Board', 'of', 'Ethics', 'will', 'compile', 'and', 'report', 'more', 'data', 'about', 'lobbyists', 'and', 'their', 'activities', 'and', 'make', 'that', 'additional', 'information', 'publicly', 'available', 'in', 'machine', 'readable', 'format', '/', 'Data', 'Owner', 'Board', 'of', 'Ethics', '[http', '//j', 'mp/mbH9BN]', '/', 'Time', 'Period', 'January', '1', '2010', 'to', 'December', '31', '2010', '/', 'Related', 'Applications', 'Registered', 'Lobbyist', 'List', '[http', '//j', 'mp/l8LwAq]', '2011', 'Lobbyist', 'Registry', '[http', '//j', 'mp/ifigjs]']",City of Chicago,"['registered_employers_names', 'lobbyist_last_name', 'lobbyist_first_name', 'lobbyist_address', 'lobbyist_city', 'lobbyist_zip', 'lobbying_clients_names']","['REGISTERED EMPLOYERS NAMES', 'LOBBYIST LAST NAME', 'LOBBYIST FIRST NAME', 'LOBBYIST ADDRESS', 'LOBBYIST CITY', 'LOBBYIST ZIP', 'LOBBYING CLIENTS NAMES']",dataset,['politics'],Ethics,"['historical', 'lobbyists']",official,2117.0,53.0,14.0,369093.0,18.4936287597,data.cityofchicago.org,"['historical', 'lobbyists', 'politics', 'ethics']","['historical', 'lobbyists', 'politics', 'ethics', 'All', 'lobbyist', 'registration', 'fillings', 'submitted', 'to', 'the', 'Board', 'of', 'Ethics', 'during', 'the', '2010', 'reporting', 'period', '/', 'All', 'lobbyists', 'must', 'register', 'with', 'the', 'City', 'of', 'Chicago', 'Board', 'of', 'Ethics', 'by', 'filing', 'a', 'Statement', 'of', 'Registration', 'within', 'five', 'business', 'days', 'of', 'engaging', 'in', 'lobbying', 'activity', 'and', 'annually', 'thereafter', 'by', 'January', '20th', 'Lobbyist', 'registration', 'information', 'is', 'submitted', 'to', 'the', 'Board', 'of', 'Ethics', 'in', 'paper', 'form', 'and', 'is', 'available', 'in', 'its', 'entirety', 'in', 'the', ""Board's"", 'offices', 'The', 'Board', 'has', 'since', '2000', 'compiled', 'and', 'posted', 'static', 'lists', 'of', 'all', 'lobbyists', 'and', 'their', 'clients', 'online', 'Data', 'for', 'the', '2010', 'reporting', 'period', 'is', 'limited', 'because', 'previous', 'policy', 'did', 'not', 'require', 'the', 'Board', 'of', 'Ethics', 'to', 'prioritize', 'the', 'reporting', 'of', 'all', 'data', 'available', 'from', 'paper', 'filings', 'Moving', 'forward', 'the', 'Board', 'of', 'Ethics', 'will', 'compile', 'and', 'report', 'more', 'data', 'about', 'lobbyists', 'and', 'their', 'activities', 'and', 'make', 'that', 'additional', 'information', 'publicly', 'available', 'in', 'machine', 'readable', 'format', '/', 'Data', 'Owner', 'Board', 'of', 'Ethics', '[http', '//j', 'mp/mbH9BN]', '/', 'Time', 'Period', 'January', '1', '2010', 'to', 'December', '31', '2010', '/', 'Related', 'Applications', 'Registered', 'Lobbyist', 'List', '[http', '//j', 'mp/l8LwAq]', '2011', 'Lobbyist', 'Registry', '[http', '//j', 'mp/ifigjs]']","[(5, 0.012195230269237509), (12, 0.014615783445152236), (18, 0.013990559115201985), (19, 0.01081892516509614), (27, 0.23030589475068936), (33, 0.58136972381653651), (35, 0.011443732894135607), (38, 0.012356317439548953), (42, 0.09532110694532088), (48, 0.0103062188825731)]","[(33, 0.5813697238165365), (27, 0.23030589475068936), (42, 0.09532110694532088), (12, 0.014615783445152236), (18, 0.013990559115201985), (38, 0.012356317439548953), (5, 0.012195230269237509), (35, 0.011443732894135607), (19, 0.01081892516509614), (48, 0.0103062188825731)]",33
10951,11120,11120,NYS Attorney Registrations,"['The', 'data', 'included', 'here', 'is', 'the', 'information', 'in', 'the', 'NYS', 'Attorney', 'Registration', 'Database', 'that', 'is', 'deemed', 'public', 'information', 'pursuant', 'to', '22', 'NYCRR', '118']",NYS Unified Court System,"['middle_name', 'last_name', 'law_school', 'status', 'next_registration', 'suffix', 'company_name', 'street_1', 'street_2', 'city', 'state', 'zip', 'zip_plus_four', 'country', 'phone_number', 'county', 'email_address', 'year_admitted', 'judicial_department_of_admission', 'registration_number', 'first_name']","['Middle Name', 'Last Name', 'Law School', 'Status', 'Next Registration', 'Suffix', 'Company Name', 'Street 1', 'Street 2', 'City', 'State', 'Zip', 'Zip Plus Four', 'Country', 'Phone Number', 'County', 'Email Address', 'Year Admitted', 'Judicial Department of Admission', 'Registration Number', 'First Name']",dataset,[],Transparency,"['integrity', 'attorney', 'registrations']",official,22822.0,1537.0,355.0,262985.0,18.0046264745,data.ny.gov,"['integrity', 'attorney', 'registrations', 'transparency']","['integrity', 'attorney', 'registrations', 'transparency', 'The', 'data', 'included', 'here', 'is', 'the', 'information', 'in', 'the', 'NYS', 'Attorney', 'Registration', 'Database', 'that', 'is', 'deemed', 'public', 'information', 'pursuant', 'to', '22', 'NYCRR', '118']","[(2, 0.059954751131221666), (4, 0.1679994807577678), (15, 0.073439613596115685), (26, 0.059954751131221666), (27, 0.092329163591152064), (33, 0.35144938114231045), (43, 0.085144351862879511), (44, 0.059954751131221666)]","[(33, 0.35144938114231045), (4, 0.1679994807577678), (27, 0.09232916359115206), (43, 0.08514435186287951), (15, 0.07343961359611569), (2, 0.059954751131221666), (26, 0.059954751131221666), (44, 0.059954751131221666)]",33
10965,11134,11134,Registered Lobbyist Disclosures: Beginning 2007,"['Data', 'provided', 'by', 'Lobbyist', 'in', 'their', 'Biennial', 'Registration', 'and', 'Bi', 'monthly', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']",NYS Joint Commission on Public Ethics,"['government_level', 'procurement_subjects_2', 'procurement_number_1', 'procurement_number_2', 'procurement_subjects_1', 'procurement_details_1', 'lobbyist_subjects_1', 'person_1', 'client_zip', 'lr_responsible_party_first_name', 'client_business_nature', 'procurement_details_2', 'lobbying_type', 'lobbyist_subjects_2', 'total_expenses', 'lobbyist_phone', 'lobbyist_email', 'lobbyist_state', 'lobbyist_city', 'bill_details_2', 'lobbyist_zip', 'client_address_1', 'additional_lobbyists_lbr', 'bill_details_1', 'lobbyist_address_1', 'additional_lobbyists_lr', 'client_name', 'client_address_2', 'lobbyist_name', 'client_city', 'reporting_period', 'client_phone', 'lr_responsible_party_last_name', 'lobbyist_address_2', 'total_compensation', 'client_state', 'lobbyist_type', 'reporting_year', 'person_2', 'total_reimbursed']","['Government Level', 'Procurement Subjects 2', 'Procurement Number 1', 'Procurement Number 2', 'Procurement Subjects 1', 'Procurement Details 1', 'Lobbyist Subjects 1', 'Person 1', 'Client Zip', 'LR Responsible Party First Name', 'Client Business Nature', 'Procurement Details  2', 'Lobbying Type', 'Lobbyist Subjects 2', 'Total Expenses', 'Lobbyist Phone', 'Lobbyist Email', 'Lobbyist State', 'Lobbyist City', 'Bill Details 2', 'Lobbyist Zip', 'Client Address 1', 'Additional Lobbyists  LBR', 'Bill Details 1', 'Lobbyist Address 1', 'Additional Lobbyists LR', 'Client Name', 'Client Address 2', 'Lobbyist Name', 'Client City', 'Reporting Period', 'Client Phone', 'LR Responsible Party Last Name', 'Lobbyist Address 2', 'Total Compensation', 'Client State', 'Lobbyist Type', 'Reporting Year', 'Person 2', 'Total Reimbursed']",dataset,"['politics', 'finance', 'infrastructure']",Transparency,"['integrity', 'lobbyist disclosures']",official,2230.0,42.0,14.0,72823.0,16.1521263653,data.ny.gov,"['integrity', 'lobbyist', 'disclosures', 'politics', 'finance', 'infrastructure', 'transparency']","['integrity', 'lobbyist', 'disclosures', 'politics', 'finance', 'infrastructure', 'transparency', 'Data', 'provided', 'by', 'Lobbyist', 'in', 'their', 'Biennial', 'Registration', 'and', 'Bi', 'monthly', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']","[(5, 0.048534798534798508), (9, 0.085293977836800483), (14, 0.07967442659762515), (17, 0.050981982079786457), (27, 0.056142086059124657), (31, 0.14863525203384914), (33, 0.3731777399111551), (40, 0.056930326946940758), (43, 0.061252120622629844)]","[(33, 0.3731777399111551), (31, 0.14863525203384914), (9, 0.08529397783680048), (14, 0.07967442659762515), (43, 0.061252120622629844), (40, 0.05693032694694076), (27, 0.05614208605912466), (17, 0.05098198207978646), (5, 0.04853479853479851)]",33
10967,11136,11136,Lobbying Clients Disclosures: Beginning 2007,"['Data', 'provided', 'by', 'Lobbying', 'Clients', 'in', 'their', 'Semi', 'Annual', 'filings', 'submitted', 'to', 'the', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']",NYS Joint Commission on Public Ethics,"['client_name', 'procurement_number_2', 'bill_details_2', 'title_details_1', 'person_2', 'client_city', 'client_address_1', 'client_phone', 'lobbyist_subjects_2', 'procurement_subjects_2', 'client_address_2', 'client_zip', 'csr_responsible_person_last_name', 'client_state', 'lobbyist_subjects_1', 'csr_responsible_person_first_name', 'procurement_subjects_1', 'total_expenses', 'client_email', 'procurement_number_1', 'bill_details_1', 'reporting_year', 'reporting_period', 'total_compensation', 'person_1', 'csr_third_party_name', 'title_details_2']","['Client Name', 'Procurement Number 2', 'Bill Details 2', 'Title Details 1', 'Person 2', 'Client City', 'Client Address 1', 'Client Phone', 'Lobbyist Subjects 2', 'Procurement Subjects 2', 'Client Address 2', 'Client Zip', 'CSR Responsible Person Last Name', 'Client State', 'Lobbyist Subjects 1', 'CSR Responsible Person First Name', 'Procurement Subjects 1', 'Total Expenses', 'Client Email', 'Procurement Number 1', 'Bill Details 1', 'Reporting Year', 'Reporting Period', 'Total Compensation', 'Person 1', 'CSR Third Party Name', 'Title Details 2']",dataset,"['politics', 'demographics', 'infrastructure']",Transparency,"['disclosures', 'integrity', 'lobbying clients']",official,4104.0,43.0,12.0,72285.0,16.1414286396,data.ny.gov,"['disclosures', 'integrity', 'lobbying', 'clients', 'politics', 'demographics', 'infrastructure', 'transparency']","['disclosures', 'integrity', 'lobbying', 'clients', 'politics', 'demographics', 'infrastructure', 'transparency', 'Data', 'provided', 'by', 'Lobbying', 'Clients', 'in', 'their', 'Semi', 'Annual', 'filings', 'submitted', 'to', 'the', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']","[(5, 0.048534798534798501), (17, 0.050358597655906528), (26, 0.09615384615384609), (27, 0.12324513526508402), (31, 0.12939703338176842), (33, 0.41115704154882771), (43, 0.099944756250976902)]","[(33, 0.4111570415488277), (31, 0.12939703338176842), (27, 0.12324513526508402), (43, 0.0999447562509769), (26, 0.09615384615384609), (17, 0.05035859765590653), (5, 0.0485347985347985)]",33
10968,11137,11137,Registered Public Corporations Disclosures: Beginning 2007,"['Data', 'provided', 'by', 'Public', 'Corporation', 'in', 'their', 'Biennial', 'Registration', 'and', 'Bi', 'monthly', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']",NYS Joint Commission on Public Ethics,"['phone', 'address_2', 'name', 'pc_business_nature', 'in_house_lobbyist', 'lobbying_type', 'procurement_subjects', 'reporting_year', 'lobbyist_subjects', 'address_1', 'city', 'procurement_details', 'state', 'reporting_period', 'pr_responsible_person_last_name', 'procurement_numbers', 'bill_details', 'person', 'pr_responsible_person_first_name', 'total_compensation', 'total_expenses', 'zip', 'email', 'government_level']","['Phone', 'Address 2', 'Name', 'PC Business Nature', 'In House Lobbyist', 'Lobbying Type', 'Procurement Subjects', 'Reporting Year', 'Lobbyist Subjects', 'Address 1', 'City', 'Procurement Details', 'State', 'Reporting Period', 'PR Responsible Person Last Name', 'Procurement Numbers', 'Bill Details', 'Person', 'PR Responsible Person First Name', 'Total Compensation', 'Total Expenses', 'Zip', 'Email', 'Government Level']",dataset,"['politics', 'finance', 'demographics']",Transparency,"['disclosures', 'integrity', 'public corporations']",official,1285.0,47.0,13.0,71743.0,16.1305705628,data.ny.gov,"['disclosures', 'integrity', 'public', 'corporations', 'politics', 'finance', 'demographics', 'transparency']","['disclosures', 'integrity', 'public', 'corporations', 'politics', 'finance', 'demographics', 'transparency', 'Data', 'provided', 'by', 'Public', 'Corporation', 'in', 'their', 'Biennial', 'Registration', 'and', 'Bi', 'monthly', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']","[(0, 0.044314381270902981), (5, 0.044314381270902981), (7, 0.044314381270902981), (9, 0.05353132747403299), (14, 0.04969100420102314), (17, 0.046512457264109276), (26, 0.12291466462672355), (27, 0.044369343763603415), (31, 0.13423801873287092), (33, 0.23526577652286398), (40, 0.055249376154894808), (43, 0.091840071393656644)]","[(33, 0.23526577652286398), (31, 0.13423801873287092), (26, 0.12291466462672355), (43, 0.09184007139365664), (40, 0.05524937615489481), (9, 0.05353132747403299), (14, 0.04969100420102314), (17, 0.046512457264109276), (27, 0.044369343763603415), (0, 0.04431438127090298), (5, 0.04431438127090298), (7, 0.04431438127090298)]",33
11004,11173,11173,Enforcement Actions by NYS Joint Commission on Public Ethics and Predecessor Agencies,"['Ethics', 'and', 'Lobbying', 'Enforcement', 'Actions', 'by', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics', 'and', 'predecessor', 'agencies']",NYS Joint Commission on Public Ethics,"['name', 'additional_documents_2', 'alleged_violation', 'notice_date', 'year', 'alleged_violation_link', 'report', 'additional_documents_1', 'status', 'date', 'additional_document_3']","['Name', 'Additional Documents 2', 'Section of Law Allegedly Violated', 'Notice Date', 'Report (if applicable)', 'Notice to Respondent Charging a Violation of Law', 'Report Year (if applicable)', 'Additional Documents 1', 'Disposition or Current Status', 'Disposition Date', 'Additional Documents 3']",dataset,"['infrastructure', 'housing & development', 'politics']",Transparency,"['integrity', 'enforcement actions']",official,901.0,22.0,15.0,56015.0,15.7735513464,data.ny.gov,"['integrity', 'enforcement', 'actions', 'infrastructure', 'housing', '&', 'development', 'politics', 'transparency']","['integrity', 'enforcement', 'actions', 'infrastructure', 'housing', '&', 'development', 'politics', 'transparency', 'Ethics', 'and', 'Lobbying', 'Enforcement', 'Actions', 'by', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics', 'and', 'predecessor', 'agencies']","[(9, 0.05738547295050437), (17, 0.050961538461538419), (26, 0.17326696094259919), (27, 0.054362255579926917), (31, 0.10625438683733922), (33, 0.20193464174429654), (43, 0.064576405780148644), (49, 0.14895064539595379), (51, 0.10096153846153838)]","[(33, 0.20193464174429654), (26, 0.1732669609425992), (49, 0.1489506453959538), (31, 0.10625438683733922), (51, 0.10096153846153838), (43, 0.06457640578014864), (9, 0.05738547295050437), (27, 0.05436225557992692), (17, 0.05096153846153842)]",33
11007,11176,11176,Lobbyist Reportable Business Relationships with State Officials and Employees: Beginning 2012,"['Data', 'provided', 'by', 'Lobbyist', 'in', 'the', 'Biennial', 'Registration', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']",NYS Joint Commission on Public Ethics,"['report_year', 'business_relationship_form_filed', 'lobbyist_name']","['Report Year', 'Business Relationship Form Filed ', 'Lobbyist Name']",dataset,[],Transparency,"['integrity', 'business relationships', 'lobbyist']",official,1010.0,14.0,6.0,55803.0,15.7680809169,data.ny.gov,"['integrity', 'business', 'relationships', 'lobbyist', 'transparency']","['integrity', 'business', 'relationships', 'lobbyist', 'transparency', 'Data', 'provided', 'by', 'Lobbyist', 'in', 'the', 'Biennial', 'Registration', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']","[(9, 0.065392296383001286), (17, 0.063150183254651882), (26, 0.054517205879442074), (27, 0.05995475113122168), (31, 0.084383962100805357), (33, 0.42406058843755595), (43, 0.077556711697806591), (48, 0.062387016047641262), (51, 0.05995475113122168)]","[(33, 0.42406058843755595), (31, 0.08438396210080536), (43, 0.07755671169780659), (9, 0.06539229638300129), (17, 0.06315018325465188), (48, 0.06238701604764126), (27, 0.05995475113122168), (51, 0.05995475113122168), (26, 0.054517205879442074)]",33
11015,11184,11184,Lobbyist Disbursement of Public Monies Disclosures: Beginning 2008,"['Data', 'provided', 'by', 'Lobbyist', 'in', 'their', 'Bi', 'monthly', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']",NYS Joint Commission on Public Ethics,"['disbursement_details', 'lobbyist_address_2', 'lobbyist_zip', 'lobbyist_phone', 'total_compensation', 'client_address_2', 'government_level', 'lobbyist_state', 'reporting_year', 'lobbyist_city', 'client_state', 'client_phone', 'client_address_1', 'client_name', 'ldr_responsible_party_last_name', 'client_city', 'additional_lobbyist', 'lobbyist_email', 'ldr_responsible_party_first_name', 'reporting_period', 'total_reimbursed', 'client_zip', 'person_details', 'lobbyist_address_1', 'total_expenses', 'lobbyist_name']","['Disbursement Details', 'Lobbyist Address 2', 'Lobbyist Zip', 'Lobbyist Phone', 'Total Compensation', 'Client Address 2', 'Government Level', 'Lobbyist State', 'Reporting Year', 'Lobbyist City', 'Client State', 'Client Phone', 'Client Address 1', 'Client Name', 'LDR Responsible Party Last Name', 'Client City', 'Additional Lobbyist', 'Lobbyist Email', 'LDR Responsible Party First Name', 'Reporting Period', 'Total Reimbursed', 'Client Zip', 'Person Details', 'Lobbyist Address 1', 'Total Expenses', 'Lobbyist Name']",dataset,"['finance', 'politics', 'social services']",Transparency,"['disclosures', 'integrity', 'lobbyist disbursements']",official,1259.0,32.0,14.0,55357.0,15.7565042011,data.ny.gov,"['disclosures', 'integrity', 'lobbyist', 'disbursements', 'finance', 'politics', 'social', 'services', 'transparency']","['disclosures', 'integrity', 'lobbyist', 'disbursements', 'finance', 'politics', 'social', 'services', 'transparency', 'Data', 'provided', 'by', 'Lobbyist', 'in', 'their', 'Bi', 'monthly', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']","[(5, 0.048534798534798487), (14, 0.14377289377289368), (16, 0.050773547331268674), (17, 0.10243761664383808), (27, 0.048534798534798487), (31, 0.096509996056441699), (33, 0.35482768231251238), (40, 0.055357866849430552), (43, 0.059873510586727748)]","[(33, 0.3548276823125124), (14, 0.14377289377289368), (17, 0.10243761664383808), (31, 0.0965099960564417), (43, 0.05987351058672775), (40, 0.05535786684943055), (16, 0.050773547331268674), (5, 0.04853479853479849), (27, 0.04853479853479849)]",33
11021,11190,11190,Lobbying  Clients Sources of Funding for Lobbying Activities: Beginning 2012,"['Data', 'provided', 'by', 'Clients', 'in', 'their', 'Semi', 'Annual', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']",NYS Joint Commission on Public Ethics,"['report_year', 'client_name', 'reporting_period', 'client_semi_annual_report_filed_includes_source_of_funding_disclosure']","['Report Year ', 'Client Name', 'Reporting Period ', 'Client Semi Annual Report Filed (Includes Source of Funding Disclosure)']",dataset,['politics'],Transparency,"['funding', 'integrity', 'lobbying activities', 'lobbying clients']",official,905.0,25.0,13.0,55149.0,15.7510732654,data.ny.gov,"['funding', 'integrity', 'lobbying', 'activities', 'lobbying', 'clients', 'politics', 'transparency']","['funding', 'integrity', 'lobbying', 'activities', 'lobbying', 'clients', 'politics', 'transparency', 'Data', 'provided', 'by', 'Clients', 'in', 'their', 'Semi', 'Annual', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']","[(17, 0.053332423399575009), (26, 0.10096153846153838), (27, 0.1345045020885029), (31, 0.098528959771612981), (33, 0.43967296126761696), (40, 0.067418574834573863), (43, 0.062311809407348553)]","[(33, 0.43967296126761696), (27, 0.1345045020885029), (26, 0.10096153846153838), (31, 0.09852895977161298), (40, 0.06741857483457386), (43, 0.06231180940734855), (17, 0.05333242339957501)]",33
11027,11196,11196,Lobbying Clients Reportable Business Relationships with State Officials and Employees: Beginning 2012,"['Data', 'provided', 'by', 'Clients', 'in', 'their', 'Semi', 'Annual', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']",NYS Joint Commission on Public Ethics,"['reporting_period', 'date', 'client_name', 'business_relationship_form_filed']","['Reporting Period', 'Date', 'Client Name', 'Business Relationship Form Filed ']",dataset,['politics'],Transparency,"['integrity', 'business relationships', 'lobbying clients']",official,971.0,17.0,9.0,54775.0,15.7412562971,data.ny.gov,"['integrity', 'business', 'relationships', 'lobbying', 'clients', 'politics', 'transparency']","['integrity', 'business', 'relationships', 'lobbying', 'clients', 'politics', 'transparency', 'Data', 'provided', 'by', 'Clients', 'in', 'their', 'Semi', 'Annual', 'filings', 'submitted', 'to', 'NYS', 'Joint', 'Commission', 'on', 'Public', 'Ethics']","[(17, 0.0563934646805467), (26, 0.10627530364372462), (27, 0.10627530364372462), (31, 0.10405009956397843), (33, 0.40578782962452392), (43, 0.067364187920004717), (48, 0.055675673271674497), (51, 0.053643724696356233)]","[(33, 0.4057878296245239), (26, 0.10627530364372462), (27, 0.10627530364372462), (31, 0.10405009956397843), (43, 0.06736418792000472), (17, 0.0563934646805467), (48, 0.0556756732716745), (51, 0.05364372469635623)]",33
