,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
15834,16003,16003,Sweetened Beverage Distributors Registered with the Cook County Department of Revenue,"['Disclaimer', 'This', 'list', 'was', 'last', 'updated', 'on', '08/11/2017', 'and', 'is', 'updated', 'monthly', 'on', 'the', 'website', 'If', 'up', 'to', 'the', 'minute', 'accuracy', 'is', 'needed', 'contact', 'us', 'at', '312', '603', '6328', 'This', 'dataset', 'contains', 'registered', 'Sweetened', 'Beverage', 'Distributors']",Cook County Department of Revenue,"['zip_code', 'state', 'city', 'location', 'company', 'doing_business_as', 'address_line_1', 'address_line_2', 'tax_type', 'registration_account']","['Zip code', 'State', 'City', 'Location', 'Company', 'Doing Business As', 'Address Line 1', 'Address Line 2', 'Tax Type', ' Registration/Account #']",dataset,[],Finance & Administration,['sweetened beverage'],official,703.0,73517.0,19941.0,99854.0,16.6075470485,datacatalog.cookcountyil.gov,"['sweetened', 'beverage', 'finance', '&', 'administration']","['sweetened', 'beverage', 'finance', '&', 'administration', 'Disclaimer', 'This', 'list', 'was', 'last', 'updated', 'on', '08/11/2017', 'and', 'is', 'updated', 'monthly', 'on', 'the', 'website', 'If', 'up', 'to', 'the', 'minute', 'accuracy', 'is', 'needed', 'contact', 'us', 'at', '312', '603', '6328', 'This', 'dataset', 'contains', 'registered', 'Sweetened', 'Beverage', 'Distributors']","[(0, 0.054442897837872282), (6, 0.086232450929777771), (17, 0.041157082150170762), (22, 0.039201183431952641), (23, 0.11200131422518478), (24, 0.15458579881656798), (33, 0.094283249188675436), (35, 0.042121201852928329), (40, 0.055306949390097525), (44, 0.11842557736057913), (48, 0.052641305960233045), (50, 0.079274424066066176), (51, 0.041480410943739852)]","[(24, 0.15458579881656798), (44, 0.11842557736057913), (23, 0.11200131422518478), (33, 0.09428324918867544), (6, 0.08623245092977777), (50, 0.07927442406606618), (40, 0.055306949390097525), (0, 0.05444289783787228), (48, 0.052641305960233045), (35, 0.04212120185292833), (51, 0.04148041094373985), (17, 0.04115708215017076), (22, 0.03920118343195264)]",24
1933,1933,1933,Boundaries - Community Areas (current),"['Current', 'community', 'area', 'boundaries', 'in', 'Chicago', 'The', 'data', 'can', 'be', 'viewed', 'on', 'the', 'Chicago', 'Data', 'Portal', 'with', 'a', 'web', 'browser', 'However', 'to', 'view', 'or', 'use', 'the', 'files', 'outside', 'of', 'a', 'web', 'browser', 'you', 'will', 'need', 'to', 'use', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', '(shapefile)', 'or', 'Google', 'Earth', '(KML', 'or', 'KMZ)', 'is', 'required']",City of Chicago,[],[],map,[],Facilities & Geographic Boundaries,"['gis', 'boundaries', 'shapefiles', 'kml', 'kmz']",official,26260.0,3353.0,807.0,77563.0,16.2430995852,data.cityofchicago.org,"['gis', 'boundaries', 'shapefiles', 'kml', 'kmz', 'facilities', '&', 'geographic', 'boundaries']","['gis', 'boundaries', 'shapefiles', 'kml', 'kmz', 'facilities', '&', 'geographic', 'boundaries', 'Current', 'community', 'area', 'boundaries', 'in', 'Chicago', 'The', 'data', 'can', 'be', 'viewed', 'on', 'the', 'Chicago', 'Data', 'Portal', 'with', 'a', 'web', 'browser', 'However', 'to', 'view', 'or', 'use', 'the', 'files', 'outside', 'of', 'a', 'web', 'browser', 'you', 'will', 'need', 'to', 'use', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', '(shapefile)', 'or', 'Google', 'Earth', '(KML', 'or', 'KMZ)', 'is', 'required']","[(0, 0.025515603265658684), (1, 0.024859287054409047), (21, 0.050705765447740421), (24, 0.84187813153111157), (29, 0.03499618455849296)]","[(24, 0.8418781315311116), (21, 0.05070576544774042), (29, 0.03499618455849296), (0, 0.025515603265658684), (1, 0.024859287054409047)]",24
16713,16882,16882,Nursing Home Quality Initiative: Beginning 2012,"['The', 'New', 'York', 'State', 'Nursing', 'Home', 'Quality', 'Initiative', '(NHQI)', 'is', 'an', 'annual', 'evaluation', 'and', 'ranking', 'of', 'eligible', 'Medicaid', 'certified', 'nursing', 'homes', 'in', 'New', 'York', 'State', 'Nursing', 'homes', 'are', 'evaluated', 'on', 'their', 'performance', 'in', 'three', 'components', 'Quality', 'Compliance', 'and', 'Efficiency', 'Nursing', 'homes', 'are', 'awarded', 'points', 'for', 'their', 'performance', 'in', 'each', 'measure', 'and', 'ranked', 'into', 'overall', 'quintiles', 'the', 'first', 'quintile', 'containing', 'the', 'best', 'performing', 'homes']",New York State Department of Health,"['quintile', 'comments', 'city', 'measure_full', 'measure_name', 'facility_opcert', 'year', 'value_character', 'quintile5', 'quintile4', 'quintile2', 'facility_id', 'facility_medicare_number', 'facility_name', 'value_numeric', 'quintile3', 'quintile1', 'meas_id', 'current_facility_name', 'county', 'points', 'region', 'location']","['Quintile', 'Comments', 'City', 'Measure Full Name', 'Measure Short Name', 'Facility OPCERT', 'Measurement Year', 'Character Value', 'Fifth Quintile', 'Fourth Quintile', 'Second Quintile', 'Facility ID', 'Facility Medicare Number', 'Facility Name', 'Numeric Value', 'Third Quintile', 'First Quintile', 'Measure ID Number', 'Current Facility Name', 'County', 'Points', 'Region', 'Location']",dataset,['health'],Health,"['quality-safety-costs', 'residential health care', 'nursing home quality']",official,1838.0,161.0,38.0,58612.0,15.8389330605,health.data.ny.gov,"['quality-safety-costs', 'residential', 'health', 'care', 'nursing', 'home', 'quality', 'health', 'health']","['quality-safety-costs', 'residential', 'health', 'care', 'nursing', 'home', 'quality', 'health', 'health', 'The', 'New', 'York', 'State', 'Nursing', 'Home', 'Quality', 'Initiative', '(NHQI)', 'is', 'an', 'annual', 'evaluation', 'and', 'ranking', 'of', 'eligible', 'Medicaid', 'certified', 'nursing', 'homes', 'in', 'New', 'York', 'State', 'Nursing', 'homes', 'are', 'evaluated', 'on', 'their', 'performance', 'in', 'three', 'components', 'Quality', 'Compliance', 'and', 'Efficiency', 'Nursing', 'homes', 'are', 'awarded', 'points', 'for', 'their', 'performance', 'in', 'each', 'measure', 'and', 'ranked', 'into', 'overall', 'quintiles', 'the', 'first', 'quintile', 'containing', 'the', 'best', 'performing', 'homes']","[(0, 0.039566546509793653), (1, 0.12402393040829635), (2, 0.05696661828737299), (8, 0.020369514341146432), (10, 0.12700774482738217), (11, 0.021572053116080923), (23, 0.019230769230769225), (24, 0.15130624092888245), (26, 0.019230769230769225), (38, 0.029920068372640714), (42, 0.053886412815782755), (43, 0.13148750036878371), (44, 0.028313524794182338), (45, 0.023671805154141936), (47, 0.019346928205858583), (48, 0.038098693759071108), (49, 0.054086852502714909), (51, 0.02957730726244057)]","[(24, 0.15130624092888245), (43, 0.1314875003687837), (10, 0.12700774482738217), (1, 0.12402393040829635), (2, 0.05696661828737299), (49, 0.05408685250271491), (42, 0.053886412815782755), (0, 0.03956654650979365), (48, 0.03809869375907111), (38, 0.029920068372640714), (51, 0.02957730726244057), (44, 0.028313524794182338), (45, 0.023671805154141936), (11, 0.021572053116080923), (8, 0.020369514341146432), (47, 0.019346928205858583), (23, 0.019230769230769225), (26, 0.019230769230769225)]",24
16740,16909,16909,Nursing Home Quality Initiative Quintile Map: 2014,"['This', 'map', 'shows', 'the', 'overall', 'score', 'and', 'quintile', 'for', 'each', 'nursing', 'home', 'in', 'the', 'state', 'Quintiles', 'are', 'color', 'coded', 'with', 'green', 'being', 'the', 'top', '(first)', 'quintile', 'and', 'red', 'being', 'the', 'bottom', '(fifth)', 'quintile', 'The', 'New', 'York', 'State', 'Nursing', 'Home', 'Quality', 'Initiative', '(NHQI)', 'is', 'an', 'annual', 'evaluation', 'and', 'ranking', 'of', 'eligible', 'Medicaid', 'certified', 'nursing', 'homes', 'in', 'New', 'York', 'State', 'Nursing', 'homes', 'are', 'evaluated', 'on', 'their', 'performance', 'in', 'three', 'components', 'Quality', 'Compliance', 'and', 'Efficiency', 'Nursing', 'homes', 'are', 'awarded', 'points', 'for', 'their', 'performance', 'in', 'each', 'measure', 'and', 'ranked', 'into', 'overall', 'quintiles', 'the', 'first', 'quintile', 'containing', 'the', 'best', 'performing', 'homes', 'Refer', 'to', 'the', 'Measures', 'document', 'to', 'learn', 'more', 'about', 'the', 'specific', 'measures', 'in', 'the', 'NHQI', 'and', 'the', 'data', 'sources', 'and', 'time', 'frames', 'used', 'Changes', 'in', 'measure', 'specifications', 'and', 'the', 'deletion', 'or', 'addition', 'of', 'measures', 'will', 'limit', 'the', 'ability', 'to', 'trend', 'this', 'data', 'over', 'time', 'The', 'quality', 'measures', 'are', 'based', 'on', 'past', 'data', 'and', 'may', 'not', 'accurately', 'reflect', 'a', 'nursing', 'home’s', 'most', 'current', 'quality', 'performance', 'Refer', 'to', 'the', 'Overview', 'document', 'for', 'more', 'information', 'on', 'the', 'limitations', 'of', 'this', 'dataset', 'The', 'information', 'in', 'this', 'dataset', 'is', 'intended', 'to', 'be', 'used', 'in', 'conjunction', 'with', 'other', 'sources', 'for', 'assessing', 'quality', 'of', 'care', 'in', 'nursing', 'homes', 'including', 'in', 'person', 'visits', 'to', 'a', 'nursing', 'home', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']",New York State Department of Health,"['facility_medicare_number', 'facility_opcert', 'facility_id', 'year', 'facility_name', 'comments', 'city', 'county', 'region', 'location', 'quintile3', 'quintile4', 'quintile5', 'value_numeric', 'value_character', 'points', 'quintile', 'quintile2', 'quintile1', 'meas_id', 'measure_full', 'measure_name']","['Facility Medicare Number', 'Facility OPCERT', 'Facility ID', 'Measurement Year', 'Facility Name', 'Comments', 'City', 'County', 'Region', 'Location', 'Third Quintile', 'Fourth Quintile', 'Fifth Quintile', 'Numeric Value', 'Character Value', 'Points', 'Quintile', 'Second Quintile', 'First Quintile', 'Measure ID Number', 'Measure Full Name', 'Measure Short Name']",map,['health'],Health,"['quality-safety-costs', 'consumer resources', 'residential health care', 'nursing home quality']",official,123.0,2.0,0.0,51761.0,15.6596057414,health.data.ny.gov,"['quality-safety-costs', 'consumer', 'resources', 'residential', 'health', 'care', 'nursing', 'home', 'quality', 'health', 'health']","['quality-safety-costs', 'consumer', 'resources', 'residential', 'health', 'care', 'nursing', 'home', 'quality', 'health', 'health', 'This', 'map', 'shows', 'the', 'overall', 'score', 'and', 'quintile', 'for', 'each', 'nursing', 'home', 'in', 'the', 'state', 'Quintiles', 'are', 'color', 'coded', 'with', 'green', 'being', 'the', 'top', '(first)', 'quintile', 'and', 'red', 'being', 'the', 'bottom', '(fifth)', 'quintile', 'The', 'New', 'York', 'State', 'Nursing', 'Home', 'Quality', 'Initiative', '(NHQI)', 'is', 'an', 'annual', 'evaluation', 'and', 'ranking', 'of', 'eligible', 'Medicaid', 'certified', 'nursing', 'homes', 'in', 'New', 'York', 'State', 'Nursing', 'homes', 'are', 'evaluated', 'on', 'their', 'performance', 'in', 'three', 'components', 'Quality', 'Compliance', 'and', 'Efficiency', 'Nursing', 'homes', 'are', 'awarded', 'points', 'for', 'their', 'performance', 'in', 'each', 'measure', 'and', 'ranked', 'into', 'overall', 'quintiles', 'the', 'first', 'quintile', 'containing', 'the', 'best', 'performing', 'homes', 'Refer', 'to', 'the', 'Measures', 'document', 'to', 'learn', 'more', 'about', 'the', 'specific', 'measures', 'in', 'the', 'NHQI', 'and', 'the', 'data', 'sources', 'and', 'time', 'frames', 'used', 'Changes', 'in', 'measure', 'specifications', 'and', 'the', 'deletion', 'or', 'addition', 'of', 'measures', 'will', 'limit', 'the', 'ability', 'to', 'trend', 'this', 'data', 'over', 'time', 'The', 'quality', 'measures', 'are', 'based', 'on', 'past', 'data', 'and', 'may', 'not', 'accurately', 'reflect', 'a', 'nursing', 'home’s', 'most', 'current', 'quality', 'performance', 'Refer', 'to', 'the', 'Overview', 'document', 'for', 'more', 'information', 'on', 'the', 'limitations', 'of', 'this', 'dataset', 'The', 'information', 'in', 'this', 'dataset', 'is', 'intended', 'to', 'be', 'used', 'in', 'conjunction', 'with', 'other', 'sources', 'for', 'assessing', 'quality', 'of', 'care', 'in', 'nursing', 'homes', 'including', 'in', 'person', 'visits', 'to', 'a', 'nursing', 'home', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']","[(0, 0.03379718972815493), (1, 0.075938274915681545), (2, 0.023750119634854381), (4, 0.13746152528812039), (8, 0.01522991502672986), (10, 0.11465645796288851), (12, 0.031277091336166275), (24, 0.15660654753524891), (26, 0.02738087323239722), (34, 0.017850106791927656), (35, 0.022720147914687003), (38, 0.057038093881652638), (42, 0.048996628103222147), (43, 0.060146360912122616), (45, 0.022245644504736782), (47, 0.015319684991340616), (48, 0.026363457119533713), (49, 0.038328037587306824)]","[(24, 0.1566065475352489), (4, 0.1374615252881204), (10, 0.11465645796288851), (1, 0.07593827491568154), (43, 0.060146360912122616), (38, 0.05703809388165264), (42, 0.048996628103222147), (49, 0.038328037587306824), (0, 0.03379718972815493), (12, 0.031277091336166275), (26, 0.02738087323239722), (48, 0.026363457119533713), (2, 0.02375011963485438), (35, 0.022720147914687003), (45, 0.022245644504736782), (34, 0.017850106791927656), (47, 0.015319684991340616), (8, 0.01522991502672986)]",24
1944,1944,1944,Fire Stations - Map,"['Fire', 'stations', 'located', 'in', 'Chicago']",City of Chicago,"['city', 'zip', 'engine', 'name', 'state', 'location', 'address']","['CITY', 'ZIP', 'ENGINE', 'NAME', 'STATE', 'LOCATION', 'ADDRESS']",map,[],Public Safety,"['gis', 'facilities']",official,2288.0,499.0,118.0,49309.0,15.5895926324,data.cityofchicago.org,"['gis', 'facilities', 'public', 'safety']","['gis', 'facilities', 'public', 'safety', 'Fire', 'stations', 'located', 'in', 'Chicago']","[(21, 0.33547008547008533), (24, 0.44658119658119638), (44, 0.11324786324786319)]","[(24, 0.4465811965811964), (21, 0.33547008547008533), (44, 0.11324786324786319)]",24
11649,11818,11818,Active Nonprofit Corporations,"['Updated', '7/3/2017', 'Nonprofit', 'corporations', 'active', 'on', 'the', 'record', 'of', 'the', 'Secretary', 'of', 'State', 'Corporation', 'Division', 'as', 'of', 'the', 'first', 'working', 'day', 'of', 'the', 'month']",,"['city', 'zip_code', 'registry_date', 'entity_type', 'business_name', 'registry_number', 'address_continued', 'state', 'suffix', 'not_of_record_entity', 'entity_of_record_reg_number', 'last_name', 'middle_name', 'first_name', 'associated_name_type', 'nonprofit_type', 'entity_of_record_name', 'address']","['City', 'Zip Code', 'Registry Date', 'Entity Type', 'Business Name', 'Registry Number', 'Address Continued', 'State', 'Suffix', 'Not of Record Entity', 'Entity of Record Reg Number', 'Last Name', 'Middle Name', 'First Name', 'Associated Name Type', 'Nonprofit Type', 'Entity of Record Name', 'Address ']",dataset,['economy'],Business,"['registration', 'nonprofit', 'nonprofit name']",official,2653.0,708.0,166.0,27882.0,14.7670981722,data.oregon.gov,"['registration', 'nonprofit', 'nonprofit', 'name', 'economy', 'business']","['registration', 'nonprofit', 'nonprofit', 'name', 'economy', 'business', 'Updated', '7/3/2017', 'Nonprofit', 'corporations', 'active', 'on', 'the', 'record', 'of', 'the', 'Secretary', 'of', 'State', 'Corporation', 'Division', 'as', 'of', 'the', 'first', 'working', 'day', 'of', 'the', 'month']","[(0, 0.0547109742279005), (7, 0.049607360899493219), (13, 0.048534798534798487), (20, 0.068575355201621974), (21, 0.15100237626216323), (24, 0.27995024522295142), (27, 0.056348634633026085), (31, 0.058840706040387811), (43, 0.047053365976372261), (48, 0.14691464453974568)]","[(24, 0.2799502452229514), (21, 0.15100237626216323), (48, 0.14691464453974568), (20, 0.06857535520162197), (31, 0.05884070604038781), (27, 0.056348634633026085), (0, 0.0547109742279005), (7, 0.04960736089949322), (13, 0.04853479853479849), (43, 0.04705336597637226)]",24
1968,1968,1968,Boundaries - Neighborhoods,"['Neighborhood', 'boundaries', 'in', 'Chicago', 'as', 'developed', 'by', 'the', 'Office', 'of', 'Tourism', 'These', 'boundaries', 'are', 'approximate', 'and', 'names', 'are', 'not', 'official', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']",City of Chicago,[],[],file,[],Facilities & Geographic Boundaries,"['shapefiles', 'gis', 'boundaries']",official,14383.0,312.0,38.0,26877.0,14.7141381703,data.cityofchicago.org,"['shapefiles', 'gis', 'boundaries', 'facilities', '&', 'geographic', 'boundaries']","['shapefiles', 'gis', 'boundaries', 'facilities', '&', 'geographic', 'boundaries', 'Neighborhood', 'boundaries', 'in', 'Chicago', 'as', 'developed', 'by', 'the', 'Office', 'of', 'Tourism', 'These', 'boundaries', 'are', 'approximate', 'and', 'names', 'are', 'not', 'official', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']","[(0, 0.04056853805597397), (10, 0.079506188598120295), (21, 0.036401098901098869), (24, 0.67389058513814271), (29, 0.087882015775395797), (30, 0.050158166937861223)]","[(24, 0.6738905851381427), (29, 0.0878820157753958), (10, 0.0795061885981203), (30, 0.05015816693786122), (0, 0.04056853805597397), (21, 0.03640109890109887)]",24
1970,1970,1970,Business Owners,"['This', 'dataset', 'contains', 'the', 'owner', 'information', 'for', 'all', 'the', 'accounts', 'listed', 'in', 'the', 'Business', 'License', 'Dataset', 'and', 'is', 'sorted', 'by', 'Account', 'Number', 'To', 'identify', 'the', 'owner', 'of', 'a', 'business', 'you', 'will', 'need', 'the', 'account', 'number', 'or', 'legal', 'name', 'which', 'may', 'be', 'obtained', 'from', 'theBusiness', 'Licenses', 'dataset', 'https', '//data', 'cityofchicago', 'org/dataset/Business', 'Licenses/r5kz', 'chrr', 'Data', 'Owner', 'Business', 'Affairs', 'Consumer', 'Protection', 'Time', 'Period', '2002', 'to', 'present', 'Frequency', 'Data', 'is', 'updated', 'daily']",City of Chicago,"['doing_business_as_name', 'owner_name_suffix', 'owner_middle_initial', 'owner_name', 'owner_first_name', 'owner_title', 'account_number', 'owner_last_name']","['Legal Name', 'Suffix', 'Owner Middle Initial', 'Legal Entity Owner', 'Owner First Name', 'Title', 'Account Number', 'Owner Last Name']",dataset,[],Community & Economic Development,"['business', 'licenses']",official,8391.0,562.0,144.0,25819.0,14.6562013802,data.cityofchicago.org,"['business', 'licenses', 'community', '&', 'economic', 'development']","['business', 'licenses', 'community', '&', 'economic', 'development', 'This', 'dataset', 'contains', 'the', 'owner', 'information', 'for', 'all', 'the', 'accounts', 'listed', 'in', 'the', 'Business', 'License', 'Dataset', 'and', 'is', 'sorted', 'by', 'Account', 'Number', 'To', 'identify', 'the', 'owner', 'of', 'a', 'business', 'you', 'will', 'need', 'the', 'account', 'number', 'or', 'legal', 'name', 'which', 'may', 'be', 'obtained', 'from', 'theBusiness', 'Licenses', 'dataset', 'https', '//data', 'cityofchicago', 'org/dataset/Business', 'Licenses/r5kz', 'chrr', 'Data', 'Owner', 'Business', 'Affairs', 'Consumer', 'Protection', 'Time', 'Period', '2002', 'to', 'present', 'Frequency', 'Data', 'is', 'updated', 'daily']","[(18, 0.14350425759094668), (24, 0.34535549961038631), (27, 0.067617325109317922), (42, 0.054846422209184828), (48, 0.2903499026787616), (49, 0.077754141996393564)]","[(24, 0.3453554996103863), (48, 0.2903499026787616), (18, 0.14350425759094668), (49, 0.07775414199639356), (27, 0.06761732510931792), (42, 0.05484642220918483)]",24
1973,1973,1973,Boundaries - Census Tracts - 2010,"['Census', 'tract', 'boundaries', 'in', 'Chicago', 'The', 'data', 'can', 'be', 'viewed', 'on', 'the', 'Chicago', 'Data', 'Portal', 'with', 'a', 'web', 'browser', 'However', 'to', 'view', 'or', 'use', 'the', 'files', 'outside', 'of', 'a', 'web', 'browser', 'you', 'will', 'need', 'to', 'use', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', '(shapefile)', 'or', 'Google', 'Earth', '(KML', 'or', 'KMZ)', 'is', 'required']",City of Chicago,[],[],map,[],Facilities & Geographic Boundaries,"['gis', 'shapefiles', 'boundaries', 'kml', 'kmz', 'census', 'map_layer']",official,5199.0,478.0,93.0,24391.0,14.574120435,data.cityofchicago.org,"['gis', 'shapefiles', 'boundaries', 'kml', 'kmz', 'census', 'map_layer', 'facilities', '&', 'geographic', 'boundaries']","['gis', 'shapefiles', 'boundaries', 'kml', 'kmz', 'census', 'map_layer', 'facilities', '&', 'geographic', 'boundaries', 'Census', 'tract', 'boundaries', 'in', 'Chicago', 'The', 'data', 'can', 'be', 'viewed', 'on', 'the', 'Chicago', 'Data', 'Portal', 'with', 'a', 'web', 'browser', 'However', 'to', 'view', 'or', 'use', 'the', 'files', 'outside', 'of', 'a', 'web', 'browser', 'you', 'will', 'need', 'to', 'use', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', '(shapefile)', 'or', 'Google', 'Earth', '(KML', 'or', 'KMZ)', 'is', 'required']","[(0, 0.024935460372913287), (1, 0.024267399267399303), (15, 0.024267399267399303), (21, 0.048110158466830762), (24, 0.78502397623573461), (26, 0.024421168808104753), (36, 0.048370041977224019)]","[(24, 0.7850239762357346), (36, 0.04837004197722402), (21, 0.04811015846683076), (0, 0.024935460372913287), (26, 0.024421168808104753), (1, 0.024267399267399303), (15, 0.024267399267399303)]",24
1984,1984,1984,Building Footprints (deprecated January 2013),"['OUTDATED', 'See', 'the', 'current', 'data', 'at', 'https', '//data', 'cityofchicago', 'org/d/hz9b', '7nh8', 'Building', 'footprints', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required', 'Metadata', 'may', 'be', 'viewed', 'and', 'downloaded', 'at', 'http', '//bit', 'ly/HZVDIY']",City of Chicago,[],[],file,[],Buildings,"['shapefiles', 'gis', 'deprecated']",official,9331.0,165.0,34.0,20766.0,14.3420051991,data.cityofchicago.org,"['shapefiles', 'gis', 'deprecated', 'buildings']","['shapefiles', 'gis', 'deprecated', 'buildings', 'OUTDATED', 'See', 'the', 'current', 'data', 'at', 'https', '//data', 'cityofchicago', 'org/d/hz9b', '7nh8', 'Building', 'footprints', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required', 'Metadata', 'may', 'be', 'viewed', 'and', 'downloaded', 'at', 'http', '//bit', 'ly/HZVDIY']","[(0, 0.06582838716154131), (12, 0.30032949458740943), (21, 0.035361016571939331), (24, 0.45717710703886189), (30, 0.037937085779820912), (37, 0.02684620186163544), (42, 0.048605074244448279)]","[(24, 0.4571771070388619), (12, 0.30032949458740943), (0, 0.06582838716154131), (42, 0.04860507424444828), (30, 0.03793708577982091), (21, 0.03536101657193933), (37, 0.02684620186163544)]",24
