,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9362,9531,9531,Individual Navigators,"['Individual', 'Navigators', 'licensed', 'in', 'Missouri']","Missouri Department of Insurance, Financial Institutions & Professional (DIFP)","['first_name', 'last_name', 'business_phone']","['First Name', 'Last Name', 'Business Phone']",dataset,[],Insurance,"['insurance', 'navigators', 'navigator phone', 'health insurance', 'navigator', 'licensed navigators', 'navigators phone', 'health']",official,1389.0,48.0,8.0,369570.0,18.4954920283,data.mo.gov,"['insurance', 'navigators', 'navigator', 'phone', 'health', 'insurance', 'navigator', 'licensed', 'navigators', 'navigators', 'phone', 'health', 'insurance']","['insurance', 'navigators', 'navigator', 'phone', 'health', 'insurance', 'navigator', 'licensed', 'navigators', 'navigators', 'phone', 'health', 'insurance', 'Individual', 'Navigators', 'licensed', 'in', 'Missouri']","[(2, 0.11217948717948704), (10, 0.05746192352017751), (16, 0.1677350427350425), (22, 0.44551282051282004), (24, 0.16689705083879658)]","[(22, 0.44551282051282004), (16, 0.1677350427350425), (24, 0.16689705083879658), (2, 0.11217948717948704), (10, 0.05746192352017751)]",22
9363,9532,9532,Navigator Entities,"['Navigator', 'Entities', 'licensed', 'in', 'Missouri']","Missouri Department of Insurance, Financial Institutions & Professional (DIFP)","['geocode', 'phone', 'city', 'name']","['GeoCode', 'Phone', 'City', 'Name']",dataset,[],Insurance,"['licensed navigators', 'navigators phone', 'navigator phone', 'navigator', 'navigators', 'insurance', 'health', 'health insurance']",official,1302.0,13.0,3.0,366564.0,18.4837095169,data.mo.gov,"['licensed', 'navigators', 'navigators', 'phone', 'navigator', 'phone', 'navigator', 'navigators', 'insurance', 'health', 'health', 'insurance', 'insurance']","['licensed', 'navigators', 'navigators', 'phone', 'navigator', 'phone', 'navigator', 'navigators', 'insurance', 'health', 'health', 'insurance', 'insurance', 'Navigator', 'Entities', 'licensed', 'in', 'Missouri']","[(2, 0.11217948717948704), (10, 0.056623931623931555), (16, 0.16773504273504253), (22, 0.44551282051282004), (24, 0.16773504273504256)]","[(22, 0.44551282051282004), (24, 0.16773504273504256), (16, 0.16773504273504253), (2, 0.11217948717948704), (10, 0.056623931623931555)]",22
18310,18479,18479,County Land And Buildings,"['Used', 'to', 'maintain', 'asset', 'information', 'on', 'county', 'owned', 'land', 'buildings', 'and', 'amenities', 'Includes', 'information', 'on', 'county', 'open', 'space', 'parks', 'pump', 'stations', 'libraries', 'parking', 'lots', 'water', 'towers', 'etc', 'Data', 'as', 'of', '4/15/2015']",Department of Public Works,"['liber_folio', 'acreage', 'grantor', 'date_built_accepted', 'site', 'deed_date', 'record_type', 'use', 'block', 'map', 'lot', 'parcel']","['Liber_Folio', 'Acreage', 'Grantor', 'Date_Built_Accepted', 'Site', 'Deed_Date', 'Record_Type', 'Use', 'Block', 'Map', 'Lot', 'Parcel']",dataset,"['recreation', 'transportation']",Utilities and Public Works,"['amenities', 'asset', 'buildings', 'land', 'libraries', 'open space', 'parking lots', 'parks', 'pump stations', 'water towers']",official,161.0,13.0,4.0,95392.0,16.5415957838,opendata.howardcountymd.gov,"['amenities', 'asset', 'buildings', 'land', 'libraries', 'open', 'space', 'parking', 'lots', 'parks', 'pump', 'stations', 'water', 'towers', 'recreation', 'transportation', 'utilities', 'and', 'public', 'works']","['amenities', 'asset', 'buildings', 'land', 'libraries', 'open', 'space', 'parking', 'lots', 'parks', 'pump', 'stations', 'water', 'towers', 'recreation', 'transportation', 'utilities', 'and', 'public', 'works', 'Used', 'to', 'maintain', 'asset', 'information', 'on', 'county', 'owned', 'land', 'buildings', 'and', 'amenities', 'Includes', 'information', 'on', 'county', 'open', 'space', 'parks', 'pump', 'stations', 'libraries', 'parking', 'lots', 'water', 'towers', 'etc', 'Data', 'as', 'of', '4/15/2015']","[(3, 0.1192109178363536), (4, 0.12957937040604214), (9, 0.073992278525852509), (12, 0.049286639314171127), (22, 0.16313701455356763), (27, 0.05681304185094551), (30, 0.055213285819790549), (31, 0.023684548500805588), (32, 0.07183631746493048), (35, 0.1402659141680643), (40, 0.025207068944933398), (44, 0.051171464015427701), (48, 0.023556684053661174)]","[(22, 0.16313701455356763), (35, 0.1402659141680643), (4, 0.12957937040604214), (3, 0.1192109178363536), (9, 0.07399227852585251), (32, 0.07183631746493048), (27, 0.05681304185094551), (30, 0.05521328581979055), (44, 0.0511714640154277), (12, 0.04928663931417113), (40, 0.025207068944933398), (31, 0.023684548500805588), (48, 0.023556684053661174)]",22
18622,18791,18791,311 Service Requests - Miami-Dade County,"['The', 'following', 'data', 'set', 'contains', 'service', 'request', 'activity', 'for', 'Miami', 'Dade', 'County', 'The', 'data', 'sets', 'include', 'services', 'completed', 'proactively', 'by', 'Miami', 'Dade', 'County', 'departments', 'and', 'requests', 'submitted', 'by', 'citizens', 'via', 'phone', '(311)', 'online', '(miamidade', 'gov)', 'and', 'other', 'self', 'service', 'channels', 'such', 'as', 'the', '311Direct', 'mobile', 'application', 'With', 'a', 'few', 'exceptions', 'the', 'dataset', 'does', 'not', 'generally', 'include', 'requests', 'from', 'other', 'cities', '(City', 'of', 'Miami', 'Coral', 'Gables', 'etc', ')', 'unless', 'the', 'work', 'is', 'owned', 'by', 'Miami', 'Dade', 'County', 'staff', 'THIS', 'DATA', 'SET', 'IS', 'STILL', 'IN', 'BETA', 'Please', 'keep', 'that', 'in', 'mind', 'as', 'you', 'review', 'it']",Miami-Dade County Community Information and Outreach,"['y_coordinate', 'location', 'ticket_last_updated_date_time', 'created_year_month', 'latitude', 'actual_completed_days', 'x_coordinate', 'zip_code', 'issue_type', 'neighborhood_district', 'ticket_created_date_time', 'longitude', 'ticket_closed_date_time', 'goal_days', 'case_owner', 'ticket_id', 'method_received', 'city', 'case_owner_description', 'street_address', 'ticket_status', 'state', 'issue_description']","['Y Coordinate', 'Location Geo. Coded', 'Ticket Last Updated Date / Time', 'Created Year Month', 'Latitude', 'Actual Completed Days', 'X Coordinate', 'Zip / Postal Code', 'Issue Type', 'Neighborhood / District / Ward / etc.', 'Ticket Created Date / Time', 'Longitude', 'Ticket Closed Date / Time', 'Goal Days', 'Case Owner', 'Ticket ID', 'Method Received', 'City', 'Case Owner Description', 'Street Address', 'Ticket Status', 'State / Province', 'Issue Description']",dataset,[],311,"['animals', 'solid waste', 'public works', 'service', '311']",official,814.0,999.0,110.0,31689.0,14.9517400393,opendata.miamidade.gov,"['animals', 'solid', 'waste', 'public', 'works', 'service', '311', '311']","['animals', 'solid', 'waste', 'public', 'works', 'service', '311', '311', 'The', 'following', 'data', 'set', 'contains', 'service', 'request', 'activity', 'for', 'Miami', 'Dade', 'County', 'The', 'data', 'sets', 'include', 'services', 'completed', 'proactively', 'by', 'Miami', 'Dade', 'County', 'departments', 'and', 'requests', 'submitted', 'by', 'citizens', 'via', 'phone', '(311)', 'online', '(miamidade', 'gov)', 'and', 'other', 'self', 'service', 'channels', 'such', 'as', 'the', '311Direct', 'mobile', 'application', 'With', 'a', 'few', 'exceptions', 'the', 'dataset', 'does', 'not', 'generally', 'include', 'requests', 'from', 'other', 'cities', '(City', 'of', 'Miami', 'Coral', 'Gables', 'etc', ')', 'unless', 'the', 'work', 'is', 'owned', 'by', 'Miami', 'Dade', 'County', 'staff', 'THIS', 'DATA', 'SET', 'IS', 'STILL', 'IN', 'BETA', 'Please', 'keep', 'that', 'in', 'mind', 'as', 'you', 'review', 'it']","[(4, 0.06773404443709663), (6, 0.016507385020095709), (7, 0.030594405594405606), (12, 0.035359210179861926), (17, 0.034716298396317367), (18, 0.047488963997441049), (22, 0.25877666990451825), (23, 0.016024304379451969), (24, 0.045745920745920765), (25, 0.017801031396503637), (29, 0.021425479232159549), (34, 0.015893171129610167), (35, 0.024554746888307458), (38, 0.018938358601850686), (39, 0.021469509979934621), (41, 0.20398358745093867), (44, 0.018432014939650587), (48, 0.094648137819175845)]","[(22, 0.25877666990451825), (41, 0.20398358745093867), (48, 0.09464813781917585), (4, 0.06773404443709663), (18, 0.04748896399744105), (24, 0.045745920745920765), (12, 0.035359210179861926), (17, 0.03471629839631737), (7, 0.030594405594405606), (35, 0.024554746888307458), (39, 0.02146950997993462), (29, 0.02142547923215955), (38, 0.018938358601850686), (44, 0.018432014939650587), (25, 0.017801031396503637), (6, 0.01650738502009571), (23, 0.01602430437945197), (34, 0.015893171129610167)]",22
10365,10534,10534,NORA Uncommitted Property Inventory,"['This', 'is', 'a', 'listing', 'of', 'all', 'properties', 'in', ""NORA's"", 'inventory', 'that', 'are', 'not', 'under', 'contract']",New Orleans Redevelopment Authority (NORA),"['geopin_2', 'property_type', 'zip_code_2', 'identifier', 'square_footage', 'location_1', 'council_district']","['GEOPIN', 'Property Type', 'Zip Code', 'Identifier', 'Square Footage', 'Property Address', 'Council District']",dataset,[],"Housing, Land Use, and Blight","['inventory', 'property', 'redevelopment']",official,1496.0,45.0,0.0,13583.0,13.7296207436,data.nola.gov,"['inventory', 'property', 'redevelopment', 'housing', '', 'land', 'use', '', 'and', 'blight']","['inventory', 'property', 'redevelopment', 'housing', '', 'land', 'use', '', 'and', 'blight', 'This', 'is', 'a', 'listing', 'of', 'all', 'properties', 'in', ""NORA's"", 'inventory', 'that', 'are', 'not', 'under', 'contract']","[(0, 0.078402366863905198), (1, 0.078402366863905198), (6, 0.15429617472782212), (21, 0.079167191506128221), (22, 0.22883288526009221), (30, 0.079813818217183863), (36, 0.078402366863905198), (48, 0.078402366863905198), (49, 0.080670995377530044)]","[(22, 0.2288328852600922), (6, 0.15429617472782212), (49, 0.08067099537753004), (30, 0.07981381821718386), (21, 0.07916719150612822), (0, 0.0784023668639052), (1, 0.0784023668639052), (36, 0.0784023668639052), (48, 0.0784023668639052)]",22
2031,2031,2031,Landmark Districts,"['This', 'dataset', 'is', 'a', 'list', 'of', 'Chicago', 'Landmark', 'Districts', 'designated', 'by', 'City', 'Council', 'upon', 'recommendation', 'of', 'the', 'Commission', 'on', 'Chicago', 'Landmarks', 'It', 'contains', 'the', 'name', 'of', 'each', 'Chicago', 'Landmark', 'District', 'along', 'with', 'the', 'date', 'of', 'its', 'designation', 'Additional', 'information', 'about', 'each', 'Chicago', 'Landmark', 'District', 'including', 'district', 'maps', 'is', 'available', 'on', 'the', 'Chicago', 'Landmarks', 'home', 'page', 'at', 'http', '//j', 'mp/lRJVnh', 'Districts', 'which', 'have', 'been', 'proposed', 'for', 'landmark', 'designation', 'by', 'the', 'Commission', 'on', 'Chicago', 'Landmarks', 'and', 'remain', 'under', 'consideration', 'are', 'not', 'included', 'This', 'information', 'is', 'for', 'illustrative', 'purposes', 'only;', 'the', 'legal', 'boundaries', 'are', 'as', 'identified', 'by', 'the', 'respective', 'landmark', 'designation', 'ordinances', 'A', 'data', 'set', 'containing', 'Individual', 'Chicago', 'Landmarks', 'is', 'available', 'separately', 'Go', 'to', 'http', '//j', 'mp/m7t5nB', 'to', 'access', 'the', 'related', 'GIS', 'layer', 'files', 'You', 'will', 'need', 'compression', 'software', 'and', 'special', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'to', 'use', 'the', 'GIS', 'files']",City of Chicago,"['designation_date', 'district_name']","['DESIGNATION DATE', 'DISTRICT NAME']",dataset,['health'],Historic Preservation,"['gis', 'tourism', 'landmarks']",official,1311.0,236.0,48.0,10688.0,13.3838392689,data.cityofchicago.org,"['gis', 'tourism', 'landmarks', 'health', 'historic', 'preservation']","['gis', 'tourism', 'landmarks', 'health', 'historic', 'preservation', 'This', 'dataset', 'is', 'a', 'list', 'of', 'Chicago', 'Landmark', 'Districts', 'designated', 'by', 'City', 'Council', 'upon', 'recommendation', 'of', 'the', 'Commission', 'on', 'Chicago', 'Landmarks', 'It', 'contains', 'the', 'name', 'of', 'each', 'Chicago', 'Landmark', 'District', 'along', 'with', 'the', 'date', 'of', 'its', 'designation', 'Additional', 'information', 'about', 'each', 'Chicago', 'Landmark', 'District', 'including', 'district', 'maps', 'is', 'available', 'on', 'the', 'Chicago', 'Landmarks', 'home', 'page', 'at', 'http', '//j', 'mp/lRJVnh', 'Districts', 'which', 'have', 'been', 'proposed', 'for', 'landmark', 'designation', 'by', 'the', 'Commission', 'on', 'Chicago', 'Landmarks', 'and', 'remain', 'under', 'consideration', 'are', 'not', 'included', 'This', 'information', 'is', 'for', 'illustrative', 'purposes', 'only;', 'the', 'legal', 'boundaries', 'are', 'as', 'identified', 'by', 'the', 'respective', 'landmark', 'designation', 'ordinances', 'A', 'data', 'set', 'containing', 'Individual', 'Chicago', 'Landmarks', 'is', 'available', 'separately', 'Go', 'to', 'http', '//j', 'mp/m7t5nB', 'to', 'access', 'the', 'related', 'GIS', 'layer', 'files', 'You', 'will', 'need', 'compression', 'software', 'and', 'special', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'to', 'use', 'the', 'GIS', 'files']","[(0, 0.012510199000432907), (1, 0.05734555114963124), (2, 0.011666591403340644), (3, 0.016320543739948654), (4, 0.10856135211940204), (8, 0.01158216783216782), (10, 0.012452243250690014), (11, 0.011961489479041324), (12, 0.01593036012410946), (21, 0.014597733174359927), (22, 0.21430748111458114), (24, 0.21353717477303713), (26, 0.023605054393446248), (29, 0.11676769592179931), (30, 0.033723042166086847), (33, 0.050709318613410707), (35, 0.041155333459104541), (36, 0.011908237332952491), (48, 0.014146892490918135)]","[(22, 0.21430748111458114), (24, 0.21353717477303713), (29, 0.11676769592179931), (4, 0.10856135211940204), (1, 0.05734555114963124), (33, 0.05070931861341071), (35, 0.04115533345910454), (30, 0.03372304216608685), (26, 0.023605054393446248), (3, 0.016320543739948654), (12, 0.01593036012410946), (21, 0.014597733174359927), (48, 0.014146892490918135), (0, 0.012510199000432907), (10, 0.012452243250690014), (11, 0.011961489479041324), (36, 0.01190823733295249), (2, 0.011666591403340644), (8, 0.01158216783216782)]",22
1417,1417,1417,EBRP Tax Roll,"['This', 'dataset', 'is', 'a', 'full', 'listing', 'of', 'tax', 'parcels', 'in', 'East', 'Baton', 'Rouge', 'Parish', 'including', 'the', 'cities', 'of', 'Baton', 'Rouge', 'Baker', 'Central', 'and', 'Zachary', 'The', 'records', 'contained', 'herein', 'include', 'information', 'about', 'taxpayers', 'homestead', 'exemptions', 'adjudications', 'property', 'details', 'and', 'many', 'other', 'topics', 'The', ""Assessor's"", 'Office', 'provides', 'this', 'information', 'for', 'public', 'use', 'in', 'an', 'effort', 'to', 'better', 'serve', 'the', 'taxpayers', 'and', 'property', 'owners', 'of', 'East', 'Baton', 'Rouge', 'Parish', 'Louisiana']",East Baton Rouge Parish Assessor's Office,"['units', 'lot_no', 'taxpayer_addr_3', 'taxpayer_addr_2', 'taxpayer_addr_1', 'taxpayer_name', 'block_no', 'conveyance_book_no', 'assessment_no', 'homestead_exemption', 'total_value', 'fair_market_val', 'legal_description', 'conveyance_page_no', 'transfer_date', 'instrument_type', 'structure_use', 'parcel_address', 'subdivision_name', 'assessment_status', 'assessment_type', 'tax_year', 'unit_type', 'homestead_exempt_type', 'restora_tax_abatements', 'taxpayer_val', 'vacant_lot_yn', 'ward_no']","['NO UNITS', 'LOT NO', 'TAXPAYER CITY STATE ZIP', 'TAXPAYER SUBADDRESS', 'TAXPAYER ADDRESS', 'TAXPAYER NAME', 'BLOCK/SQUARE NO', 'BUNDLE', 'PROPERTY NUMBER', 'HOMESTEAD EXEMPTION VALUE', 'TOTAL ASSESSED VALUE', 'FAIR MARKET VALUE', 'LEGAL DESCRIPTION', 'ORIGINAL', 'TRANSFER DATE', 'TRANSFER TYPE', 'STRUCTURE USE', 'PHYSICAL ADDRESS', 'SUBDIVISION NAME', 'ASSESSMENT STATUS', 'ASSESSMENT TYPE', 'TAX YEAR', 'UNIT TYPE', 'HOMESTEAD EXEMPTION', 'RESTORATION TAX ABATEMENT', 'TAXABLE PARISH', 'VACANT', 'WARD']",dataset,"['economy', 'environment', 'housing & development']",Housing and Development,['tax; parcel; tax roll; assessment; property; ebrp'],official,836.0,272.0,93.0,9734.0,13.2489652636,data.brla.gov,"['tax;', 'parcel;', 'tax', 'roll;', 'assessment;', 'property;', 'ebrp', 'economy', 'environment', 'housing', '&', 'development', 'housing', 'and', 'development']","['tax;', 'parcel;', 'tax', 'roll;', 'assessment;', 'property;', 'ebrp', 'economy', 'environment', 'housing', '&', 'development', 'housing', 'and', 'development', 'This', 'dataset', 'is', 'a', 'full', 'listing', 'of', 'tax', 'parcels', 'in', 'East', 'Baton', 'Rouge', 'Parish', 'including', 'the', 'cities', 'of', 'Baton', 'Rouge', 'Baker', 'Central', 'and', 'Zachary', 'The', 'records', 'contained', 'herein', 'include', 'information', 'about', 'taxpayers', 'homestead', 'exemptions', 'adjudications', 'property', 'details', 'and', 'many', 'other', 'topics', 'The', ""Assessor's"", 'Office', 'provides', 'this', 'information', 'for', 'public', 'use', 'in', 'an', 'effort', 'to', 'better', 'serve', 'the', 'taxpayers', 'and', 'property', 'owners', 'of', 'East', 'Baton', 'Rouge', 'Parish', 'Louisiana']","[(0, 0.018621144057955494), (1, 0.02421157821549369), (4, 0.073078709213381873), (6, 0.055149784910637316), (9, 0.24809944472434892), (21, 0.026583673150452368), (22, 0.28552814800047044), (25, 0.043051464736090339), (31, 0.036468459147015707), (42, 0.051258909217166665), (44, 0.022924673006865636), (49, 0.10198620197214323)]","[(22, 0.28552814800047044), (9, 0.24809944472434892), (49, 0.10198620197214323), (4, 0.07307870921338187), (6, 0.055149784910637316), (42, 0.051258909217166665), (25, 0.04305146473609034), (31, 0.03646845914701571), (21, 0.026583673150452368), (1, 0.02421157821549369), (44, 0.022924673006865636), (0, 0.018621144057955494)]",22
2092,2092,2092,Individual Landmarks - Map,"['This', 'dataset', 'is', 'a', 'list', 'of', 'individual', 'Chicago', 'Landmarks', 'designated', 'by', 'City', 'Council', 'upon', 'recommendation', 'of', 'the', 'Commission', 'on', 'Chicago', 'Landmarks', 'It', 'contains', 'the', 'name', 'of', 'each', 'landmark', 'property', 'along', 'with', 'the', 'date', 'of', 'its', 'construction', '(if', 'known)', 'the', 'name', 'of', 'its', 'architect/designer', '(if', 'known)', 'and', 'the', 'date', 'of', 'Chicago', 'Landmark', 'designation', 'Additional', 'information', 'about', 'each', 'individual', 'Chicago', 'Landmark', 'can', 'be', 'found', 'on', 'the', 'Chicago', 'Landmarks', 'home', 'page', 'at', 'http', '//j', 'mp/lRJVnh', 'Properties', 'which', 'have', 'been', 'proposed', 'for', 'landmark', 'designation', 'by', 'the', 'Commission', 'on', 'Chicago', 'Landmarks', 'and', 'remain', 'under', 'consideration', 'are', 'not', 'included', 'This', 'information', 'is', 'for', 'illustrative', 'purposes', 'only;', 'the', 'legal', 'descriptions', 'are', 'as', 'identified', 'by', 'the', 'respective', 'landmark', 'designation', 'ordinances', 'A', 'dataset', 'containing', 'Chicago', 'Landmark', 'Districts', 'is', 'available', 'separately', 'Data', 'updated', 'quarterly']",City of Chicago,"['landmark_designation_date', 'latitude', 'address', 'longitude', 'location', 'landmark_name', 'date_built', 'architect', 'id']","['LANDMARK DESIGNATION DATE', 'LATITUDE', 'ADDRESS', 'LONGITUDE', 'LOCATION', 'LANDMARK NAME', 'DATE BUILT', 'ARCHITECT', 'ID']",map,"['infrastructure', 'health']",Historic Preservation,"['gis', 'tourism', 'landmarks']",official,653.0,108.0,18.0,6920.0,12.7567647894,data.cityofchicago.org,"['gis', 'tourism', 'landmarks', 'infrastructure', 'health', 'historic', 'preservation']","['gis', 'tourism', 'landmarks', 'infrastructure', 'health', 'historic', 'preservation', 'This', 'dataset', 'is', 'a', 'list', 'of', 'individual', 'Chicago', 'Landmarks', 'designated', 'by', 'City', 'Council', 'upon', 'recommendation', 'of', 'the', 'Commission', 'on', 'Chicago', 'Landmarks', 'It', 'contains', 'the', 'name', 'of', 'each', 'landmark', 'property', 'along', 'with', 'the', 'date', 'of', 'its', 'construction', '(if', 'known)', 'the', 'name', 'of', 'its', 'architect/designer', '(if', 'known)', 'and', 'the', 'date', 'of', 'Chicago', 'Landmark', 'designation', 'Additional', 'information', 'about', 'each', 'individual', 'Chicago', 'Landmark', 'can', 'be', 'found', 'on', 'the', 'Chicago', 'Landmarks', 'home', 'page', 'at', 'http', '//j', 'mp/lRJVnh', 'Properties', 'which', 'have', 'been', 'proposed', 'for', 'landmark', 'designation', 'by', 'the', 'Commission', 'on', 'Chicago', 'Landmarks', 'and', 'remain', 'under', 'consideration', 'are', 'not', 'included', 'This', 'information', 'is', 'for', 'illustrative', 'purposes', 'only;', 'the', 'legal', 'descriptions', 'are', 'as', 'identified', 'by', 'the', 'respective', 'landmark', 'designation', 'ordinances', 'A', 'dataset', 'containing', 'Chicago', 'Landmark', 'Districts', 'is', 'available', 'separately', 'Data', 'updated', 'quarterly']","[(1, 0.065985179316140438), (2, 0.013081006589204448), (3, 0.023620760293130826), (4, 0.12132559910851824), (6, 0.022509500351223066), (8, 0.013067061143984206), (10, 0.01366421472583948), (11, 0.013738021608366955), (12, 0.01692401350638956), (22, 0.24771093331921945), (23, 0.028561326186042877), (24, 0.14428676892102357), (26, 0.072104535247422358), (27, 0.013806805822117827), (29, 0.039517222604718433), (31, 0.024926869587971877), (33, 0.027126809846026799), (35, 0.059041960124773467), (36, 0.013339172170226727), (48, 0.017772693176573331)]","[(22, 0.24771093331921945), (24, 0.14428676892102357), (4, 0.12132559910851824), (26, 0.07210453524742236), (1, 0.06598517931614044), (35, 0.05904196012477347), (29, 0.03951722260471843), (23, 0.028561326186042877), (33, 0.0271268098460268), (31, 0.024926869587971877), (3, 0.023620760293130826), (6, 0.022509500351223066), (48, 0.01777269317657333), (12, 0.01692401350638956), (27, 0.013806805822117827), (11, 0.013738021608366955), (10, 0.01366421472583948), (36, 0.013339172170226727), (2, 0.013081006589204448), (8, 0.013067061143984206)]",22
13245,13414,13414,Seattle Cultural Space Inventory Map,"['These', 'are', 'the', 'results', 'of', 'this', 'ongoing', 'inventory', 'of', 'cultural', 'space', 'in', 'Seattle', 'From', 'the', 'largest', 'to', 'the', 'smallest', 'The', 'Office', 'of', 'Arts', 'Culture', 'are', 'counting', 'every', 'theater', 'gallery', 'arts', 'office', 'rehearsal', 'room', 'library', 'music', 'club', 'museum', 'and', 'cinema', 'in', 'town']",Office of Arts & Culture | Seattle,"['previous_facilities', 'year_of_occupation', 'neighborhood', 'site_control_through_date', 'year_founded', 'own_or_rent', 'year_bldg_built', 'seats_total', 'visual_art_galleries', 'theatre_1', 'seats_in_theatre_2', 'square_feet_total', 'theatre_2', 'location', 'seats_in_theatre_1', 'constituency_over_50_one_race', 'stability_index_5_very_stable_1_very_uncertain', 'closed_date', 'serve_alcohol', 'closed', 'parking_spaces', 'street_frontage', 'ada_compliant', 'funded_by_a_c', 'seats_in_theatre_4', 'theatre_3', 'seats_in_theatre_3', 'theatre_5', 'address', '_3rd_discipline', 'dominant_discipline', '_2nd_discipline', 'phone', 'name', 'seats_in_theatre_5', 'url', 'rental_space_avail', 'square_feet', 'how_many_theaters', 'theatre_4', 'nonprofit']","['Number of Past Facilities', 'Year of Occupation', 'Neighborhood', 'Length of Lease (Date)', ' Year Organization Founded', 'Rent vs Own', 'Age of Current Building', 'Stage & Theater Seats ', 'Gallery Space', 'Theatre 1', 'Seats in Theatre 2', 'Square Feet Total', 'Theatre 2', 'Location', 'Seats in Theatre 1', 'Constituency over 50% one race', 'Stability Index (5=very stable, 1=very uncertain)', 'Closed Date', 'Alcohol Sales', 'Closed?', 'Available Parking', 'Street Presence', 'ADA Compliant', 'Funded by A&C', 'Seats in Theatre 4', 'Theatre 3', 'Seats in Theatre 3', 'Theatre 5', 'Address', '3rd Discipline', 'Dominant Discipline', '2nd Discipline', 'Phone', 'Name', 'Seats in Theatre 5', 'URL', 'Rental Space ', 'Gallery Square Feet', 'Stages and Theaters', 'Theatre 4', 'Organization Type']",map,"['infrastructure', 'politics', 'environment']",Community,"['creative', 'organization', 'artist', 'museum', 'galley', 'theater', 'feet', 'square', 'cultural', 'space', 'art']",official,483.0,87.0,20.0,4682.0,12.1932173227,data.seattle.gov,"['creative', 'organization', 'artist', 'museum', 'galley', 'theater', 'feet', 'square', 'cultural', 'space', 'art', 'infrastructure', 'politics', 'environment', 'community']","['creative', 'organization', 'artist', 'museum', 'galley', 'theater', 'feet', 'square', 'cultural', 'space', 'art', 'infrastructure', 'politics', 'environment', 'community', 'These', 'are', 'the', 'results', 'of', 'this', 'ongoing', 'inventory', 'of', 'cultural', 'space', 'in', 'Seattle', 'From', 'the', 'largest', 'to', 'the', 'smallest', 'The', 'Office', 'of', 'Arts', 'Culture', 'are', 'counting', 'every', 'theater', 'gallery', 'arts', 'office', 'rehearsal', 'room', 'library', 'music', 'club', 'museum', 'and', 'cinema', 'in', 'town']","[(0, 0.024859287054408999), (2, 0.049249530956848017), (3, 0.062294955409818456), (5, 0.098030018761726054), (8, 0.025069483356100833), (12, 0.049249530956848017), (15, 0.028437319130584358), (16, 0.024859287054408999), (17, 0.049397318841560518), (22, 0.19851087105741239), (24, 0.049621515521341329), (31, 0.052847355846553284), (32, 0.024859287054408999), (42, 0.11710964176654917), (43, 0.024859287054408999), (45, 0.025701415738470096), (47, 0.024859287054408999), (49, 0.054237140217162978)]","[(22, 0.19851087105741239), (42, 0.11710964176654917), (5, 0.09803001876172605), (3, 0.062294955409818456), (49, 0.05423714021716298), (31, 0.052847355846553284), (24, 0.04962151552134133), (17, 0.04939731884156052), (2, 0.04924953095684802), (12, 0.04924953095684802), (15, 0.02843731913058436), (45, 0.025701415738470096), (8, 0.025069483356100833), (0, 0.024859287054409), (16, 0.024859287054409), (32, 0.024859287054409), (43, 0.024859287054409), (47, 0.024859287054409)]",22
1425,1425,1425,Subdivisions,"['This', 'dataset', 'is', 'an', 'official', 'listing', 'of', 'all', 'approved', 'and', 'recorded', 'subdivisions', 'in', 'East', 'Baton', 'Rouge', 'Parish', 'Louisiana']",City-Parish Planning Commission,"['subd_census_tract_num', 'subd_sub_area', 'subd_notation', 'subd_description', 'subd_map_key', 'subd_plan_dist', 'subd_lot_count', 'subd_name', 'subd_type', 'subd_perl_date', 'subd_final_date', 'subd_rc', 'subd_id']","['CENSUS TRACT', 'SUBAREA', 'NOTATION', 'DESCRIPTION', 'MAP KEY', 'PLANNING DISTRICT', 'LOT COUNT', 'SUBDIVISION NAME', 'TYPE', 'PRELIMINARY DATE', 'FINAL DATE', 'RES OR COMM', 'SUBDIVISION ID']",dataset,[],Housing and Development,['subdivision; property; lot; cadastral'],official,617.0,173.0,40.0,4193.0,12.0341111461,data.brla.gov,"['subdivision;', 'property;', 'lot;', 'cadastral', 'housing', 'and', 'development']","['subdivision;', 'property;', 'lot;', 'cadastral', 'housing', 'and', 'development', 'This', 'dataset', 'is', 'an', 'official', 'listing', 'of', 'all', 'approved', 'and', 'recorded', 'subdivisions', 'in', 'East', 'Baton', 'Rouge', 'Parish', 'Louisiana']","[(7, 0.17760180995475092), (9, 0.12132131487020227), (15, 0.094386842704839824), (22, 0.34913429795324891), (44, 0.062349817040801538), (49, 0.14316971838113271)]","[(22, 0.3491342979532489), (7, 0.17760180995475092), (49, 0.1431697183811327), (9, 0.12132131487020227), (15, 0.09438684270483982), (44, 0.06234981704080154)]",22
