,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
1934,1934,1934,311 Service Requests - Vacant and Abandoned Buildings Reported,"['All', '311', 'calls', 'for', 'open', 'and', 'vacant', 'buildings', 'reported', 'to', 'the', 'City', 'of', 'Chicago', 'since', 'January', '1', '2010', 'The', 'information', 'is', 'updated', 'daily', 'with', 'the', 'previous', ""day's"", 'calls', 'added', 'to', 'the', 'records', 'The', 'data', 'set', 'provides', 'the', 'date', 'of', 'the', '311', 'service', 'request', 'and', 'the', 'unique', 'Service', 'Request', '#', 'attached', 'to', 'each', 'request', 'For', 'each', 'request', 'the', 'following', 'information', '(as', 'reported', 'by', 'the', '311', 'caller)', 'is', 'available', 'address', 'location', 'of', 'building;', 'whether', 'building', 'is', 'vacant', 'or', 'occupied;', 'whether', 'the', 'building', 'is', 'open', 'or', 'boarded;', 'entry', 'point', 'if', 'building', 'is', 'open;', 'whether', 'non', 'residents', 'are', 'occupying', 'or', 'using', 'the', 'building', 'if', 'the', 'building', 'appears', 'dangerous', 'or', 'hazardous', 'and', 'if', 'the', 'building', 'is', 'vacant', 'due', 'to', 'a', 'fire']",City of Chicago,"['address_street_number', 'any_people_using_property_homeless_childen_gangs_', 'is_building_open_or_boarded_', 'ward', 'address_street_name', 'address_street_suffix', 'zip_code', 'if_the_building_is_open_where_is_the_entry_point_', 'is_the_building_dangerous_or_hazardous_', 'location', 'x_coordinate', 'longitude', 'latitude', 'community_area', 'police_district', 'y_coordinate', 'is_the_building_currently_vacant_or_occupied_', 'service_request_type', 'service_request_number', 'date_service_request_was_received', 'is_the_building_vacant_due_to_fire_', 'location_of_building_on_the_lot_if_garage_change_type_code_to_bgd_', 'address_street_direction']","['ADDRESS STREET NUMBER', 'ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)', 'IS BUILDING OPEN OR BOARDED?', 'Ward', 'ADDRESS STREET NAME', 'ADDRESS STREET SUFFIX', 'ZIP CODE', 'IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?', 'IS THE BUILDING DANGEROUS OR HAZARDOUS?', 'Location', 'X COORDINATE', 'LONGITUDE', 'LATITUDE', 'Community Area', 'Police District', 'Y COORDINATE', 'IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?', 'SERVICE REQUEST TYPE', 'SERVICE REQUEST NUMBER', 'DATE SERVICE REQUEST WAS RECEIVED', 'IS THE BUILDING VACANT DUE TO FIRE?', 'LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).', 'ADDRESS STREET DIRECTION']",dataset,['housing & development'],Service Requests,['buildings'],official,531692.0,854.0,235.0,76412.0,16.2215304817,data.cityofchicago.org,"['buildings', 'housing', '&', 'development', 'service', 'requests']","['buildings', 'housing', '&', 'development', 'service', 'requests', 'All', '311', 'calls', 'for', 'open', 'and', 'vacant', 'buildings', 'reported', 'to', 'the', 'City', 'of', 'Chicago', 'since', 'January', '1', '2010', 'The', 'information', 'is', 'updated', 'daily', 'with', 'the', 'previous', ""day's"", 'calls', 'added', 'to', 'the', 'records', 'The', 'data', 'set', 'provides', 'the', 'date', 'of', 'the', '311', 'service', 'request', 'and', 'the', 'unique', 'Service', 'Request', '#', 'attached', 'to', 'each', 'request', 'For', 'each', 'request', 'the', 'following', 'information', '(as', 'reported', 'by', 'the', '311', 'caller)', 'is', 'available', 'address', 'location', 'of', 'building;', 'whether', 'building', 'is', 'vacant', 'or', 'occupied;', 'whether', 'the', 'building', 'is', 'open', 'or', 'boarded;', 'entry', 'point', 'if', 'building', 'is', 'open;', 'whether', 'non', 'residents', 'are', 'occupying', 'or', 'using', 'the', 'building', 'if', 'the', 'building', 'appears', 'dangerous', 'or', 'hazardous', 'and', 'if', 'the', 'building', 'is', 'vacant', 'due', 'to', 'a', 'fire']","[(4, 0.065170972035680994), (7, 0.042511751013121872), (18, 0.29568655814052136), (21, 0.082711155826582977), (27, 0.015403007775000692), (32, 0.081657983966009984), (37, 0.11357485719773648), (38, 0.019088324471623161), (41, 0.18612015554147393), (45, 0.016627237807394557), (46, 0.029433709571885965), (49, 0.041476878855286607)]","[(18, 0.29568655814052136), (41, 0.18612015554147393), (37, 0.11357485719773648), (21, 0.08271115582658298), (32, 0.08165798396600998), (4, 0.065170972035681), (7, 0.04251175101312187), (49, 0.04147687885528661), (46, 0.029433709571885965), (38, 0.01908832447162316), (45, 0.016627237807394557), (27, 0.015403007775000692)]",18
870,870,870,Map of Declared Dangerous Dogs,"['No', 'declared', 'Dangerous', 'Dog', 'in', 'the', 'City', 'of', 'Austin', 'and', 'Travis', 'County', 'should', 'ever', 'be', 'running', 'at', 'large', 'They', 'are', 'court', 'ordered', 'to', 'be', 'restrained', 'at', 'all', 'times', 'and', 'should', 'be', 'wearing', 'a', 'large', 'tag', 'identifying', 'them', 'as', 'a', 'Dangerous', 'Dog', 'They', 'have', 'attacked', 'in', 'the', 'past', 'The', 'owner', 'is', 'required', 'to', 'provide', '$100', '000', 'in', 'financial', 'responsibility', 'If', 'they', 'attack', 'again', 'the', 'court', 'could', 'order', 'them', 'put', 'to', 'sleep', '*Last', 'updated', 'January', '2015*']",City of Austin,"['last_name', 'location', 'zip_code', 'description_of_dog', 'first_name', 'address']","['Last Name ', 'Location', 'Zip Code ', 'Description of Dog', 'First Name ', 'Address']",map,"['public safety', 'demographics']",Public Safety,"['public safety', 'dangerous', 'dogs', 'pets', 'animals']",official,801.0,703.0,89.0,49199.0,15.5863706951,data.austintexas.gov,"['public', 'safety', 'dangerous', 'dogs', 'pets', 'animals', 'public', 'safety', 'demographics', 'public', 'safety']","['public', 'safety', 'dangerous', 'dogs', 'pets', 'animals', 'public', 'safety', 'demographics', 'public', 'safety', 'No', 'declared', 'Dangerous', 'Dog', 'in', 'the', 'City', 'of', 'Austin', 'and', 'Travis', 'County', 'should', 'ever', 'be', 'running', 'at', 'large', 'They', 'are', 'court', 'ordered', 'to', 'be', 'restrained', 'at', 'all', 'times', 'and', 'should', 'be', 'wearing', 'a', 'large', 'tag', 'identifying', 'them', 'as', 'a', 'Dangerous', 'Dog', 'They', 'have', 'attacked', 'in', 'the', 'past', 'The', 'owner', 'is', 'required', 'to', 'provide', '$100', '000', 'in', 'financial', 'responsibility', 'If', 'they', 'attack', 'again', 'the', 'court', 'could', 'order', 'them', 'put', 'to', 'sleep', '*Last', 'updated', 'January', '2015*']","[(0, 0.07880844645550536), (7, 0.029025561178160145), (17, 0.066665840650494121), (18, 0.43133779151449775), (26, 0.12986045625345199), (27, 0.020735025676468278), (30, 0.075902222021840354), (35, 0.038537874922769208), (37, 0.020332649011571925), (42, 0.05311730187094546), (51, 0.040216800278383841)]","[(18, 0.43133779151449775), (26, 0.129860456253452), (0, 0.07880844645550536), (30, 0.07590222202184035), (17, 0.06666584065049412), (42, 0.05311730187094546), (51, 0.04021680027838384), (35, 0.03853787492276921), (7, 0.029025561178160145), (27, 0.020735025676468278), (37, 0.020332649011571925)]",18
11638,11807,11807,Purchasing Options for AIS Permits for Non-Motorized and Out-of-State Boaters,"['Non', 'motorized', 'boaters', 'can', 'purchase', 'one', 'year', 'Aquatic', 'Invasive', 'Species', 'Permits', 'from', 'an', 'ODFW', 'license', 'agent', '($7)', 'OR', 'from', 'an', 'OSMB', 'AIS', 'Dealer', 'for', 'one', 'year', 'or', 'two', 'year', 'TYVEK', 'Tags', '($5', '$10)', 'Out', 'of', 'state', 'motorized', 'permits', 'can', 'be', 'purchased', 'for', '$22', 'from', 'an', 'ODFW', 'license', 'agent', 'or', 'ODFW', 'license', 'sales', 'online', 'Find', 'an', 'agent', 'or', 'dealer', 'near', 'you']",Oregon Department of Fish and Wildlife and Oregon State Marine Board,"['agent_mailing_address', 'zip_code', 'location', 'type_of_permit_sold', 'odfw_license_agents', 'agent_name']","['Agent Address', 'Zip Code', 'Location', 'Type of Permit Sold', 'ODFW License Agents', 'Agent Name']",map,"['recreation', 'transportation', 'infrastructure']",Recreation,"['aisp', 'ais permits', 'angling', 'aquatic invasive species', 'boating', 'boat launches', 'canoes', 'fish and wildlife', 'fishing', 'kayaks', 'licenses', 'marine board', 'motorized permits', 'non-motorized', 'non-resident ais permits', 'odfw', 'out-of-state ais permits', 'paddleboards', 'paddling permits', 'permits', 'recreational boating', 'regulations', 'tyvek tags']",official,178.0,99.0,7.0,48345.0,15.56110891,data.oregon.gov,"['aisp', 'ais', 'permits', 'angling', 'aquatic', 'invasive', 'species', 'boating', 'boat', 'launches', 'canoes', 'fish', 'and', 'wildlife', 'fishing', 'kayaks', 'licenses', 'marine', 'board', 'motorized', 'permits', 'non-motorized', 'non-resident', 'ais', 'permits', 'odfw', 'out-of-state', 'ais', 'permits', 'paddleboards', 'paddling', 'permits', 'permits', 'recreational', 'boating', 'regulations', 'tyvek', 'tags', 'recreation', 'transportation', 'infrastructure', 'recreation']","['aisp', 'ais', 'permits', 'angling', 'aquatic', 'invasive', 'species', 'boating', 'boat', 'launches', 'canoes', 'fish', 'and', 'wildlife', 'fishing', 'kayaks', 'licenses', 'marine', 'board', 'motorized', 'permits', 'non-motorized', 'non-resident', 'ais', 'permits', 'odfw', 'out-of-state', 'ais', 'permits', 'paddleboards', 'paddling', 'permits', 'permits', 'recreational', 'boating', 'regulations', 'tyvek', 'tags', 'recreation', 'transportation', 'infrastructure', 'recreation', 'Non', 'motorized', 'boaters', 'can', 'purchase', 'one', 'year', 'Aquatic', 'Invasive', 'Species', 'Permits', 'from', 'an', 'ODFW', 'license', 'agent', '($7)', 'OR', 'from', 'an', 'OSMB', 'AIS', 'Dealer', 'for', 'one', 'year', 'or', 'two', 'year', 'TYVEK', 'Tags', '($5', '$10)', 'Out', 'of', 'state', 'motorized', 'permits', 'can', 'be', 'purchased', 'for', '$22', 'from', 'an', 'ODFW', 'license', 'agent', 'or', 'ODFW', 'license', 'sales', 'online', 'Find', 'an', 'agent', 'or', 'dealer', 'near', 'you']","[(0, 0.012580632533446209), (1, 0.012279888785912881), (3, 0.022709974072061087), (6, 0.037028885488779993), (8, 0.012389316751153866), (9, 0.085415319325603881), (13, 0.016374516049696392), (18, 0.27679971674075637), (19, 0.012931211047389628), (20, 0.049503136417461471), (23, 0.012279888785912881), (25, 0.044135263525119268), (27, 0.013185272654201526), (37, 0.13718755184197268), (38, 0.014855285415000379), (40, 0.029679095712373944), (42, 0.035876426248775323), (43, 0.070473301462412222), (46, 0.035395167992117706), (48, 0.061505876675338828)]","[(18, 0.2767997167407564), (37, 0.13718755184197268), (9, 0.08541531932560388), (43, 0.07047330146241222), (48, 0.06150587667533883), (20, 0.04950313641746147), (25, 0.04413526352511927), (6, 0.03702888548877999), (42, 0.03587642624877532), (46, 0.035395167992117706), (40, 0.029679095712373944), (3, 0.022709974072061087), (13, 0.01637451604969639), (38, 0.014855285415000379), (27, 0.013185272654201526), (19, 0.012931211047389628), (0, 0.012580632533446209), (8, 0.012389316751153866), (1, 0.012279888785912881), (23, 0.012279888785912881)]",18
7241,7410,7410,Pet License Sales Locations NO TAGS,"['Locations', 'that', 'do', 'NOT', 'have', 'physical', 'license', 'tags', 'for', 'sale', 'just', 'mailers', 'to', 'obtain', 'tags']",,"['notes', 'city', 'suite', 'license_tags_available', 'license_mailers_available', 'telephone', 'location', 'agency']","['Notes', 'City', 'Suite', 'License Tags Available?', 'License Mailers Available?', 'Telephone', 'Location', 'Agency']",dataset,[],Pets,[],official,1374.0,392.0,70.0,34269.0,15.0646585714,data.kingcounty.gov,['pets'],"['pets', 'Locations', 'that', 'do', 'NOT', 'have', 'physical', 'license', 'tags', 'for', 'sale', 'just', 'mailers', 'to', 'obtain', 'tags']","[(5, 0.20192307692012038), (18, 0.30192307692307679), (25, 0.10192307692307688), (31, 0.10192307692307688), (42, 0.10192307692307688), (48, 0.10192307692307688)]","[(18, 0.3019230769230768), (5, 0.20192307692012038), (25, 0.10192307692307688), (31, 0.10192307692307688), (42, 0.10192307692307688), (48, 0.10192307692307688)]",18
7242,7411,7411,Pet License Sales Locations WITH TAGS,"['Locations', 'that', 'have', 'license', 'tags', 'available', 'for', 'sale']",,"['location', 'notes', 'telephone', 'license_tags_available', 'suite', 'city', 'agency', 'license_mailers_available']","['Location', 'Notes', 'Telephone', 'License Tags Available?', 'Suite', 'City', 'Agency', 'License Mailers Available?']",dataset,[],Pets,[],official,1382.0,171.0,30.0,33216.0,15.0196341614,data.kingcounty.gov,['pets'],"['pets', 'Locations', 'that', 'have', 'license', 'tags', 'available', 'for', 'sale']","[(5, 0.16638241032490422), (18, 0.41054066659816441), (25, 0.14560439560439567), (48, 0.14560439560439567)]","[(18, 0.4105406665981644), (5, 0.16638241032490422), (25, 0.14560439560439567), (48, 0.14560439560439567)]",18
7245,7414,7414,Pet License Locations (Combined),"['Map', 'of', 'locations', 'to', 'pick', 'up', 'pet', 'license', 'tags', 'or', 'mailers']",,"['notes', 'license_tags_available', 'agency', 'city', 'telephone', 'suite', 'location', 'license_mailers_available']","['Notes', 'License Tags Available?', 'Agency', 'City', 'Telephone', 'Suite', 'Location', 'License Mailers Available?']",map,[],Pets,[],official,1065.0,416.0,71.0,27950.0,14.7706122787,data.kingcounty.gov,['pets'],"['pets', 'Map', 'of', 'locations', 'to', 'pick', 'up', 'pet', 'license', 'tags', 'or', 'mailers']","[(5, 0.11202941724826393), (12, 0.11324786324786323), (18, 0.22435897435897434), (23, 0.11446630924746258), (31, 0.11324786324786323), (43, 0.11324786324786323), (48, 0.11324786324786323)]","[(18, 0.22435897435897434), (23, 0.11446630924746258), (12, 0.11324786324786323), (31, 0.11324786324786323), (43, 0.11324786324786323), (48, 0.11324786324786323), (5, 0.11202941724826393)]",18
630,630,630,Number of Homeless Individuals,"['Number', 'of', 'homeless', 'people', 'in', 'Salt', 'Lake', 'County', 'taken', 'once', 'annually']",Utah HMIS,"['homeless_point_in_time_count', 'year2']","['HOMELESS POINT IN TIME COUNT ', 'YEAR']",dataset,[],,"['homeless', 'individuals']",official,562.0,2.0,0.0,26743.0,14.7069276396,dashboard.slco.org,"['homeless', 'individuals']","['homeless', 'individuals', 'Number', 'of', 'homeless', 'people', 'in', 'Salt', 'Lake', 'County', 'taken', 'once', 'annually']","[(0, 0.18356643356643318), (2, 0.175429591778168), (4, 0.094948597417657168), (18, 0.27218426971520915), (30, 0.10050583437262306), (49, 0.09294569273032699)]","[(18, 0.27218426971520915), (0, 0.18356643356643318), (2, 0.175429591778168), (30, 0.10050583437262306), (4, 0.09494859741765717), (49, 0.09294569273032699)]",18
11655,11824,11824,"Salaries: Agencies: As of June 30, 2010","['Each', 'annual', 'salary', 'listed', 'in', 'this', 'report', 'is', '12', 'times', 'that', 'particular', ""employee's"", 'monthly', 'adjusted', 'salary', 'rate', 'as', 'of', 'June', '30', '2010', '(between', 'July', '1', '2009', 'and', 'June', '30', '2010)', '""Annual', 'Salary""', 'includes', 'most', 'differential', 'payments', '(such', 'as', 'work', 'out', 'of', 'classification', 'and', 'bilingual', 'differential)', 'but', 'excludes', 'payments', 'for', 'overtime', 'shift', 'differential', 'benefits', 'and', 'vacation', 'payout', 'The', 'report', 'does', 'not', 'account', 'for', 'unpaid', 'furlough', 'leave', 'that', 'management', 'employees', 'began', 'taking', 'in', 'fiscal', 'year', '2009', '2010;', 'neither', 'does', 'it', 'reflect', 'step', 'decreases', 'and', 'unpaid', 'furlough', 'leave', 'that', 'some', 'classified', 'employees', 'began', 'taking', 'after', 'June', '2009', 'This', 'report', 'does', 'not', 'include', 'annual', 'salaries', 'for', 'employees', 'of', 'the', 'Oregon', 'University', 'System', 'semi', 'independent', 'agencies', 'temporary', 'employees', 'or', 'records', 'protected', 'by', 'court', 'order', 'For', 'more', 'State', 'of', 'Oregon', 'Workforce/salary', 'information', 'please', 'visit', 'the', 'Oregon', 'Transparency', 'Website', 'http', '//oregon', 'gov/transparency/state_workforce', 'page']",State of Oregon - Department of Administrative Services,"['classification', 'annual_salary', 'service_type', 'agency']","['CLASSIFICATION', 'ANNUAL SALARY', 'SERVICE TYPE', 'AGENCY #']",dataset,"['demographics', 'finance']",,"['data.oregon.gov', 'data', 'agency', 'state', 'transparency', 'oregon', 'salary', 'workforce']",official,1075.0,6.0,1.0,19589.0,14.2578297772,data.oregon.gov,"['data.oregon.gov', 'data', 'agency', 'state', 'transparency', 'oregon', 'salary', 'workforce', 'demographics', 'finance']","['data.oregon.gov', 'data', 'agency', 'state', 'transparency', 'oregon', 'salary', 'workforce', 'demographics', 'finance', 'Each', 'annual', 'salary', 'listed', 'in', 'this', 'report', 'is', '12', 'times', 'that', 'particular', ""employee's"", 'monthly', 'adjusted', 'salary', 'rate', 'as', 'of', 'June', '30', '2010', '(between', 'July', '1', '2009', 'and', 'June', '30', '2010)', '""Annual', 'Salary""', 'includes', 'most', 'differential', 'payments', '(such', 'as', 'work', 'out', 'of', 'classification', 'and', 'bilingual', 'differential)', 'but', 'excludes', 'payments', 'for', 'overtime', 'shift', 'differential', 'benefits', 'and', 'vacation', 'payout', 'The', 'report', 'does', 'not', 'account', 'for', 'unpaid', 'furlough', 'leave', 'that', 'management', 'employees', 'began', 'taking', 'in', 'fiscal', 'year', '2009', '2010;', 'neither', 'does', 'it', 'reflect', 'step', 'decreases', 'and', 'unpaid', 'furlough', 'leave', 'that', 'some', 'classified', 'employees', 'began', 'taking', 'after', 'June', '2009', 'This', 'report', 'does', 'not', 'include', 'annual', 'salaries', 'for', 'employees', 'of', 'the', 'Oregon', 'University', 'System', 'semi', 'independent', 'agencies', 'temporary', 'employees', 'or', 'records', 'protected', 'by', 'court', 'order', 'For', 'more', 'State', 'of', 'Oregon', 'Workforce/salary', 'information', 'please', 'visit', 'the', 'Oregon', 'Transparency', 'Website', 'http', '//oregon', 'gov/transparency/state_workforce', 'page']","[(5, 0.035642271088683973), (6, 0.032068608488625083), (8, 0.023969029366457825), (11, 0.02285397962056435), (12, 0.011037016243367292), (18, 0.16060727066063624), (20, 0.012880227316690482), (21, 0.044414182319432796), (22, 0.045344041315164743), (24, 0.021372902022755096), (26, 0.027605407599056716), (27, 0.016086481833754815), (32, 0.076006079209191085), (33, 0.046549529890766488), (34, 0.024422386175971905), (37, 0.03665864981047319), (40, 0.098213365534955785), (41, 0.016895172757855466), (43, 0.07953773919950452), (48, 0.017043394071028433), (49, 0.010825911962731624), (50, 0.11216922640794713), (51, 0.022047721870443581)]","[(18, 0.16060727066063624), (50, 0.11216922640794713), (40, 0.09821336553495578), (43, 0.07953773919950452), (32, 0.07600607920919109), (33, 0.04654952989076649), (22, 0.04534404131516474), (21, 0.044414182319432796), (37, 0.03665864981047319), (5, 0.03564227108868397), (6, 0.03206860848862508), (26, 0.027605407599056716), (34, 0.024422386175971905), (8, 0.023969029366457825), (11, 0.02285397962056435), (51, 0.02204772187044358), (24, 0.021372902022755096), (48, 0.017043394071028433), (41, 0.016895172757855466), (27, 0.016086481833754815), (20, 0.012880227316690482), (12, 0.011037016243367292), (49, 0.010825911962731624)]",18
7256,7425,7425,Pet License Tag Sales Locations,"['Locations', 'that', 'have', 'license', 'tags', 'available', 'for', 'sale']",,"['city', 'agency', 'location', 'notes', 'license_tags_available', 'suite', 'telephone', 'license_mailers_available']","['City', 'Agency', 'Location', 'Notes', 'License Tags Available?', 'Suite', 'Telephone', 'License Mailers Available?']",map,[],Pets,[],official,1012.0,1245.0,211.0,17599.0,14.1032878084,data.kingcounty.gov,['pets'],"['pets', 'Locations', 'that', 'have', 'license', 'tags', 'available', 'for', 'sale']","[(5, 0.16679865464747387), (18, 0.41012442227560325), (25, 0.14560439560439564), (48, 0.14560439560439564)]","[(18, 0.41012442227560325), (5, 0.16679865464747387), (25, 0.14560439560439564), (48, 0.14560439560439564)]",18
3006,3006,3006,Parking Violations Issued - Fiscal Year 2014 (August 2013 – June 2014),"['Parking', 'Violations', 'Issued', 'during', 'Fiscal', 'Year', '2014', '(August', '2013', '–', 'June', '2014)', '•', 'Parking', 'Violations', 'Issued', 'Fiscal', 'Year', '2017', 'can', 'be', 'found', 'here', 'https', '//data', 'cityofnewyork', 'us/d/pvqr', '7yc4', '•', 'Parking', 'Violations', 'Issued', 'Fiscal', 'Year', '2016', 'can', 'be', 'found', 'in', 'the', 'archived', 'dataset', 'here', 'https', '//data', 'cityofnewyork', 'us/d/kiv2', 'tbus', '•', 'Parking', 'Violations', 'Issued', 'Fiscal', 'Year', '2015', 'can', 'be', 'found', 'in', 'the', 'archived', 'dataset', 'here', 'https', '//data', 'cityofnewyork', 'us/d/c284', 'tqph']",Department of Finance (DOF),"['violation_in_front_of_or_opposite', 'unregistered_vehicle', 'vehicle_color', 'days_parking_in_effect', 'feet_from_curb', 'vehicle_expiration_date', 'street_code1', 'street_code2', 'issuing_agency', 'violation_post_code', 'hydrant_violation', 'plate_type', 'issue_date', 'to_hours_in_effect', 'plate_id', 'street_code3', 'double_parking_violation', 'violation_description', 'date_first_observed', 'intersecting_street', 'summons_number', 'vehicle_body_type', 'issuer_command', 'issuer_code', 'violation_code', 'vehicle_make', 'time_first_observed', 'registration_state', 'issuer_squad', 'meter_number', 'no_standing_or_stopping_violation', 'violation_legal_code', 'from_hours_in_effect', 'vehicle_year', 'issuer_precinct', 'violation_time', 'violation_location', 'violation_precinct', 'law_section', 'sub_division', 'house_number', 'street_name', 'violation_county']","['Violation In Front Of Or Opposite', 'Unregistered Vehicle?', 'Vehicle Color', 'Days Parking In Effect    ', 'Feet From Curb', 'Vehicle Expiration Date', 'Street Code1', 'Street Code2', 'Issuing Agency', 'Violation Post Code', 'Hydrant Violation', 'Plate Type', 'Issue Date', 'To Hours In Effect', 'Plate ID', 'Street Code3', 'Double Parking Violation', 'Violation Description', 'Date First Observed', 'Intersecting Street', 'Summons Number', 'Vehicle Body Type', 'Issuer Command', 'Issuer Code', 'Violation Code', 'Vehicle Make', 'Time First Observed', 'Registration State', 'Issuer Squad', 'Meter Number', 'No Standing or Stopping Violation', 'Violation Legal Code', 'From Hours In Effect', 'Vehicle Year', 'Issuer Precinct', 'Violation Time', 'Violation Location', 'Violation Precinct', 'Law Section', 'Sub Division', 'House Number', 'Street Name', 'Violation County']",dataset,['transportation'],City Government,"['ticket', 'dof', 'violation', 'stars', 'summons', 'parking ticket', 'parking violations issued - fiscal year 2014 (august 2013 – june 2014)', 'finance']",official,2974.0,161.0,39.0,15956.0,13.9619018223,data.cityofnewyork.us,"['ticket', 'dof', 'violation', 'stars', 'summons', 'parking', 'ticket', 'parking', 'violations', 'issued', '-', 'fiscal', 'year', '2014', '(august', '2013', '–', 'june', '2014)', 'finance', 'transportation', 'city', 'government']","['ticket', 'dof', 'violation', 'stars', 'summons', 'parking', 'ticket', 'parking', 'violations', 'issued', '-', 'fiscal', 'year', '2014', '(august', '2013', '–', 'june', '2014)', 'finance', 'transportation', 'city', 'government', 'Parking', 'Violations', 'Issued', 'during', 'Fiscal', 'Year', '2014', '(August', '2013', '–', 'June', '2014)', '•', 'Parking', 'Violations', 'Issued', 'Fiscal', 'Year', '2017', 'can', 'be', 'found', 'here', 'https', '//data', 'cityofnewyork', 'us/d/pvqr', '7yc4', '•', 'Parking', 'Violations', 'Issued', 'Fiscal', 'Year', '2016', 'can', 'be', 'found', 'in', 'the', 'archived', 'dataset', 'here', 'https', '//data', 'cityofnewyork', 'us/d/kiv2', 'tbus', '•', 'Parking', 'Violations', 'Issued', 'Fiscal', 'Year', '2015', 'can', 'be', 'found', 'in', 'the', 'archived', 'dataset', 'here', 'https', '//data', 'cityofnewyork', 'us/d/c284', 'tqph']","[(3, 0.12465161963997617), (18, 0.35184375291339648), (22, 0.069297082228116785), (37, 0.089439363787243306), (40, 0.20347372406586567), (41, 0.14604246797548232)]","[(18, 0.3518437529133965), (40, 0.20347372406586567), (41, 0.14604246797548232), (3, 0.12465161963997617), (37, 0.0894393637872433), (22, 0.06929708222811679)]",18
