,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9364,9533,9533,Missouri Zip Codes by County/City,"['List', 'of', 'cities', 'zip', 'codes', 'and', 'counties', 'in', 'Missouri']",,"['zip_code', 'county', 'city']","['zip code', 'county', 'city']",dataset,[],Geography,[],official,4995.0,1176.0,298.0,360330.0,18.4589632495,data.mo.gov,['geography'],"['geography', 'List', 'of', 'cities', 'zip', 'codes', 'and', 'counties', 'in', 'Missouri']","[(10, 0.1274038461538462), (14, 0.25240384615384626), (25, 0.25240384615384626), (29, 0.1274038461538462), (35, 0.1274038461538462)]","[(14, 0.25240384615384626), (25, 0.25240384615384626), (10, 0.1274038461538462), (29, 0.1274038461538462), (35, 0.1274038461538462)]",14
9418,9587,9587,Live Birth Data in Missouri,"['Vital', 'records', 'and', 'statistics', 'pertaining', 'to', 'live', 'births', 'in', 'the', 'state', 'of', 'Missouri']",DHSS,[],[],href,[],Health,[],official,369.0,13.0,7.0,22126.0,14.433520242,data.mo.gov,['health'],"['health', 'Vital', 'records', 'and', 'statistics', 'pertaining', 'to', 'live', 'births', 'in', 'the', 'state', 'of', 'Missouri']","[(2, 0.10192307692307688), (10, 0.10192307692307688), (14, 0.30192307692307679), (22, 0.20192307692307684), (43, 0.099149775763340386), (47, 0.10469637808281339)]","[(14, 0.3019230769230768), (22, 0.20192307692307684), (47, 0.10469637808281339), (2, 0.10192307692307688), (10, 0.10192307692307688), (43, 0.09914977576334039)]",14
2999,2999,2999,Demographic Statistics By Zip Code,"['Demographic', 'statistics', 'broken', 'down', 'by', 'zip', 'code']",Department of Youth and Community Development (DYCD),"['percent_permanent_resident_alien', 'percent_gender_unknown', 'percent_citizen_status_total', 'count_citizen_status_total', 'percent_citizen_status_unknown', 'percent_asian_non_hispanic', 'jurisdiction_name', 'count_participants', 'count_female', 'percent_female', 'count_male', 'percent_male', 'count_black_non_hispanic', 'percent_black_non_hispanic', 'count_white_non_hispanic', 'percent_white_non_hispanic', 'percent_gender_total', 'count_citizen_status_unknown', 'percent_american_indian', 'count_asian_non_hispanic', 'percent_public_assistance_total', 'count_public_assistance_unknown', 'percent_public_assistance_unknown', 'count_public_assistance_total', 'percent_other_citizen_status', 'count_other_citizen_status', 'percent_us_citizen', 'count_us_citizen', 'count_permanent_resident_alien', 'percent_ethnicity_total', 'count_ethnicity_total', 'percent_ethnicity_unknown', 'count_ethnicity_unknown', 'percent_other_ethnicity', 'count_other_ethnicity', 'count_receives_public_assistance', 'percent_receives_public_assistance', 'count_nreceives_public_assistance', 'percent_nreceives_public_assistance', 'count_gender_unknown', 'count_american_indian', 'count_hispanic_latino', 'percent_hispanic_latino', 'count_pacific_islander', 'percent_pacific_islander', 'count_gender_total']","['PERCENT PERMANENT RESIDENT ALIEN', 'PERCENT GENDER UNKNOWN', 'PERCENT CITIZEN STATUS TOTAL', 'COUNT CITIZEN STATUS TOTAL', 'PERCENT CITIZEN STATUS UNKNOWN', 'PERCENT ASIAN NON HISPANIC', 'JURISDICTION NAME', 'COUNT PARTICIPANTS', 'COUNT FEMALE', 'PERCENT FEMALE', 'COUNT MALE', 'PERCENT MALE', 'COUNT BLACK NON HISPANIC', 'PERCENT BLACK NON HISPANIC', 'COUNT WHITE NON HISPANIC', 'PERCENT WHITE NON HISPANIC', 'PERCENT GENDER TOTAL', 'COUNT CITIZEN STATUS UNKNOWN', 'PERCENT AMERICAN INDIAN', 'COUNT ASIAN NON HISPANIC', 'PERCENT PUBLIC ASSISTANCE TOTAL', 'COUNT PUBLIC ASSISTANCE UNKNOWN', 'PERCENT PUBLIC ASSISTANCE UNKNOWN', 'COUNT PUBLIC ASSISTANCE TOTAL', 'PERCENT OTHER CITIZEN STATUS', 'COUNT OTHER CITIZEN STATUS', 'PERCENT US CITIZEN', 'COUNT US CITIZEN', 'COUNT PERMANENT RESIDENT ALIEN', 'PERCENT ETHNICITY TOTAL', 'COUNT ETHNICITY TOTAL', 'PERCENT ETHNICITY UNKNOWN', 'COUNT ETHNICITY UNKNOWN', 'PERCENT OTHER ETHNICITY', 'COUNT OTHER ETHNICITY', 'COUNT RECEIVES PUBLIC ASSISTANCE', 'PERCENT RECEIVES PUBLIC ASSISTANCE', 'COUNT NRECEIVES PUBLIC ASSISTANCE', 'PERCENT NRECEIVES PUBLIC ASSISTANCE', 'COUNT GENDER UNKNOWN', 'COUNT AMERICAN INDIAN', 'COUNT HISPANIC LATINO', 'PERCENT HISPANIC LATINO', 'COUNT PACIFIC ISLANDER', 'PERCENT PACIFIC ISLANDER', 'COUNT GENDER TOTAL']",dataset,[],City Government,"['youth', 'area', 'zip code', 'boundary', 'development', 'code', 'zip', 'district', 'lifelong learning', 'statistic', 'demography', 'demographic', 'community']",official,102910.0,746.0,196.0,20039.0,14.2905948881,data.cityofnewyork.us,"['youth', 'area', 'zip', 'code', 'boundary', 'development', 'code', 'zip', 'district', 'lifelong', 'learning', 'statistic', 'demography', 'demographic', 'community', 'city', 'government']","['youth', 'area', 'zip', 'code', 'boundary', 'development', 'code', 'zip', 'district', 'lifelong', 'learning', 'statistic', 'demography', 'demographic', 'community', 'city', 'government', 'Demographic', 'statistics', 'broken', 'down', 'by', 'zip', 'code']","[(14, 0.32553205223402532), (25, 0.05205013594667203), (29, 0.23093774342948156), (30, 0.060085123135991361), (34, 0.095374379100614068), (36, 0.1105260322569306), (51, 0.0878691158360837)]","[(14, 0.3255320522340253), (29, 0.23093774342948156), (36, 0.1105260322569306), (34, 0.09537437910061407), (51, 0.0878691158360837), (30, 0.06008512313599136), (25, 0.05205013594667203)]",14
6723,6892,6892,2012 Chapter 18 Article 2: Building Code,"['Current', '2012', 'Building', 'and', 'Rehabilitation', 'Code']",CPD,[],[],file,[],Regulatory Codes,"['building', 'codes', 'ordinances']",official,2586.0,553.0,132.0,13301.0,13.6993555556,data.kcmo.org,"['building', 'codes', 'ordinances', 'regulatory', 'codes']","['building', 'codes', 'ordinances', 'regulatory', 'codes', 'Current', '2012', 'Building', 'and', 'Rehabilitation', 'Code']","[(11, 0.11123987144610485), (14, 0.39625679677441444), (37, 0.19388035856668925), (47, 0.10192307692307694), (48, 0.10631528090509923)]","[(14, 0.39625679677441444), (37, 0.19388035856668925), (11, 0.11123987144610485), (48, 0.10631528090509923), (47, 0.10192307692307694)]",14
11148,11317,11317,New York State ZIP Codes-County FIPS Cross-Reference,"['A', 'listing', 'of', 'NYS', 'counties', 'with', 'accompanying', 'Federal', 'Information', 'Processing', 'System', '(FIPS)', 'and', 'US', 'Postal', 'Service', 'ZIP', 'codes', 'sourced', 'from', 'the', 'NYS', 'GIS', 'Clearinghouse']",New York State Office of Information Technology Services,"['county_fips', 'zip_code', 'county', 'county_code', 'state_fips', 'file_date']","['County FIPS', 'ZIP Code', 'County Name', 'County Code', 'State FIPS', 'File Date']",dataset,[],Government & Finance,"['county', 'fips', 'zip']",official,3640.0,796.0,171.0,13096.0,13.6769487653,data.ny.gov,"['county', 'fips', 'zip', 'government', '&', 'finance']","['county', 'fips', 'zip', 'government', '&', 'finance', 'A', 'listing', 'of', 'NYS', 'counties', 'with', 'accompanying', 'Federal', 'Information', 'Processing', 'System', '(FIPS)', 'and', 'US', 'Postal', 'Service', 'ZIP', 'codes', 'sourced', 'from', 'the', 'NYS', 'GIS', 'Clearinghouse']","[(3, 0.043318569096079423), (5, 0.049203291215068362), (14, 0.19146446354448496), (16, 0.090600149171641234), (17, 0.047045944429099609), (18, 0.042467948717948678), (28, 0.06050332987600833), (30, 0.091469961881501624), (39, 0.12169218423923805), (40, 0.077481068969607672), (41, 0.054110566331904142), (43, 0.098591240476134934)]","[(14, 0.19146446354448496), (39, 0.12169218423923805), (43, 0.09859124047613493), (30, 0.09146996188150162), (16, 0.09060014917164123), (40, 0.07748106896960767), (28, 0.06050332987600833), (41, 0.05411056633190414), (5, 0.04920329121506836), (17, 0.04704594442909961), (3, 0.04331856909607942), (18, 0.04246794871794868)]",14
6734,6903,6903,2012 Chapter 18 Article 3: One and Two Family Dwellings,"['Current', '2012', 'Building', 'and', 'Rehabilitation', 'Code']",CPD,[],[],file,['environment'],Regulatory Codes,"['codes', 'dwellings', 'ordinances']",official,1727.0,291.0,75.0,7086.0,12.7909593337,data.kcmo.org,"['codes', 'dwellings', 'ordinances', 'environment', 'regulatory', 'codes']","['codes', 'dwellings', 'ordinances', 'environment', 'regulatory', 'codes', 'Current', '2012', 'Building', 'and', 'Rehabilitation', 'Code']","[(11, 0.27447552447552392), (14, 0.35910203022302239), (25, 0.095056013075292087), (47, 0.092657342657342476), (48, 0.096541257400985181)]","[(14, 0.3591020302230224), (11, 0.2744755244755239), (48, 0.09654125740098518), (25, 0.09505601307529209), (47, 0.09265734265734248)]",14
6735,6904,6904,2012 Chapter 18 Article 1: In General,"['Current', '2012', 'Building', 'and', 'Rehabilitation', 'Code']",CPD,[],[],file,[],Regulatory Codes,"['codes', 'ordinances']",official,1549.0,273.0,55.0,6712.0,12.7127419271,data.kcmo.org,"['codes', 'ordinances', 'regulatory', 'codes']","['codes', 'ordinances', 'regulatory', 'codes', 'Current', '2012', 'Building', 'and', 'Rehabilitation', 'Code']","[(11, 0.12893955310504923), (14, 0.44126694503561859), (37, 0.098002308397720811), (47, 0.11324786324786323), (48, 0.11811597978639779)]","[(14, 0.4412669450356186), (11, 0.12893955310504923), (48, 0.11811597978639779), (47, 0.11324786324786323), (37, 0.09800230839772081)]",14
3073,3073,3073,Zip Code Boundaries,"['Boundaries', 'for', 'NYC', 'zip', 'codes']",Department of Information Technology & Telecommunications (DoITT),[],[],file,[],Business,"['zip code', 'doittgis', 'doitt gis', 'area', 'zip code boundaries']",official,4571.0,462.0,106.0,5885.0,12.5230718269,data.cityofnewyork.us,"['zip', 'code', 'doittgis', 'doitt', 'gis', 'area', 'zip', 'code', 'boundaries', 'business']","['zip', 'code', 'doittgis', 'doitt', 'gis', 'area', 'zip', 'code', 'boundaries', 'business', 'Boundaries', 'for', 'NYC', 'zip', 'codes']","[(12, 0.081481229140315622), (14, 0.39847070930927281), (29, 0.257227548729898), (35, 0.067948717948717874), (43, 0.067948717948717874), (48, 0.067948717948717874)]","[(14, 0.3984707093092728), (29, 0.257227548729898), (12, 0.08148122914031562), (35, 0.06794871794871787), (43, 0.06794871794871787), (48, 0.06794871794871787)]",14
13408,13577,13577,Supervisor District to ZIP Code Crosswalk,"['Lists', 'intersecting', 'Supervisor', 'Districts', 'and', 'ZIP', 'Codes', 'for', 'City', 'and', 'County', 'of', 'San', 'Francisco']",City and County of San Francisco,"['supervisor_district', 'zip_code']","['Supervisor_District', 'ZIP_Code']",dataset,[],Geographic Locations and Boundaries,"['zip code', 'district', 'supervisor']",official,1210.0,95.0,19.0,5132.0,12.3255865452,data.sfgov.org,"['zip', 'code', 'district', 'supervisor', 'geographic', 'locations', 'and', 'boundaries']","['zip', 'code', 'district', 'supervisor', 'geographic', 'locations', 'and', 'boundaries', 'Lists', 'intersecting', 'Supervisor', 'Districts', 'and', 'ZIP', 'Codes', 'for', 'City', 'and', 'County', 'of', 'San', 'Francisco']","[(5, 0.051022768714885758), (14, 0.27629880763260001), (18, 0.055399097280058006), (29, 0.2369336865139835), (30, 0.088620090780428873), (37, 0.11825340124977636), (39, 0.066653453756214925), (48, 0.059810147063504841)]","[(14, 0.2762988076326), (29, 0.2369336865139835), (37, 0.11825340124977636), (30, 0.08862009078042887), (39, 0.06665345375621493), (48, 0.05981014706350484), (18, 0.055399097280058006), (5, 0.05102276871488576)]",14
13242,13411,13411,Zip Codes [arcgis_rest_services_ext_WM_CityGISLayers_MapServer_52],"['https', '//gisrevprxy', 'seattle', 'gov/arcgis/rest/services/ext/WM_CityGISLayers/MapServer/52']",,"['shape_area', 'county', 'shape', 'objectid', 'area', 'perimeter', 'zip', 'zipcode', 'shape_length']","['Shape_Area', 'COUNTY', 'Shape', 'OBJECTID', 'AREA', 'PERIMETER', 'ZIP', 'ZIPCODE', 'Shape_Length']",map,[],Community,"['zip codes', 'usps']",official,391.0,107.0,41.0,4807.0,12.2312211807,data.seattle.gov,"['zip', 'codes', 'usps', 'community']","['zip', 'codes', 'usps', 'community', 'https', '//gisrevprxy', 'seattle', 'gov/arcgis/rest/services/ext/WM_CityGISLayers/MapServer/52']","[(14, 0.3774038461538462), (22, 0.1274038461538462), (25, 0.1274038461538462), (32, 0.1274038461538462), (42, 0.1274038461538462)]","[(14, 0.3774038461538462), (22, 0.1274038461538462), (25, 0.1274038461538462), (32, 0.1274038461538462), (42, 0.1274038461538462)]",14
