,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
16680,16849,16849,Genealogical Research Death Index:  Beginning 1957,"['The', 'Genealogical', 'Research', 'Death', 'Index', 'assists', 'individuals', 'with', 'locating', 'New', 'York', 'State', '(NYS)', 'death', 'records', 'that', 'fall', 'within', 'defined', 'genealogy', 'years', 'exclusive', 'of', 'New', 'York', 'City', 'recorded', 'death', 'records', 'This', 'Index', 'contains', 'information', 'on', 'decedents', 'date', 'of', 'death', 'gender', 'age', 'at', 'death', 'and', 'NYS', 'file', 'number', 'that', 'will', 'allow', 'the', 'public', 'to', 'search', 'for', 'individuals', 'on', 'a', 'variety', 'of', 'genealogy', 'criteria', 'if', 'on', 'file', 'for', 'at', 'least', '50', 'years']",New York State Department of Health,"['decedent_age', 'age_units', 'decedent_mn', 'decedent_fn', 'stfileno', 'decedent_ln', 'gender', 'dateof_death', 'residence_code', 'data_year']","['Decedent Age', 'Decedent Age Unit', 'Decedent Middle Name', 'Decedent First Name', 'State File Number', 'Decedent Last Name', 'Decedent Gender', 'Date of Death', 'Residence Code', 'Year of Death']",dataset,['demographics'],Health,"['births-deaths-other facts', 'consumer resources', 'genealogy', 'decedents']",official,5221.0,3749.0,743.0,192672.0,17.5557948899,health.data.ny.gov,"['births-deaths-other', 'facts', 'consumer', 'resources', 'genealogy', 'decedents', 'demographics', 'health']","['births-deaths-other', 'facts', 'consumer', 'resources', 'genealogy', 'decedents', 'demographics', 'health', 'The', 'Genealogical', 'Research', 'Death', 'Index', 'assists', 'individuals', 'with', 'locating', 'New', 'York', 'State', '(NYS)', 'death', 'records', 'that', 'fall', 'within', 'defined', 'genealogy', 'years', 'exclusive', 'of', 'New', 'York', 'City', 'recorded', 'death', 'records', 'This', 'Index', 'contains', 'information', 'on', 'decedents', 'date', 'of', 'death', 'gender', 'age', 'at', 'death', 'and', 'NYS', 'file', 'number', 'that', 'will', 'allow', 'the', 'public', 'to', 'search', 'for', 'individuals', 'on', 'a', 'variety', 'of', 'genealogy', 'criteria', 'if', 'on', 'file', 'for', 'at', 'least', '50', 'years']","[(2, 0.074621862584010185), (4, 0.1132334223828715), (8, 0.038941206101993614), (10, 0.036253636799985577), (15, 0.020738020393534354), (19, 0.22920997183769365), (24, 0.030262279663900979), (27, 0.021216560412952789), (38, 0.026401175151004468), (41, 0.046632969012460612), (42, 0.22325603953300341), (43, 0.10471327333131952), (50, 0.021126725652412831)]","[(19, 0.22920997183769365), (42, 0.2232560395330034), (4, 0.1132334223828715), (43, 0.10471327333131952), (2, 0.07462186258401018), (41, 0.04663296901246061), (8, 0.038941206101993614), (10, 0.03625363679998558), (24, 0.03026227966390098), (38, 0.02640117515100447), (27, 0.02121656041295279), (50, 0.02112672565241283), (15, 0.020738020393534354)]",19
16956,17125,17125,"Women, Infants, and Children (WIC) Program Site Information","['This', 'dataset', 'includes', 'the', 'names', 'locations', 'and', 'contact', 'information', 'for', 'sites', 'across', 'NYS', 'where', 'WIC', 'services', 'are', 'delivered', 'The', 'data', 'also', 'includes', 'the', 'names', 'locations', 'and', 'contact', 'information', 'for', 'the', 'agencies', 'who', 'oversee', 'WIC', 'vendors', 'in', 'NYS', '(WIC', 'Vendor', 'Management', 'Agencies)', 'The', 'Special', 'Supplemental', 'Nutrition', 'Program', 'for', 'Women', 'Infants', 'and', 'Children', '(WIC)', 'offers', 'nutrition', 'education', 'breastfeeding', 'support', 'referrals', 'and', 'a', 'variety', 'of', 'nutritious', 'foods', 'to', 'low', 'income', 'pregnant', 'breastfeeding', 'or', 'postpartum', 'women', 'infants', 'and', 'children', 'up', 'to', 'age', 'five', 'to', 'promote', 'and', 'support', 'good', 'health', 'WIC', 'improves', 'the', 'health', 'of', 'pregnant', 'women', 'new', 'mothers', 'and', 'their', 'infants', 'and', 'children', 'The', 'foods', 'provided', 'through', 'WIC', 'are', 'a', 'good', 'source', 'of', 'nutrients', 'often', 'missing', 'from', 'the', 'diets', 'of', 'women', 'and', 'young', 'children', 'WIC', 'participants', 'have', 'longer', 'healthier', 'pregnancies', 'and', 'fewer', 'premature', 'births']",New York State Department of Health,"['street2', 'site_name', 'location_1', 'city', 'phone_number', 'site_number', 'counties_boroughs_served', 'agency_name', 'street_address', 'state', 'zip', 'zip_extension', 'site_type', 'link_to_website']","['Street Address 2', 'Site Name', 'Location 1', 'City', 'Phone Number', 'Site Number', 'Counties/Boroughs Served', 'Local WIC Agency Sponsor Name', 'Street Address', 'State', 'Zip', 'Zip Extension', 'Site Type', 'Link to Website']",dataset,['infrastructure'],Health,"['baby', 'low income', 'supplemental foods', 'nutrition', 'breastfeeding', 'postpartum', 'pregnant', 'wic', 'community health and chronic disease']",official,1380.0,43.0,12.0,33500.0,15.03191654,health.data.ny.gov,"['baby', 'low', 'income', 'supplemental', 'foods', 'nutrition', 'breastfeeding', 'postpartum', 'pregnant', 'wic', 'community', 'health', 'and', 'chronic', 'disease', 'infrastructure', 'health']","['baby', 'low', 'income', 'supplemental', 'foods', 'nutrition', 'breastfeeding', 'postpartum', 'pregnant', 'wic', 'community', 'health', 'and', 'chronic', 'disease', 'infrastructure', 'health', 'This', 'dataset', 'includes', 'the', 'names', 'locations', 'and', 'contact', 'information', 'for', 'sites', 'across', 'NYS', 'where', 'WIC', 'services', 'are', 'delivered', 'The', 'data', 'also', 'includes', 'the', 'names', 'locations', 'and', 'contact', 'information', 'for', 'the', 'agencies', 'who', 'oversee', 'WIC', 'vendors', 'in', 'NYS', '(WIC', 'Vendor', 'Management', 'Agencies)', 'The', 'Special', 'Supplemental', 'Nutrition', 'Program', 'for', 'Women', 'Infants', 'and', 'Children', '(WIC)', 'offers', 'nutrition', 'education', 'breastfeeding', 'support', 'referrals', 'and', 'a', 'variety', 'of', 'nutritious', 'foods', 'to', 'low', 'income', 'pregnant', 'breastfeeding', 'or', 'postpartum', 'women', 'infants', 'and', 'children', 'up', 'to', 'age', 'five', 'to', 'promote', 'and', 'support', 'good', 'health', 'WIC', 'improves', 'the', 'health', 'of', 'pregnant', 'women', 'new', 'mothers', 'and', 'their', 'infants', 'and', 'children', 'The', 'foods', 'provided', 'through', 'WIC', 'are', 'a', 'good', 'source', 'of', 'nutrients', 'often', 'missing', 'from', 'the', 'diets', 'of', 'women', 'and', 'young', 'children', 'WIC', 'participants', 'have', 'longer', 'healthier', 'pregnancies', 'and', 'fewer', 'premature', 'births']","[(0, 0.042560111561048851), (1, 0.14230996764050829), (2, 0.033895035863227209), (3, 0.034259774273129616), (5, 0.038545763037074784), (8, 0.034175140942707016), (9, 0.022542304460340806), (10, 0.02084136430324994), (11, 0.010069162792499932), (12, 0.010416707027456836), (19, 0.14879119951342826), (23, 0.016222298810203716), (27, 0.024548438691061325), (28, 0.033486584184122377), (32, 0.019534947585236495), (34, 0.010318955478879684), (35, 0.012479120779113806), (38, 0.013250525921143511), (42, 0.040362719250536958), (43, 0.049987632067579738), (44, 0.010618478970861045), (45, 0.032074686360222759), (46, 0.020847684381959011), (48, 0.022719109665398335), (49, 0.044921989918857437), (50, 0.10536592758811344)]","[(19, 0.14879119951342826), (1, 0.1423099676405083), (50, 0.10536592758811344), (43, 0.04998763206757974), (49, 0.04492198991885744), (0, 0.04256011156104885), (42, 0.04036271925053696), (5, 0.038545763037074784), (3, 0.034259774273129616), (8, 0.034175140942707016), (2, 0.03389503586322721), (28, 0.03348658418412238), (45, 0.03207468636022276), (27, 0.024548438691061325), (48, 0.022719109665398335), (9, 0.022542304460340806), (46, 0.02084768438195901), (10, 0.02084136430324994), (32, 0.019534947585236495), (23, 0.016222298810203716), (38, 0.013250525921143511), (35, 0.012479120779113806), (44, 0.010618478970861045), (12, 0.010416707027456836), (34, 0.010318955478879684), (11, 0.010069162792499932)]",19
16970,17139,17139,Opioid-Related Deaths by Age Group Chart,"['This', 'chart', 'shows', 'opioid', 'related', 'death', 'counts', 'by', 'age', 'group', 'beginning', 'in', '2003', 'The', 'opioid', 'related', 'deaths', 'include', 'heroin', 'and', 'opioid', 'analgesics', 'mortalities', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']",New York State Department of Health,"['crude_rate', 'year', 'deaths', 'age_group']","['Crude Rate', 'Year', 'Deaths', 'Age Group']",chart,['demographics'],Health,"['births-deaths-other facts', 'opioid list', 'county', 'opioid death', 'death', 'vital statistics']",official,120.0,71.0,18.0,29967.0,14.8711351842,health.data.ny.gov,"['births-deaths-other', 'facts', 'opioid', 'list', 'county', 'opioid', 'death', 'death', 'vital', 'statistics', 'demographics', 'health']","['births-deaths-other', 'facts', 'opioid', 'list', 'county', 'opioid', 'death', 'death', 'vital', 'statistics', 'demographics', 'health', 'This', 'chart', 'shows', 'opioid', 'related', 'death', 'counts', 'by', 'age', 'group', 'beginning', 'in', '2003', 'The', 'opioid', 'related', 'deaths', 'include', 'heroin', 'and', 'opioid', 'analgesics', 'mortalities', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']","[(1, 0.060664157823882382), (2, 0.091564236885853495), (4, 0.15643222232581774), (7, 0.028479208241208111), (12, 0.084582964250858608), (16, 0.057648226669238273), (18, 0.14139753618620002), (19, 0.17358946585191212), (35, 0.033188413006825762), (39, 0.083412801033248801), (50, 0.06713905832324546)]","[(19, 0.17358946585191212), (4, 0.15643222232581774), (18, 0.14139753618620002), (2, 0.0915642368858535), (12, 0.08458296425085861), (39, 0.0834128010332488), (50, 0.06713905832324546), (1, 0.06066415782388238), (16, 0.05764822666923827), (35, 0.03318841300682576), (7, 0.02847920824120811)]",19
16972,17141,17141,Vital Statistics: Opioid-Related Deaths by Age Group: Beginning 2003,"['This', 'dataset', 'contains', 'opioid', 'related', 'death', 'crude', 'rates', 'by', 'age', 'group', 'The', 'opioid', 'related', 'deaths', 'include', 'heroin', 'and', 'opioid', 'analgesics', 'mortalities']",New York State Department of Health,"['year', 'deaths', 'crude_rate', 'age_group']","['Year', 'Deaths', 'Crude Rate', 'Age Group']",dataset,['demographics'],Health,"['births-deaths-other facts', 'opioid list', 'opioid death', 'opioid', 'age', 'death', 'vital statistics']",official,440.0,44.0,13.0,29561.0,14.851456257,health.data.ny.gov,"['births-deaths-other', 'facts', 'opioid', 'list', 'opioid', 'death', 'opioid', 'age', 'death', 'vital', 'statistics', 'demographics', 'health']","['births-deaths-other', 'facts', 'opioid', 'list', 'opioid', 'death', 'opioid', 'age', 'death', 'vital', 'statistics', 'demographics', 'health', 'This', 'dataset', 'contains', 'opioid', 'related', 'death', 'crude', 'rates', 'by', 'age', 'group', 'The', 'opioid', 'related', 'deaths', 'include', 'heroin', 'and', 'opioid', 'analgesics', 'mortalities']","[(2, 0.12230161803795686), (7, 0.033974358974358958), (16, 0.06927267211840818), (18, 0.20302854763211467), (19, 0.20430253619324348), (35, 0.062195395297740645), (38, 0.086472732411499775), (39, 0.12258870892999965), (50, 0.068299327840574436)]","[(19, 0.20430253619324348), (18, 0.20302854763211467), (39, 0.12258870892999965), (2, 0.12230161803795686), (38, 0.08647273241149978), (16, 0.06927267211840818), (50, 0.06829932784057444), (35, 0.062195395297740645), (7, 0.03397435897435896)]",19
3043,3043,3043,1 foot Digital Elevation Model (DEM),"['NYC', '1foot', 'Digital', 'Elevation', 'Model']",Department of Environmental Protection (DEP) & Department of Information Technology and Telecommunications (DoITT),[],[],href,[],City Government,"['dep', '1ft', 'dem']",official,6522.0,326.0,56.0,8581.0,13.0670981857,data.cityofnewyork.us,"['dep', '1ft', 'dem', 'city', 'government']","['dep', '1ft', 'dem', 'city', 'government', 'NYC', '1foot', 'Digital', 'Elevation', 'Model']","[(5, 0.092657342657342615), (19, 0.27447552447552442), (31, 0.17545808440592925), (36, 0.10076569181784682), (43, 0.092657342657342615), (46, 0.092657342657342615), (49, 0.092657342657342615)]","[(19, 0.2744755244755244), (31, 0.17545808440592925), (36, 0.10076569181784682), (5, 0.09265734265734261), (43, 0.09265734265734261), (46, 0.09265734265734261), (49, 0.09265734265734261)]",19
17089,17258,17258,New York State Population Data: Beginning 2003,"['Population', 'data', 'file', 'is', 'provided', 'as', 'an', 'additional', 'reference', 'file', 'when', 'interpreting', 'vital', 'statistics', 'death', 'rates', 'The', 'population', 'data', 'is', 'derived', 'from', 'the', 'corresponding', 'release', 'of', 'the', 'NCHS', 'annual', 'estimates', 'of', '""Bridged', 'Race', 'Vintage""', 'which', 'are', 'consistent', 'with', 'the', 'Bureau', 'of', 'the', 'Census', 'estimates', 'from', '""Vintage""', '(released', 'in', 'the', 'summer)', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']",New York State Department of Health,"['race_ethnicity', 'race_ethnicity_code', 'county_code', 'gender_description', 'age_group_description', 'year', 'county_name', 'age_group_code', 'population', 'gender_code']","['Race/Ethnicity Description', 'Race Ethnicity Code', 'County Code', 'Gender Description', 'Age Group Description', 'Year', 'County Name', 'Age Group Code', 'Population', 'Gender Code']",dataset,['demographics'],Health,"['cause of death', 'population', 'death', 'vital statistics']",official,544.0,55.0,35.0,6364.0,12.6359447988,health.data.ny.gov,"['cause', 'of', 'death', 'population', 'death', 'vital', 'statistics', 'demographics', 'health']","['cause', 'of', 'death', 'population', 'death', 'vital', 'statistics', 'demographics', 'health', 'Population', 'data', 'file', 'is', 'provided', 'as', 'an', 'additional', 'reference', 'file', 'when', 'interpreting', 'vital', 'statistics', 'death', 'rates', 'The', 'population', 'data', 'is', 'derived', 'from', 'the', 'corresponding', 'release', 'of', 'the', 'NCHS', 'annual', 'estimates', 'of', '""Bridged', 'Race', 'Vintage""', 'which', 'are', 'consistent', 'with', 'the', 'Bureau', 'of', 'the', 'Census', 'estimates', 'from', '""Vintage""', '(released', 'in', 'the', 'summer)', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']","[(0, 0.03993205644954128), (2, 0.11130353095743871), (4, 0.15704283558774207), (8, 0.07478685084369309), (11, 0.021829028392410323), (12, 0.079276186804404777), (19, 0.16404887987061215), (26, 0.034436904023659495), (30, 0.029545787860763638), (36, 0.067397716942644126), (38, 0.15082033181506932), (43, 0.029472548207748202), (50, 0.024482342244273533)]","[(19, 0.16404887987061215), (4, 0.15704283558774207), (38, 0.15082033181506932), (2, 0.11130353095743871), (12, 0.07927618680440478), (8, 0.07478685084369309), (36, 0.06739771694264413), (0, 0.03993205644954128), (26, 0.034436904023659495), (30, 0.029545787860763638), (43, 0.029472548207748202), (50, 0.024482342244273533), (11, 0.021829028392410323)]",19
17103,17272,17272,"Vital Statistics Deaths by Resident County, Region, and Selected Cause of Death:  Beginning 2003","['This', 'dataset', 'contains', 'death', 'counts', 'crude', 'rates', 'and', 'adjusted', 'rates', 'for', 'selected', 'causes', 'of', 'death', 'by', 'county', 'and', 'region', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']",New  York State Department of Health,"['county_code', 'adjusted_rate', 'crude_rate', 'deaths', 'selected_cause_of_death', 'cause_code', 'county_name', 'year']","['County Code', 'Adjusted Rate', 'Crude Rate', 'Deaths', 'Selected Cause of Death', 'Cause Code', 'County Name', 'Year']",dataset,"['demographics', 'health', 'economy']",Health,"['births-deaths-other facts', 'cause of death', 'population', 'death', 'vital statistics']",official,448.0,56.0,19.0,5119.0,12.3219280949,health.data.ny.gov,"['births-deaths-other', 'facts', 'cause', 'of', 'death', 'population', 'death', 'vital', 'statistics', 'demographics', 'health', 'economy', 'health']","['births-deaths-other', 'facts', 'cause', 'of', 'death', 'population', 'death', 'vital', 'statistics', 'demographics', 'health', 'economy', 'health', 'This', 'dataset', 'contains', 'death', 'counts', 'crude', 'rates', 'and', 'adjusted', 'rates', 'for', 'selected', 'causes', 'of', 'death', 'by', 'county', 'and', 'region', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']","[(0, 0.059724680877879112), (2, 0.16586173250781902), (4, 0.14161146491587304), (7, 0.075874868233860221), (8, 0.057264499257387337), (12, 0.060346907193697681), (16, 0.040772154223477061), (19, 0.17614751219467278), (28, 0.028600696503496226), (38, 0.10741367653362398), (43, 0.036451422906862256), (50, 0.028562863283830106)]","[(19, 0.17614751219467278), (2, 0.16586173250781902), (4, 0.14161146491587304), (38, 0.10741367653362398), (7, 0.07587486823386022), (12, 0.06034690719369768), (0, 0.05972468087787911), (8, 0.05726449925738734), (16, 0.04077215422347706), (43, 0.036451422906862256), (28, 0.028600696503496226), (50, 0.028562863283830106)]",19
17114,17283,17283,"Vital Statistics Deaths by Resident County, Region, Place of Death:  Beginning 2003","['This', 'dataset', 'contains', 'death', 'counts', 'and', 'percent', 'by', 'county', 'region', 'and', 'place', 'of', 'death', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']",New York State Department of Health,"['year', 'county_code', 'deaths', 'place_of_death_description', 'county_name', 'place_of_death_code', 'percent']","['Year', 'County Code', 'Deaths', 'Place of Death Description', 'County Name', 'Place of Death Code', 'Percent']",dataset,"['education', 'demographics', 'health']",Health,"['births-deaths-other facts', 'cause of death', 'population', 'death', 'vital statistics']",official,452.0,43.0,20.0,4634.0,12.1783536235,health.data.ny.gov,"['births-deaths-other', 'facts', 'cause', 'of', 'death', 'population', 'death', 'vital', 'statistics', 'education', 'demographics', 'health', 'health']","['births-deaths-other', 'facts', 'cause', 'of', 'death', 'population', 'death', 'vital', 'statistics', 'education', 'demographics', 'health', 'health', 'This', 'dataset', 'contains', 'death', 'counts', 'and', 'percent', 'by', 'county', 'region', 'and', 'place', 'of', 'death', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']","[(0, 0.075156832217444416), (2, 0.16962392977269883), (4, 0.15794864644496351), (7, 0.051908928849669571), (12, 0.069037894827898905), (14, 0.035078780816833834), (19, 0.22512452140087122), (28, 0.040293357720217908), (34, 0.036401996006551973), (38, 0.042565237090876555), (43, 0.040650780714710573), (50, 0.032170632598800458)]","[(19, 0.22512452140087122), (2, 0.16962392977269883), (4, 0.1579486464449635), (0, 0.07515683221744442), (12, 0.0690378948278989), (7, 0.05190892884966957), (38, 0.042565237090876555), (43, 0.04065078071471057), (28, 0.04029335772021791), (34, 0.03640199600655197), (14, 0.035078780816833834), (50, 0.03217063259880046)]",19
1424,1424,1424,City Court Warrants,"['Listing', 'of', 'active', 'warrants', 'for', 'Baton', 'Rouge', 'City', 'Court', 'Warrants', 'are', 'posted', 'to', 'the', 'site', 'daily', 'however', 'it', 'may', 'take', 'up', 'to', '7', '10', 'days', 'for', 'information', 'processed', 'in', 'court', 'to', 'be', 'reflected', 'on', 'the', 'site', 'If', 'you', 'have', 'questions', 'please', 'contact', 'the', 'Criminal', 'Traffic', 'Division', 'via', 'email', 'at', 'traffic@brgov', 'com', 'or', 'call', '(225)', '389', '5278', 'This', 'lookup', 'is', 'not', 'confirmation', 'of', 'an', 'active', 'warrant', 'All', 'City', 'Court', 'warrants', 'should', 'be', 'confirmed', 'by', 'the', 'official', 'court', 'file', 'Please', 'contact', 'the', 'City', ""Constable's"", 'Office', 'at', '389', '3889', 'or', '389', '3004', 'for', 'confirmation']",Baton Rouge City Court,"['zip', 'name', 'doa', 'div', 'add3', 'sex', 'type', 'dob', 'fileno', 'race', 'state']","['ZIPCODE', 'NAME', 'DOA', 'DIV', 'CITY', 'SEX', 'CASE TYPE', 'YOB', 'FILE NUMBER', 'RACE', 'STATE']",dataset,"['environment', 'housing & development', 'infrastructure']",Public Safety,"['warrants', 'court']",official,2104.0,355.0,60.0,4554.0,12.1532353387,data.brla.gov,"['warrants', 'court', 'environment', 'housing', '&', 'development', 'infrastructure', 'public', 'safety']","['warrants', 'court', 'environment', 'housing', '&', 'development', 'infrastructure', 'public', 'safety', 'Listing', 'of', 'active', 'warrants', 'for', 'Baton', 'Rouge', 'City', 'Court', 'Warrants', 'are', 'posted', 'to', 'the', 'site', 'daily', 'however', 'it', 'may', 'take', 'up', 'to', '7', '10', 'days', 'for', 'information', 'processed', 'in', 'court', 'to', 'be', 'reflected', 'on', 'the', 'site', 'If', 'you', 'have', 'questions', 'please', 'contact', 'the', 'Criminal', 'Traffic', 'Division', 'via', 'email', 'at', 'traffic@brgov', 'com', 'or', 'call', '(225)', '389', '5278', 'This', 'lookup', 'is', 'not', 'confirmation', 'of', 'an', 'active', 'warrant', 'All', 'City', 'Court', 'warrants', 'should', 'be', 'confirmed', 'by', 'the', 'official', 'court', 'file', 'Please', 'contact', 'the', 'City', ""Constable's"", 'Office', 'at', '389', '3889', 'or', '389', '3004', 'for', 'confirmation']","[(3, 0.061151479889045138), (5, 0.052299725299905619), (19, 0.40079833425198458), (22, 0.067302740681370252), (26, 0.021680947639864692), (27, 0.044516257947387103), (39, 0.016984558835132821), (41, 0.061971574104812716), (42, 0.17094043825375405), (49, 0.034814100658003146), (51, 0.055220130900279163)]","[(19, 0.4007983342519846), (42, 0.17094043825375405), (22, 0.06730274068137025), (41, 0.061971574104812716), (3, 0.06115147988904514), (51, 0.05522013090027916), (5, 0.05229972529990562), (27, 0.0445162579473871), (49, 0.034814100658003146), (26, 0.02168094763986469), (39, 0.01698455883513282)]",19
17119,17288,17288,Vital Statistics Deaths by Region and Age-Group by Selected Cause of Death:  Beginning 2003,"['This', 'dataset', 'contains', 'death', 'counts', 'and', 'crude', 'rates', 'by', 'region', 'age', 'group', 'and', 'selected', 'cause', 'of', 'death', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']",New  York State Department of Health,"['region_description', 'age_group_code', 'year', 'cause_code', 'crude_rate', 'region_code', 'deaths', 'selected_cause_of_death', 'age_group_description']","['Region Description', 'Age Group Code', 'Year', 'Cause Code', 'Crude Rate', 'Region Code', 'Deaths', 'Selected Cause of Death', 'Age Group Description']",dataset,"['demographics', 'economy', 'public safety']",Health,"['cause of death', 'population', 'death', 'vital statistics', 'births-deaths-other facts']",official,474.0,38.0,8.0,4535.0,12.1472049249,health.data.ny.gov,"['cause', 'of', 'death', 'population', 'death', 'vital', 'statistics', 'births-deaths-other', 'facts', 'demographics', 'economy', 'public', 'safety', 'health']","['cause', 'of', 'death', 'population', 'death', 'vital', 'statistics', 'births-deaths-other', 'facts', 'demographics', 'economy', 'public', 'safety', 'health', 'This', 'dataset', 'contains', 'death', 'counts', 'and', 'crude', 'rates', 'by', 'region', 'age', 'group', 'and', 'selected', 'cause', 'of', 'death', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/statistics/vital_statistics/', 'The', '""About""', 'tab', 'contains', 'additional', 'details', 'concerning', 'this', 'dataset']","[(0, 0.05862836668388955), (2, 0.1411276152315093), (4, 0.13986758715561093), (7, 0.056694484536585751), (12, 0.060696773667612551), (16, 0.037519544623331159), (19, 0.17257699227178619), (26, 0.075358127733770305), (28, 0.028587155612264502), (38, 0.14238691955494212), (43, 0.036622137377650417), (50, 0.028566774183526027)]","[(19, 0.1725769922717862), (38, 0.14238691955494212), (2, 0.1411276152315093), (4, 0.13986758715561093), (26, 0.0753581277337703), (12, 0.06069677366761255), (0, 0.05862836668388955), (7, 0.05669448453658575), (16, 0.03751954462333116), (43, 0.03662213737765042), (28, 0.028587155612264502), (50, 0.028566774183526027)]",19
