,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
9373,9542,9542,Missouri House Districts,"['Based', 'on', 'the', '2010', 'census', 'revised', 'House', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']",,"['name', 'population', 'shape', 'photolink', 'district', 'shape_area', 'weblink', 'objectid', 'shape_len']","['Name', 'Population', 'Shape', 'photoLink', 'District', 'Shape.area', 'webLink', 'OBJECTID', 'Shape.len']",map,[],Government,"['gis', 'maps', 'redistricting', 'districts', 'census']",official,18.0,69.0,22.0,203721.0,17.6362422602,data.mo.gov,"['gis', 'maps', 'redistricting', 'districts', 'census', 'government']","['gis', 'maps', 'redistricting', 'districts', 'census', 'government', 'Based', 'on', 'the', '2010', 'census', 'revised', 'House', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","[(10, 0.072494220396069287), (29, 0.27609814830136037), (35, 0.050961538461538447), (36, 0.15096153846153842), (40, 0.097460128531204046), (41, 0.052248109394986024), (43, 0.14491143100545881), (44, 0.050961538461538447), (45, 0.062557193140152054)]","[(29, 0.27609814830136037), (36, 0.15096153846153842), (43, 0.1449114310054588), (40, 0.09746012853120405), (10, 0.07249422039606929), (45, 0.06255719314015205), (41, 0.052248109394986024), (35, 0.05096153846153845), (44, 0.05096153846153845)]",29
9375,9544,9544,Missouri Election District Boundaries,"['Senate', 'House', 'Congressional', 'district', 'boundaries', 'overlayed', 'based', 'on', 'the', '2010', 'census']",,"['shape', 'weblink', 'photolink', 'population', 'shape_area', 'shape_len', 'district', 'objectid', 'name']","['Shape', 'webLink', 'photoLink', 'Population', 'Shape.area', 'Shape.len', 'District', 'OBJECTID', 'Name']",map,['politics'],Government,"['gis', 'maps', 'redistricting', 'districts', 'census']",official,17.0,17.0,4.0,179218.0,17.451364068,data.mo.gov,"['gis', 'maps', 'redistricting', 'districts', 'census', 'politics', 'government']","['gis', 'maps', 'redistricting', 'districts', 'census', 'politics', 'government', 'Senate', 'House', 'Congressional', 'district', 'boundaries', 'overlayed', 'based', 'on', 'the', '2010', 'census']","[(13, 0.063701923076923031), (25, 0.07617930975973855), (29, 0.40917872617857221), (31, 0.087373955938000111), (35, 0.063701923076923031), (36, 0.18207570043138091), (44, 0.063701923076923031)]","[(29, 0.4091787261785722), (36, 0.1820757004313809), (31, 0.08737395593800011), (25, 0.07617930975973855), (13, 0.06370192307692303), (35, 0.06370192307692303), (44, 0.06370192307692303)]",29
9380,9549,9549,STL Zoom,"['Senate', 'House', 'Congressional', 'district', 'boundaries', 'overlayed', 'based', 'on', 'the', '2010', 'census']",,"['name', 'shape_area', 'population', 'photolink', 'district', 'objectid', 'shape_len', 'weblink', 'shape']","['Name', 'Shape.area', 'Population', 'photoLink', 'District', 'OBJECTID', 'Shape.len', 'webLink', 'Shape']",map,['public safety'],Government,"['gis', 'maps', 'redistricting', 'districts', 'census']",official,13.0,6.0,0.0,113415.0,16.7912646552,data.mo.gov,"['gis', 'maps', 'redistricting', 'districts', 'census', 'public', 'safety', 'government']","['gis', 'maps', 'redistricting', 'districts', 'census', 'public', 'safety', 'government', 'Senate', 'House', 'Congressional', 'district', 'boundaries', 'overlayed', 'based', 'on', 'the', '2010', 'census']","[(13, 0.059954751131221666), (25, 0.071306831058007197), (26, 0.15111229564885079), (29, 0.40456129082163533), (35, 0.06324357400741297), (36, 0.13896152882608395), (44, 0.059954751131221666)]","[(29, 0.40456129082163533), (26, 0.1511122956488508), (36, 0.13896152882608395), (25, 0.0713068310580072), (35, 0.06324357400741297), (13, 0.059954751131221666), (44, 0.059954751131221666)]",29
9381,9550,9550,Missouri House District Boundaries,"['Based', 'on', 'the', '2010', 'census', 'revised', 'House', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']",,"['district', 'photolink', 'objectid', 'name', 'weblink', 'shape', 'population', 'shape_area', 'shape_len']","['District', 'photoLink', 'OBJECTID', 'Name', 'webLink', 'Shape', 'Population', 'Shape.area', 'Shape.len']",map,[],Government,"['gis', 'maps', 'redistricting', 'districts', 'census']",official,6.0,4.0,1.0,112835.0,16.7838679033,data.mo.gov,"['gis', 'maps', 'redistricting', 'districts', 'census', 'government']","['gis', 'maps', 'redistricting', 'districts', 'census', 'government', 'Based', 'on', 'the', '2010', 'census', 'revised', 'House', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","[(10, 0.072465893183892183), (29, 0.27615068138278603), (35, 0.05096153846153844), (36, 0.1509615384615384), (40, 0.097347152248348362), (41, 0.052249757338913232), (43, 0.14494559241988941), (44, 0.05096153846153844), (45, 0.062610154195401252)]","[(29, 0.27615068138278603), (36, 0.1509615384615384), (43, 0.1449455924198894), (40, 0.09734715224834836), (10, 0.07246589318389218), (45, 0.06261015419540125), (41, 0.05224975733891323), (35, 0.05096153846153844), (44, 0.05096153846153844)]",29
9382,9551,9551,KC Zoom,"['Based', 'on', 'the', '2010', 'census', 'revised', 'House', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']",,"['shape_len', 'weblink', 'photolink', 'district', 'objectid', 'shape_area', 'name', 'shape', 'population']","['Shape.len', 'webLink', 'photoLink', 'District', 'OBJECTID', 'Shape.area', 'Name', 'Shape', 'Population']",map,"['transportation', 'public safety']",Government,"['gis', 'maps', 'redistricting', 'districts', 'census']",official,8.0,9.0,1.0,107922.0,16.7196428318,data.mo.gov,"['gis', 'maps', 'redistricting', 'districts', 'census', 'transportation', 'public', 'safety', 'government']","['gis', 'maps', 'redistricting', 'districts', 'census', 'transportation', 'public', 'safety', 'government', 'Based', 'on', 'the', '2010', 'census', 'revised', 'House', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","[(3, 0.044314381270902981), (10, 0.058694688543226597), (26, 0.13854902017985646), (29, 0.24206876275768655), (35, 0.046111866531363767), (36, 0.10081240425663401), (40, 0.066317876633123204), (41, 0.047671376266487403), (43, 0.12769619638603921), (44, 0.044314381270902981), (45, 0.049168109448926717)]","[(29, 0.24206876275768655), (26, 0.13854902017985646), (43, 0.1276961963860392), (36, 0.10081240425663401), (40, 0.0663178766331232), (10, 0.0586946885432266), (45, 0.04916810944892672), (41, 0.0476713762664874), (35, 0.04611186653136377), (3, 0.04431438127090298), (44, 0.04431438127090298)]",29
9404,9573,9573,Missouri Congressional Districts,"['Based', 'on', 'the', '2010', 'census', 'revised', 'Congressional', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","Missouri Office of Administration, Division of Budget and Planning, Redistricting Office","['shape_len', 'shape', 'shape_area', 'name', 'district', 'photolink', 'weblink', 'objectid']","['Shape.len', 'Shape', 'Shape.area', 'Name', 'District', 'photoLink', 'webLink', 'OBJECTID']",map,[],Government,"['voting', 'districts', 'congress', 'elections']",official,19.0,48.0,17.0,76846.0,16.2297013198,data.mo.gov,"['voting', 'districts', 'congress', 'elections', 'government']","['voting', 'districts', 'congress', 'elections', 'government', 'Based', 'on', 'the', '2010', 'census', 'revised', 'Congressional', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","[(10, 0.068273230770883916), (29, 0.27613140382860468), (31, 0.13387442259797516), (36, 0.10627530364372463), (40, 0.096031185559225796), (41, 0.054332968660303321), (43, 0.15332644204483589), (45, 0.067220629938980495)]","[(29, 0.2761314038286047), (43, 0.1533264420448359), (31, 0.13387442259797516), (36, 0.10627530364372463), (40, 0.0960311855592258), (10, 0.06827323077088392), (45, 0.0672206299389805), (41, 0.05433296866030332)]",29
9406,9575,9575,Congressional District Boundaries,"['Based', 'on', 'the', '2010', 'census', 'revised', 'Congressional', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","Missouri Office of Administration, Division of Budget and Planning, Redistricting Office","['weblink', 'photolink', 'shape', 'shape_area', 'shape_len', 'name', 'objectid', 'district']","['webLink', 'photoLink', 'Shape', 'Shape.area', 'Shape.len', 'Name', 'OBJECTID', 'District']",map,[],Government,"['voting', 'districts', 'congress', 'elections']",official,9.0,4.0,0.0,75088.0,16.1963139583,data.mo.gov,"['voting', 'districts', 'congress', 'elections', 'government']","['voting', 'districts', 'congress', 'elections', 'government', 'Based', 'on', 'the', '2010', 'census', 'revised', 'Congressional', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","[(10, 0.068184398911548899), (29, 0.27613419490511559), (31, 0.13387783397955683), (36, 0.10627530364372463), (40, 0.096182220615646061), (41, 0.054333024460703899), (43, 0.15328972282533304), (45, 0.067188887702904931)]","[(29, 0.2761341949051156), (43, 0.15328972282533304), (31, 0.13387783397955683), (36, 0.10627530364372463), (40, 0.09618222061564606), (10, 0.0681843989115489), (45, 0.06718888770290493), (41, 0.0543330244607039)]",29
868,868,868,Off- Leash Areas,"['This', 'is', 'a', 'map', 'of', 'off', 'leash', 'areas', 'for', 'dogs']",Austin Parks and Recreation Department,[],[],map,[],Fun,"['areas', 'pet', 'dogs', 'dog', 'area', 'off-leash']",official,510.0,1412.0,287.0,74514.0,16.1852432514,data.austintexas.gov,"['areas', 'pet', 'dogs', 'dog', 'area', 'off-leash', 'fun']","['areas', 'pet', 'dogs', 'dog', 'area', 'off-leash', 'fun', 'This', 'is', 'a', 'map', 'of', 'off', 'leash', 'areas', 'for', 'dogs']","[(5, 0.099691903555832295), (17, 0.084935897435897301), (18, 0.1682692307692305), (29, 0.48684655798262838), (43, 0.084935897435897301)]","[(29, 0.4868465579826284), (18, 0.1682692307692305), (5, 0.0996919035558323), (17, 0.0849358974358973), (43, 0.0849358974358973)]",29
9407,9576,9576,Missouri Congressional District Boundaries,"['Based', 'on', 'the', '2010', 'census', 'revised', 'Congressional', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","Missouri Office of Administration, Division of Budget and Planning, Redistricting Office","['shape_len', 'shape_area', 'name', 'shape', 'objectid', 'photolink', 'district', 'weblink']","['Shape.len', 'Shape.area', 'Name', 'Shape', 'OBJECTID', 'photoLink', 'District', 'webLink']",map,[],Government,"['voting', 'districts', 'congress', 'elections']",official,17.0,4.0,1.0,74081.0,16.1768354273,data.mo.gov,"['voting', 'districts', 'congress', 'elections', 'government']","['voting', 'districts', 'congress', 'elections', 'government', 'Based', 'on', 'the', '2010', 'census', 'revised', 'Congressional', 'district', 'boundaries', 'were', 'established', 'in', 'Missouri', 'Data', 'provided', 'by', 'the', 'Office', 'of', 'Administration', 'and', 'State', 'Demographer']","[(10, 0.06821731351272782), (29, 0.27613260428447689), (31, 0.13384251186877902), (36, 0.10627530364372462), (40, 0.096275462416088808), (41, 0.05433298131656572), (43, 0.15325802106730169), (45, 0.067131388934869127)]","[(29, 0.2761326042844769), (43, 0.1532580210673017), (31, 0.13384251186877902), (36, 0.10627530364372462), (40, 0.09627546241608881), (10, 0.06821731351272782), (45, 0.06713138893486913), (41, 0.05433298131656572)]",29
1942,1942,1942,Public Right-of-Way Use Permits - Historical,"['As', 'described', 'in', 'http', '//bit', 'ly/cdotpermitspost', 'the', 'function', 'of', 'this', 'dataset', 'was', 'replaced', 'by', 'https', '//data', 'cityofchicago', 'org/d/pubx', 'yq2d', 'on', '12/7/2015', 'This', 'dataset', 'is', 'historical', 'only', 'The', 'Chicago', 'Department', 'of', 'Transportation', '(CDOT)', 'reviews', 'applications', 'for', 'permits', 'for', 'the', 'temporary', 'use', 'of', 'the', 'public', 'way', 'for', 'construction', 'projects', 'parades', 'festivals', 'block', 'parties', 'athletic', 'events', 'etc', 'This', 'dataset', 'includes', 'permits', 'applied', 'for', 'issued', 'amended', 'and', 'expired', 'with', 'permit', 'start', 'dates', 'beginning', 'January', '1', '2011', 'Note', 'a', 'permit', 'may', 'be', 'amended', 'if', 'any', 'details', 'are', 'changed', 'after', 'the', 'initial', 'issuance', 'For', 'more', 'information', 'about', 'Public', 'Right', 'of', 'Way', 'Use', 'Permits', 'go', 'to', 'http', '//bit', 'ly/15ypkkL']",City of Chicago,"['permit_status_description', 'permit_number', 'latitude', 'effective_date', 'expiration_date', 'last_modified_date', 'company', 'address', 'location_details', 'permit_type_code', 'permit_status_code', 'longitude', 'id', 'permit_type_description', 'location']","['PERMIT STATUS DESCRIPTION', 'PERMIT NUMBER', 'LATITUDE', 'EFFECTIVE DATE', 'EXPIRATION DATE', 'LAST MODIFIED DATE', 'COMPANY', 'ADDRESS', 'LOCATION DETAILS', 'PERMIT TYPE CODE', 'PERMIT STATUS CODE', 'LONGITUDE', 'ID', 'PERMIT TYPE DESCRIPTION', 'LOCATION']",dataset,"['infrastructure', 'transportation']",Transportation,"['historical', 'permits']",official,1697.0,262.0,57.0,50199.0,15.6153997437,data.cityofchicago.org,"['historical', 'permits', 'infrastructure', 'transportation', 'transportation']","['historical', 'permits', 'infrastructure', 'transportation', 'transportation', 'As', 'described', 'in', 'http', '//bit', 'ly/cdotpermitspost', 'the', 'function', 'of', 'this', 'dataset', 'was', 'replaced', 'by', 'https', '//data', 'cityofchicago', 'org/d/pubx', 'yq2d', 'on', '12/7/2015', 'This', 'dataset', 'is', 'historical', 'only', 'The', 'Chicago', 'Department', 'of', 'Transportation', '(CDOT)', 'reviews', 'applications', 'for', 'permits', 'for', 'the', 'temporary', 'use', 'of', 'the', 'public', 'way', 'for', 'construction', 'projects', 'parades', 'festivals', 'block', 'parties', 'athletic', 'events', 'etc', 'This', 'dataset', 'includes', 'permits', 'applied', 'for', 'issued', 'amended', 'and', 'expired', 'with', 'permit', 'start', 'dates', 'beginning', 'January', '1', '2011', 'Note', 'a', 'permit', 'may', 'be', 'amended', 'if', 'any', 'details', 'are', 'changed', 'after', 'the', 'initial', 'issuance', 'For', 'more', 'information', 'about', 'Public', 'Right', 'of', 'Way', 'Use', 'Permits', 'go', 'to', 'http', '//bit', 'ly/15ypkkL']","[(0, 0.031675331745406619), (3, 0.066409236802048868), (4, 0.055453337129422076), (20, 0.047504768364237261), (21, 0.12957298753887922), (23, 0.068890274934312601), (27, 0.021263696043389332), (29, 0.25728790651662242), (33, 0.056669884913382727), (35, 0.057587651813800808), (37, 0.14138197631693017), (48, 0.034550014485574904), (50, 0.020034183395993423)]","[(29, 0.2572879065166224), (37, 0.14138197631693017), (21, 0.12957298753887922), (23, 0.0688902749343126), (3, 0.06640923680204887), (35, 0.05758765181380081), (33, 0.05666988491338273), (4, 0.055453337129422076), (20, 0.04750476836423726), (48, 0.034550014485574904), (0, 0.03167533174540662), (27, 0.021263696043389332), (50, 0.020034183395993423)]",29
