,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
7224,7393,7393,"2011 Non-General Fund, proposed expenditures, 2011 budget","['King', 'County', '2011', 'budget', 'proposed', 'expenditures', 'outside', 'the', 'general', 'fund', 'More', 'at', 'http', '//www', 'kingcounty', 'gov/budget']",King County,"['loworg', 'account', '_11prop', 'accountdescription', 'funddescription', 'fund', 'deptdescription', 'dept', 'loworgdescription']","['LowOrg', 'Account', '11PROP', 'AccountDescription', 'FundDescription', 'Fund', 'DeptDescription', 'Dept', 'LowOrgDescription']",dataset,['finance'],Budget,"['budget', '2011', 'expenses', 'expenditures']",official,1552.0,10549.0,2129.0,83378.0,16.3473964489,data.kingcounty.gov,"['budget', '2011', 'expenses', 'expenditures', 'finance', 'budget']","['budget', '2011', 'expenses', 'expenditures', 'finance', 'budget', 'King', 'County', '2011', 'budget', 'proposed', 'expenditures', 'outside', 'the', 'general', 'fund', 'More', 'at', 'http', '//www', 'kingcounty', 'gov/budget']","[(2, 0.18870192307692277), (15, 0.35680816640713509), (18, 0.063701923076922976), (24, 0.063701923076922976), (37, 0.1887019230769228), (40, 0.08309567974671038)]","[(15, 0.3568081664071351), (37, 0.1887019230769228), (2, 0.18870192307692277), (40, 0.08309567974671038), (18, 0.06370192307692298), (24, 0.06370192307692298)]",15
10972,11141,11141,New York State Budget Vetoes: 2013-14,"['This', 'data', 'set', 'includes', 'vetoed', 'reappropriation', 'items', 'from', 'the', '2013', '14', 'enacted', 'budget', 'bills', 'by', 'veto', 'number', 'agency', 'bill', 'fund', 'type', 'and', 'justification']",Division of the Budget,"['line_from', 'page_from', 'veto_number', 'agency', 'reappropriation_amount_may_not_equal_available_funding', 'line_to', 'page_to', 'justification', 'purpose', 'fund_type', 'bill']","['Line From', 'Page From', 'Veto Number', 'Agency', 'Reappropriation Amount (may not equal available funding)', 'Line To', 'Page To', 'Justification', 'Purpose', 'Fund Type', 'Bill']",dataset,['finance'],Government & Finance,"['budget', 'enacted budget', 'integrity', 'veto', 'vetoes']",official,625.0,20.0,8.0,70127.0,16.0977029635,data.ny.gov,"['budget', 'enacted', 'budget', 'integrity', 'veto', 'vetoes', 'finance', 'government', '&', 'finance']","['budget', 'enacted', 'budget', 'integrity', 'veto', 'vetoes', 'finance', 'government', '&', 'finance', 'This', 'data', 'set', 'includes', 'vetoed', 'reappropriation', 'items', 'from', 'the', '2013', '14', 'enacted', 'budget', 'bills', 'by', 'veto', 'number', 'agency', 'bill', 'fund', 'type', 'and', 'justification']","[(15, 0.48360114953546318), (19, 0.091459903531503906), (27, 0.058882342089481475), (28, 0.048849636721489884), (31, 0.058692962294480434), (32, 0.042247301558141284), (34, 0.042212545060037937), (44, 0.043920890720491733), (47, 0.097056345411986211)]","[(15, 0.4836011495354632), (47, 0.09705634541198621), (19, 0.0914599035315039), (27, 0.058882342089481475), (31, 0.058692962294480434), (28, 0.048849636721489884), (44, 0.04392089072049173), (32, 0.042247301558141284), (34, 0.04221254506003794)]",15
11037,11206,11206,New York State Executive Budget Appropriations: 2014-2015,"['This', 'data', 'set', 'includes', '2014', '15', 'Executive', 'Budget', 'appropriation', 'reappropriations', 'and', 'workforce', 'levels', 'for', 'the', 'current', 'State', 'fiscal', 'year', 'and', 'upcoming', 'budget', 'year']",Division of the Budget,"['estimated_ftes_03_31_2015', 'program_name', 'appropriations_recommended_2014_15', 'agency_name', 'appropriations_available_2013_14', 'fund_name', 'reappropriations_recommended_2014_15', 'subfund_name', 'appropriation_category', 'estimated_ftes_03_31_2014', 'subfund', 'fund_type']","['Estimated FTEs 03/31/2015', 'Program Name', 'Appropriations Recommended 2014-15', 'Agency Name', 'Appropriations Available 2013-14', 'Fund Name', 'Reappropriations Recommended 2014-15', 'Subfund Name', 'Appropriation Category', 'Estimated FTEs 03/31/2014', 'Subfund', 'Fund Type']",dataset,"['finance', 'infrastructure']",Government & Finance,"['appropriation', 'ftes']",official,640.0,21.0,7.0,54346.0,15.729912779,data.ny.gov,"['appropriation', 'ftes', 'finance', 'infrastructure', 'government', '&', 'finance']","['appropriation', 'ftes', 'finance', 'infrastructure', 'government', '&', 'finance', 'This', 'data', 'set', 'includes', '2014', '15', 'Executive', 'Budget', 'appropriation', 'reappropriations', 'and', 'workforce', 'levels', 'for', 'the', 'current', 'State', 'fiscal', 'year', 'and', 'upcoming', 'budget', 'year']","[(5, 0.070429215439881149), (15, 0.33148940094178936), (16, 0.054640347158125976), (33, 0.0941492831269235), (39, 0.046328671328671273), (40, 0.25964427976174032), (41, 0.054417698699578444), (44, 0.050439565081750529)]","[(15, 0.33148940094178936), (40, 0.2596442797617403), (33, 0.0941492831269235), (5, 0.07042921543988115), (16, 0.054640347158125976), (41, 0.054417698699578444), (44, 0.05043956508175053), (39, 0.04632867132867127)]",15
7230,7399,7399,"2011 General Fund, proposed expenditures, 2011 budget","['King', 'County', '2011', 'budget', 'proposed', 'expenditures', 'within', 'the', 'general', 'fund']",King County,"['_11prop', 'accountdescription', 'account', 'deptdescription', 'dept', 'funddescription', 'fund', 'loworgdescription', 'loworg']","['11PROP', 'AccountDescription', 'Account', 'DeptDescription', 'Dept', 'FundDescription', 'Fund', 'LowOrgDescription', 'LowOrg']",dataset,['finance'],Budget,"['budget', 'general fund', '2011', 'expenses', 'expenditures']",official,1632.0,4908.0,912.0,51821.0,15.661277075,data.kingcounty.gov,"['budget', 'general', 'fund', '2011', 'expenses', 'expenditures', 'finance', 'budget']","['budget', 'general', 'fund', '2011', 'expenses', 'expenditures', 'finance', 'budget', 'King', 'County', '2011', 'budget', 'proposed', 'expenditures', 'within', 'the', 'general', 'fund']","[(2, 0.12620192307692288), (15, 0.40945195213232843), (37, 0.22869634524593535), (40, 0.15200471193060361), (42, 0.0271546829988236)]","[(15, 0.40945195213232843), (37, 0.22869634524593535), (40, 0.1520047119306036), (2, 0.12620192307692288), (42, 0.0271546829988236)]",15
7234,7403,7403,General Fund Expenditures 2010,"['King', 'County', '2010', 'Budget', 'General', 'Fund', 'Expenditures']",King County,"['deptdescription', 'accountdescription', 'fundnumber', 'funddescription', 'account', 'adopted', 'loworg', 'loworgdescription', 'dept']","['DeptDescription', 'AccountDescription', 'FundNumber', 'FundDescription', 'Account', 'Adopted', 'LowOrg', 'LowOrgDescription', 'Dept']",dataset,[],Budget,"['expenditures', '2010 budget']",official,1328.0,5048.0,928.0,46887.0,15.516931122,data.kingcounty.gov,"['expenditures', '2010', 'budget', 'budget']","['expenditures', '2010', 'budget', 'budget', 'King', 'County', '2010', 'Budget', 'General', 'Fund', 'Expenditures']","[(2, 0.20192307692307673), (15, 0.40159683263382961), (37, 0.20192307692307673), (40, 0.10224932121232386)]","[(15, 0.4015968326338296), (2, 0.20192307692307673), (37, 0.20192307692307673), (40, 0.10224932121232386)]",15
7491,7660,7660,Office of Community Beautification,"['All', 'City', 'event', 'calendar']",,"['city_reference_id', 'age_groupings', 'event_by_service_area', 'event_sponsor', 'fee_required', 'subject_matter', 'information_website', 'contact_email', 'contact_number', 'type_of_event', 'event_description', 'event_name', 'contact_name', 'event_date_time_start', 'location_address', 'location_common_name', 'event_date_time_ends', 'council_district', 'elected_officials', 'neighborhood_council']","['City Reference ID', 'Age Groupings', 'Event by Service Area', 'Event Sponsor', 'Fee Required', 'Subject Matter', 'Information Website', 'Contact Email', 'Contact Number', 'Type of Event', 'Event Description', 'Event Name', 'Contact Name', 'Event Date & Time Start', 'Location Address', 'Location Common Name', 'Event Date & Time Ends', 'Elected Official Office Name', 'Elected Officials Name', 'Neighborhood Council']",calendar,"['recreation', 'education']",A Livable and Sustainable City,"['all city', 'calendar', 'event']",official,812.0,442.0,103.0,34709.0,15.0830637447,data.lacity.org,"['all', 'city', 'calendar', 'event', 'recreation', 'education', 'a', 'livable', 'and', 'sustainable', 'city']","['all', 'city', 'calendar', 'event', 'recreation', 'education', 'a', 'livable', 'and', 'sustainable', 'city', 'All', 'City', 'event', 'calendar']","[(9, 0.31158894736292592), (10, 0.084935897435897231), (11, 0.11753692222652982), (15, 0.3256818227182347), (34, 0.084935897435897231)]","[(15, 0.3256818227182347), (9, 0.3115889473629259), (11, 0.11753692222652982), (10, 0.08493589743589723), (34, 0.08493589743589723)]",15
11647,11816,11816,Bills Signed by Governor Kitzhaber (2013),"['List', 'of', 'bills', 'signed', 'by', 'Governor', 'Kitzhaber', 'in', 'the', '2013', 'Legislative', 'Session']",Office of the Governor,"['date', 'signed_or_vetoed', 'relating_to_clause', 'links', 'measure_number']","['Date', 'Signed or Vetoed', 'Relating to clause', 'Links', 'Measure Number']",dataset,['finance'],Administrative,"['2013', 'bill', 'bills', 'legislative', 'legislature', 'session', 'signed', 'veto', 'vetoed']",official,879.0,2187.0,523.0,29487.0,14.8478403556,data.oregon.gov,"['2013', 'bill', 'bills', 'legislative', 'legislature', 'session', 'signed', 'veto', 'vetoed', 'finance', 'administrative']","['2013', 'bill', 'bills', 'legislative', 'legislature', 'session', 'signed', 'veto', 'vetoed', 'finance', 'administrative', 'List', 'of', 'bills', 'signed', 'by', 'Governor', 'Kitzhaber', 'in', 'the', '2013', 'Legislative', 'Session']","[(15, 0.25279632820361536), (24, 0.11217948717948706), (28, 0.056623931623931562), (31, 0.12240086722396591), (35, 0.056623931623931562), (44, 0.11217948717948706), (47, 0.23911904388865748)]","[(15, 0.25279632820361536), (47, 0.23911904388865748), (31, 0.12240086722396591), (24, 0.11217948717948706), (44, 0.11217948717948706), (28, 0.05662393162393156), (35, 0.05662393162393156)]",15
7248,7417,7417,Non-General Fund Expenditures 2010,"['King', 'County', '2010', 'Budget', 'Expenditures', 'outside', 'the', 'General', 'Fund']",King County,"['deptdescription', 'dept', 'fundnumber', 'adopted', 'loworgdescription', 'loworg', 'accountdescription', 'account', 'funddescription']","['DeptDescription', 'Dept', 'FundNumber', 'Adopted', 'LowOrgDescription', 'LowOrg', 'AccountDescription', 'Account', 'FundDescription']",dataset,['economy'],Budget,"['expenditures', '2010', 'budget']",official,1078.0,0.0,0.0,25479.0,14.6370776571,data.kingcounty.gov,"['expenditures', '2010', 'budget', 'economy', 'budget']","['expenditures', '2010', 'budget', 'economy', 'budget', 'King', 'County', '2010', 'Budget', 'Expenditures', 'outside', 'the', 'General', 'Fund']","[(2, 0.1682692307692305), (15, 0.38307168212500742), (24, 0.096313223429636968), (37, 0.18389534755375164), (40, 0.093130003301859249)]","[(15, 0.3830716821250074), (37, 0.18389534755375164), (2, 0.1682692307692305), (24, 0.09631322342963697), (40, 0.09313000330185925)]",15
7251,7420,7420,"Home page events, calendar view","['Master', 'calendar', 'for', 'King', 'County', 'events']",King County,"['home_page_y_n', 'start_time', 'event_description', 'end_time', 'event_name', 'location_name', 'location', 'url', 'contact_name', 'contact_email', 'contact_phone', 'host_contact_department', 'feed_keyword_s', 'arts_culture', 'best_starts_for_kids', 'business', 'closure', 'council', 'courts', 'elections', 'emergency', 'employees', 'environment', 'events', 'executive', 'health', 'jails', 'jobs', 'licenses', 'metro', 'news', 'operations', 'parks', 'permits', 'pets', 'property', 'recreation', 'recycling_trash', 'roads', 'rural', 'safety', 'sheriff', 'socialservices', 'transportation', 'volunteer', 'tac_meeting']","['Display on KC home page', 'Start time', 'Event description/details', 'End time', 'Event Name', 'Location name', 'Location', 'URL', 'Contact name', 'Contact email', 'Contact phone', 'Host/Contact Department', 'Feed Keyword(s):', 'arts_culture', 'Best Starts for Kids', 'business', 'closure', 'council', 'courts', 'elections', 'emergency', 'employees', 'environment', 'events', 'executive', 'health', 'jails', 'jobs', 'licenses', 'Metro', 'news', 'operations', 'parks', 'permits', 'pets', 'property', 'recreation', 'recycling_trash', 'roads', 'rural', 'safety', 'sheriff', 'SocialServices', 'transportation', 'volunteer', 'TAC Meeting']",calendar,[],Operations,['calendar'],official,1326.0,662.0,114.0,23786.0,14.5378857111,data.kingcounty.gov,"['calendar', 'operations']","['calendar', 'operations', 'Master', 'calendar', 'for', 'King', 'County', 'events']","[(2, 0.25240384615384626), (15, 0.37740384615384309), (28, 0.1274038461538462), (38, 0.1274038461538462)]","[(15, 0.3774038461538431), (2, 0.25240384615384626), (28, 0.1274038461538462), (38, 0.1274038461538462)]",15
11431,11600,11600,City of Oakland Proposed Policy Budget FY2013-15,[],,"['department', 'budget_year_name', 'amount', 'account_description', 'account_code', 'account_category', 'program_description', 'account_type', 'fund_description', 'program_code', 'org_description', 'fund_code', 'division', 'org_code', 'department_order']","['Department', 'Budget Year Name', 'Amount', 'Account  Description', 'Account Code', 'Account Category', 'Program Description', 'Account Type', 'Fund Description', 'Program Code', 'Org Description', 'Fund Code', 'Division', 'Org Code', 'Department Order']",dataset,['finance'],Financial,['budget'],official,625.0,5.0,1.0,15699.0,13.9384769387,data.oaklandnet.com,"['budget', 'finance', 'financial']","['budget', 'finance', 'financial']","[(15, 0.50480769230769262), (37, 0.25480769230769246)]","[(15, 0.5048076923076926), (37, 0.25480769230769246)]",15
